Key,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,Run40,Run41,Run42,Run43,Run44,Run45,Run46,Run47,Run48,Run49,Run50,Run51,Run52,Run53,Run54,Run55,Run56,Run57,Run58,Run59,Run60,Run61,Run62,Run63,Run64,Run65,Run66,Run67,Run68,Run69,Run70,Run71,Run72,Run73,Run74,Run75,Run76,Run77,Run78,Run79,Run80,Run81,Run82,Run83,Run84,Run85,Run86,Run87,Run88,Run89,Run90,Run91,Run92,Run93,Run94,Run95,Run96,Run97,Run98,Run99,Run100
user1935691084326388114,2000,3800,4900,6300,8000,9300,11000,12300,14000,15500,17000,18500,19800,21500,22900,24000,25200,26800,28200,29800,31300,32800,34200,35700,37300,38800,40200,41800,43000,44500,46100,47700,48900,50600,51800,53000,54400,55800,57300,59000,60000,61500,63000,64000,65500,67000,68200,69800,71000,72300,74000,75500,76900,78000,79400,80900,82300,83700,85400,86800,88000,89000,90400,91900,93200,94600,96000,97900,98900,100000,101300,102000,104300,105900,106900,108000,108400,110600,112400,113600,115100,116800,117800,119400,120600,122100,123400,124800,126100,127900,128600,129900,131000,132700,133900,135600,137000,138000,137900,140400
user9105318085603802964,2000,3600,5000,6900,8300,9600,11000,12700,13800,14400,17000,18300,20000,21700,23000,24000,25500,27000,28300,29900,31400,32700,34300,35700,37400,38600,40200,42000,42900,44400,46000,47000,48500,50400,51000,52900,54700,55800,57200,58700,60000,61500,62900,64000,64800,66800,68200,69800,70400,72300,73200,75500,76500,77900,78700,80200,81900,83800,85100,86800,88000,88800,90600,92000,93300,94900,96100,97300,98800,100000,101600,102900,104300,105800,107000,108500,109900,110900,112300,113800,115100,116800,118000,119300,120500,121900,123600,125000,126400,127400,129000,129900,131600,132700,133900,135400,136900,137900,139000,140100
user4182406682646079131,2000,3500,5000,6600,8100,9800,10900,12700,13900,15400,16700,18400,19600,21600,23000,24000,25400,27000,28600,30000,31400,32900,34500,35900,37300,38700,40100,41800,38800,44600,46200,47500,48600,49800,51700,53000,54400,55800,57600,58800,60000,61500,56800,64000,65500,67000,67500,69900,63900,72500,73900,75400,75900,78000,79700,80800,82600,83500,85500,86800,87900,88200,90400,92000,91700,94700,95200,97600,99000,100000,101700,101500,104200,105300,107000,107400,109800,110800,112500,114000,115200,116500,116600,119500,120400,121800,123400,124700,126200,126600,128800,130000,131100,131300,134000,135300,136800,137800,139300,140700
user1694555354510876180,2000,3700,5000,6400,7900,9500,11000,12000,14000,15600,16900,18500,19600,21400,23000,23600,25400,27000,28300,29900,31600,32800,34400,35900,37200,38600,40000,41700,42900,44400,46200,47600,49000,50600,52000,53000,54200,56100,57200,59000,60000,61600,62900,63400,65300,66800,68200,69700,70900,71400,73700,75200,75900,77900,79700,80700,82100,83900,84100,86700,87900,89000,90500,91800,93300,94500,96300,97500,98900,99100,101100,102700,104200,105500,107000,108600,109700,109600,112500,113700,115200,116800,117900,119500,120900,121700,123800,123700,126000,127800,128900,130000,130900,132700,133900,135300,136400,136500,139300,140600
user1106334536542039836,2000,3500,5000,6500,8400,9600,10800,12400,12700,15500,16800,18800,19900,21600,23000,24000,25500,26800,28400,29900,31500,32600,34200,35600,37500,38600,40500,41400,42900,44200,46000,47700,49200,50400,51900,52900,54400,54800,57500,58200,59900,61300,62900,64000,65400,66800,68300,69900,71000,72400,73800,75200,69100,77900,79200,80700,82300,83100,85400,86600,87200,89000,90200,91700,92900,94900,96000,97400,98900,99900,101900,102900,103900,105700,105800,108300,109500,110900,112600,113900,115500,116900,118000,119000,120700,120700,123800,123700,126300,127900,129000,129800,131300,131400,134000,134100,136800,138000,139000,140900
user311242829211144786,2000,3600,5000,6600,7900,9600,10900,12300,13800,15300,16900,18700,19900,21500,22900,24000,25500,27000,28400,29600,31100,32900,34200,35700,37300,39000,40200,41800,43000,44300,46000,42800,49000,50600,51600,53000,54700,55900,56800,59000,59900,60100,62900,64000,65600,66100,68400,69900,71000,72500,73600,75300,76900,77900,79600,80900,82300,83800,85200,86600,88000,89000,90200,91800,93200,94600,95100,97500,98900,100000,101400,102900,104400,105900,107000,108100,109700,110700,112300,113700,115300,116900,116700,119200,120600,120900,123400,123500,126500,127700,128800,129900,131200,132400,133700,135700,136700,137800,139000,140700
user754563266369447745,2000,3500,5000,6600,8000,9700,10900,12600,13900,15500,17000,18600,19900,21400,23000,24000,25700,27000,28700,29900,31500,33000,34500,36000,37300,38700,40400,41800,43000,44400,46200,47400,49100,50400,52000,52600,53900,56000,57200,58900,60000,61600,63000,64000,65500,66900,67700,69600,71000,72400,74000,75400,76700,78000,79200,80800,81600,83800,85300,86900,88000,89000,90600,91500,93300,94500,96400,97600,98800,99000,101400,102900,104500,105800,106900,108800,109900,111000,112100,113700,115400,116700,118000,119200,120800,122000,123400,124800,126700,127700,128800,130000,130900,132700,133800,135400,136600,137900,139400,140900
user744630941818771935,2000,3900,4900,6300,8000,9300,11000,12300,14000,15500,17000,18600,19800,21300,22900,24000,25600,26700,28500,29700,31400,32900,34500,35900,36800,38700,40000,41700,42600,44100,46100,47300,48800,50500,51900,53000,54500,56000,57300,58300,60000,61300,62800,64000,65500,67000,68200,69700,69500,72300,73800,75500,76900,78000,79400,80700,82100,83600,85200,86900,88000,80200,90600,91600,93000,94800,94900,97500,98800,100000,101300,102800,103400,105700,106900,107900,109900,111000,112300,113700,115100,116500,117900,118900,120900,122500,123800,125000,125100,128000,128900,129900,131300,132700,133700,135300,136900,138000,139000,139200
user3233042230466115334,2000,3400,5000,6500,8400,9500,11000,12300,14000,15400,17000,18900,19800,21300,22900,24000,25400,27000,28600,29900,31100,32800,34500,35900,37200,38800,40400,41700,43000,44500,45800,47300,49000,50400,52000,52900,54300,56100,57200,58900,60000,61600,62700,64000,65400,66800,68200,69900,70900,72100,73700,75200,76900,78000,79600,80800,82500,83900,85400,86700,87900,88900,90600,91900,92500,95000,96100,97700,97800,100000,101400,102800,104600,105900,104900,108500,107600,110900,112400,113800,115200,116800,117900,119400,119400,121800,123300,124800,126400,127700,129000,129800,131200,132800,132700,135100,136600,137900,139600,139500
user2774761641443570319,2000,3700,4900,6600,8000,9300,11000,12300,12600,15500,17000,18500,19700,21600,23000,24000,25700,26800,28300,29900,31500,32900,34400,35700,37300,38600,40400,41700,43000,44300,45900,47600,48400,50500,51900,53000,54600,55500,57300,58900,60000,61500,62700,64000,65700,67000,68500,69600,71000,72500,73900,75200,76600,78000,79700,80300,82500,83500,85200,86700,88000,88800,90300,91600,92500,94800,96200,97300,98900,100000,101300,102900,104200,105700,107000,108500,109900,110900,112300,113700,115200,116900,117700,119600,121000,110000,123600,124900,125700,127600,127600,130000,131700,132700,133800,134900,136800,138000,125500,139400
user5817347222824138717,2000,3400,5000,6300,8000,9400,11000,12600,13800,15500,16600,18300,20000,21200,22900,24000,25400,26800,28400,29900,31600,32900,34400,35700,37300,38700,40100,41600,43000,44500,46100,47400,49200,49800,52000,52500,53500,55800,57200,59000,60000,61600,63000,64000,65200,66300,68400,69800,70800,72500,73500,74500,76800,78000,79400,81000,82300,84000,84300,86900,88000,88900,90400,91800,93300,94500,95900,97600,98400,100000,101600,102400,104400,105800,107000,107400,109900,111000,112200,113600,115400,116500,117900,119500,120500,122200,122300,124800,126300,127400,128900,129900,131500,132600,133900,135000,136700,137800,139300,140900
user417410502766799145,2000,3400,4900,6700,8100,9500,11000,12600,14000,15600,16900,18300,19900,21300,22800,24000,25500,27000,28500,29700,31400,33000,34300,35900,37500,38800,40400,41800,42600,44600,46100,47100,49000,50400,51900,53000,54800,55700,57100,58700,60000,61000,62900,64000,65800,66900,68400,69800,70900,71800,73700,75400,76800,78000,79400,80800,82300,83500,85200,86800,88000,89000,90600,91900,93100,94500,96200,97500,98900,99900,101300,102800,104200,105900,107000,107900,109500,110800,112600,113700,115300,116300,117800,118100,120800,122400,123200,125000,126600,127800,128900,130000,131500,132800,133900,135200,136300,137800,139200,140700
