Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,deadlocks,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
0,load,10000,true,uniform,INSERT,1,43041,12944,1978,10658,1,0,0,0,0,214,5339,6274673,60878338,891659400,2344639699,130656696,20148683,2790831298719,3304321099,435490227,23362441,1,0,0,0,0,13875,720.7207207207207,10000,1328.8983,876,17599,1604,1708,10000
1,extend,10000,true,uniform,EXTEND,2,1008172,171392,136345,30450,100023,5593,0,0,0,214,5339,6274673,60878338,891667592,2344647780,130656696,20148683,2790956291547,3304772155,435490234,23362441,0,0,0,0,1,125320,797.9572294924992,100000,1245.80626,370,7727,1559,1657,100000
1,run,10000,true,uniform,READ,2,2133497,474733,413154,44082,149802,14363,0,0,0,214,5339,6274673,60878338,891667592,2344648077,130656696,20148683,2791004271870,3305022880,435490235,23362441,0.5,0.5,0,0,0,63302,1579.7289185175823,50243,112.79392154130923,24,20751,383,470,50243
1,run,10000,true,uniform,UPDATE,2,2133497,474733,413154,44082,149802,14363,0,0,0,214,5339,6274673,60878338,891667592,2344648077,130656696,20148683,2791004271870,3305022880,435490235,23362441,0.5,0.5,0,0,0,63302,1579.7289185175823,49757,1146.6615350603936,482,7147,1491,1600,49757
1,reference,10000,true,uniform,READ,2,636570,152765,113989,15914,49846,1640,0,0,0,214,5339,6274673,60878338,891667592,2344651200,130656696,20148683,2791058762722,3305225670,435490236,23362441,0.5,0.5,0,0,0,61941,1614.439547311151,50177,99.7722063893816,23,5583,356,439,50177
1,reference,10000,true,uniform,UPDATE,2,636570,152765,113989,15914,49846,1640,0,0,0,214,5339,6274673,60878338,891667592,2344651200,130656696,20148683,2791058762722,3305225670,435490236,23362441,0.5,0.5,0,0,0,61941,1614.439547311151,49823,1131.8508720871887,375,21535,1466,1572,49823
1,clean-run,10000,true,uniform,READ,2609,1165097,287102,259503,45628,50133,10974,0,4,385024,214,5340,6288759,60878952,891680726,2344660902,130656847,20148691,2791160234339,3305541095,435495229,23364508,0.5,0.5,0,0,0,64650,1546.7904098994586,49868,132.19403224512715,25,20095,391,458,49868
1,clean-run,10000,true,uniform,UPDATE,2609,1165097,287102,259503,45628,50133,10974,0,4,385024,214,5340,6288759,60878952,891680726,2344660902,130656847,20148691,2791160234339,3305541095,435495229,23364508,0.5,0.5,0,0,0,64650,1546.7904098994586,50132,1146.5705736854704,380,8591,1497,1602,50132
1,avg-run,10000,true,uniform,READ,2696,2985879,795450,713841,90891,100338,25632,0,4,385024,214,5340,6288759,60878952,891680726,2344667988,130656847,20148691,2791241548787,3305884112,435495233,23364508,0.5,0.5,0,0,0,62675,1595.5325089748703,49821,111.01202304249212,25,5407,369,457,49821
1,avg-run,10000,true,uniform,UPDATE,2696,2985879,795450,713841,90891,100338,25632,0,4,385024,214,5340,6288759,60878952,891680726,2344667988,130656847,20148691,2791241548787,3305884112,435495233,23364508,0.5,0.5,0,0,0,62675,1595.5325089748703,50179,1127.3108272384861,374,16575,1472,1573,50179
2,extend,10000,true,uniform,EXTEND,10982,3835482,867455,759289,94314,249835,45076,0,0,0,214,5340,6288759,60889229,891690173,2344677135,130656847,20148691,2791375817061,3306437376,435502441,23364508,0,0,0,0,1,125565,796.400270776092,100000,1248.76366,414,11887,1556,1654,100000
2,run,10000,true,uniform,READ,12016,5826098,1427353,1290829,121522,299784,66482,0,0,0,215,5340,6290810,60889229,891691721,2344678300,130656847,20148691,2791487663882,3306733949,435511390,23364508,0.5,0.5,0,0,0,70319,1422.0907578321649,50073,163.80198909591996,31,24735,437,521,50073
2,run,10000,true,uniform,UPDATE,12016,5826098,1427353,1290829,121522,299784,66482,0,0,0,215,5340,6290810,60889229,891691721,2344678300,130656847,20148691,2791487663882,3306733949,435511390,23364508,0.5,0.5,0,0,0,70319,1422.0907578321649,49927,1231.7448274480741,408,5735,1565,1693,49927
2,reference,10000,true,uniform,READ,9590,1603877,391723,328536,44568,99794,10276,0,0,0,215,5340,6292761,60897135,891694170,2344686869,130656847,20148691,2791575754862,3307018333,435516820,23364508,0.5,0.5,0,0,0,68703,1455.5405149702342,50074,143.99265087670247,25,6899,420,503,50074
2,reference,10000,true,uniform,UPDATE,9590,1603877,391723,328536,44568,99794,10276,0,0,0,215,5340,6292761,60897135,891694170,2344686869,130656847,20148691,2791575754862,3307018333,435516820,23364508,0.5,0.5,0,0,0,68703,1455.5405149702342,49926,1219.03340944598,399,23647,1561,1683,49926
2,clean-run,10000,true,uniform,READ,2575,2273432,572088,536076,81392,50019,23219,0,4,385024,215,5341,6303844,60902871,891705191,2344703689,130767904,20148715,2791725578218,3307450196,435524855,23367913,0.5,0.5,0,0,0,68337,1463.3361136719493,49993,154.33374672454144,32,21119,428,510,49993
2,clean-run,10000,true,uniform,UPDATE,2575,2273432,572088,536076,81392,50019,23219,0,4,385024,215,5341,6303844,60902871,891705191,2344703689,130767904,20148715,2791725578218,3307450196,435524855,23367913,0.5,0.5,0,0,0,68337,1463.3361136719493,50007,1200.061371408003,368,7483,1561,1709,50007
2,avg-run,10000,true,uniform,READ,2666,4899883,1297176,1208320,153519,100319,47163,0,4,385024,215,5341,6303844,60902871,891713038,2344712232,130767904,20148715,2791821066887,3307844610,435524859,23367913,0.5,0.5,0,0,0,64275,1555.8148580318941,49715,123.25801066076637,27,5347,402,495,49715
2,avg-run,10000,true,uniform,UPDATE,2666,4899883,1297176,1208320,153519,100319,47163,0,4,385024,215,5341,6303844,60902871,891713038,2344712232,130767904,20148715,2791821066887,3307844610,435524859,23367913,0.5,0.5,0,0,0,64275,1555.8148580318941,50285,1144.8424579894602,371,17679,1509,1626,50285
