Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,deadlocks,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
0,load,1000,true,uniform,INSERT,1,5688,2161,1072,1046,1,0,0,0,0,249,12709,14030378,151772657,2168160335,4658394579,316500287,52222408,6764909616493,7854488582,1084487983,41613315,1,0,0,0,0,1710,584.7953216374269,1000,1417.371,946,22863,1708,1930,1000
1,extend,1000,true,zipfian,EXTEND,2,107504,20944,16454,4432,10001,1537,0,0,0,249,12709,14030378,151772687,2168160335,4658395729,316500287,52222408,6764924331408,7854535646,1084487992,41613315,0,0,0,0,1,13865,721.2405337179949,10000,1346.5383,806,17471,1657,1765,10000
1,run,1000,true,uniform,READ,7,1042887,269500,257624,19258,60134,14242,0,0,0,249,12709,14030378,151773378,2168160335,4658397202,316500287,52222408,6764968625155,7854772523,1084487996,41613315,0.5,0.5,0,0,0,64606,1547.8438535120576,49889,121.59309667461766,25,9383,423,529,49889
1,run,1000,true,uniform,UPDATE,7,1042887,269500,257624,19258,60134,14242,0,0,0,249,12709,14030378,151773378,2168160335,4658397202,316500287,52222408,6764968625155,7854772523,1084487996,41613315,0.5,0.5,0,0,0,64606,1547.8438535120576,50111,1156.1071621001377,469,21183,1544,1676,50111
1,reference,1000,true,uniform,READ,17,840954,219332,209511,14704,50028,9665,0,0,0,249,12709,14030378,151773458,2168160335,4658399280,316500287,52222408,6765013566199,7855001277,1084487998,41613315,0.5,0.5,0,0,0,67127,1489.7135280885486,49984,140.11731754161332,24,24815,442,539,49984
1,reference,1000,true,uniform,UPDATE,17,840954,219332,209511,14704,50028,9665,0,0,0,249,12709,14030378,151773458,2168160335,4658399280,316500287,52222408,6765013566199,7855001277,1084487998,41613315,0.5,0.5,0,0,0,67127,1489.7135280885486,50016,1189.9676903390914,391,6139,1575,1696,50016
1,clean-run,1000,true,uniform,READ,8,1015969,269799,261170,19386,49961,14274,0,0,0,249,12710,14035399,151773458,2168165487,4658404437,316500329,52222426,6765074390839,7855260205,1084490483,41613340,0.5,0.5,0,0,0,66699,1499.2728526664569,50051,139.441569599009,26,6151,442,543,50051
1,clean-run,1000,true,uniform,UPDATE,8,1015969,269799,261170,19386,49961,14274,0,0,0,249,12710,14035399,151773458,2168165487,4658404437,316500329,52222426,6765074390839,7855260205,1084490483,41613340,0.5,0.5,0,0,0,66699,1499.2728526664569,49949,1183.0001601633667,399,27919,1570,1696,49949
1,avg-run,1000,true,uniform,READ,10,1679481,451864,432716,25067,100097,19723,0,0,0,249,12710,14035399,151773458,2168165487,4658405907,316500329,52222426,6765101585438,7855432794,1084490487,41613340,0.5,0.5,0,0,0,67667,1477.8252323880179,49879,145.1684476432968,22,5115,455,547,49879
1,avg-run,1000,true,uniform,UPDATE,10,1679481,451864,432716,25067,100097,19723,0,0,0,249,12710,14035399,151773458,2168165487,4658405907,316500329,52222426,6765101585438,7855432794,1084490487,41613340,0.5,0.5,0,0,0,67667,1477.8252323880179,50121,1193.4020270944316,394,21279,1577,1696,50121
