Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,deadlocks,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
0,load,10000,true,uniform,INSERT,1,38944,12848,1876,10118,1,0,0,0,0,312,14833,17186388,190050186,2491138239,5259585029,386397019,59143713,7897233696940,9117750266,1204708291,52678036,1,0,0,0,0,13288,752.5586995785671,10000,1268.2703,506,27791,1643,1751,10000
1,extend,10000,true,uniform,EXTEND,2,861112,145392,112561,21683,100023,2346,0,0,0,312,14833,17186388,190050186,2491146431,5259591483,386397019,59143713,7897340698680,9118157050,1204708297,52678036,0,0,0,0,1,124886,800.7302660025944,100000,1241.62685,394,17263,1615,1734,100000
1,run,10000,true,uniform,READ,2,1522345,378039,324762,21804,100034,2448,0,0,0,312,14833,17186388,190050186,2491146431,5259591483,386397019,59143713,7897341835267,9118172481,1204708297,52678036,1,0,0,0,0,4546,21997.360316761988,100000,41.50096,25,25455,57,83,100000
1,reference,10000,true,uniform,READ,1,343841,125278,102549,10181,12,62,0,0,0,312,14833,17186388,190050186,2491146431,5259591483,386397019,59143713,7897341835420,9118172482,1204708297,52678036,1,0,0,0,0,3628,27563.395810363836,100000,32.37145,23,23455,43,78,100000
1,clean-run,10000,true,uniform,READ,557,623103,200052,189960,18857,1,0,0,4,385024,312,14834,17195313,190050186,2491146512,5259595583,386397156,59143723,7897369900154,9118194333,1204709282,52679658,1,0,0,0,0,4786,20894.27496865859,100000,44.11906,26,28927,55,81,100000
1,avg-run,10000,true,uniform,READ,559,1445442,483885,432863,38980,5,0,0,4,385024,312,14834,17195313,190050186,2491146512,5259598534,386397156,59143723,7897395072048,9118245441,1204709286,52679658,1,0,0,0,0,4703,21263.0236019562,100000,43.02745,27,20079,55,82,100000
2,extend,10000,true,uniform,EXTEND,2,2685833,619283,512197,63769,200056,22946,0,0,0,312,14834,17195313,190050815,2491146512,5259600856,386397156,59143723,7897521473154,9118743106,1204715583,52679658,0,0,0,0,1,130635,765.4916370038658,100000,1298.99778,410,18943,1655,1828,100000
2,run,10000,true,uniform,READ,2,4237544,1141609,1013291,64113,200078,23260,0,0,0,312,14834,17195313,190050815,2491146512,5259600890,386397156,59143723,7897523685573,9118768956,1204715584,52679658,1,0,0,0,0,5338,18733.608092918697,100000,49.52015,27,20671,65,98,100000
2,reference,10000,true,uniform,READ,1,646354,249192,203812,10181,12,62,0,0,0,312,14834,17195313,190050815,2491146512,5259600890,386397156,59143723,7897523685573,9118768956,1204715584,52679658,1,0,0,0,0,3975,25157.232704402515,100000,35.91539,23,21679,47,73,100000
2,clean-run,10000,true,uniform,READ,1322,1334628,402494,392402,39179,1,0,0,4,385024,312,14835,17204065,190051273,2491153224,5259607630,386397265,59143731,7897565214282,9118831638,1204716570,52683351,1,0,0,0,0,5487,18224.89520685256,100000,51.04499,27,19519,66,95,100000
2,avg-run,10000,true,uniform,READ,1401,3552163,1100185,1049163,89352,22,0,0,4,385024,312,14835,17204065,190051273,2491160958,5259612173,386397265,59143731,7897604943640,9118943888,1204716574,52683351,1,0,0,0,0,5268,18982.536066818528,100000,48.94151,33,19791,65,94,100000
