Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,deadlocks,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
0,load,1000,true,uniform,INSERT,1,5294,1084,997,1046,1,0,0,0,0,11,3583,2114316,38121440,562502323,3715217998,91713424,13896348,1881049045077,1901096364,299811352,1884911,0,0,0,1,0,1608,621.8905472636816,1000,1321.552,896,10831,1630,1759,1000
1,extend,1000,true,zipfian,EXTEND,2,144988,39181,35779,2973,10001,1219,0,0,0,11,3583,2114316,38121440,562502323,3715218934,91713424,13896348,1881060417631,1901136898,299811357,1884911,0,0,0,0,1,13195,757.862826828344,10000,1283.1906,863,14311,1895,2069,10000
1,run,1000,true,uniform,READ,2,634773,207083,201057,2973,10001,1219,0,0,0,11,3583,2114316,38121440,562502323,3715218934,91713424,13896348,1881060430141,1901137094,299811357,1884911,1,0,0,0,0,3824,26150.62761506276,100000,34.59274,20,20863,47,87,100000
1,reference,1000,true,uniform,READ,1,306659,103422,101454,1119,1,0,0,0,0,11,3583,2114316,38121440,562502323,3715218934,91713424,13896348,1881060430502,1901137099,299811357,1884911,1,0,0,0,0,3479,28743.89192296637,100000,30.99881,19,21631,41,68,100000
1,clean-run,1000,true,uniform,READ,8,483010,163801,161837,1774,1,0,0,0,0,11,3584,2116349,38121440,562503707,3715220250,91713451,13896358,1881067311982,1901140230,299812302,1884938,1,0,0,0,0,3757,26616.98163428267,100000,33.82855,18,19039,46,78,100000
1,avg-run,1000,true,uniform,READ,10,1093935,367688,363664,3774,5,0,0,0,0,11,3584,2116349,38121440,562503707,3715220549,91713451,13896358,1881069708191,1901145265,299812304,1884938,1,0,0,0,0,4399,22732.439190725167,100000,40.18052,24,11375,48,73,100000
2,extend,1000,true,zipfian,EXTEND,2,863117,303550,271625,8760,20001,5305,0,0,0,11,3584,2116349,38121440,562503707,3715221663,91713451,13896358,1881087589319,1901196283,299813102,1884938,0,0,0,0,1,12964,771.3668620796051,10000,1260.4669,874,15303,1845,2055,10000
2,run,1000,true,uniform,READ,2,1845381,640314,606036,8760,20001,5305,0,0,0,11,3584,2116349,38121440,562503707,3715221663,91713451,13896358,1881087606053,1901196545,299813102,1884938,1,0,0,0,0,4468,22381.378692927483,100000,40.91681,21,17983,54,101,100000
2,reference,1000,true,uniform,READ,1,609130,206683,202675,1119,1,0,0,0,0,11,3584,2116349,38121440,562503707,3715221663,91713451,13896358,1881087606053,1901196545,299813102,1884938,1,0,0,0,0,3338,29958.058717795087,100000,29.67962,17,18927,40,64,100000
2,clean-run,1000,true,uniform,READ,8,972591,329305,327341,3452,1,0,0,0,0,11,3585,2118288,38121440,562505525,3715223041,91713468,13896365,1881095804714,1901203215,299814042,1884965,1,0,0,0,0,4235,23612.75088547816,100000,38.64156,20,20639,53,97,100000
2,avg-run,1000,true,uniform,READ,10,2498824,833360,829336,8452,5,0,0,0,0,11,3585,2118288,38121440,562505525,3715223520,91713468,13896365,1881099640047,1901214258,299814044,1884965,1,0,0,0,0,4096,24414.0625,100000,37.29267,26,14239,51,80,100000
3,extend,1000,true,zipfian,EXTEND,2,2166484,772587,711806,17351,30012,12288,0,0,0,11,3585,2118288,38121440,562505525,3715224121,91713468,13896365,1881124129946,1901281278,299816075,1884965,0,0,0,0,1,13313,751.1454968827462,10000,1294.3846,874,15103,1891,2081,10000
3,run,1000,true,uniform,READ,2,3582583,1260056,1198038,17351,30012,12288,0,0,0,11,3585,2118288,38121440,562505525,3715224121,91713468,13896365,1881124147009,1901281545,299816075,1884965,1,0,0,0,0,4528,22084.805653710246,100000,41.61847,22,22687,59,118,100000
3,reference,1000,true,uniform,READ,1,911674,310834,303910,1119,1,0,0,0,0,11,3585,2118288,38121440,562505525,3715224121,91713468,13896365,1881124147009,1901281545,299816075,1884965,1,0,0,0,0,3242,30845.157310302282,100000,28.62798,19,19599,38,68,100000
3,clean-run,1000,true,uniform,READ,8,1385095,469886,468799,4728,1,0,0,0,0,11,3586,2120932,38121440,562507118,3715225654,91713487,13896371,1881133233428,1901290613,299817014,1885050,1,0,0,0,0,4701,21272.069772388855,100000,43.21044,21,23135,57,113,100000
3,avg-run,1000,true,uniform,READ,10,3540406,1180225,1176201,11951,5,0,0,0,0,11,3586,2120932,38121440,562507118,3715226322,91713487,13896371,1881138832923,1901306448,299817017,1885050,1,0,0,0,0,4132,24201.35527589545,100000,37.40607,28,15583,52,83,100000
4,extend,1000,true,zipfian,EXTEND,2,3943014,1417524,1330314,27866,40012,21632,0,0,0,11,3586,2120932,38121440,562507118,3715227693,91713487,13896371,1881170620117,1901374445,299818988,1885050,0,0,0,0,1,13301,751.8231711901361,10000,1294.8644,856,17951,1905,2139,10000
4,run,1000,true,uniform,READ,2,5689383,2021399,1932930,27866,40012,21632,0,0,0,11,3586,2120932,38121440,562507118,3715227693,91713487,13896371,1881170637093,1901374711,299818988,1885050,1,0,0,0,0,4989,20044.097013429546,100000,46.19246,23,19023,62,120,100000
4,reference,1000,true,uniform,READ,1,1214145,414095,405131,1119,1,0,0,0,0,11,3586,2120932,38121440,562507118,3715227693,91713487,13896371,1881170637093,1901374711,299818988,1885050,1,0,0,0,0,3689,27107.617240444564,100000,33.07169,17,21247,43,66,100000
4,clean-run,1000,true,uniform,READ,8,1722255,587946,586859,5902,1,0,0,0,0,11,3587,2124600,38121440,562509808,3715229368,91713515,13896379,1881180897727,1901386138,299819927,1885176,1,0,0,0,0,4927,20296.326364927947,100000,45.56253,23,18367,62,117,100000
4,avg-run,1000,true,uniform,READ,10,4187161,1399645,1395621,14175,5,0,0,0,0,11,3587,2124600,38121440,562509808,3715230186,91713515,13896379,1881187761859,1901404209,299819930,1885176,1,0,0,0,0,5448,18355.359765051395,100000,50.58648,30,15007,62,95,100000
5,extend,1000,true,zipfian,EXTEND,2,6126713,2209023,2094758,40469,50023,33276,0,0,0,11,3587,2124600,38121440,562509808,3715231192,91713515,13896379,1881224530029,1901491392,299823914,1885176,0,0,0,0,1,13964,716.1271841879118,10000,1359.9573,876,19295,1992,2261,10000
5,run,1000,true,uniform,READ,2,8110398,2900477,2784925,40469,50023,33276,0,0,0,11,3587,2124600,38121440,562509808,3715231192,91713515,13896379,1881224546914,1901491657,299823914,1885176,1,0,0,0,0,5452,18341.89288334556,100000,50.92988,26,23327,64,125,100000
5,reference,1000,true,uniform,READ,1,1516689,518246,506366,1119,1,0,0,0,0,11,3587,2124600,38121440,562509808,3715231192,91713515,13896379,1881224546914,1901491657,299823914,1885176,1,0,0,0,0,3291,30385.90094196293,100000,29.04414,19,17903,40,66,100000
5,clean-run,1000,true,uniform,READ,8,1956996,672167,671080,6754,1,0,0,0,0,11,3588,2129626,38121440,562512426,3715232989,91713549,13896383,1881235932434,1901504796,299824853,1885503,1,0,0,0,0,5284,18925.056775170324,100000,49.17824,25,22847,65,130,100000
5,avg-run,1000,true,uniform,READ,10,4412780,1480981,1476957,15084,5,0,0,0,0,11,3588,2129626,38121440,562512426,3715233937,91713549,13896383,1881243901664,1901522895,299824856,1885503,1,0,0,0,0,4945,20222.446916076846,100000,45.52407,31,13647,60,90,100000
6,extend,1000,true,zipfian,EXTEND,2,8556954,3109102,2968345,54952,60023,47075,0,0,0,11,3588,2129626,38121440,562512426,3715234910,91713549,13896383,1881286859945,1901603501,299827886,1885503,0,0,0,0,1,13808,724.2178447276941,10000,1346.2197,862,23247,1976,2275,10000
6,run,1000,true,uniform,READ,2,10717505,3867583,3725540,54952,60023,47075,0,0,0,11,3588,2129626,38121440,562512426,3715234910,91713549,13896383,1881286884211,1901603883,299827886,1885503,1,0,0,0,0,5228,19127.77352716144,100000,48.66899,26,19247,67,137,100000
6,reference,1000,true,uniform,READ,1,1819160,621507,607587,1119,1,0,0,0,0,11,3588,2129626,38121440,562512426,3715234910,91713549,13896383,1881286884211,1901603883,299827886,1885503,1,0,0,0,0,3426,29188.55808523059,100000,30.65665,19,25391,41,66,100000
6,clean-run,1000,true,uniform,READ,8,2148515,743132,742045,7463,1,0,0,0,0,11,3589,2134853,38121440,562515278,3715236876,91713594,13896390,1881299367371,1901618450,299828825,1885927,1,0,0,0,0,5157,19391.118867558656,100000,47.73892,26,24735,66,137,100000
6,avg-run,1000,true,uniform,READ,10,4899604,1648747,1644723,16836,5,0,0,0,0,11,3589,2134853,38121440,562515278,3715237932,91713594,13896390,1881308569022,1901638347,299828828,1885927,1,0,0,0,0,5408,18491.12426035503,100000,50.3713,33,15015,67,96,100000
7,extend,1000,true,zipfian,EXTEND,2,11225569,4097140,3929523,70936,70034,62418,0,0,0,11,3589,2134853,38121440,562515278,3715238865,91713594,13896390,1881356745088,1901741100,299834712,1885927,0,0,0,0,1,14564,686.6245536940401,10000,1419.753,683,18383,2046,2429,10000
7,run,1000,true,uniform,READ,2,13535608,4917348,4748496,70936,70034,62418,0,0,0,11,3589,2134853,38121440,562515278,3715238865,91713594,13896390,1881356760805,1901741347,299834712,1885927,1,0,0,0,0,5878,17012.58931609391,100000,55.04894,29,23455,74,153,100000
7,reference,1000,true,uniform,READ,1,2121704,725658,708822,1119,1,0,0,0,0,11,3589,2134853,38121440,562515278,3715238865,91713594,13896390,1881356760805,1901741347,299834712,1885927,1,0,0,0,0,3803,26295.030239284773,100000,34.40769,19,20447,43,65,100000
7,clean-run,1000,true,uniform,READ,8,2309525,805881,803917,8374,1,0,0,0,0,11,3590,2141753,38121440,562518336,3715241042,91713642,13896398,1881371051180,1901758592,299835652,1886314,1,0,0,0,0,5696,17556.1797752809,100000,53.29811,26,23151,71,146,100000
7,avg-run,1000,true,uniform,READ,10,5057453,1710616,1706592,17374,5,0,0,0,0,11,3590,2141753,38121440,562518336,3715242218,91713642,13896398,1881380474903,1901777647,299835654,1886314,1,0,0,0,0,5207,19204.916458613407,100000,48.17357,33,16215,67,100,100000
8,extend,1000,true,zipfian,EXTEND,2,14032563,5164981,4971176,88619,80034,79587,0,0,0,11,3590,2141753,38121440,562518336,3715243449,91713642,13896398,1881434424417,1901868075,299839545,1886314,0,0,0,0,1,14524,688.5155604516663,10000,1415.0971,769,17295,2093,2549,10000
8,run,1000,true,uniform,READ,2,16454135,6033107,5838057,88619,80034,79587,0,0,0,11,3590,2141753,38121440,562518336,3715243449,91713642,13896398,1881434451143,1901868495,299839545,1886314,1,0,0,0,0,5675,17621.145374449337,100000,53.03188,29,22319,74,155,100000
8,reference,1000,true,uniform,READ,1,2424175,828919,810043,1119,1,0,0,0,0,11,3590,2141753,38121440,562518336,3715243449,91713642,13896398,1881434451143,1901868495,299839545,1886314,1,0,0,0,0,3160,31645.569620253165,100000,27.92414,19,21967,38,61,100000
8,clean-run,1000,true,uniform,READ,8,2437856,860418,858454,8932,1,0,0,0,0,11,3591,2148408,38121440,562522024,3715245769,91713701,13896403,1881449882110,1901887009,299840485,1886778,1,0,0,0,0,5512,18142.235123367198,100000,51.31389,28,207743,68,139,100000
8,avg-run,1000,true,uniform,READ,10,5186030,1765245,1761221,17932,5,0,0,0,0,11,3591,2148408,38121440,562522024,3715247080,91713701,13896403,1881460305833,1901906064,299840487,1886778,1,0,0,0,0,5400,18518.51851851852,100000,50.0063,35,13367,65,98,100000
9,extend,1000,true,zipfian,EXTEND,2,17018751,6305432,6084829,108261,90045,98695,0,0,0,11,3591,2148408,38121440,562522024,3715247161,91713701,13896403,1881513132125,1902024603,299848400,1886778,0,0,0,0,1,14830,674.3088334457182,10000,1445.6338,868,32063,2147,2637,10000
9,run,1000,true,uniform,READ,2,19550310,7226298,7004474,108261,90045,98695,0,0,0,11,3591,2148408,38121440,562522024,3715247161,91713701,13896403,1881513149741,1902024881,299848400,1886778,1,0,0,0,0,6585,15186.028853454822,100000,61.96072,29,13399,82,168,100000
9,reference,1000,true,uniform,READ,1,2726719,933070,911278,1119,1,0,0,0,0,11,3591,2148408,38121440,562522024,3715247161,91713701,13896403,1881513149741,1902024881,299848400,1886778,1,0,0,0,0,3086,32404.40699935191,100000,26.96593,19,10679,38,64,100000
9,clean-run,1000,true,uniform,READ,8,2529107,909094,908007,9085,1,0,0,0,0,11,3592,2156494,38121440,562524841,3715249500,91713759,13896407,1881528867317,1902042714,299849339,1887348,1,0,0,0,0,5941,16832.1831341525,100000,55.69837,29,15231,73,164,100000
9,avg-run,1000,true,uniform,READ,10,5613839,1923043,1919019,19608,5,0,0,0,0,11,3592,2156494,38121440,562524841,3715251123,91713759,13896407,1881541611911,1902066109,299849342,1887348,1,0,0,0,0,5902,16943.409013893597,100000,55.22832,37,16279,67,108,100000
10,extend,1000,true,zipfian,EXTEND,2,20087202,7509489,7263018,129106,100045,119112,0,0,0,11,3592,2156494,38121440,562524841,3715253966,91713759,13896407,1881608127029,1902166278,299853703,1887348,0,0,0,0,1,15727,635.8491765753164,10000,1535.6795,760,218495,2245,2801,10000
10,run,1000,true,uniform,READ,2,22742784,8478194,8229630,129484,100056,119453,0,0,0,11,3592,2156494,38121954,562524841,3715253993,91713759,13896407,1881612255754,1902197389,299856208,1887348,1,0,0,0,0,6323,15815.277558121144,100000,59.33674,30,13351,77,166,100000
10,reference,1000,true,uniform,READ,1,3029190,1036331,1012499,1119,1,0,0,0,0,11,3592,2156494,38122083,562524841,3715253993,91713759,13896407,1881612255754,1902197389,299856208,1887348,1,0,0,0,0,3189,31357.792411414237,100000,28.01785,19,10799,38,67,100000
10,clean-run,1000,true,uniform,READ,8,2635439,958206,956242,9923,1,0,0,0,0,11,3593,2167408,38122305,562530808,3715256688,91713843,13896416,1881629910486,1902218166,299857148,1887874,1,0,0,0,0,6250,16000.0,100000,58.78005,30,12055,80,177,100000
10,avg-run,1000,true,uniform,READ,10,5688990,1963181,1959157,19923,5,0,0,0,0,11,3593,2167408,38122634,562530808,3715258181,91713843,13896416,1881642483445,1902239224,299857150,1887874,1,0,0,0,0,5778,17307.026652821045,100000,53.7928,37,17695,75,106,100000
11,extend,1000,true,zipfian,EXTEND,2,23309055,8786455,8512434,152675,110056,142211,0,0,0,11,3593,2167408,38122634,562530808,3715258244,91713843,13896416,1881702161460,1902344694,299861897,1887874,0,0,0,0,1,14582,685.7769853243725,10000,1423.1956,803,38303,2233,2823,10000
11,run,1000,true,uniform,READ,2,25987700,9789356,9514152,152675,110056,142211,0,0,0,11,3593,2167408,38122634,562530808,3715258244,91713843,13896416,1881702179191,1902344973,299861897,1887874,1,0,0,0,0,6746,14823.599169878447,100000,63.68844,33,14623,85,179,100000
11,reference,1000,true,uniform,READ,1,3331734,1140482,1113734,1119,1,0,0,0,0,11,3593,2167408,38122634,562530808,3715258244,91713843,13896416,1881702179191,1902344973,299861897,1887874,1,0,0,0,0,2956,33829.49932341001,100000,25.87554,19,12159,38,67,100000
11,clean-run,1000,true,uniform,READ,8,2691741,994615,992654,9984,1,0,0,0,0,11,3594,2175366,38122753,562534072,3715260858,91713911,13896422,1881720025187,1902364619,299862836,1888741,1,0,0,0,0,6391,15647.003598810828,100000,60.11882,31,11583,79,179,100000
11,avg-run,1000,true,uniform,READ,10,5745190,1997983,1993962,19984,5,0,0,0,0,11,3594,2175366,38122753,562534072,3715262598,91713911,13896422,1881733598146,1902385677,299862838,1888741,1,0,0,0,0,6202,16123.831022250886,100000,58.35328,38,13207,72,115,100000
12,extend,1000,true,zipfian,EXTEND,2,26617943,10123367,9823021,177979,120067,167063,0,0,0,11,3594,2175366,38122753,562534072,3715263086,91713911,13896422,1881810431671,1902527969,299871415,1888741,0,0,0,0,1,16098,621.1951795254068,10000,1571.7517,861,20623,2373,2979,10000
12,run,1000,true,uniform,READ,2,29356283,11170275,10868742,177979,120067,167063,0,0,0,11,3594,2175366,38122753,562534072,3715263086,91713911,13896422,1881810449190,1902528244,299871415,1888741,1,0,0,0,0,6795,14716.703458425312,100000,64.20939,34,13335,82,184,100000
12,reference,1000,true,uniform,READ,1,3634278,1244633,1214969,1119,1,0,0,0,0,11,3594,2175366,38122753,562534072,3715263086,91713911,13896422,1881810449190,1902528244,299871415,1888741,1,0,0,0,0,3577,27956.38803466592,100000,31.86328,19,11535,42,69,100000
12,clean-run,1000,true,uniform,READ,8,2765701,1035770,1033806,10826,1,0,0,0,0,11,3595,2186738,38123470,562538049,3715265903,91714012,13896427,1881830299323,1902551107,299872355,1889808,1,0,0,0,0,6236,16035.92046183451,100000,58.54181,31,16191,77,180,100000
12,avg-run,1000,true,uniform,READ,10,5819746,2040841,2036817,20826,5,0,0,0,0,11,3595,2186738,38123470,562538049,3715267643,91714012,13896427,1881844872332,1902572166,299872357,1889808,1,0,0,0,0,6126,16323.865491348351,100000,57.39275,39,13335,71,106,100000
