Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,deadlocks,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
0,load,10000,true,uniform,INSERT,1,38673,2689,1725,10118,18,0,0,0,0,269,13387,15824889,164362063,2269769151,4778208546,341659376,53566301,7110594214759,8327749477,1122540394,43400939,0,0,0,0,1,13909,718.9589474441009,10000,1350.4784,853,8359,1669,1776,10000
1,extend,10000,true,uniform,EXTEND,2,1166659,246336,223665,18643,100040,1603,0,0,0,269,13387,15824889,164362063,2269769151,4778214843,341659376,53566301,7110695110515,8328142792,1122540434,43400939,0,0,0,0,1,122556,815.9535232873136,100000,1219.24873,412,17583,1929,2083,100000
1,run,10000,true,uniform,READ,2551,1997863,490569,404833,30024,150087,6888,0,2,368640,269,13387,15824889,164362579,2269777343,4778220266,341659376,53566301,7110766974760,8328390939,1122543005,43403105,0.5,0.5,0,0,0,63499,1574.8279500464573,49984,124.56368037772087,24,22271,451,555,49984
1,run,10000,true,uniform,UPDATE,2551,1997863,490569,404833,30024,150087,6888,0,2,368640,269,13387,15824889,164362579,2269777343,4778220266,341659376,53566301,7110766974760,8328390939,1122543005,43403105,0.5,0.5,0,0,0,63499,1574.8279500464573,50016,1133.049404190659,404,5595,1579,1716,50016
1,reference,10000,true,uniform,READ,17,577238,131056,103859,11448,49779,230,0,0,0,269,13387,15824889,164362579,2269777343,4778222590,341659376,53566301,7110811882840,8328574046,1122543005,43403105,0.5,0.5,0,0,0,60450,1654.259718775848,50244,96.41774142186132,22,5627,417,530,50244
1,reference,10000,true,uniform,UPDATE,17,577238,131056,103859,11448,49779,230,0,0,0,269,13387,15824889,164362579,2269777343,4778222590,341659376,53566301,7110811882840,8328574046,1122543005,43403105,0.5,0.5,0,0,0,60450,1654.259718775848,49756,1106.218224937696,403,19679,1536,1680,49756
1,clean-run,10000,true,uniform,READ,557,914620,216272,197805,35166,49953,7567,0,4,385024,269,13388,15834376,164363321,2269782701,4778229561,341659481,53566310,7110901763230,8328856332,1122547209,43405442,0.5,0.5,0,0,0,63067,1585.6152980163952,50048,120.89811780690538,23,6243,440,545,50048
1,clean-run,10000,true,uniform,UPDATE,557,914620,216272,197805,35166,49953,7567,0,4,385024,269,13388,15834376,164363321,2269782701,4778229561,341659481,53566310,7110901763230,8328856332,1122547209,43405442,0.5,0.5,0,0,0,63067,1585.6152980163952,49952,1129.9909913516976,388,17375,1572,1720,49952
1,avg-run,10000,true,uniform,READ,590,1985356,491422,436631,75551,99940,17941,0,4,385024,269,13388,15834376,164363322,2269790150,4778234127,341659481,53566310,7110963545698,8329174902,1122547226,43405442,0.5,0.5,0,0,0,63256,1580.8777033008726,50039,120.70702851775616,25,12191,448,553,50039
1,avg-run,10000,true,uniform,UPDATE,590,1985356,491422,436631,75551,99940,17941,0,4,385024,269,13388,15834376,164363322,2269790150,4778234127,341659481,53566310,7110963545698,8329174902,1122547226,43405442,0.5,0.5,0,0,0,63256,1580.8777033008726,49961,1133.2272572606632,360,5071,1567,1706,49961
