Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,deadlocks,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
0,load,10000,true,uniform,INSERT,1,36497,2141,1177,10119,1,0,0,0,0,299,11173,101785943,163872122,1562514571,5948187916,344851682,36336157,5831768565713,6052720951,811870381,20214383,0,0,0,1,0,14005,714.0307033202428,10000,1362.4211,832,8247,1658,1759,10000
1,extend,10000,true,zipfian,EXTEND,4,2305683,1089918,1069975,94205,100023,78784,0,0,0,299,11173,101785943,163872955,1562530129,5948201949,344851682,36336157,5832013282903,6053376593,811870385,20214383,0,0,0,0,1,133570,748.6711087819122,100000,1328.3683,337,26847,2023,2391,100000
1,run,10000,true,uniform,READ,66,2761234,1266019,1233810,94205,100023,78784,0,0,0,299,11173,101785943,163872958,1562530129,5948202018,344851682,36336157,5832013396031,6053378397,811870385,20214383,1,0,0,0,0,4403,22711.78741766977,100000,40.18112,20,12919,53,96,100000
1,reference,10000,true,uniform,READ,41,340571,114217,101497,10119,1,0,0,0,0,299,11173,101785943,163872993,1562530129,5948202067,344851682,36336157,5832013396081,6053378398,811870385,20214383,1,0,0,0,0,3216,31094.52736318408,100000,28.2322,19,12063,42,78,100000
1,clean-run,10000,true,uniform,READ,470,489734,167121,156152,15289,1,0,0,4,385024,299,11174,101801578,163873103,1562530424,5948207351,344851798,36336177,5832040034119,6053395828,811871371,20215882,1,0,0,0,0,3808,26260.504201680673,100000,34.10092,20,16023,50,92,100000
1,avg-run,10000,true,uniform,READ,507,1184754,399151,358137,35289,5,0,0,4,385024,299,11174,101801578,163873103,1562530424,5948210311,344851798,36336177,5832064111702,6053445956,811871373,20215882,1,0,0,0,0,4491,22266.755733689602,100000,40.93653,22,13103,50,77,100000
2,extend,10000,true,zipfian,EXTEND,122387,6916029,4068983,3989960,337464,200056,306890,0,0,0,299,11175,101804600,163930948,1562634771,5948288791,344851798,36336177,5832674149619,6054718949,811917526,20216208,0,0,0,0,1,145261,688.4160235713647,100000,1445.12128,333,68479,2451,3591,100000
2,run,10000,true,uniform,READ,130567,7967171,4395439,4304604,337464,200056,306890,0,0,0,299,11175,101804617,163933106,1562639363,5948295476,344851798,36336177,5832674511527,6054721106,811917577,20216208,1,0,0,0,0,4712,21222.410865874364,100000,43.20495,21,14223,59,111,100000
2,reference,10000,true,uniform,READ,2254,640872,238131,202760,10119,1,0,0,0,0,299,11175,101804623,163934676,1562639567,5948297597,344851798,36336177,5832674511577,6054721107,811917577,20216208,1,0,0,0,0,3412,29308.323563892147,100000,30.24834,20,11015,43,77,100000
2,clean-run,10000,true,uniform,READ,501,1008962,323648,312679,29826,1,0,0,4,385024,299,11176,101811820,163935769,1562639568,5948307950,344882350,36336337,5832713510764,6054769145,811918565,20219442,1,0,0,0,0,5074,19708.31690973591,100000,47.0094,21,205695,59,102,100000
