ycsb_key,size
user5952315279083996292,995000
user3478864142300894949,998700
user2066532919079118456,997400
user5937696772514052801,1007800
user4751541127243546186,994600
user5219194080304626563,998100
user171028630419879082,998600
user5691533215384974621,1009800
user9004614869797398617,990200
user3227796087934707205,1002400
user4187652825177487260,1020300
user6535289954521424507,1000600
user2428236513802386357,1005200
user3710627508077871521,1007300
user623503116398875520,996400
user64860956864224723,994500
user6882935003186889365,1009500
user4635099483842917452,996900
user7692426901869886023,998100
user2745182983009384772,998300
user4887069144015544209,987400
user7239952415890889585,988000
user4293602183515299736,1007400
user3464245635730951458,996500
user643709410794525705,1020000
user4761255136576380113,992800
user1241302592801897411,1015700
user3449285483866709402,993900
user1226902401449795803,999000
user4997704684372624366,1016400
user6757680956259865717,1017800
user995139035672819231,1001300
user4978058350489114629,991500
user5701807185229948996,995500
user1593633823486629950,1006700
user784141924803633292,1012900
user8401433899964320217,1006900
user1593852138704471833,1007500
user8048884354061745795,993500
user7697673044401294152,1000200
user3016457331771222701,997100
user412164360235391016,996000
user9206239616628049194,999100
user8511851125103558491,1010600
user1463133634028198173,1015900
user3353610095373871301,987700
user190674964303388819,995200
user1236616410782629730,1009300
user8049102669279587678,1002800
user1367116600241061507,1011900
user663574059895877325,982200
user1101648354522772155,994400
user8979722393382480751,1000600
user2056040634016302198,1002200
user7104424399118891562,998400
user8411147909297154144,994200
user2282216211967572076,1006300
user2760703095385767276,1003000
user5917490478118402616,997000
user769523418233689801,1003400
user6405349725575133178,1008200
user1473065958578873983,1016700
user3806302896570709622,993000
user2528939729608790704,985800
user990234538435709667,1020400
user6164213995759621244,1016500
user55146947531390796,994700
user8170012179481642210,992800
user8170230494699484093,993800
user3111914405046218919,1000000
user4891195365522671442,998400
user7582009676730647749,1006400
user5566279168457950973,1004400
user6284440215373078646,1007200
user6641457628077078866,989900
user2644261451985138542,996600
user7350587956247969742,1002300
user2523693587077382575,1008700
user5923296581161951193,989700
user2393971673348933129,1009100
user3001497179906980645,998700
user6395635716242299251,988500
user1955337418209897851,1018000
user8270373749993747992,979100
user6173586359798156606,1023000
user1578673671622387894,994400
user8622704980678480531,1005100
user2538312093647326066,1005200
user5691314900167132738,1002700
user9004054909285258169,1003100
user3468931817750219139,998300
user8893979329440318460,1004300
user4876795174170569834,1019900
user5918050438630543064,1008400
user2156962165040548428,1009700
user5827061232156972644,1005500
user7682712892537052096,994500
user6983296573698995147,1014200
user3459217808417385212,1001700
user4630973262335790219,1003500
user5108340224729704523,1016400
user3936243125517000951,993100
user7919162440333296349,999100
user9220858123197992685,1009100
user6867974851322647309,999400
user3328717618958953435,1001500
user296282677346902730,991700
user5821815089625564515,995900
user4399209896558813647,980300
user291938140621933614,982600
user7099738217099623881,1008900
user1116266861092715646,1007000
user1574547450115260661,982900
user3242974555016791144,1015900
user4046878665874081108,992200
user528046043123879302,1006900
user2644821412497278990,1004700
user4741608802692870376,1012900
user1372362742772469636,998700
user5344448127231650211,982400
user8864400671006132913,1010200
user4057152635719055483,989900
user7596409868082749357,990400
user190115003791248371,1009900
user4992458541841216237,990800
user7461223496605049899,1006200
user9221199768492291250,985400
user6062950819441076449,1003500
user3685735031662953655,999700
user1478312101110282112,1010300
user1925758759775712304,1008300
user3820703087922811230,987000
user6511517399130787537,1016000
user7466127993842159463,994400
user7591723686063481676,997800
user8527247907403484313,1020800
user8738586663566968817,990300
user2292708497030388334,983800
user2177168459436198613,993400
user6636771446057811185,1010700
user5696561042698540867,991000
user8512069440321400374,1004300
user1125980870425549573,1006700
user35282298430039176,1003400
user6284221900155236763,995000
user8854468346455457103,984700
user9215611980666584556,994400
user537760052456713229,1006100
user4871890676933460270,1001500
user6762585453496975281,998900
user7576203573687099172,997300
user2870437029936408420,1008200
user9210925798647316875,999300
user7114138408451725489,1020600
user5927764447963376991,1005000
user2996592682669871081,991500
user6068196961972484578,1005500
user2302422506363222261,994000
user8627391162697748212,1002900
user6501025114067971279,1001600
user8150365845598132473,985700
user7345901774228702061,1000800
user2051012806702735952,982900
user8416394051828562273,985900
user890091283141445768,1019000
user1945405093659222041,998300
user5108558539947546406,995700
user3232482269953974886,1011300
user663014099383736877,987200
user7456755629803624101,1009100
user9104976440309504399,1011200
user9110564228135211093,1010600
user768963457721549353,993000
user1352498093671118016,1009700
user1362430418221793826,1013200
user3579785673325141179,998800
user8276179853037296569,983900
user2181854641455466294,991200
user8869086853025400594,1006700
user6756779350453426704,987000
user5470043819452972424,990100
user4972812207957706500,1004900
user8531155813692769663,995900
user894777465160713449,1004600
user6280313993865951413,992400
user3458657847905244764,1016700
user75353241927040981,997800
user7244638597910157266,989000
user2639575269965870861,1012200
user8964543926300396812,998100
user7677466750005643967,1003100
user7717537693502645772,994800
user3695449040995787582,1010700
user5595857826892136520,1003200
user4052684768917629685,995500
user3695667356213629465,1003500
user4298848326046707865,1011300
user1950651236190630170,994600
user6873220993854055438,1020300
user7224773948808805646,989600
user3604678149740059045,988500
user5585925502341460710,992800
user1684623029960200370,1008500
user6285000175885219094,994200
user4992116896546917672,996600
user2770075459424302638,993900
user5007637008923300176,984700
user2413058046720302418,991000
user6188764826880240545,1006000
user2413276361938144301,1010000
user6290028003198785340,1001000
user4408923905891647574,1025100
user3338649943509629245,987100
user4645591768905733710,989900
user4765941318595647794,996700
user5113586367261112652,989300
user3801616714551441941,1018600
user2071219101098386137,1009100
user3816016905903543549,996200
user7224992264026647529,988300
user8989654717933156561,990000
user7923848622352564030,998300
user3348022307548164607,1017800
user1810437037399364466,998400
user5797482573722787097,1021900
user2649507594516546671,1001500
user6622152939487867694,1015900
user5696001082186400419,995500
user880158958590769958,1003500
user1820151046732198393,999600
user5107780264217564075,982000
user4776433603658464052,1001200
user2278089990460444843,1007800
user4192898967708895389,996500
user6887621185206157046,985000
user8753205170136912308,998600
user8733340521035560688,991000
user1815123219418632147,1005800
user7823487051840458248,1005200
user4519559446248727731,989700
user1357744236202526145,999900
user311242829211144786,1009400
user6979170352191867914,1007100
user5475289961984380553,1009800
user6651171637409912793,997600
user2509293395725280967,1011900
user527827727906037419,1004300
user885063455827879522,1016000
user7803280757444808063,1000000
user6043304485557566712,1000800
user7813213081995483873,980600
user2870996990448548868,990400
user653081774833061067,1022300
user4283888174182465809,993000
user1347470266357551770,991600
user5118272549280380333,984300
user6515985265932213335,1013500
user5706493367249216677,998900
user7354714177755096975,1012300
user7210373757456704038,1011600
user980520529102875740,998400
user7692645217087727906,1008900
user5103312397416138277,1014200
user4626287080316522538,1005100
user5213947937773218434,976000
user7229678446045915210,1000200
user4524463943485837295,994300
user874571170765063264,1023800
user5822033404843406398,1003500
user5103094082198296394,1013400
user5324583478130298591,998600
user3358296277393138982,1001100
user5364094461115159948,1004400
user4997144723860483918,1005300
user6289686357904486775,1001400
user6178832502329564735,1012800
user9220639807980150802,1012500
user6033932121519031350,997600
user2423550331783118676,998500
user2648947634004406223,1018200
user3815675260609244984,1011100
user5586143817559302593,969200
user8758232997450478554,995100
user8411707869809294592,978000
user9221418083710133133,981200
user4982744532508382310,1002900
user7340655631697293932,1003200
user3936803086029141399,1016300
user2277530029948304395,999700
user3931338628279891387,1003900
user3107446538244793121,1002800
user8164984352168075964,1010900
user9119376631661606007,997600
user4172692673313245204,999600
user1573987489603120213,1011000
user1010099187537061287,999100
user4409142221109489457,1017900
user1116048545874873763,985700
user874912816059361829,1013800
user2991564855356304835,977700
user8637883447760564470,1014200
user4273955849631789999,983700
user3232700585171816769,1001300
user759249448388715426,987900
user7460881851310751334,1003900
user3599432007208650916,1011400
user8184630686051585701,994300
user7093932114056075304,1009300
user5585583857047162145,1011600
user4645373453687891827,1009600
user6053018494890400639,999400
user8642911275074130716,1008800
user3001278864689138762,1000700
user7094492074568215752,1007700
user185988782284121138,1007500
user2288022315011120653,989000
user2056600594528442646,997300
user4182406682646079131,1001400
user5590611684360728391,1004900
user6419968232145076669,998800
user296064362129060847,1010800
user8517097267634966620,1008800
user5218634119792486115,992800
user5103872357928278725,999600
user1709515506375118236,1008300
user995698996184959679,974400
user7215059939475971719,989500
user2543558236178734195,990900
user2538872054159466514,1014100
user4062398778250463612,979300
user2885957142312790924,1012400
user1342784084338284089,1000700
user3821263048434951678,1003800
user6767053320298401079,1009500
user6520889763169322899,1007100
user764277275702281672,992600
user398105814177587973,999000
user986326632146424317,1007100
user7827613273347585481,1000300
user7817680948796909671,997800
user6762367138279133398,992700
user2172482277416930932,1002200
user4891755326034811890,1002500
user3343336125528896926,1008000
user643367765500227140,1000500
user7345341813716561613,1007300
user286350352796226920,1003700
user1247108695845445988,1024600
user161096305869203272,989800
user2880710999781382795,999400
user2755675268072201030,996400
user8858594567962584336,997100
user8265687567974480311,1018200
user4158634127255442161,1002000
user1105774576029899388,998400
user7446263344740807843,992100
user1835329513814282332,1023500
user865198806726527902,1004000
user1588605996173063704,993200
user1231930228763362049,999900
user5912804296099134935,1005600
user8059376639124562053,1002600
user4882382961996276528,1008200
user3570413309286605817,997400
user3454531626398117531,991100
user6399761937749426484,1004100
user3589717997875816989,999500
user523359861104611621,996700
user1834769553302141884,997400
user5113244721966814087,985600
user7123510772490260851,1011400
user5464797676921564295,990200
user292156455839775497,1009400
user4298288365534567417,1001100
user4736362660161462247,1003700
user176056457733445328,1002200
user4539424095350079351,1017200
user8391501575413644407,1002500
user4294162144027440184,994400
user1699583181824442426,1005500
user3831195372985627488,1010500
user8632418990011314458,992600
user3011771149751955020,1004000
user1799944752336548208,1014500
user2765389277405034957,977600
user1453419624695364246,991500
user8874114680338966840,1006400
user6390389573710891122,1006600
user9114690449642338326,996800
user8536961916736318240,1026000
user6631525303526403056,1014800
user4655305778238567637,1004700
user4775873643146323604,1003200
user406918217703982887,975800
user296842637859043178,999200
user7812994766777641990,1013000
user7948741098767481896,973600
user3117160547577627048,1011500
user5107998579435405958,1019500
user8652283639112666078,993000
user2534185872140198833,997700
user5817128907606296834,1009100
user8747959027605504179,1019600
user633995401461691778,1007800
user5575651532496486335,1019700
user3483550324320162630,1009000
user754563266369447745,1007500
user8637323487248424022,992200
user9115468725372320657,994500
user4520337721978710062,1003000
user4881823001484136080,1008300
user1824837228751466074,992700
user7687959035068460225,1004300
user7003502868094645332,986200
user8859154528474724784,987900
user7938808774216806086,1012200
user6516203581150055218,1013000
user2162208307571956557,988300
user5012323190942567857,1011000
user1941278872152094808,1022200
user3362982459412406663,1006400
user7581791361512805866,999100
user5223320301811753796,1007300
user2861064665897873058,988500
user6048332312871132958,1024300
user8064062821143829734,1017700
user9119936592173746455,994700
user4515091579447301933,991800
user8868868537807558711,1000100
user1000726823498525925,1000700
user5585365541829320262,1007700
user1935472769108546231,990300
user402232035684715206,995600
user7335627804383727686,1009400
user5214507898285358882,989700
user8758451312668320437,993900
user899463647179981130,996500
user6415282050125808988,1023700
user2166676174373382355,992500
user4862176667600626343,988400
user70667059907773300,1012200
user7938248813704665638,998000
user9095604076270969037,993900
user6154499986426787317,993600
user2061286776547710327,994800
user4153387984724034032,990100
user8853908385943316655,988300
user6626839121507135375,993000
user3825389269942078911,1006900
user3011211189239814572,1016000
user2986878673337037154,986000
user8295266226408665858,1020400
user3927430721990606037,995000
user6053236810108242522,1004600
user2865750847917140739,1003300
user3222768260621140959,1005900
user1462791988733899608,996400
user4283669858964623926,1020900
user5358848318583751819,1007500
user8637665132542722587,989800
user8145119703066724344,1000700
user7330941622364460005,1003300
user6284781860667377211,999100
user1353058054183258464,1009700
user8526469631673501982,1014900
user4746854945224278505,1014500
user6174364635528138937,1008900
user9100290258290236718,1010700
user5600544008911404201,1025900
user638681583480959459,999800
user6761807177766992950,1004400
user6058264637421808768,1016600
user2166894489591224238,984400
user3127092872128302858,1000700
user5696779357916382750,998200
user2056818909746284529,998700
user7360520280798645552,1016700
user8502137115770724564,1008200
user412506005529689581,983900
user7229460130828073327,986800
user8280866035056564250,989100
user4052466453699787802,1002400
user1940377266345655795,988200
user7832859415878993610,1014900
user1467819816047465854,1006900
user6299400367237320702,1015600
user508181394022527682,992600
user7707045408439829514,1000900
user8878800862358234521,997700
user5460111494902296614,983500
user2056258949234144081,998600
user6988542716230403276,983300
user3820921403140653113,998200
user2880929314999224678,1007700
user6998256725563237203,1000200
user1921072577756444623,987300
user744630941818771935,1010800
user5474730001472240105,1006700
user5228908089637460490,1006100
user6405568040792975061,1010900
user1568741347071712084,1019100
user1689869172491608499,983300
user1583359853641655575,990700
user7934122592197538405,1027600
user8305758511471482116,996600
user3931556943497733270,996100
user1337537941806875960,1020800
user8290580044389398177,1007100
user8034484162709644187,1006800
user5817347222824138717,994400
user3932116904009873718,996300
user6400321898261566932,990500
user7466469639136458028,993000
user4525023903997977743,998200
user7567391170160704258,1004000
user6385703391691623441,1007700
user4872108992151302153,991400
user2645039727715120873,979800
user8270933710505888440,1001600
user533073870437445548,1004200
user8632637305229156341,989200
user4188212785689627708,992300
user3951203277381243007,982200
user6983856534211135595,1009200
user4163320309274709842,1003600
user1960583560741305980,986800
user884285180097897191,999800
user5001830905879751599,998100
user2171580671610491919,1002100
user9105318085603802964,1008900
user9115250410154478774,991600
user176616418245585776,997500
user7923630307134722147,990600
user2876243132979956997,995100
user2533625911628058385,1008100
user6506271256599379408,1000000
user6274507890822402836,992500
user6862728708791239180,1001300
user2629861260633036934,1006800
user8155052027617400154,984800
user1689309211979468051,990800
user7682152932024911648,1003400
user3937144731323439964,990800
user8174698361500909891,1004700
user6521231408463621464,1004900
user4042752444366953875,995600
user6163872350465322679,1009100
user1718887870413653598,1002800
user7456195669291483653,992700
user1588947641467362269,1016400
user5329829620661706720,988500
user1468598091777448185,987400
user3474177960281627268,1000200
user4760913491282081548,1018000
user2297736324343954580,995900
user8054690457105294372,1026800
user3575099491305873498,999700
user8994122584734582359,994100
user2041640442664200590,1012600
user2422990371270978228,992400
user4278642031651057680,1004200
user7817899264014751554,1007000
user4630413301823649771,989500
user1246548735333305540,1005600
user3005965046708406443,994500
user7562145027629296129,1009800
user417410502766799145,1009100
user6867756536104805426,1004700
user6656417779941320922,992800
user2982192491317769473,1002200
user3705941326058603840,998800
user6872442718124073107,1002600
user6772299462829809208,1004600
user3589499682657975106,1000800
user2060726816035569879,1014800
user7235266233871621904,998500
user7913916297801888220,1019600
user7933562631685397957,993900
user6168900177778888925,1005600
user6395075755730158803,1001500
user4288356040983891607,1004100
user7355274138267237423,990900
user7118824590470993170,1007400
user1583919814153796023,1002300
user2754896992342218699,1003200
user2398657855368200810,1004900
user1468379776559606302,993800
user879817313296471393,1002800
user2755115307560060582,1009100
user1714201688394385917,1001300
user2639233624671572296,1005400
user6048550628088974841,1007600
user3343117810311055043,1001700
user4414170048423055703,985600
user5696219397404242302,981400
user1482998283129549793,1011000
user2292490181812546451,988700
user764837236214422120,993800
user2287803999793278770,999300
user3117720508089767496,1008000
user4419416190954463832,987100
user2046326624683468271,1000900
user5465015992139406178,997000
user3453971665885977083,992200
user4404797684384520341,1009600
user5479976144003648234,1001100
user8165325997462374529,1010400
user4037506301835545746,1013500
user5233812586874570054,1003600
user7450949526760075524,993600
user9110004267623070645,1011400
user4173034318607543769,1001000
user7455977354073641770,1004400
user8527029592185642430,997000
user5807414898273462907,1013200
user1111580679073447965,1002600
user402791996196855654,1007300
user4876576858952727951,1000300
user185428821771980690,971100
