ycsb_key,size
user518113718573203492,106600
user5927764447963376991,103700
user6385703391691623441,96900
user7702359226420561833,98700
user663574059895877325,96500
user1353058054183258464,102200
user427124512099633072,102800
user2046326624683468271,98200
user764837236214422120,98200
user3233260545683957217,101800
user4736362660161462247,103200
user4645591768905733710,105100
user7938808774216806086,96800
user7456755629803624101,99600
user291378180109793166,100800
user2649507594516546671,102100
user8145119703066724344,108600
user638681583480959459,100700
user4775873643146323604,98900
user5229126404855302373,99100
user5580337714515754016,102600
user6873220993854055438,100300
user2529499690120931152,96500
user5364094461115159948,106400
user6987982755718262828,99900
user7003502868094645332,100300
user8285893862370130496,101400
user5937696772514052801,102500
user6174364635528138937,99600
user4273955849631789999,101300
user7682152932024911648,98800
user3941830913342707645,104000
user2278089990460444843,99600
user3338649943509629245,97400
user623503116398875520,100600
user773649639740817034,103000
user6631525303526403056,106200
user1468598091777448185,101100
user1367116600241061507,101100
user528046043123879302,98700
user7345341813716561613,100000
user1347251951139709887,104200
user517553758061063044,107300
user75353241927040981,97000
user7923848622352564030,101500
user8270933710505888440,106100
user4625727119804382090,107500
user9105318085603802964,99100
user6651731597922053241,100900
user2307108688382489942,100400
user1010099187537061287,97700
user1704487679061551990,99300
user6048550628088974841,102100
user4404797684384520341,101000
user286350352796226920,98700
user643709410794525705,100300
user1453419624695364246,100000
user4057370950936897366,105200
user7461441811822891782,106200
user5692093175897115069,102300
user5575651532496486335,105600
user6858042526771971499,104400
user3348923913354603620,101000
user7562145027629296129,104400
user3348022307548164607,104800
user4062398778250463612,101000
user3801616714551441941,96900
user5479976144003648234,100100
user8758451312668320437,97000
user5475289961984380553,106300
user6521231408463621464,98700
user412506005529689581,105400
user2287803999793278770,99500
user884845140610037639,96200
user4997363039078325801,96900
user7928534804371831711,101500
user3001278864689138762,94900
user2996592682669871081,100500
user6506271256599379408,96200
user8064062821143829734,99100
user2186540823474733975,98300
user6410035907594400859,98500
user5223320301811753796,97200
user8044198172042478114,100200
user8522343410166374749,108200
user8858594567962584336,97700
user8868868537807558711,101800
user6973924209660459785,106900
user1347470266357551770,101400
user8174698361500909891,103700
user4881823001484136080,97200
user1231930228763362049,100200
user1598320005505897631,97400
user1473065958578873983,97400
user5600544008911404201,96900
user6058264637421808768,104200
user5917490478118402616,97700
user1458105806714631927,104700
user2166676174373382355,97500
user4303534508065975546,95200
user8738586663566968817,100000
user1921072577756444623,98800
user6149253843895379188,101600
user7817899264014751554,101800
user412164360235391016,101200
user4992116896546917672,96100
user4172692673313245204,109500
user6038618303538299031,105300
user5696001082186400419,99000
user166342448400611401,96500
user3825389269942078911,105200
user874912816059361829,103700
user4046878665874081108,106000
user5585583857047162145,93800
user8642911275074130716,98200
