ycsb_key,size
user1982688051891219392,99600
user7135682939089498453,100700
user1623442614434355166,96000
user5113026406748972204,103600
user9158339471430024702,105000
user6401441819285847828,99800
user6113638949904105395,96500
user6771739502317668760,99300
user6153940025914646869,96100
user4520337721978710062,101300
user3936024810299159068,98800
user1402171533720194852,98400
user2381239546237555079,101600
user4151489787969770805,101200
user523359861104611621,102400
user7776490084275626970,97100
user3218082078601873278,102500
user1552442958965347249,100600
user4041414208124831096,102400
user16184107762972101,97700
user8302192250476495331,96400
user8163646115925953185,100400
user5811882765074888705,97100
user3715313690097139202,98400
user3220310103354737284,96100
user3145289456988930920,100700
user59054853820676146,99500
user8125243236669674938,107400
user5234154232168868619,105800
user7710623486730514085,97000
user6949579876461984581,96600
user2328105075803820244,106500
user3622656419382845224,95200
user8483598885615797937,105100
user755123226881588193,95100
user7752487396371450331,96000
user5351374151299479684,103300
user2414177967744583314,98600
user4667696260055647122,98300
user2022323936779291632,105200
user6647045415902785560,99200
user5085894088285492546,101200
user1200671688792755158,100100
user4027014016772729488,99100
user7567391170160704258,95900
user4464185133766431104,100400
user253753576583497250,90400
user1067153381555779258,104600
user7261496946528662549,96900
user1856314083939914848,102500
user211111391212578673,98500
user5918050438630543064,100100
user1296676905284194038,98100
user5585583857047162145,94300
user7926636607617568484,98500
user3117378862795468931,97800
user5938256733026193249,99800
user467538672717687643,101600
user4026454056260589040,95500
user7862108246314578378,98800
user5622648500061317613,98800
user6528375747749292820,103100
user3690981174194361784,101100
user5749022468012622157,100000
user6997136804538956307,102200
user8390941614901503959,105100
user8659209663180495551,98600
user9072161348878932846,99400
user5129884755367477487,96600
user5574313296254363556,98300
user6634873249303547958,105000
user8703190084793536907,102600
user3105548341490529894,104100
user8871874838290405048,99100
user4366613120346083977,98300
user5447379367790918564,100300
user1004853045005653158,100500
user6283661939643096315,101200
user7861329970584596047,89900
user5187157264604037341,100000
user6879587057409744463,101500
user8565432471441920677,99900
user3963935404492621057,103500
user5732724079906257322,103900
user8142319900506022104,100900
user4152828024211893584,101300
user3654133274571293998,104500
user6761247217254852502,98300
user3725805975159955460,102000
user4074010984337560766,95400
user7246536794664420493,103500
user3973867729043296867,100900
user72005296149896079,97700
user2517545838739535433,103700
user5998877188039898005,102500
user2155623928798425649,95300
user648955553325933834,105000
user5687406993877847388,99700
user6257089581691757105,101500
user1529218546791152941,106700
user5312411311531060989,97100
user6399761937749426484,102500
user8341486490070269006,96100
user4619921016760833513,103800
user8462614315490165421,101700
user199499185125481519,97700
user744070981306631487,99100
user2402224116363187595,102500
user8657529781644074207,100300
user7752032666469638669,107000
user8205067112960775555,94000
user7566052933918581479,99900
user8134067457491767638,98100
user3547748857624551957,104000
user1775382103920231121,103300
user3584813500638707425,101800
user7508998739899863508,101500
user4169686372830398867,100500
user179622718728432113,102500
user8352320420427383829,105300
user3929098786231329595,102100
user264245861646313508,95400
user1368454836483184286,92800
user1452859664183223798,100500
user6795182229709704951,99000
user7449829605735794628,101400
user2138983895397762249,98400
user506501512486106338,105300
user4226055704433765507,98300
user4892315286546952338,101000
user7520610945986960662,99300
user2550702575464405551,96200
user6395635716242299251,107800
user1298015141526316817,105300
user7219186160983098952,98200
user3281937394785209839,103200
user1584479774665936471,98800
user3584471855344408860,97300
user3632028783421380586,100700
user8709556148349225932,94500
user3930778667767750939,93700
user4752101087755686634,98900
user7361858517040768331,100200
user8631859029499174010,103800
user890091283141445768,103600
user7781176266294894651,101900
user1730500076500750752,105800
user3018697173819784493,102900
user4381013311698185585,102700
user8438498542978475685,98100
user9209587562405194096,104200
user8113517945975064687,100100
user3145071141771089037,101300
user7637270904605431279,101400
user2513979577744548648,103000
user6711119047303964004,99100
user7899285973936246943,101200
user8610314498861401046,103800
user5985472015808866410,97200
user4883721198238399307,99700
user2929606164100477300,99000
user8542768019779866817,99100
user2187879059716856754,104200
user8427446297403518979,98700
user8276179853037296569,95000
user3987491216492170345,101700
user3551875079131679190,99100
user440074954428853005,98500
user6887621185206157046,99500
user540218209723116904,103600
user1462013713003917277,96700
user3700913498745037594,101900
user6939429236693466888,101000
user8458488093983038188,104200
user3185485302389143608,99400
user6276735915575266842,97400
user4882382961996276528,98400
user874011210252922816,96300
