ycsb_key,size
user2156962165040548428,144500
user4177720500626811450,144800
user3348022307548164607,144700
user6752434813728457588,144400
user3102200395713384992,144700
user8049444314573886243,143200
user6284440215373078646,144200
user7913916297801888220,145200
user1005413005517793606,144700
user3589717997875816989,145000
user1468598091777448185,144400
user8150365845598132473,144900
user1005631320735635489,144400
user8054690457105294372,144900
user6737474661864215532,144700
user8618018798659212850,144500
user880158958590769958,144600
user7577105179493538185,144900
user2292490181812546451,144500
user3584471855344408860,144400
user3242974555016791144,144800
user6515985265932213335,144700
user1689869172491608499,144200
user5344789772525948776,144700
user190115003791248371,144700
user3222768260621140959,143300
user874571170765063264,144900
user1121294688406281892,144800
user2649725909734388554,144200
user879598998078629510,144300
user8647597457093398397,143300
user6862728708791239180,144700
user7919162440333296349,144000
user3719999872116406883,144500
user7928876449666130276,144200
user9114690449642338326,144300
user5696219397404242302,144400
user4525365549292276308,144800
user9215611980666584556,144100
user4886509183503403761,144000
user180742639752713009,144400
user1704269363843710107,143200
user1096402211991364026,144500
user879817313296471393,144600
user3700135223015055263,144300
user5233594271656728171,144400
user7466469639136458028,144700
user7827613273347585481,144800
user2876243132979956997,144900
user2272843847929036714,144600
user6038618303538299031,144800
user402013720466873323,145300
user3001497179906980645,145100
user5229126404855302373,144500
user2408371864701034737,144800
user2870437029936408420,144200
user8874114680338966840,144100
user2654753737047954800,145500
user3001278864689138762,144600
user7224992264026647529,144700
user6767053320298401079,145000
user4168348136588276088,144400
user7572077352179971939,141500
user1352156448376819451,144300
user5811541119780590140,144600
user3700353538232897146,146000
user4283669858964623926,144000
user1935472769108546231,144900
user5358848318583751819,144700
user6973924209660459785,146400
user1684623029960200370,144900
user9115468725372320657,145100
user4413610087910915255,144900
user3816016905903543549,144500
user3599432007208650916,144900
user5580337714515754016,144600
user3594185864677242787,144500
user4403896078578081328,144500
user407478178216123335,144400
user6757680956259865717,145100
user6656417779941320922,145100
user4736362660161462247,144600
user5329269660149566272,144100
user4997704684372624366,144700
user1940377266345655795,143200
user1247108695845445988,143900
user7817899264014751554,144500
user2046326624683468271,144900
user4997144723860483918,144500
user6521231408463621464,144500
user6988542716230403276,144300
user4298288365534567417,145200
user2538872054159466514,145100
user7828173233859725929,144700
user8295266226408665858,144800
user4303534508065975546,144300
user4645373453687891827,144400
user3233260545683957217,144700
user2528939729608790704,144400
user1116266861092715646,144400
user175714812439146763,145200
user5233812586874570054,144900
user4756568954557112432,144300
user6149253843895379188,144700
user74793281414900533,144600
user4283888174182465809,144800
user6154499986426787317,144500
user2765389277405034957,144800
user7123510772490260851,143200
user1332851759787608279,144900
user5108558539947546406,143400
user4866862849619894024,145500
user70667059907773300,144900
user5701807185229948996,145300
user2162208307571956557,143200
user7697331399106995587,144400
user5802728716254195226,144600
user4278642031651057680,144300
user8521783449654234301,143000
user7692426901869886023,144700
user398105814177587973,144400
user648395592813793386,144800
user8632978950523454906,144400
user2529499690120931152,144900
user3478864142300894949,145300
user427124512099633072,145200
user3353610095373871301,144600
user6164213995759621244,144600
user1578673671622387894,144600
user2041640442664200590,144700
user5806854937761322459,144900
user161096305869203272,141700
user8984750220696046997,145100
user1487684465148817474,141900
user5575651532496486335,144700
user2895329506351326286,143300
user1574547450115260661,143400
user8411707869809294592,142900
user281664170776959239,144300
user3237168451973242567,144600
user4520337721978710062,143000
user8873773035044668275,144500
user6299400367237320702,144400
user6873220993854055438,144400
user3599991967720791364,145200
user1231588583469063484,144200
user7812994766777641990,144400
user406918217703982887,144400
user1699801497042284309,144800
user6390949534223031570,144500
user7244638597910157266,144400
user3565167166755197688,143200
user5107998579435405958,144500
user6290028003198785340,144300
user8522343410166374749,127400
user6520889763169322899,144700
user3931338628279891387,144700
user528046043123879302,144800
user3474177960281627268,144300
user6878248821167621684,146500
user6651171637409912793,143400
user4539424095350079351,144200
user749317123838039616,144900
user2186540823474733975,130100
user6742720804395623661,144500
