ycsb_key,size
user6983296573698995147,60600
user4283669858964623926,65500
user2870437029936408420,61000
user5580679359810052581,71800
user8989654717933156561,67900
user5470043819452972424,82000
user1357744236202526145,83300
user8290580044389398177,86500
user7455977354073641770,63700
user8733340521035560688,69200
user6284221900155236763,63000
user2870996990448548868,62100
user7089245932036807623,64500
user4037506301835545746,98000
user8536961916736318240,60400
user397545853665447525,58000
user1352156448376819451,63000
user4862176667600626343,63000
user4052684768917629685,58500
user35282298430039176,58600
user7928876449666130276,67900
user6887621185206157046,83400
user4298288365534567417,69600
user7340313986402995367,59200
user7582009676730647749,64000
user7938808774216806086,61600
user4987430714527649991,130400
user6622152939487867694,69200
user1367116600241061507,114200
user3825949230454219359,62800
user4182406682646079131,61000
user528046043123879302,60900
user2780007783974978448,66000
user6285000175885219094,60500
user5219194080304626563,61200
user2765389277405034957,67500
user5575651532496486335,79800
user6979170352191867914,58600
user5002390866391892047,85200
user7938248813704665638,62900
user768963457721549353,62100
user4630973262335790219,71000
user7093932114056075304,146300
user8527247907403484313,64100
user7803280757444808063,72100
user5807414898273462907,80100
user9105318085603802964,82600
user3233260545683957217,64100
user880158958590769958,85200
user190115003791248371,57200
user6294714185218053021,65300
user2866310808429281187,86400
user3222768260621140959,70200
user6520889763169322899,92300
user2770075459424302638,75000
user6535289954521424507,96600
user4736362660161462247,324900
user6390949534223031570,63800
user8179944504032318020,62600
user3916938436927789779,406500
user8864400671006132913,61800
user4886509183503403761,61700
user3454531626398117531,91400
user3458657847905244764,63000
user2865750847917140739,67500
user1468379776559606302,81400
user1472505998066733535,116900
user9110004267623070645,61600
user5701465539935650431,92800
user884845140610037639,77900
user1578673671622387894,64100
user1935691084326388114,73500
user3362982459412406663,73200
user3710627508077871521,82700
user170810315202037199,61900
user2629861260633036934,60300
user6178832502329564735,86400
user3368228601943814792,83200
user4404237723872379893,60600
user4992458541841216237,64600
user7586477543532073547,67100
user8632978950523454906,68800
user5324583478130298591,124700
user1247108695845445988,84500
user8276179853037296569,75100
user175714812439146763,82400
user2538312093647326066,63600
user3927430721990606037,61400
user1834769553302141884,63600
user2644261451985138542,62300
user2277530029948304395,85100
user1925758759775712304,63900
user296624322641201295,87500
user7567391170160704258,81000
user3011771149751955020,90500
user8416394051828562273,88000
user1353058054183258464,60500
user5923296581161951193,75200
user8869086853025400594,65600
user4057152635719055483,63600
user1101648354522772155,71000
user3705381365546463392,100300
user8964543926300396812,62800
user6867756536104805426,64700
user1473284273796715866,61700
user6053018494890400639,66400
user5103312397416138277,69100
user2162208307571956557,144300
user8748518988117644627,61500
user296842637859043178,64900
user1693995393998735732,112300
user3700353538232897146,115200
user1950651236190630170,78100
user3815675260609244984,66400
user6058264637421808768,59000
user6501025114067971279,66400
user5797482573722787097,65800
user7692645217087727906,98000
user5122958731299648014,82200
user8280866035056564250,86000
user5686287072853566492,60500
user4409142221109489457,67700
user2982192491317769473,82800
user527827727906037419,62700
user5344448127231650211,60400
user4403896078578081328,59000
user2176826814141900048,66600
user1332851759787608279,97800
user3705941326058603840,84300
user3700135223015055263,100200
user8391501575413644407,89100
user3710067547565731073,76200
user1689869172491608499,75600
user744630941818771935,63000
user301870465172609424,60300
user8270933710505888440,64200
user7832859415878993610,63300
user2880710999781382795,86100
user3117160547577627048,70800
user9090357933739560908,78200
user3483550324320162630,64100
user8999928687778130936,78100
user1211723934367711864,96600
user991012814165691998,95400
user5696561042698540867,61700
user513427536553935811,63200
user2634547442652304615,63500
user1593633823486629950,63000
user4770627500614915475,65300
user2745182983009384772,117400
user3820703087922811230,76200
user5474730001472240105,64500
user4525365549292276308,58600
user3584471855344408860,80900
user291938140621933614,60600
user5001830905879751599,67600
user3478864142300894949,74000
user3112132720264060802,60000
user8164424391655935516,77000
user2061505091765552210,65500
user8989436402715314678,58500
user1101088394010631707,89300
user9221199768492291250,75100
user6188764826880240545,62300
user7244638597910157266,61700
user663574059895877325,63000
user2538872054159466514,72000
user3926870761478465589,67400
user1468598091777448185,135400
user6651731597922053241,67800
user1945965054171362489,62700
user5233812586874570054,60600
user6762585453496975281,87900
user4876576858952727951,60700
user8044976447772460445,63200
user3932116904009873718,76500
user5364094461115159948,79300
user4413610087910915255,64200
user3011211189239814572,101500
user3714753729584998754,82100
user5479976144003648234,92900
user7109110581138159243,86300
user2644479767202980425,153000
user5570965350477218654,89700
user6279535718135969082,71500
user3237946727703224898,133500
user4409483866403788022,82100
user5464797676921564295,68200
user990234538435709667,81700
user4756227309262813867,63900
user8184630686051585701,67600
user407478178216123335,67600
user1361870457709653378,79800
user2061286776547710327,84600
user2408030219406736172,92500
user7239952415890889585,65000
user6274507890822402836,65800
user8762919179469746235,62300
user643709410794525705,63900
user8159738209636667835,66100
user8758232997450478554,99300
user9095604076270969037,64300
user3831195372985627488,64900
user7923848622352564030,73000
user6983856534211135595,76100
user8029797980690376506,60500
user8285552217075831931,80600
user6390389573710891122,86600
user6993570543543969522,65800
user6395075755730158803,63800
user5590611684360728391,86700
user8516755622340668055,89300
user1482998283129549793,61000
user8396187757432912088,98700
user7562145027629296129,90500
user8752645209624771860,67500
user1015345330068469416,105200
user6988542716230403276,61800
user2278089990460444843,84100
user4775873643146323604,86300
user4152828024211893584,66400
user3810989078589977303,80800
user4520337721978710062,94300
user5364654421627300396,57800
user7581791361512805866,64900
user4515651539959442381,88200
user1945405093659222041,84900
user7234706273359481456,88100
user4177720500626811450,670700
user2302422506363222261,150900
user2890643324332058605,87300
user7094492074568215752,65200
user8415834091316421825,68500
user1825055543969307957,88100
user3005965046708406443,97200
user7345901774228702061,64300
user2066532919079118456,79400
user2534185872140198833,66000
user1588605996173063704,76700
user3237728412485383015,77100
user9221418083710133133,74500
user8266247528486620759,80900
user8054690457105294372,66000
user1116266861092715646,60600
user6646485455390645112,62800
user291378180109793166,69600
user7707045408439829514,64400
user2644821412497278990,98800
user3715313690097139202,60500
user7798594575425540382,92400
user1106334536542039836,86800
user4414170048423055703,66200
user4645373453687891827,60800
user990452853653551550,63500
user1251794877864713669,62100
user6737474661864215532,75000
user2282776172479712524,60200
user6752093168434159023,62000
user2991564855356304835,86500
user2041640442664200590,56600
user6515985265932213335,75600
user8044198172042478114,145200
user4042752444366953875,65300
user3122406690109035177,67500
user55488592825689361,66500
user7687959035068460225,78700
user6636553130839969302,100900
user7471155821155725709,64000
user1458105806714631927,87300
user5566279168457950973,64100
user6767053320298401079,83300
user5358848318583751819,69500
user8049102669279587678,130900
user4978058350489114629,65800
user7354714177755096975,82400
user5952315279083996292,69800
user2060726816035569879,112700
user759031133170873543,63100
user4046878665874081108,65500
user8405901766765746015,68200
user9110564228135211093,73200
user5103094082198296394,82900
user8531715774204910111,58800
user5127644913318915695,67700
user3584813500638707425,167600
user1921072577756444623,86100
user1347470266357551770,83300
user195921106834796948,89600
user5218634119792486115,92400
user7571517391667831491,65600
user5339761945212382530,65300
user3127092872128302858,66700
user3328717618958953435,64900
user4520119406760868179,79100
user1241302592801897411,59800
user9220639807980150802,95700
user6747406986414891342,65700
user643367765500227140,63900
user5696001082186400419,59800
user4650619596219299956,77300
user7325695479833051876,68700
user3464463950948793341,62800
user5580337714515754016,75200
user8994122584734582359,60700
user291596495327635049,65000
user1820151046732198393,91700
user296282677346902730,68200
user2186540823474733975,102200
user6867974851322647309,84500
user3826167545672061242,783100
user6872661033341914990,85100
user9125182734705154584,82600
user1699801497042284309,100700
user7109452226432457808,69300
user8642911275074130716,65000
user874571170765063264,66700
user5012323190942567857,80700
user1583919814153796023,94400
user8979722393382480751,67400
user508181394022527682,79800
user1352498093671118016,67200
user8743272845586236498,77100
user9115468725372320657,66300
user8401433899964320217,62500
user6284440215373078646,66400
user2051012806702735952,84900
user5802168755742054778,63100
user880377273808611841,149900
user9004054909285258169,80200
user4158634127255442161,77600
user8637665132542722587,66800
user8526469631673501982,73700
user171028630419879082,76900
user8652283639112666078,143200
