ycsb_key,size
user72005296149896079,108900
user480270799829065693,109300
user800440312909998127,109500
user1765108134075256746,108500
user7434651138653710689,108200
user7823487051840458248,107800
user356790047753094389,108400
user7221426003031660744,108700
user3447947247624586623,109100
user3777272381352966737,109600
user594472601181132635,108600
user7860210049560315151,108100
user348090728834212572,108800
user8051342511328149470,109000
user2957848158119294269,108400
user4667477944837805239,108300
user6682773394501572450,108200
user4654745817726427189,109500
user2343956588005557728,108500
user968908323015778586,108800
user6234985090541843693,107700
user5912804296099134935,108200
user6258769463228178449,108600
user54586987019250348,108800
user5849943999036868387,108500
user8093653296873713067,108100
user8857256331720461557,109000
user1836667750056405111,108900
user4947689599029248965,109400
user1640414047660373546,107900
user643149450282385257,108800
user7236386154895902800,108300
user7983796032246615241,109400
user7824825288082581027,97400
user2024782094045695307,108900
user2981632530805629025,108000
user4877355134682710282,108600
user5322343636081736799,107900
user1121294688406281892,108300
user4969794090179162377,109400
user1363208693951776157,108800
user792406185113585544,108700
user6405909686087273626,109100
user7384304653484980308,109100
user2451679241194422548,108900
user2109062019842523936,109300
user8704091690599975920,108000
user7351147916760110190,108600
user7099738217099623881,109800
user282224131289099687,108800
user1126540830937690021,109500
user5773138240524311893,108700
user6868534811834787757,108900
user4508165555379472460,107900
user60174774844957042,107700
user3200663769471227547,109000
user1963041718007709655,109500
user2321739012248131219,108600
user368515338447704640,109200
user5116592667743958989,108400
user7651671095957532887,109000
user2355568794092654882,108500
user2131166510992437348,109000
user7962811462120982725,109600
user8566210747171903008,108600
user9198193671535938825,108000
user906389671247810603,108800
user7441017202209399714,108800
user7098058335563202537,109100
user3201783690495508443,107900
user8538641798272739584,108800
user7160358672113328637,109100
user4590672186325248745,109600
user6185758526397394208,108700
user7834757612633256837,108600
user3650120137671679862,108800
user53808711289268017,108200
user8917203741614512768,108900
user8791389734175348672,108600
user649173868543775717,108900
user5756166807298293513,108300
user1676358769650248118,109200
user411386084505408685,108900
user5802168755742054778,107800
user2506275277946736844,108800
user2643141530960857646,109800
user8562757570784429320,108600
user3359976158929560326,109300
user9061669063816116588,108100
user6544114175343517207,110000
user1952549432944893397,108700
user7466127993842159463,109800
user6213887435808698080,109100
user8336800308051001325,109900
user6562640588202746048,109100
user7058204135457288414,108500
user2298296284856095028,109000
user6379337328135934416,109400
user8279746114032283354,108300
user7324575558808770980,109300
user2050452846190595504,108900
