ycsb_key,size
user1473284273796715866,67600
user8762919179469746235,62500
user5339761945212382530,64200
user2991564855356304835,83800
user4046878665874081108,65000
user7239392455378749137,101500
user8521783449654234301,77700
user311242829211144786,85600
user528046043123879302,61600
user8285893862370130496,62900
user5455083667588730368,62000
user402013720466873323,75300
user4645373453687891827,62900
user7817899264014751554,259800
user1689869172491608499,75400
user8633197265741296789,62800
user1704487679061551990,65500
user4741048842180729928,64400
user5358848318583751819,65300
user2056818909746284529,146900
user6872661033341914990,89800
user2181854641455466294,72100
user7919162440333296349,87700
user2177168459436198613,65100
user3232482269953974886,62400
user2876243132979956997,60900
user885063455827879522,62000
user7239952415890889585,62700
user3117160547577627048,76400
user4037506301835545746,91000
user5701807185229948996,76500
user6993570543543969522,61600
user1573987489603120213,3877200
user4746854945224278505,63700
user517553758061063044,98800
user8632637305229156341,66400
user5580337714515754016,83000
user8984750220696046997,57800
user8401433899964320217,58900
user8632418990011314458,99700
user4765941318595647794,108100
user8511851125103558491,240600
user8270933710505888440,59600
user4775873643146323604,87100
user6169460138291029373,63900
user6772299462829809208,94700
user6058824597933949216,68400
user7471155821155725709,65900
user2071219101098386137,66200
user9095604076270969037,62400
user7707045408439829514,61100
user5706493367249216677,135800
user2307108688382489942,95400
user2890643324332058605,92000
user6516203581150055218,83300
user7596409868082749357,72600
user392299711134039396,63800
user4057152635719055483,63800
user5947069136552588163,67500
user6395635716242299251,67400
user3815675260609244984,60400
user7939027089434647969,65600
user6511517399130787537,87900
user1578673671622387894,56500
user3715313690097139202,61300
user3599991967720791364,82400
user2765047632110736392,61500
user5012323190942567857,81000
user5942382954533320482,490400
user5580679359810052581,75500
user1950651236190630170,71300
user2282776172479712524,67800
user181302600264853457,147200
user980520529102875740,56500
user8164984352168075964,124500
user5923296581161951193,77800
user1352156448376819451,59500
user6043304485557566712,61800
user663574059895877325,64100
user4760913491282081548,63900
user8874114680338966840,240100
user8415834091316421825,64700
user6188764826880240545,61700
user3232700585171816769,84800
user5585365541829320262,76800
user7803280757444808063,73900
user1357744236202526145,83200
user7340313986402995367,66800
user4539424095350079351,62100
user1834769553302141884,60700
user3453971665885977083,65400
user2533625911628058385,84500
user6631525303526403056,58000
user402232035684715206,173300
user6289686357904486775,85900
user3233260545683957217,68900
user638681583480959459,61300
user6752093168434159023,61100
user3353268450079572736,66300
user3454531626398117531,91800
user398105814177587973,87200
user8858594567962584336,61900
user9110004267623070645,66200
user2534185872140198833,62000
user1805750855380096785,132100
user6867756536104805426,63600
user7446263344740807843,69800
user3714753729584998754,79500
user3710627508077871521,72300
user1588605996173063704,73000
user7938248813704665638,62900
user3464463950948793341,59200
