ycsb_key,size
user3117720508089767496,144700
user6515985265932213335,143200
user6280313993865951413,144600
user2649725909734388554,144900
user3011211189239814572,144600
user1236834726000471613,144800
user2634547442652304615,144300
user8999368727265990488,145200
user9004614869797398617,144800
user4630973262335790219,144700
user2774761641443570319,144800
user5001830905879751599,144600
user2865750847917140739,142500
user5108558539947546406,144500
user7099738217099623881,144800
user4525365549292276308,144800
user3956449419912651136,144700
user1689309211979468051,144500
user4519559446248727731,144900
user4409483866403788022,144900
user4530051731311543989,145400
user3348022307548164607,144600
user8747959027605504179,144700
user8522343410166374749,144500
user3464245635730951458,144800
user5344448127231650211,144600
user5329829620661706720,145000
user7123510772490260851,144800
user8762919179469746235,144800
user8064062821143829734,144700
user2172482277416930932,144500
user2890643324332058605,144800
user6998256725563237203,145000
user8270933710505888440,144500
user281664170776959239,144600
user1362430418221793826,144700
user6168900177778888925,144800
user8864400671006132913,144900
user4997363039078325801,144400
user8979722393382480751,144300
user3237946727703224898,144400
user4062398778250463612,144300
user3233042230466115334,144500
user6290028003198785340,143000
user70667059907773300,143100
user7576763534199239620,142700
user185428821771980690,145400
user3458657847905244764,145500
user3584813500638707425,144900
user880158958590769958,144400
user6415282050125808988,144800
user6872442718124073107,143300
user7355274138267237423,144700
user2644479767202980425,130300
user406918217703982887,130300
user4046878665874081108,144500
user2523693587077382575,144800
user2861064665897873058,144800
user5364094461115159948,144300
user6762367138279133398,144400
user8502137115770724564,144400
user8874114680338966840,144700
user1935472769108546231,144300
user6154499986426787317,144500
user7460663536092909451,144400
user3599991967720791364,145100
user6520889763169322899,144800
user9206239616628049194,144000
user4520337721978710062,144600
user6395075755730158803,144000
user8748518988117644627,142600
user5460329810120138497,144600
user1835329513814282332,144700
user3700353538232897146,144800
user2639575269965870861,144900
user6501025114067971279,144700
user5113244721966814087,145400
user5470603779965112872,144800
user6651731597922053241,142900
user1940377266345655795,144600
user3102200395713384992,144300
user2282216211967572076,145000
user2398657855368200810,144700
user8768165322001154364,143300
user3469150132968061022,144500
user2302422506363222261,143400
user161096305869203272,145000
user1824837228751466074,143200
user6631525303526403056,144800
user3921624618947057460,144800
user2509293395725280967,145600
user663014099383736877,144900
user4751541127243546186,144500
user3333403800978221116,144900
user6395635716242299251,144900
user291596495327635049,145100
user7942934995723933319,145200
user3815675260609244984,144800
user1241302592801897411,144400
user6410035907594400859,144300
user5923296581161951193,146800
user1834769553302141884,130100
user4192898967708895389,144500
user292156455839775497,144600
user3126532911616162410,144300
user427124512099633072,144900
user8155611988129540602,144600
user3237728412485383015,145000
user8276179853037296569,145500
user980520529102875740,142900
user6174364635528138937,144100
user6385703391691623441,145200
user6169460138291029373,144700
user5917490478118402616,144500
user1940718911639954360,144700
user1231588583469063484,144600
user4756568954557112432,143300
user5324583478130298591,144800
user4866862849619894024,145100
user523359861104611621,144800
user4746854945224278505,144700
user6762585453496975281,144700
user1709515506375118236,144800
user7239392455378749137,144500
user2191786966006142104,144000
user8048884354061745795,143000
user4067084960269731293,144800
user1000726823498525925,143500
user8526469631673501982,145500
user879817313296471393,144800
user7556898885097888000,144900
user2061505091765552210,145200
user6058824597933949216,145200
user4187652825177487260,145300
user8753546815431210873,145100
user6173586359798156606,144200
user8632637305229156341,143900
user190674964303388819,142300
user517553758061063044,144500
user9210925798647316875,144500
user6400321898261566932,142400
user296282677346902730,144300
user5364654421627300396,144200
user2870437029936408420,144700
user70107099395632852,144600
user4625727119804382090,144400
user7576203573687099172,144800
user5233812586874570054,144800
user6174146320310297054,144200
user7340313986402995367,144400
user4052466453699787802,144800
user1000385178204227360,144300
user6622152939487867694,144800
user2866310808429281187,144800
user8999928687778130936,144300
user7350587956247969742,144500
user4645373453687891827,145200
user8170230494699484093,144500
user6757680956259865717,144900
user8165325997462374529,144700
user4047438626386221556,144500
user5812101080292730588,144600
user1935691084326388114,144500
user638681583480959459,144900
user7354714177755096975,144600
user8989436402715314678,144300
user3121846729596894729,144300
user3237168451973242567,143100
user2413276361938144301,144900
user3579785673325141179,144400
user4871890676933460270,145600
user3604678149740059045,144600
user6878248821167621684,144600
user1704487679061551990,144600
user8305758511471482116,144600
user749317123838039616,144700
user5692093175897115069,145200
user5827061232156972644,144500
user1805750855380096785,143000
user2162208307571956557,144300
user6043304485557566712,146000
user291378180109793166,144500
user1468038131265307737,145500
user5696219397404242302,144500
user8145119703066724344,143300
user6882935003186889365,143200
user8873773035044668275,144800
user2765047632110736392,144300
user5701465539935650431,144700
user7572077352179971939,142900
user5228908089637460490,144900
user7335627804383727686,145000
user4037506301835545746,143300
user995139035672819231,146500
user8049444314573886243,132100
user8743832806098376946,144600
user7586477543532073547,144100
user6390389573710891122,144500
user5354162136564484138,144400
user5691533215384974621,144300
user1332851759787608279,143200
user3449285483866709402,144800
user9095604076270969037,143400
user8179944504032318020,144500
user7717537693502645772,144800
user1699583181824442426,145100
user412164360235391016,144800
user4288574356201733490,144500
user663574059895877325,144800
user5098066254884730148,145200
user3821481363652793561,144800
user4978058350489114629,144700
user6506271256599379408,143300
user4509845436915893804,144600
user5952315279083996292,144800
user3368228601943814792,144800
user9090357933739560908,144600
user4505159254896626123,145200
user4776433603658464052,144500
user4163320309274709842,144700
user9125182734705154584,145400
user1588947641467362269,144800
user8034484162709644187,144600
user2041640442664200590,143200
user3599432007208650916,143400
user6761807177766992950,144700
user1694555354510876180,145200
user778895782272225163,144700
user1573987489603120213,143300
user623503116398875520,145100
user7456195669291483653,144700
user8160298170148808283,145200
user6178832502329564735,144900
user2167454450103364686,144900
user2166894489591224238,144400
user7350027995735829294,145200
user8618018798659212850,144500
user7711731590459097195,145500
user7210373757456704038,144800
user8044976447772460445,144700
user6858042526771971499,144400
user3001278864689138762,144600
user3338649943509629245,144700
user6772299462829809208,143800
user1352156448376819451,143100
user8989654717933156561,145100
user6058264637421808768,144500
user1010099187537061287,145700
user6636553130839969302,144600
user7943494956236073767,144600
user7215059939475971719,144800
user3343336125528896926,145000
user170810315202037199,144800
user4862176667600626343,144800
user176056457733445328,144300
user7340655631697293932,144200
user7089245932036807623,144700
user4760913491282081548,144500
user5802168755742054778,143100
user190115003791248371,145200
user5470043819452972424,145100
user8285893862370130496,146200
user3926870761478465589,144500
user4635099483842917452,144600
user5464797676921564295,145000
user995698996184959679,145000
user6505711296087238960,145600
user6626839121507135375,144500
user4052684768917629685,143100
user2986878673337037154,144100
user7466469639136458028,144600
user8184630686051585701,145000
user4972812207957706500,143400
user2639233624671572296,145200
user7093932114056075304,144400
user6068196961972484578,144900
user3328717618958953435,144500
user6877907175873323119,144500
user2171580671610491919,146200
user6647045415902785560,143400
user5590611684360728391,143500
user7827613273347585481,144800
user8858594567962584336,145300
user1121294688406281892,145100
user4987430714527649991,145200
user7702359226420561833,145000
user7582009676730647749,144900
user2166676174373382355,144600
user1468598091777448185,144800
user175714812439146763,144700
user1945965054171362489,143000
user4635659444355057900,144500
user7807966939464075744,144900
user55146947531390796,144600
user1941278872152094808,143100
user6419968232145076669,144500
user1116048545874873763,144600
user2403344037387468491,144600
user5947069136552588163,144400
user2876024817762115114,146100
user7325695479833051876,145100
user4409142221109489457,144300
user2528939729608790704,144500
user5927982763181218874,144600
user1950651236190630170,144600
user7224992264026647529,144400
user2982192491317769473,144700
user7581791361512805866,144700
user3710067547565731073,144900
user4298288365534567417,144900
user397545853665447525,144600
user9215611980666584556,143200
user5214507898285358882,144200
user3820703087922811230,144500
user769523418233689801,145000
user5358848318583751819,145000
user1689869172491608499,144500
user6511517399130787537,143900
user518113718573203492,144700
user2307108688382489942,144400
user2629861260633036934,144800
user8521783449654234301,144600
user6048332312871132958,144900
user879598998078629510,144400
user5831747414176240325,144800
user894777465160713449,144800
user5600544008911404201,144600
user417410502766799145,146900
user3242974555016791144,144800
user7466127993842159463,144800
user407478178216123335,145000
user2543558236178734195,143300
user5806854937761322459,143300
user9221418083710133133,144400
user3474177960281627268,144500
user3937144731323439964,142800
user1718887870413653598,144500
user4409702181621629905,144800
user3594185864677242787,144800
user2056600594528442646,144800
user4038066262347686194,144400
user7697331399106995587,144400
user1231930228763362049,144900
user4404237723872379893,144700
user2056818909746284529,143200
user4876576858952727951,144400
user3705381365546463392,144200
user3825389269942078911,144900
user1342784084338284089,144500
user6400663543555865497,144800
user8531155813692769663,145100
user2754896992342218699,144700
user6279535718135969082,142900
user60393090062798925,144900
user2880710999781382795,145100
user990452853653551550,144800
user8753205170136912308,143300
user4188212785689627708,144800
user4876795174170569834,143300
user2277530029948304395,144700
user296842637859043178,145300
user60174774844957042,144800
user2996251037375572516,144500
user3227454442640408640,144900
user4404797684384520341,144900
user75353241927040981,144700
user3227796087934707205,144600
user7682712892537052096,144900
user880377273808611841,144600
user2413058046720302418,144500
user6405349725575133178,144000
user4057370950936897366,144700
user181302600264853457,144300
user3710627508077871521,144600
user4288356040983891607,144900
user7934122592197538405,144700
user7939027089434647969,144600
user2292708497030388334,144600
user2186540823474733975,145600
user5585925502341460710,144800
user2996592682669871081,144800
user7109452226432457808,144900
user392299711134039396,144900
user5103872357928278725,144800
user7577105179493538185,142800
user6641457628077078866,144600
user6149253843895379188,144800
user4153387984724034032,144200
user3931338628279891387,144200
user4655305778238567637,144300
user5118272549280380333,145000
user990234538435709667,144500
user5686287072853566492,144800
user1105774576029899388,145700
user5002390866391892047,146500
user6973924209660459785,144400
user5479976144003648234,144700
user8416394051828562273,145100
user5344789772525948776,145000
user5103312397416138277,143300
user7229678446045915210,143100
user3348923913354603620,145100
user2529499690120931152,143300
user1487684465148817474,144700
user9115250410154478774,144900
user1945405093659222041,145000
user3927430721990606037,144500
user1950091275678489722,144700
user4057152635719055483,144400
user2648947634004406223,130700
user6053018494890400639,144300
user6742720804395623661,144400
user9119936592173746455,143300
user5465015992139406178,144500
user1347470266357551770,144800
user3117160547577627048,145100
user8266247528486620759,144700
user532732225143146983,144200
user527827727906037419,144900
user8527247907403484313,145000
user8994122584734582359,144800
user5233594271656728171,144500
user8642911275074130716,144600
user4515091579447301933,145100
user6872661033341914990,130200
user3343896086041037374,145300
user6867756536104805426,144500
user6752434813728457588,144900
user2528598084314492139,144500
user2056040634016302198,145100
user412506005529689581,144800
user2538872054159466514,144800
user8627391162697748212,146000
user166342448400611401,144400
user5585583857047162145,144800
user8039170344728911868,144900
user7008189050113913013,145100
user4042192483854813427,144900
user5219194080304626563,144700
user5012323190942567857,144600
user8752645209624771860,144600
user4993018502353356685,144800
user5932668945200486555,144000
user4887069144015544209,144600
user513427536553935811,144400
user5213947937773218434,130200
user5706493367249216677,143500
user7244638597910157266,143500
user1810437037399364466,144900
user3932116904009873718,144800
user5821815089625564515,144700
user8150365845598132473,144600
user171028630419879082,144700
user9115468725372320657,145100
user1101088394010631707,143500
user5586143817559302593,145000
user4525023903997977743,144700
user8622704980678480531,143100
user2046326624683468271,143100
user3695449040995787582,144900
user3714753729584998754,144800
user8531715774204910111,144500
user7828173233859725929,144600
user306556647191877105,144800
user3016457331771222701,144500
user8512069440321400374,144600
user3005965046708406443,144600
user301870465172609424,144800
user1468379776559606302,144600
user2770075459424302638,144800
user5696779357916382750,144800
user7938808774216806086,146000
user7094492074568215752,144800
user2645039727715120873,143700
user8511851125103558491,144900
user5103094082198296394,144800
user6285000175885219094,144700
user874912816059361829,144700
user2644261451985138542,144400
user874571170765063264,144400
user6868534811834787757,144900
user8964543926300396812,144600
user7591723686063481676,144500
user5122958731299648014,144400
user6033932121519031350,145300
user7803280757444808063,144800
user1840015695833550013,144800
user5218634119792486115,145000
user5797482573722787097,144900
user2051354451997034517,144400
user2181854641455466294,144900
user8290580044389398177,144800
user7692426901869886023,145300
user7219746121495239400,144400
user7104424399118891562,144700
user8632418990011314458,144500
user35282298430039176,144000
user3584471855344408860,143100
user3001497179906980645,144900
user1453419624695364246,145200
user8637323487248424022,144800
user5817347222824138717,144800
user8411147909297154144,144900
user8984750220696046997,144700
user7475842003174993390,144800
user4515651539959442381,144500
user3112132720264060802,145200
user1714201688394385917,145600
user7677466750005643967,144600
user8859154528474724784,143000
user7461441811822891782,143200
user6993788858761811405,144700
user5580337714515754016,145400
user1246548735333305540,144700
user8869086853025400594,143000
user64860956864224723,145100
user5802728716254195226,144300
user1579233632134528342,144400
user3719999872116406883,144400
user7239952415890889585,145100
user1226902401449795803,144800
user4626287080316522538,144700
user3931556943497733270,145100
user8164424391655935516,144600
user3459217808417385212,144500
user5711179549268484358,144600
user5229126404855302373,143000
user7109110581138159243,144300
user3936243125517000951,144700
user55488592825689361,145200
user5696001082186400419,143000
user6274507890822402836,144400
user1588605996173063704,145200
user8637665132542722587,144900
user8391501575413644407,144800
user8652283639112666078,144600
user899463647179981130,144400
user8159738209636667835,144500
user7812994766777641990,144300
user6164213995759621244,144800
user9221199768492291250,144800
user5937696772514052801,143400
user4997704684372624366,143300
user6983296573698995147,144800
user6988542716230403276,144900
user6163872350465322679,144200
user1578673671622387894,144700
user4408923905891647574,144500
user7571517391667831491,144500
user5223320301811753796,144300
user2991564855356304835,144700
user3222768260621140959,144400
user8049102669279587678,144700
user2060726816035569879,144300
user1472505998066733535,143100
user9119376631661606007,143100
user2885957142312790924,144700
user8401215584746478334,145200
user3478864142300894949,145000
user5701807185229948996,144700
user6636771446057811185,144900
user8854468346455457103,144700
user5113586367261112652,143100
user7697673044401294152,144400
user1347251951139709887,144700
user7948741098767481896,145400
user4042752444366953875,144800
user764837236214422120,144800
user4399209896558813647,144100
user2056258949234144081,143200
user4872108992151302153,146300
user1125980870425549573,144800
user3931898588792031835,144200
user7456755629803624101,144700
user8059376639124562053,144400
user2287803999793278770,143300
user7003502868094645332,144900
user1247108695845445988,144600
user6873220993854055438,144800
user3362982459412406663,144400
user2895329506351326286,143600
user7567391170160704258,144500
user5455083667588730368,144500
user3464463950948793341,144600
user6873002678636213555,144500
user5585365541829320262,144300
user8280866035056564250,142700
user5561033025926542844,145100
user4770627500614915475,144600
user2780007783974978448,145600
user6516203581150055218,145100
user7707045408439829514,144400
user1799944752336548208,144400
user4645591768905733710,144600
user9100290258290236718,144900
user7938248813704665638,143400
user2172140632122632367,145000
user658887877876609644,145400
user2740496800990117091,144500
user8265687567974480311,144400
user5238840414188136300,143600
user648395592813793386,143000
user4172692673313245204,144900
user754563266369447745,144800
user311242829211144786,144500
user3483550324320162630,144800
user4997922999590466249,144400
user8174698361500909891,144100
user6299400367237320702,144600
user2654753737047954800,143400
user5575651532496486335,145000
user1931004902307120433,145100
user5927764447963376991,143300
user2880929314999224678,144000
user3097514213694117311,144700
user4173034318607543769,144700
user6987982755718262828,145000
user884285180097897191,144400
user7450949526760075524,143900
user7913916297801888220,144700
user4891755326034811890,142700
user7234706273359481456,145700
user7682152932024911648,145200
user1005413005517793606,144500
user5007637008923300176,144700
user6862728708791239180,145200
user1482998283129549793,144500
user8029797980690376506,144300
user8632978950523454906,145100
user5933010590494785120,145100
user4775873643146323604,144200
user3705941326058603840,144600
user1578455356404546011,144200
user991012814165691998,145300
user2061286776547710327,144200
user5811541119780590140,144000
user7687959035068460225,144600
user5918050438630543064,143300
user2644821412497278990,145100
user2759801489579328263,144400
user5339761945212382530,142900
user7455977354073641770,144300
user8868868537807558711,144600
user5942382954533320482,144800
user7224773948808805646,145000
user4982744532508382310,144400
user6979170352191867914,144500
user4765941318595647794,144500
user2297736324343954580,143500
user417192187548957262,144200
user8738586663566968817,144000
user2393971673348933129,144900
user1222216219430528122,144700
user1921072577756444623,145200
user8049662629791728126,144500
user8405901766765746015,144500
user6184078644860972864,144800
user4394523714539545966,144800
user3589717997875816989,144800
user5223880262323894244,144800
user6284221900155236763,145000
user5581239320322193029,144900
user1101648354522772155,144800
user402232035684715206,144900
user763935630407983107,143400
user3575099491305873498,144900
user1236616410782629730,145400
user3936803086029141399,145100
user291938140621933614,144500
user1211723934367711864,143900
user276977988757691558,144200
user533073870437445548,141900
user1478312101110282112,144300
user6159186168446054998,143300
user74793281414900533,143300
user1820151046732198393,143800
user6284781860667377211,144700
user4283669858964623926,143900
user4413610087910915255,144600
user7566831209648563810,144500
user5580679359810052581,144700
user3348582268060305055,145000
user3820921403140653113,143400
user2523911902295224458,144600
user3107446538244793121,144600
user2051012806702735952,144900
user1005631320735635489,144600
user4736362660161462247,145000
user643367765500227140,144800
user2870996990448548868,144800
user6053236810108242522,145200
user4519777761466569614,144400
user1116266861092715646,143300
user8396187757432912088,144800
user4168348136588276088,144800
user4640687271668624146,143100
user658327917364469196,144600
user3826167545672061242,144700
user1357184275690385697,144800
user180742639752713009,143200
user5243526596207403981,143200
