Key,Run1
"user1000385178204227360", 6500
"user1005413005517793606", 6500
"user1226902401449795803", 6800
"user1231930228763362049", 6500
"user1468038131265307737", 6700
"user1473065958578873983", 5900
"user1588605996173063704", 6300
"user1699583181824442426", 5600
"user171028630419879082", 5700
"user176056457733445328", 6300
"user1815123219418632147", 6700
"user1820151046732198393", 6500
"user2056258949234144081", 6600
"user2061286776547710327", 6200
"user2176826814141900048", 6700
"user2287803999793278770", 6700
"user2403344037387468491", 6700
"user2408371864701034737", 6600
"user2644479767202980425", 6300
"user2649507594516546671", 6300
"user2765047632110736392", 7000
"user2876024817762115114", 6600
"user2991564855356304835", 6100
"user2996592682669871081", 6600
"user3232700585171816769", 6400
"user3237728412485383015", 6300
"user3353268450079572736", 6500
"user3459217808417385212", 6200
"user3464245635730951458", 6000
"user3584813500638707425", 6500
"user3700353538232897146", 5900
"user3705381365546463392", 6100
"user3820921403140653113", 6200
"user3931898588792031835", 6100
"user4047438626386221556", 6400
"user4052466453699787802", 6900
"user412164360235391016", 6600
"user417192187548957262", 6100
"user4173034318607543769", 6300
"user4288574356201733490", 6300
"user4293602183515299736", 6100
"user4409142221109489457", 6200
"user4520119406760868179", 6500
"user4635659444355057900", 6200
"user4640687271668624146", 6300
"user4876795174170569834", 6100
"user4881823001484136080", 6400
"user4997363039078325801", 6500
"user5108340224729704523", 6200
"user5223880262323894244", 6600
"user5228908089637460490", 6500
"user532732225143146983", 6800
"user5465015992139406178", 6700
"user5470043819452972424", 6500
"user55488592825689361", 6500
"user5585583857047162145", 6000
"user5691533215384974621", 6400
"user5696561042698540867", 6100
"user5817128907606296834", 6400
"user5932668945200486555", 6100
"user6053236810108242522", 6400
"user6164213995759621244", 6500
"user6279754033353810965", 6300
"user6284781860667377211", 6200
"user6405349725575133178", 6100
"user643709410794525705", 6400
"user6520889763169322899", 6500
"user6525917590482889145", 6100
"user6641457628077078866", 6300
"user6752434813728457588", 6300
"user6867974851322647309", 6400
"user6873002678636213555", 6400
"user7109110581138159243", 6400
"user7114138408451725489", 6000
"user7229678446045915210", 6700
"user7340655631697293932", 6500
"user7456195669291483653", 6200
"user7461223496605049899", 7000
"user7576763534199239620", 6400
"user759249448388715426", 6400
"user764277275702281672", 6400
"user7697331399106995587", 6300
"user7702359226420561833", 6700
"user7817899264014751554", 6500
"user7923848622352564030", 6500
"user7928876449666130276", 6300
"user8049444314573886243", 6700
"user8164984352168075964", 6600
"user8285552217075831931", 6600
"user8290580044389398177", 6500
"user8396529402727210653", 6600
"user8512069440321400374", 6700
"user8517097267634966620", 6000
"user8637665132542722587", 6700
"user8753205170136912308", 6400
"user8758232997450478554", 6400
"user8873773035044668275", 6400
"user8984750220696046997", 6000
"user9100290258290236718", 6200
"user9105318085603802964", 6400
