Key,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,Run40,Run41,Run42,Run43,Run44,Run45,Run46,Run47,Run48,Run49,Run50,Run51,Run52,Run53,Run54,Run55,Run56,Run57,Run58,Run59,Run60,Run61,Run62,Run63,Run64,Run65,Run66,Run67,Run68,Run69,Run70,Run71,Run72,Run73,Run74,Run75,Run76,Run77,Run78,Run79,Run80,Run81,Run82,Run83,Run84,Run85,Run86,Run87,Run88,Run89,Run90,Run91,Run92,Run93,Run94,Run95,Run96,Run97,Run98,Run99,Run100
"user1000385178204227360", 1600, 3300, 4600, 5200, 6000, 7200, 7700, 8800, 9500, 10600, 12000, 12700, 13700, 14400, 15500, 16400, 17000, 17200, 17800, 18300, 19500, 20400, 21100, 22300, 23700, 24800, 25900, 27300, 28200, 29300, 30300, 30800, 31700, 32800, 34100, 34800, 36200, 37000, 38100, 39400, 40200, 41300, 41900, 42900, 43700, 45000, 46000, 47100, 48100, 48700, 49500, 50400, 50800, 51900, 53000, 53700, 55200, 56000, 57000, 57700, 58400, 59400, 60500, 60800, 61700, 62900, 63900, 65000, 65700, 66700, 67200, 69100, 70100, 71100, 71700, 72800, 73600, 74200, 75100, 76100, 77500, 78100, 78800, 79600, 80400, 81400, 82700, 83400, 84200, 85100, 86100, 87000, 88200, 89000, 89500, 90300, 91100, 91700, 92600, 93600
"user1005413005517793606", 1500, 2100, 3300, 4200, 4800, 5800, 6800, 7500, 8400, 9300, 10800, 12100, 13300, 14700, 15700, 16300, 17400, 18000, 18900, 20200, 21200, 22200, 23400, 24400, 25700, 26900, 27900, 28900, 29900, 31200, 32400, 32900, 34200, 35900, 36700, 37500, 38300, 39100, 39700, 40600, 41900, 42600, 43400, 44100, 45300, 46300, 46800, 47800, 48900, 50100, 51300, 51900, 52600, 53000, 54000, 54600, 55900, 57100, 57800, 58800, 59800, 60500, 61200, 61700, 62400, 62700, 63600, 64900, 65600, 66600, 67800, 68600, 69400, 70300, 71200, 71800, 72600, 73500, 74600, 75200, 76300, 78100, 78800, 79300, 80600, 81600, 82500, 83300, 84300, 85200, 85700, 86500, 88000, 88800, 89900, 90600, 91700, 92900, 94000, 94900
"user1010099187537061287", 2100, 3300, 4500, 5000, 5600, 6200, 6900, 7700, 9000, 10400, 10900, 11600, 12400, 13100, 13600, 14100, 14700, 15500, 16200, 17500, 18300, 18900, 19800, 20300, 21200, 21900, 23300, 24200, 25000, 26400, 26900, 27500, 28300, 29100, 29800, 31100, 31600, 32000, 32700, 33300, 33900, 35000, 35300, 35800, 36700, 36900, 37600, 38400, 39100, 39600, 40200, 40700, 41500, 42100, 42700, 43300, 43900, 44700, 45200, 46500, 47300, 48100, 48700, 49600, 50800, 51800, 53100, 53500, 54100, 54700, 55000, 55700, 56700, 57300, 57800, 58400, 58900, 59600, 60600, 61200, 61700, 62400, 63400, 64400, 65000, 65500, 65800, 66900, 68800, 69800, 70500, 71400, 71900, 72700, 73400, 74000, 74600, 75400, 76300, 76900
"user1096402211991364026", 1900, 2500, 3200, 3900, 4400, 5100, 5500, 6200, 6800, 7600, 8100, 8600, 9600, 10400, 11200, 11800, 12600, 13300, 14000, 14900, 16200, 17500, 18000, 18500, 19500, 20100, 20500, 21600, 22400, 22800, 23800, 24600, 25800, 26400, 27100, 27900, 28400, 28900, 29800, 30500, 31100, 31600, 32600, 33500, 34900, 35500, 36800, 37300, 37800, 39000, 39700, 40600, 41500, 42500, 43100, 44300, 44900, 45900, 46900, 47200, 48100, 49200, 49800, 50500, 51700, 52400, 53400, 54100, 54800, 55300, 56200, 57400, 58100, 58600, 58800, 59900, 60900, 61500, 62400, 63200, 64000, 65100, 65700, 66300, 67200, 67900, 68500, 69200, 70000, 70500, 71800, 72300, 73300, 74200, 75000, 75600, 76700, 76900, 77500, 78200
"user1101648354522772155", 1900, 2800, 3800, 4300, 5200, 5900, 6600, 7500, 8500, 9700, 10000, 11200, 12200, 13200, 14000, 14800, 15800, 16400, 17400, 17800, 18300, 19100, 20300, 21400, 22200, 22900, 23700, 25000, 26100, 27100, 27700, 29200, 30400, 31300, 32300, 33100, 34000, 34500, 35300, 36800, 37500, 38100, 38800, 39600, 40400, 41400, 42200, 43200, 44200, 44900, 45900, 46600, 47900, 49100, 49900, 50800, 51500, 52200, 53300, 54200, 54800, 56600, 57600, 58100, 59500, 60600, 60900, 61900, 63000, 63900, 64800, 65500, 66700, 66900, 67800, 68800, 69500, 70700, 71600, 72100, 73000, 73800, 74700, 76200, 77300, 78300, 79200, 79500, 80400, 81300, 82000, 82800, 83400, 84500, 85500, 86400, 87300, 88500, 88900, 90200
"user1106334536542039836", 1400, 1800, 2800, 4100, 4600, 5600, 6300, 7400, 7700, 8700, 9600, 10300, 11300, 12300, 13100, 14400, 15700, 16100, 17400, 18400, 19700, 20500, 21400, 22400, 23800, 24600, 25500, 26500, 27400, 29000, 29700, 30700, 31700, 32700, 34100, 34800, 35600, 36500, 37200, 38100, 39100, 40100, 41100, 41700, 43100, 44100, 44600, 45200, 46000, 46600, 47800, 48800, 49700, 50300, 51100, 51500, 52300, 53100, 54200, 54800, 56300, 57400, 58200, 59500, 60700, 61300, 62300, 63500, 64300, 65700, 66600, 67300, 68300, 69000, 69700, 70100, 70600, 71500, 72500, 73000, 74400, 75600, 76400, 77400, 78500, 79500, 80700, 81700, 82400, 83500, 84200, 84800, 86100, 86800, 87600, 88500, 89900, 90500, 91200, 92000
"user1116048545874873763", 1300, 2300, 3300, 4100, 5400, 6000, 6600, 7900, 8200, 8900, 9800, 10600, 10700, 11100, 12300, 13000, 14000, 14600, 15500, 16400, 17100, 18500, 19400, 20200, 21700, 22500, 23000, 24300, 25000, 26000, 27100, 28300, 29000, 29600, 31500, 32300, 33100, 33700, 35200, 36000, 36700, 37900, 38800, 39900, 40200, 41200, 42000, 42500, 43600, 44600, 45700, 46500, 48000, 49100, 49900, 50800, 51300, 52700, 53800, 55100, 55800, 56700, 57500, 58600, 59500, 60600, 61700, 62600, 63000, 63600, 64600, 65300, 65900, 66500, 67700, 69100, 70400, 72300, 73300, 73900, 74800, 75700, 76300, 77600, 78500, 79300, 80600, 82000, 82900, 83700, 84900, 85500, 86300, 87400, 88100, 89500, 90200, 90700, 92000, 93100
"user1121294688406281892", 2000, 2900, 3700, 4300, 5200, 5800, 6500, 7100, 7900, 8900, 9600, 10200, 12200, 12600, 13500, 14200, 14800, 16100, 17000, 18000, 18600, 19500, 20200, 21000, 22300, 23700, 24300, 25800, 26400, 27200, 28400, 29000, 29900, 30300, 30900, 32000, 32700, 33300, 34100, 34600, 35200, 36200, 37200, 37900, 39000, 39600, 40200, 40900, 41600, 42100, 42500, 43400, 44200, 44700, 45700, 46500, 47200, 48200, 48900, 49300, 49800, 51000, 51500, 52100, 52800, 53800, 54400, 55200, 56500, 57500, 57800, 58700, 59300, 59900, 60400, 61000, 62100, 63000, 63100, 63600, 64900, 65200, 65900, 66600, 67300, 68000, 68600, 69500, 70000, 70700, 71200, 71900, 72400, 73000, 74100, 74600, 75000, 75800, 76400, 76800
"user1125980870425549573", 3800, 6300, 8200, 10600, 13700, 16100, 18200, 20800, 23000, 25500, 28200, 31300, 34200, 36300, 40700, 42600, 44900, 47300, 49900, 52900, 55400, 57500, 59800, 61800, 63600, 66600, 68900, 71000, 73800, 77300, 80000, 83700, 86200, 89300, 91600, 93200, 95200, 98600, 101100, 103300, 105400, 107100, 109900, 112300, 115900, 119000, 122000, 124100, 126400, 128700, 131000, 133700, 136900, 139400, 141900, 144300, 146800, 148900, 152100, 154300, 156600, 159100, 161700, 164700, 166700, 169800, 172200, 175500, 177900, 180800, 183800, 186700, 188600, 190800, 193700, 195600, 197900, 200300, 202900, 204900, 207000, 208500, 211500, 214300, 215900, 219000, 221600, 223700, 226700, 228800, 230700, 233300, 235200, 237100, 240000, 243000, 245300, 248400, 251300, 253300
"user1226902401449795803", 2400, 3300, 4000, 4500, 5300, 6200, 7200, 8500, 9100, 10400, 10700, 11800, 12400, 13000, 13900, 15100, 16100, 17000, 18100, 19100, 20400, 21800, 23000, 24100, 25100, 25800, 27100, 28300, 29600, 30100, 30900, 31900, 32500, 33700, 34900, 36500, 37500, 38700, 39800, 41000, 41700, 42200, 42500, 43200, 44100, 44700, 45800, 46600, 47100, 48500, 49400, 49900, 51100, 51900, 53200, 54000, 55200, 55900, 56700, 57600, 58300, 59700, 60500, 61400, 61800, 63000, 64100, 64800, 65900, 66900, 67900, 68800, 69500, 70300, 71400, 73200, 74100, 74900, 76200, 77300, 78300, 78900, 79700, 81100, 82000, 83200, 84300, 85100, 85900, 86300, 86600, 87200, 88000, 88800, 89600, 90200, 91600, 92500, 93100, 94100
