Key,Run1
"user1000385178204227360", 100000
"user1005413005517793606", 101700
"user1010099187537061287", 100600
"user1096402211991364026", 99000
"user1101648354522772155", 103200
"user1106334536542039836", 97600
"user1116048545874873763", 100900
"user1121294688406281892", 102500
"user1125980870425549573", 98100
"user1226902401449795803", 102400
"user1231588583469063484", 98700
"user1231930228763362049", 94000
"user1236834726000471613", 94700
"user1246548735333305540", 106600
"user1332851759787608279", 98300
"user1337537941806875960", 104900
"user1342784084338284089", 103300
"user1347470266357551770", 103500
"user1352498093671118016", 104900
"user1357184275690385697", 99000
"user1362430418221793826", 102200
"user1367116600241061507", 101200
"user1453419624695364246", 99300
"user1463133634028198173", 101300
"user1468038131265307737", 96100
"user1468379776559606302", 99900
"user1473065958578873983", 98100
"user1487684465148817474", 99600
"user1573987489603120213", 103500
"user1578673671622387894", 104600
"user1583919814153796023", 96800
"user1588605996173063704", 100800
"user1593633823486629950", 96900
"user1598320005505897631", 93700
"user161096305869203272", 101300
"user166342448400611401", 100900
"user1684623029960200370", 102600
"user1694555354510876180", 100100
"user1699583181824442426", 98400
"user1704269363843710107", 99700
"user1709515506375118236", 102400
"user171028630419879082", 102900
"user1714201688394385917", 101700
"user176056457733445328", 101800
"user180742639752713009", 98400
"user1815123219418632147", 103700
"user1819809401437899828", 104700
"user1820151046732198393", 97500
"user1825055543969307957", 101900
"user1834769553302141884", 101100
"user185988782284121138", 96300
"user190674964303388819", 100200
"user1921072577756444623", 103000
"user1925758759775712304", 106800
"user1931004902307120433", 100200
"user1935691084326388114", 99700
"user1940718911639954360", 97300
"user1945405093659222041", 101100
"user1950651236190630170", 102700
"user1955337418209897851", 100200
"user2041640442664200590", 99400
"user2051354451997034517", 100300
"user2056258949234144081", 105500
"user2056600594528442646", 106300
"user2061286776547710327", 99100
"user2162208307571956557", 95300
"user2166894489591224238", 95800
"user2172140632122632367", 99100
"user2176826814141900048", 105900
"user2181854641455466294", 99800
"user2186540823474733975", 96900
"user2191786966006142104", 102400
"user2272843847929036714", 103900
"user2282776172479712524", 102600
"user2287803999793278770", 98900
"user2292490181812546451", 103100
"user2297736324343954580", 97800
"user2302422506363222261", 100500
"user2403344037387468491", 100300
"user2408030219406736172", 99300
"user2408371864701034737", 103300
"user2413276361938144301", 98200
"user2422990371270978228", 101400
"user2509293395725280967", 104700
"user2513979577744548648", 97300
"user2519225720275956777", 97300
"user2523911902295224458", 101700
"user2528939729608790704", 102400
"user2533625911628058385", 97300
"user2538872054159466514", 105200
"user2543558236178734195", 101500
"user2629861260633036934", 101400
"user2639575269965870861", 106800
"user2644479767202980425", 102400
"user2644821412497278990", 98800
"user2649507594516546671", 99400
"user2750429125540792901", 102300
"user2755115307560060582", 104800
"user2760361450091468711", 104000
"user2765047632110736392", 98100
"user276977988757691558", 100900
"user2770075459424302638", 98400
"user2774761641443570319", 96500
"user2780007783974978448", 101800
"user2866310808429281187", 102700
"user2870996990448548868", 105900
"user2876024817762115114", 100500
"user2880710999781382795", 104000
"user2885957142312790924", 101900
"user2890643324332058605", 101200
"user291596495327635049", 105200
"user291938140621933614", 98900
"user296282677346902730", 99500
"user296624322641201295", 98200
"user2991564855356304835", 98200
"user2996251037375572516", 100700
"user2996592682669871081", 98600
"user3001497179906980645", 104300
"user3011211189239814572", 101600
"user3097514213694117311", 102300
"user3102200395713384992", 98100
"user3107446538244793121", 99300
"user3112132720264060802", 96900
"user311242829211144786", 102300
"user3117160547577627048", 104200
"user3121846729596894729", 103800
"user3127092872128302858", 99400
"user3131779054147570539", 101300
"user3218082078601873278", 99300
"user3227796087934707205", 102400
"user3232700585171816769", 97300
"user3233042230466115334", 97900
"user3237728412485383015", 103500
"user3338649943509629245", 95800
"user3343336125528896926", 101300
"user3348582268060305055", 102300
"user3353268450079572736", 100800
"user3358296277393138982", 103000
"user3368228601943814792", 101500
"user3449285483866709402", 103200
"user3454531626398117531", 98900
"user3459217808417385212", 104200
"user3464245635730951458", 102600
"user3468931817750219139", 98900
"user3474177960281627268", 95800
"user3478864142300894949", 101600
"user3565167166755197688", 102400
"user3579785673325141179", 96600
"user3584471855344408860", 101400
"user3584813500638707425", 102200
"user3589717997875816989", 96500
"user3599432007208650916", 95300
"user3685735031662953655", 104500
"user3690421213682221336", 103800
"user3695667356213629465", 100100
"user3700353538232897146", 103400
"user3705381365546463392", 97000
"user3710067547565731073", 101600
"user3715313690097139202", 103600
"user3719999872116406883", 106700
"user3801616714551441941", 104400
"user3806302896570709622", 105100
"user3816016905903543549", 101900
"user3820921403140653113", 108800
"user3821263048434951678", 103800
"user3825949230454219359", 103400
"user3926870761478465589", 99100
"user3931556943497733270", 99400
"user3931898588792031835", 96000
"user3936803086029141399", 102200
"user3946517095361975326", 100500
"user3951203277381243007", 106100
"user3956449419912651136", 95800
"user397545853665447525", 99800
"user402232035684715206", 103700
"user4037506301835545746", 105500
"user4042752444366953875", 106100
"user4047438626386221556", 101500
"user4052466453699787802", 95800
"user4057152635719055483", 96200
"user4062398778250463612", 101200
"user4067084960269731293", 100600
"user407478178216123335", 99500
"user412164360235391016", 102200
"user4153387984724034032", 100400
"user4168006491293977523", 107100
"user4168348136588276088", 104000
"user417192187548957262", 98800
"user4172692673313245204", 107900
"user4173034318607543769", 101500
"user4187652825177487260", 106600
"user421878369568224943", 97100
"user427124512099633072", 99700
"user4273955849631789999", 98300
"user4278642031651057680", 102000
"user4283888174182465809", 98800
"user4288574356201733490", 99800
"user4293602183515299736", 99500
"user4298288365534567417", 110300
"user4303534508065975546", 108400
"user4389837532520278285", 102000
"user4394523714539545966", 105500
"user4404237723872379893", 100300
"user4409142221109489457", 98500
"user4409483866403788022", 97400
"user4414170048423055703", 105800
"user4515091579447301933", 101400
"user4519777761466569614", 102400
"user4520119406760868179", 97300
"user4525023903997977743", 105400
"user4534737913330811670", 98800
"user4539424095350079351", 94600
"user4625727119804382090", 108500
"user4630973262335790219", 97100
"user4635659444355057900", 101200
"user4640687271668624146", 95600
"user4645373453687891827", 102300
"user4650619596219299956", 99400
"user4655305778238567637", 100900
"user4741608802692870376", 100500
"user4756227309262813867", 104300
"user4756568954557112432", 100400
"user4760913491282081548", 93600
"user4761255136576380113", 97000
"user4775873643146323604", 101400
"user4862176667600626343", 94300
"user4866862849619894024", 97100
"user4872108992151302153", 99800
"user4876795174170569834", 98100
"user4881823001484136080", 101600
"user4886509183503403761", 99900
"user4891755326034811890", 94400
"user4972812207957706500", 99000
"user4978058350489114629", 99600
"user4982744532508382310", 99800
"user4992458541841216237", 103700
"user4997363039078325801", 98700
"user4997704684372624366", 101800
"user5002390866391892047", 101900
"user50460765512123115", 100000
"user508181394022527682", 107000
"user5103312397416138277", 101100
"user5107998579435405958", 104600
"user5108340224729704523", 105900
"user5113244721966814087", 99700
"user5122958731299648014", 96500
"user5127644913318915695", 97400
"user513427536553935811", 99300
"user518113718573203492", 103000
"user5213947937773218434", 104000
"user5219194080304626563", 103200
"user5223880262323894244", 96500
"user5228908089637460490", 103700
"user5233594271656728171", 100800
"user5238840414188136300", 103800
"user5243526596207403981", 102400
"user527827727906037419", 101400
"user532732225143146983", 102300
"user5329829620661706720", 100100
"user533073870437445548", 100600
"user5344448127231650211", 102400
"user5344789772525948776", 102000
"user5349475954545216457", 99700
"user5364094461115159948", 99700
"user537760052456713229", 96900
"user5450397485569462687", 102900
"user5455083667588730368", 103300
"user5460329810120138497", 99500
"user5465015992139406178", 98100
"user5470043819452972424", 99700
"user5474730001472240105", 106400
"user55146947531390796", 101200
"user55488592825689361", 98100
"user5561033025926542844", 103800
"user5566279168457950973", 102400
"user5570965350477218654", 98500
"user5580679359810052581", 97900
"user5585583857047162145", 96200
"user5585925502341460710", 95600
"user5590611684360728391", 96300
"user5691533215384974621", 106800
"user5696219397404242302", 100600
"user5696561042698540867", 98600
"user5701465539935650431", 101000
"user5711179549268484358", 104800
"user5715865731287752039", 100800
"user5797482573722787097", 102600
"user5802168755742054778", 98700
"user5807414898273462907", 102700
"user5812101080292730588", 100100
"user5817128907606296834", 98200
"user5821815089625564515", 104800
"user5827061232156972644", 103300
"user5831747414176240325", 102800
"user5918050438630543064", 105600
"user5927764447963376991", 95700
"user5932668945200486555", 102300
"user5933010590494785120", 106800
"user5937696772514052801", 94200
"user5952315279083996292", 97900
"user6038618303538299031", 100600
"user60393090062798925", 102900
"user6043304485557566712", 105500
"user6048550628088974841", 101400
"user6053236810108242522", 102100
"user6058264637421808768", 100900
"user6062950819441076449", 101000
"user6149253843895379188", 101200
"user6159186168446054998", 103700
"user6164213995759621244", 105200
"user6168900177778888925", 98900
"user6174146320310297054", 95600
"user6178832502329564735", 101900
"user6279754033353810965", 105200
"user6284440215373078646", 107100
"user6284781860667377211", 99900
"user6289686357904486775", 101800
"user6299400367237320702", 98900
"user6385703391691623441", 100500
"user638681583480959459", 99300
"user6390389573710891122", 100900
"user6395635716242299251", 100300
"user6400321898261566932", 102900
"user6405349725575133178", 105000
"user6410035907594400859", 97400
"user6415282050125808988", 99700
"user6419968232145076669", 97900
"user643367765500227140", 102300
"user643709410794525705", 101400
"user648613908031635269", 100600
"user6506271256599379408", 110200
"user6515985265932213335", 99800
"user6520889763169322899", 102400
"user6521231408463621464", 102600
"user6525917590482889145", 97700
"user658327917364469196", 104100
"user6626839121507135375", 105500
"user663014099383736877", 105100
"user6631525303526403056", 99000
"user6636771446057811185", 100200
"user6641457628077078866", 103200
"user6646485455390645112", 105500
"user6651171637409912793", 101100
"user6656417779941320922", 102500
"user6737474661864215532", 97900
"user6747406986414891342", 99500
"user6752434813728457588", 104100
"user6757120995747725269", 100100
"user6762367138279133398", 97900
"user6767053320298401079", 100700
"user6867974851322647309", 102400
"user6872661033341914990", 102100
"user6873002678636213555", 101000
"user6877907175873323119", 101100
"user6887621185206157046", 102000
"user6973924209660459785", 105700
"user6978610391679727466", 102000
"user6983856534211135595", 96300
"user6988542716230403276", 99500
"user6993570543543969522", 102400
"user6998256725563237203", 102800
"user7003502868094645332", 109600
"user7008189050113913013", 95900
"user70107099395632852", 100600
"user7094492074568215752", 100800
"user7104206083901049679", 100000
"user7109110581138159243", 98700
"user7109452226432457808", 102400
"user7114138408451725489", 105100
"user7215059939475971719", 103000
"user7219746121495239400", 99600
"user7224992264026647529", 99500
"user7229678446045915210", 102800
"user7234706273359481456", 98100
"user7239392455378749137", 98600
"user7244638597910157266", 100000
"user7330941622364460005", 103500
"user7335627804383727686", 99200
"user7340655631697293932", 107500
"user7345341813716561613", 98500
"user7350587956247969742", 103100
"user7355274138267237423", 104200
"user744630941818771935", 102200
"user7456195669291483653", 99600
"user7460881851310751334", 95500
"user7461223496605049899", 102600
"user7466127993842159463", 98200
"user7475842003174993390", 98100
"user74793281414900533", 102000
"user749317123838039616", 100000
"user754563266369447745", 105700
"user7562145027629296129", 106700
"user7566831209648563810", 107200
"user7572077352179971939", 100300
"user7576763534199239620", 103100
"user7581791361512805866", 100400
"user7586477543532073547", 102500
"user7591723686063481676", 96700
"user759249448388715426", 102400
"user7596409868082749357", 97900
"user764277275702281672", 100600
"user7682712892537052096", 101100
"user768963457721549353", 98900
"user7692426901869886023", 105600
"user7697331399106995587", 99300
"user7697673044401294152", 102800
"user7702359226420561833", 95100
"user774209600252957482", 102400
"user778895782272225163", 97900
"user7803280757444808063", 100900
"user7807966939464075744", 101200
"user7813213081995483873", 99200
"user7817899264014751554", 101400
"user7822927091328317800", 101200
"user7832859415878993610", 101800
"user7913916297801888220", 100000
"user7919162440333296349", 97500
"user7923848622352564030", 102200
"user7928876449666130276", 94800
"user7933562631685397957", 102300
"user7938808774216806086", 104000
"user7943494956236073767", 97200
"user8029797980690376506", 100400
"user8044416487260319997", 102500
"user8049102669279587678", 97200
"user8049444314573886243", 95400
"user8054348811810995807", 103300
"user8064062821143829734", 105300
"user8150365845598132473", 96900
"user8155052027617400154", 104700
"user8160298170148808283", 102200
"user8164984352168075964", 93400
"user8170012179481642210", 101100
"user8174698361500909891", 101100
"user8179944504032318020", 106100
"user8184630686051585701", 100800
"user8266247528486620759", 96800
"user8270933710505888440", 99900
"user8280647719838722367", 106400
"user8285552217075831931", 103200
"user8285893862370130496", 104400
"user8290580044389398177", 98900
"user8391501575413644407", 100000
"user8396187757432912088", 99400
"user8396529402727210653", 100300
"user8401433899964320217", 102600
"user8411147909297154144", 97400
"user8415834091316421825", 104900
"user8421080233847829954", 106300
"user8502137115770724564", 104700
"user8507383258302132693", 104300
"user8512069440321400374", 97900
"user8517097267634966620", 95800
"user8521783449654234301", 99000
"user8527029592185642430", 101100
"user8531715774204910111", 102100
"user8618018798659212850", 100000
"user8632637305229156341", 92000
"user8632978950523454906", 102500
"user8637323487248424022", 102700
"user8637665132542722587", 102300
"user865198806726527902", 102100
"user8652283639112666078", 99300
"user8738586663566968817", 98700
"user8743272845586236498", 105000
"user8748518988117644627", 102200
"user874912816059361829", 99300
"user8753205170136912308", 101900
"user8758232997450478554", 99600
"user8762919179469746235", 99500
"user8768165322001154364", 107400
"user879817313296471393", 103900
"user880158958590769958", 99600
"user884845140610037639", 94900
"user8854468346455457103", 107400
"user8859154528474724784", 102200
"user8868868537807558711", 103200
"user8873773035044668275", 102800
"user8874114680338966840", 101300
"user8878800862358234521", 101400
"user8979722393382480751", 101800
"user8984408575401748432", 101200
"user8984750220696046997", 95100
"user8989654717933156561", 99300
"user899463647179981130", 100800
"user8999368727265990488", 102800
"user9004054909285258169", 100800
"user9090357933739560908", 101800
"user9095604076270969037", 102700
"user9100290258290236718", 99200
"user9105318085603802964", 101400
"user9110004267623070645", 99800
"user9115250410154478774", 96300
"user9119936592173746455", 99400
"user9206239616628049194", 103100
"user9220858123197992685", 104300
"user9221199768492291250", 100800
"user985766671634283869", 101300
"user990452853653551550", 100300
"user995698996184959679", 93900
