Key,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,Run40,Run41,Run42,Run43,Run44,Run45,Run46,Run47,Run48,Run49,Run50,Run51,Run52,Run53,Run54,Run55,Run56,Run57,Run58,Run59,Run60,Run61,Run62,Run63,Run64,Run65,Run66,Run67,Run68,Run69,Run70,Run71,Run72,Run73,Run74,Run75,Run76,Run77,Run78,Run79,Run80,Run81,Run82,Run83,Run84,Run85,Run86,Run87,Run88,Run89,Run90,Run91,Run92,Run93,Run94,Run95,Run96,Run97,Run98,Run99,Run100
user3459217808417385212,2251,3818,4904,5883,6953,8521,9517,10797,11760,12730,13718,14674,15690,15074,17538,18593,19457,20455,21440,22430,23512,24326,25263,26232,27120,28296,28982,29794,30399,31224,31957,32978,33408,34274,34764,35173,36025,36585,37101,37597,38127,38505,39146,39679,40433,41139,41421,42069,42088,42682,43048,43483,44064,44529,45022,45740,45710,45605,46307,46798,46886,47902,48059,47952,48433,48798,48990,49089,49905,49471,50335,50524,50966,50992,51793,51940,52339,52573,52242,52924,53165,53883,53784,53831,54035,54452,54556,54828,54356,54896,54800,55247,55705,55813,55746,56183,56303,55695,56725,56756
user2996251037375572516,2554,3720,4900,5884,7341,8406,9766,10755,11781,12715,13710,14658,15682,16645,17634,18513,19481,20568,21517,22208,23377,24233,25328,26251,24701,27712,29012,29705,30356,31150,32093,32916,33771,34138,34549,31807,35687,36417,37180,38012,38203,38867,39071,39737,40416,41073,41394,42010,42085,42136,42962,43482,44077,44718,44447,45546,45959,46018,46435,46971,47499,47813,47982,48035,48347,48684,48999,49641,49753,49919,50483,50820,50887,51217,51669,51952,52308,52507,52551,52785,53495,53598,53889,53892,53808,54536,54663,54885,54802,55068,54930,55373,55838,55758,55762,56235,56287,56687,56802,56756
user3936243125517000951,2252,3636,4892,5376,7451,8322,9810,10776,11757,12722,13713,14703,15644,16518,17627,18600,19606,20448,21543,22535,23230,24323,25281,26208,27225,27913,28774,29859,30275,31217,31871,32300,33477,34278,34971,35168,36082,36215,37223,37688,38198,38682,39068,39622,40454,40949,41527,42095,41712,42585,43032,43383,44096,44851,44942,45345,45214,45990,46618,46790,47009,47546,47952,48017,48168,48954,48965,49629,49775,49935,50251,50557,50806,51298,46759,51402,52201,51973,52753,52890,53504,53830,53868,53890,48968,54382,54675,54803,54874,55168,55022,55395,55167,55715,55789,55859,56414,56139,56576,56772
user8155611988129540602,2155,3723,4898,5879,7146,8305,9780,10761,11736,12729,13693,14676,15586,16642,17430,18439,19439,20661,21527,22301,23461,24483,25231,26221,27088,27921,29125,29393,30325,31053,32103,32871,33257,34273,34966,31830,36034,36843,37223,37287,37753,39031,35360,39818,40529,40675,41337,42011,42128,42900,43063,43523,43746,44451,44942,45467,45732,45992,46727,46333,47479,47659,48023,47986,48310,48849,49008,49112,49620,49906,50506,50630,50782,51017,51597,51794,51961,52566,52743,53074,52920,53623,53749,53833,54030,54321,54471,54769,54864,55046,55335,55813,55512,55788,55823,55963,56358,56573,56643,56859
user3705941326058603840,2268,3803,4895,5885,7040,8516,9606,10775,11789,12728,13711,14708,15661,16661,17623,18583,19561,20571,21527,22425,23491,24488,25457,26076,27137,27910,28981,29878,30281,31223,31809,32918,33004,34141,31337,35256,35741,36667,36810,37894,38161,38656,39164,39831,40267,40910,41406,41975,42093,42389,43126,43523,43882,44596,44958,45112,45567,45992,45731,46314,46851,47906,47946,47997,48264,48557,48961,48769,49948,49721,50093,50572,50832,51304,51033,51815,52430,52531,52762,52889,53227,53862,53821,53830,53368,54446,54754,54798,54853,54941,55533,55634,55723,55782,55820,55440,56107,56411,56645,56820
user6280313993865951413,2357,3930,4891,5876,7043,8528,9694,10767,11753,12651,13692,14685,15551,16615,17624,18600,19593,20594,21488,22567,23471,24409,25223,26369,26716,28001,29077,30042,30334,31008,31632,32723,33452,34126,34505,31839,36019,36332,37101,37733,38185,38767,39105,39864,40103,40997,41830,41977,42101,42897,42993,43675,43940,44258,44942,44725,45429,46022,46316,46716,47162,47693,47992,47986,48644,48821,48944,49127,49435,49828,50370,50213,50918,51112,51371,51835,52188,52495,52603,53072,53515,52539,53835,53881,53997,54305,54685,54791,54863,54993,55525,55471,55818,55804,55858,55547,56443,56723,56762,56619
user190674964303388819,2537,3905,4877,5875,7144,8612,9677,10768,11750,12714,13720,14604,15643,16630,17624,18627,19391,20681,21531,22384,23275,24237,25392,26203,27192,28116,28790,29662,30325,31071,31539,32635,33339,34176,34948,35258,36010,36418,36971,38005,38142,38590,39180,39775,40220,41034,41780,42010,42062,42640,43009,43470,43970,44548,44971,44793,45921,46026,46656,46039,46788,47623,48023,48019,48574,43924,48973,49338,49866,49846,50197,50338,50431,51195,51626,51819,52072,52550,52890,53074,48018,53609,53841,53830,54035,54390,54595,54721,54840,55212,55457,55593,55663,55877,55698,56130,56174,56311,56709,56822
user6149253843895379188,2449,3710,4903,5871,7159,8705,9803,10775,11741,12705,13711,14724,15702,16621,17343,18620,19485,20594,21512,22555,23421,24259,25265,26211,27102,28213,28909,29902,30315,31124,31987,32773,33390,33591,34618,35301,35677,36237,37044,38014,38213,38979,39179,39730,40873,41058,41602,41888,42042,42695,43087,43565,44019,44612,44567,45527,45937,45970,46552,46980,47647,47607,47896,47923,48550,48624,49006,49354,49577,49983,50570,50686,50893,51129,51630,51867,52016,51982,52750,52404,53441,53714,53812,53849,54142,54316,54743,54755,54362,55035,55340,55700,55581,55831,55303,56043,56362,56696,56519,56824
user5335075763193114849,2440,3825,4804,5883,7148,8718,9785,10684,11770,12748,13599,14674,15656,16595,17575,18563,19493,20452,21331,22506,23397,24250,24976,25985,27355,27709,28700,29774,30165,30946,31541,32623,33628,34192,34962,35299,36009,36635,37218,37719,38171,38756,39181,39829,40420,40894,41534,42095,42102,41992,42972,43527,43577,44423,40555,45244,45955,45922,46386,46692,47209,47828,47976,47983,48672,48698,48846,49390,49380,49959,50269,50699,50701,50974,51698,51910,52133,52119,52762,52945,53196,53649,53222,53843,54051,53760,54661,54842,54731,55103,55606,55425,55850,55788,55707,55572,56512,56668,56760,56745
user6641239312859236983,2454,3910,4911,5868,6955,8425,9789,10757,11744,12734,13710,14669,15684,16655,17651,18592,19283,20443,21520,22509,23290,24278,25260,26332,27008,27893,28673,29839,30335,30751,31976,32819,33507,34133,34758,35223,35841,36708,37176,37738,38161,38691,39220,39589,40132,40806,41823,42062,42103,42441,43083,43787,44116,44270,44463,45639,45861,46005,46819,46692,47195,47637,47984,47975,47963,48715,48888,49417,49646,49960,49913,50447,50822,51191,51694,51809,52007,52471,52863,53095,53362,53785,53821,53821,54172,54420,54337,54919,54338,54929,55042,49867,55724,55827,55188,55828,56141,55923,56738,56049
user1116266861092715646,2744,3719,4893,5880,6956,8327,9585,10775,11763,12716,13715,14599,15674,16683,17651,18637,19388,20447,21421,22518,23302,24484,25346,26292,27210,28003,28900,29665,29744,31243,32225,32797,33704,34196,34793,35258,35615,36677,37190,37667,38203,38399,38532,39931,40673,40842,41732,42080,42140,42784,43009,43471,44079,44383,44843,45481,45881,46006,46456,46366,47077,47380,48012,47948,48385,48667,48934,49211,49820,49918,50077,50855,50929,51058,51584,51535,52044,52489,52850,53010,53349,53731,53845,53833,54165,49367,54726,54727,54819,55178,55464,55620,55713,55807,55807,56249,56266,56727,56773,56723
user3353268450079572736,2252,3808,4907,5858,7144,8701,9600,10780,11704,12725,13686,14666,15636,16620,17619,18585,19467,20544,21565,22469,23502,24013,25402,26426,27199,28271,29294,29757,30395,31085,31919,32574,33585,34104,34959,34970,35612,36695,36980,37807,38197,39025,39192,39321,39932,40952,41511,42109,42108,42949,43089,43279,43718,44563,45089,45453,45606,46020,46411,46895,47301,47461,47992,47969,48345,48532,44115,49244,49710,49918,50018,50643,50800,51219,51689,51843,51905,52616,52871,52857,53568,53881,53855,53832,53913,54379,54771,54400,54891,55313,54828,55540,55232,55856,55843,55830,56359,56573,56789,56710
user311242829211144786,2353,3736,4906,5871,7258,8416,9601,10633,11747,12733,13696,14692,15705,16674,17510,18622,19611,20592,21544,22515,23199,24285,25394,26082,27115,28104,28569,29865,30084,31161,31711,32966,33441,34076,34939,34980,35944,36381,37127,37928,38176,35030,38791,39669,40367,40952,41098,41718,42136,42681,43089,43590,43855,44433,44955,45196,45725,46039,46564,46942,47392,47701,47981,47350,48550,48977,48947,49252,49467,49828,50190,50636,50752,51315,51717,51295,51955,52794,52618,52984,53516,53785,53909,53835,53986,54379,54723,54863,54777,55115,55614,55739,55253,55821,55858,56110,56408,56594,56690,56208
user3579785673325141179,2534,3819,4795,5870,7229,8630,9592,10788,11735,12616,13712,14593,15676,16641,17633,18585,19410,20525,21594,22541,23429,24296,25175,26332,27028,28029,28953,29671,30093,30938,31937,32657,33503,34143,35062,35161,35837,36745,37085,37888,38186,39065,39162,40088,40444,40969,41635,42092,42103,42061,42654,43358,44067,44363,44439,44883,45563,46010,46490,46983,47452,47950,47824,47934,48054,48748,48963,49555,49610,49961,50326,50713,50933,51183,51419,51880,52085,52370,52784,53348,53282,53659,53824,53886,53884,54298,54780,54797,54797,55252,55415,55766,55674,55855,55794,56104,56302,50967,56586,56672
user8733340521035560688,2244,3519,4887,5872,7342,8218,9591,10777,11755,12748,13712,14720,15665,16649,17588,18630,19542,20778,21411,22220,23308,24497,25170,26210,27283,27918,29072,29900,30371,31304,31812,32731,33493,34208,34786,35241,35981,36418,37051,37742,38171,38872,39070,39483,39795,41078,41341,42017,42066,42579,43009,43287,44044,44382,45028,45609,45862,46011,46496,47043,47377,47541,47592,47976,48275,48406,48952,49448,49861,49951,50126,50360,50784,51033,51384,51975,52357,52712,52792,53144,53252,53665,53911,53834,53976,54554,54743,54822,54838,55050,54865,55572,55181,55858,55810,56081,56307,56601,56668,56691
user8411147909297154144,2536,3825,4902,5887,7060,8412,9792,10755,11770,12741,13716,14673,15672,16636,17545,18611,19583,20512,19498,22494,23384,24268,25461,25826,27031,27929,28768,29587,30270,31142,32230,32631,33472,34271,35049,35200,36049,36810,37161,37859,37832,38797,38931,39588,40285,41148,41684,42000,42134,42703,43070,43348,44083,44424,44989,45439,45859,46007,46257,47058,47807,47773,47962,47981,48486,48970,48848,49256,49728,49726,50229,50818,50943,50909,51617,51787,46952,52426,52869,53092,53212,52953,53844,53900,53969,54469,54760,54866,54797,54545,55342,55615,55643,55826,55218,56014,56446,55856,56746,56791
user8868868537807558711,2436,3816,4898,5890,7156,8445,9618,10675,11733,12505,13705,14692,15578,16656,17599,18594,19540,20574,21459,22483,23412,24388,25430,26371,27120,28024,28774,29483,30300,30966,32061,32921,33593,34150,35010,35188,35430,36602,37068,37408,38201,38963,39166,39656,40388,40699,41491,42097,42090,42529,43113,43715,43981,44493,44966,45465,45981,46046,41811,46698,47392,47499,47920,47971,48320,48887,48848,49677,49701,49924,50166,50546,50948,51436,51618,51851,52127,52646,52620,53174,53592,53772,53781,53851,54107,54227,54658,54262,54790,55001,55348,55410,55712,55771,55792,56106,56431,56521,56451,56105
user784141924803633292,2532,3918,4916,5873,7149,8440,9792,10745,11772,12738,13611,14684,15699,16675,17523,18498,19555,20571,21581,22525,23306,24426,25431,26052,27246,27913,28785,29682,30026,31361,31927,32986,33627,33876,34899,35243,36138,32832,37107,37809,38198,38627,39202,39774,40312,41073,41405,41996,42078,42514,43098,43423,43919,44752,44911,45234,45683,46031,46687,46921,46508,47688,47510,47967,47713,48894,48965,49344,49562,49438,50518,50572,50797,50739,51273,51844,51888,52593,52645,52885,53560,53800,53766,53835,54101,54557,54788,54867,54751,55161,55256,55613,55665,55676,55759,56105,55551,56425,56828,56627
