Key,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,Run40,Run41,Run42,Run43,Run44,Run45,Run46,Run47,Run48,Run49,Run50,Run51,Run52,Run53,Run54,Run55,Run56,Run57,Run58,Run59,Run60,Run61,Run62,Run63,Run64,Run65,Run66,Run67,Run68,Run69,Run70,Run71,Run72,Run73,Run74,Run75,Run76,Run77,Run78,Run79,Run80,Run81,Run82,Run83,Run84,Run85,Run86,Run87,Run88,Run89,Run90,Run91,Run92,Run93,Run94,Run95,Run96,Run97,Run98,Run99,Run100
user7461223496605049899,2073,3046,5827,6195,6878,7978,8824,10694,12273,12460,13937,14896,15359,16589,17958,19050,19994,20675,21150,22772,23532,24115,25489,26735,27661,27701,29003,29977,30576,32128,31846,32516,33664,34568,35409,35058,36835,37795,37304,38211,39197,39219,40022,40020,41221,41055,41707,42774,43559,43226,43578,44156,44810,45086,45630,45930,46411,47171,47358,47109,47404,48129,47781,49176,49210,49572,49447,49662,50751,51144,50451,50669,51407,51998,53016,52451,52346,52812,53650,53967,53935,54345,54555,54426,54976,55086,55909,55733,55943,55640,56190,57110,56625,57137,57044,56457,56771,57380,57952,57527
user1820151046732198393,2086,4041,4920,6704,6477,8064,9997,10286,12480,13388,13924,15100,15371,16375,17448,18480,19999,20020,21978,23217,23911,24112,25261,27158,27441,28421,29300,30406,30772,31621,31945,32624,33986,34583,35077,36039,35351,37129,37601,37715,38557,39173,39680,40230,40580,40633,42458,43144,43636,42478,44008,44094,44927,45429,45256,40565,45552,47110,46864,47615,48337,48659,49016,49420,49572,48986,49796,49873,50215,51066,51479,51418,51830,51807,52111,53522,52863,53016,54294,54254,54166,54658,54969,54692,54940,55232,55451,55836,55936,56133,56373,56218,56198,56641,56954,56598,57099,57796,57865,57594
user6168558532484590360,1976,3834,4721,5988,6590,8152,9808,10491,11680,12732,14317,14722,15308,16760,17872,18708,19096,21281,22467,22164,22931,24284,25624,25893,27501,27159,28700,29578,30339,31473,32393,33049,33416,34269,35257,36052,35436,37249,37016,38476,39111,38794,39382,40472,40357,41308,42255,42579,43003,42506,42985,43969,44574,44422,44834,45929,46665,47348,46789,47815,47830,48334,48879,48865,48888,48693,49587,49999,49862,50362,51214,49729,51727,51839,52931,52944,52756,53319,53909,53660,54245,54770,54571,54487,55620,55245,55144,56217,55239,55629,56319,56016,56503,57067,57553,56892,56933,57471,56812,58124
user1236834726000471613,1675,3653,5534,6187,6179,8227,9423,11197,11566,13253,13445,14624,15661,16762,17371,18446,19193,20270,21052,22672,23520,24156,25477,26537,27653,28497,29164,29673,30528,31648,32491,32700,33701,34318,35493,36372,36661,36910,37909,37707,38892,38978,39906,39816,41101,41730,42284,42536,42814,43013,43895,43585,44252,44834,44763,45823,45684,46503,47087,47544,47790,48118,48670,48318,48498,49733,49396,50049,49949,51126,50754,50794,51798,51727,53088,52230,52764,53382,53652,53329,54354,53853,54702,53952,54891,54851,54920,55791,56418,55352,55040,56324,56325,57590,56502,56881,57116,57411,57195,56814
user4288574356201733490,1984,3546,5005,5296,6970,7519,9441,10710,11848,13061,13761,14789,15596,16811,17359,18342,19597,20489,21189,22347,23421,24300,25577,26557,26970,27909,29110,30016,30334,31343,32012,32939,33525,34425,35322,35755,35987,36918,37887,37857,39094,38897,39675,40159,41150,41474,41536,42618,43361,42675,43876,44191,45204,45277,45651,45943,46933,47079,47894,47623,47322,47935,48605,48913,49445,49101,49338,49788,49841,50440,50364,51345,51627,51285,51777,52276,53238,53590,52938,53249,54535,54846,54835,54466,55376,55473,55241,55240,55868,55658,56243,55963,56834,56717,56837,57322,56804,57620,58212,57390
user5817128907606296834,2082,3352,4304,6096,6370,8149,9492,10156,11968,12370,13323,14505,15609,17243,17252,18739,19790,19989,21468,22152,23344,24033,25098,26318,27791,28706,28717,29860,30373,31883,31631,33879,33815,34501,34856,36050,36551,37127,37301,37579,38714,39505,39384,39973,41739,41542,41818,42443,43369,42728,43436,43563,44390,44852,45158,46340,45909,46154,46945,47904,47738,48233,48920,48407,48759,49782,49238,49652,50422,50812,50514,51339,51777,51533,52303,52871,52628,52428,53580,53547,54072,54071,54876,54260,54800,55368,55552,55658,55602,55928,55526,56432,56493,56460,56413,56363,56652,57278,57348,57522
user3483550324320162630,1985,3845,4627,6276,7081,8236,9515,10296,11983,13020,13541,14691,15582,16680,17535,18422,20101,20821,21872,22230,23496,24895,25622,26754,27254,27789,29462,29871,30679,31165,32022,32819,32912,34486,34737,35083,36436,37622,37693,37851,38961,39370,39407,39921,40420,41629,42316,41607,43102,42383,43083,43557,44334,44598,45222,45925,41781,47026,46787,47096,48128,47458,48363,48597,48908,48593,49605,49924,50932,51269,50705,51383,51713,51556,52258,52453,52660,53109,53667,54012,54488,55352,54431,54835,54169,55139,55553,55541,55649,55506,56411,56126,56008,56728,57617,56789,57638,57226,57487,56639
user6164213995759621244,2180,2754,4524,5893,6978,8522,9481,10594,12195,12446,14047,14325,15416,16293,18045,18820,19411,20268,21961,22650,23430,24183,25771,26618,27507,27255,29008,30088,30569,30950,32674,33012,34070,34890,35156,32910,33089,36659,37625,37763,38946,39454,39678,40056,40560,41717,41374,41443,42443,43433,43569,44182,44450,45043,45363,46030,45635,47271,47217,47555,48253,48079,48424,48762,48972,48901,49849,49961,49936,50656,50591,51556,51839,51502,51821,47989,52316,53233,52077,53938,53976,53936,54831,54758,54654,55243,55057,55527,55324,55200,55438,56007,56216,57019,56715,57094,57137,57059,56953,58008
user5590611684360728391,2282,3260,5213,5795,6561,8165,9330,11282,11554,12568,13732,14614,15792,16468,17441,18698,19280,20682,21573,22857,23100,24196,25085,26222,27930,27889,29340,30180,27398,31469,32429,32744,33520,35181,34948,35482,35987,37047,37306,38127,38925,39498,39095,40077,41136,41785,42265,42748,42894,42639,43822,44097,44268,44968,45311,46187,46220,46910,47376,46912,47117,48390,48642,48420,48282,49926,49439,49976,50333,50750,46507,51513,50827,51643,51974,52925,52785,53649,53323,53611,53544,53222,54945,54864,55430,54989,55165,55795,55829,55098,55725,55425,56878,56863,56616,56531,56803,57504,57095,57796
user4997363039078325801,1380,3453,4925,6295,7182,8868,9619,11420,11666,12669,14151,14479,15498,16049,17157,18409,20125,19768,21525,22450,22823,24301,25862,25860,27033,28151,29217,29098,30783,30911,31764,32642,34331,34309,35710,35867,36036,37002,38248,37592,38725,38725,39180,40922,41270,40889,41643,42409,42693,43388,43542,43822,44340,44754,45767,45868,46889,46859,46609,47671,47124,48102,48464,48644,48637,49572,49220,49452,50057,50827,50849,51408,52177,52213,52498,52272,52655,53372,53435,54138,54289,54170,54239,54778,54944,54985,54911,56526,56323,55602,55654,56230,57419,56757,57385,56586,57788,57140,57384,57702
user1467819816047465854,1878,3352,4624,5908,6966,8779,9228,10913,11840,11930,13308,14502,15274,16259,16964,18938,19704,20315,22673,22749,23288,24217,25328,26574,26421,28409,29489,30177,28232,30936,31956,33111,32909,33659,35090,36171,35626,36848,37911,37960,39301,38894,39620,40455,40192,41404,42252,42687,42485,43016,43533,44077,44536,44516,45330,45587,46737,47307,46604,47185,47638,48242,48526,47620,48717,48804,49779,49837,50616,50771,50830,50878,51242,52005,52048,52156,53081,53705,53483,53461,54078,54546,54356,54526,54504,54644,55736,55401,55849,55858,55999,56190,56701,56589,56615,56950,56946,57311,57583,58323
user5108340224729704523,1980,3636,5020,5899,7572,8147,8910,10879,11410,12953,13535,15019,15982,16968,17346,18699,20208,20584,21463,22631,23399,24106,24969,26646,26957,27584,29129,29468,30892,31767,32541,32586,33917,34199,35273,35832,36532,36357,37495,38201,39477,39787,40481,40292,41109,41962,41706,42121,42556,43398,43412,44058,44261,45647,45105,46385,45918,47336,45795,46911,47790,47795,48300,48583,48678,49156,49722,50263,50439,50102,50768,51021,52018,52310,51837,52832,52359,53125,53178,53409,53848,54588,54865,54734,54773,56054,55546,55528,55707,55406,55888,55643,56435,56431,56143,57422,56834,56850,57384,57265
user4645373453687891827,1782,3638,5004,5795,6882,8251,9102,10677,11093,12565,14126,14572,15572,17085,17219,18413,20294,20306,21535,22088,23504,24218,24960,25939,26542,28137,29185,30279,30873,31650,29173,33153,33571,35059,34464,35838,36075,36547,37202,37977,38504,39273,40172,40004,40331,41283,42006,41793,42542,42701,43786,44277,44363,45266,45715,46168,46203,46353,46291,47814,47911,48355,48614,48820,48862,48754,49475,49993,50528,49722,50456,50791,51120,51904,51915,52639,53148,53503,53324,53384,54204,54664,54574,54952,55289,55087,55645,55182,55566,54596,55426,56287,56819,57055,57696,56823,56909,57584,57695,57435
