Key,Run1
user8049444314573886243,2100
user8396529402727210653,1900
user4409142221109489457,1800
user5223880262323894244,1900
user417192187548957262,1500
user4173034318607543769,1400
user3218082078601873278,1500
user7335627804383727686,1600
user4515091579447301933,1700
user6159186168446054998,1600
user1125980870425549573,2000
user311242829211144786,1600
user2629861260633036934,2100
user2422990371270978228,1600
user4273955849631789999,2000
user1453419624695364246,2000
user1367116600241061507,1800
user8150365845598132473,1700
user8280647719838722367,1800
user2644821412497278990,2100
user8401433899964320217,1900
user296282677346902730,1600
user291938140621933614,1800
user4756568954557112432,1500
user5344789772525948776,2100
user7933562631685397957,1400
user8874114680338966840,1700
user8984408575401748432,1400
user166342448400611401,2200
user8762919179469746235,1600
user4630973262335790219,1500
user3715313690097139202,1200
user8160298170148808283,1500
user185988782284121138,1500
user5827061232156972644,1700
user6395635716242299251,2100
user2191786966006142104,1600
user4978058350489114629,1500
user74793281414900533,1700
user4972812207957706500,1200
user1015345330068469416,2600
user7827613273347585481,1200
user1583359853641655575,1700
user7582009676730647749,1600
user6405568040792975061,1500
user7923630307134722147,2400
user4993018502353356685,2100
user3348022307548164607,1800
user3937144731323439964,1700
user3710627508077871521,1700
user6641239312859236983,1500
user4298848326046707865,1700
user5817347222824138717,1600
user8637883447760564470,1700
user7466469639136458028,2000
user2417744228739570099,1700
user7099738217099623881,1400
user185428821771980690,1500
user6173586359798156606,1500
user4042192483854813427,1600
user653081774833061067,1400
user3126532911616162410,2000
user4736362660161462247,2000
user8155611988129540602,1700
user3594185864677242787,1500
user7567391170160704258,2300
user1251794877864713669,1500
user4635099483842917452,1800
user3695449040995787582,2500
user990234538435709667,1600
user8527247907403484313,1700
user1578455356404546011,1700
user2056818909746284529,1600
user2413058046720302418,1400
user3222768260621140959,1800
user4046878665874081108,1500
user5107780264217564075,1400
user5470603779965112872,2500
user6647045415902785560,1700
user5575651532496486335,1900
user281664170776959239,1900
user5917490478118402616,2300
user8034484162709644187,1300
user894777465160713449,1600
user1574547450115260661,1400
user3916938436927789779,1500
user1121294688406281892,1600
user8642911275074130716,2100
user1940377266345655795,2000
user7229460130828073327,1900
user7807966939464075744,1600
user5566279168457950973,1800
user4882382961996276528,2000
user1361870457709653378,2100
user7224992264026647529,1900
user8170230494699484093,1700
user7330941622364460005,1900
user1588947641467362269,2700
user417410502766799145,2200
user3936803086029141399,1600
user643709410794525705,2100
user4394523714539545966,2000
user1824837228751466074,1700
user879817313296471393,1900
user4303534508065975546,2200
user6284221900155236763,1600
user8044416487260319997,2000
user4404237723872379893,1500
user6033932121519031350,2000
user7572077352179971939,1800
user8396187757432912088,1700
user7455977354073641770,1600
user6043304485557566712,1900
user778895782272225163,1700
user2538312093647326066,2100
user3806302896570709622,2100
user4187652825177487260,2100
user181302600264853457,2000
user523359861104611621,2800
user7340313986402995367,1800
user4741048842180729928,1900
user8164984352168075964,2200
user5127644913318915695,1500
user2272843847929036714,2200
user3932116904009873718,2000
user2740496800990117091,1500
user7832859415878993610,1500
user527827727906037419,1200
user4168006491293977523,1800
user5354162136564484138,2000
user5580679359810052581,1600
user5797482573722787097,2000
user1603566148037305760,2700
user7556898885097888000,2100
user3474177960281627268,1600
user4293602183515299736,2700
user3464245635730951458,1300
user6390949534223031570,2100
user8733340521035560688,1500
user3343117810311055043,2100
user2509293395725280967,2000
user2870437029936408420,1600
user1353058054183258464,1400
user1463133634028198173,1900
user4635659444355057900,1900
user7682152932024911648,2200
user5238840414188136300,2400
user3584471855344408860,1900
user7471155821155725709,1800
user2172482277416930932,2400
user663014099383736877,1500
user2754896992342218699,2200
user763935630407983107,1400
user7008189050113913013,1700
user5581239320322193029,1400
user1105774576029899388,2100
user3690421213682221336,2300
user3714753729584998754,2200
user1810437037399364466,1700
user4760913491282081548,1800
user6163872350465322679,1400
user1468598091777448185,1900
user2644479767202980425,2100
user8155052027617400154,1800
user1694555354510876180,1800
user6752434813728457588,2000
user2051354451997034517,2100
user4775873643146323604,2000
user1478312101110282112,1700
user658327917364469196,2300
user6987982755718262828,2100
user4645591768905733710,2100
user6878248821167621684,1800
user3449285483866709402,2100
user6762585453496975281,2200
user4057370950936897366,1600
user2066532919079118456,2000
user7562145027629296129,1700
user7928876449666130276,1400
user2171580671610491919,2100
user2172140632122632367,2200
user769523418233689801,1700
user7215059939475971719,2000
user5585925502341460710,2100
user8753546815431210873,1500
user5229126404855302373,2100
user301870465172609424,2100
user3946517095361975326,1700
user7089245932036807623,1800
user1332851759787608279,2400
user5942382954533320482,2500
user3237946727703224898,2000
user6873002678636213555,1800
user1096402211991364026,2100
user75353241927040981,2100
user8270933710505888440,1900
user9206239616628049194,2000
user9110564228135211093,2200
user985766671634283869,2300
user7566831209648563810,2500
user1820151046732198393,1800
user3107446538244793121,2400
user427124512099633072,2300
user8049662629791728126,2000
user4530051731311543989,1700
user2156962165040548428,1600
user8738586663566968817,1500
user6274507890822402836,2000
user1709515506375118236,1800
user8512069440321400374,2000
user7707045408439829514,1700
user4413610087910915255,1800
user532732225143146983,2000
user1116048545874873763,2000
user5812101080292730588,1500
user9119376631661606007,1700
user6757120995747725269,2100
user4519559446248727731,2300
user5329269660149566272,2000
user2292708497030388334,1700
user4403896078578081328,1900
user55146947531390796,2200
user8536961916736318240,1900
user4640687271668624146,1700
user5098066254884730148,1900
user8179944504032318020,2300
user2996592682669871081,1700
user7586477543532073547,2100
user2534185872140198833,1600
user3575099491305873498,1900
user5821815089625564515,1800
user5806854937761322459,2300
user7235266233871621904,2000
user2513979577744548648,2200
user2649507594516546671,2500
user7460663536092909451,1800
user7456195669291483653,2200
user2046326624683468271,2000
user3570413309286605817,2000
user537760052456713229,2200
user3831195372985627488,2200
user880158958590769958,2100
user406918217703982887,1700
user4992116896546917672,1700
user9125182734705154584,2000
user5817128907606296834,1800
user7828173233859725929,2000
user899463647179981130,1900
user3820703087922811230,2000
user7813213081995483873,2000
user5927982763181218874,1800
user1347470266357551770,2600
user9090357933739560908,2400
user8270373749993747992,1800
user6174146320310297054,2400
user5807414898273462907,1700
user5335075763193114849,1900
user5465015992139406178,1800
user9220858123197992685,2400
user9104976440309504399,2200
user2181854641455466294,2200
user5706493367249216677,2000
user4052466453699787802,2100
user8758451312668320437,1900
user768963457721549353,1600
user7224773948808805646,2100
user3579785673325141179,2200
user7711731590459097195,1900
user1593633823486629950,1800
user3589717997875816989,2000
user5811541119780590140,2200
user513427536553935811,2800
user6752093168434159023,1600
user6405349725575133178,1500
user1467819816047465854,2300
user412164360235391016,1900
user1473065958578873983,2000
user8265687567974480311,2100
user3358296277393138982,2100
user3233260545683957217,2400
user4524463943485837295,1600
user6622152939487867694,1700
user1950651236190630170,2000
user2759801489579328263,2000
user5923296581161951193,1600
user5103872357928278725,2300
user4891195365522671442,1900
user3368228601943814792,2100
user2176826814141900048,1700
user2654753737047954800,1900
user4891755326034811890,2000
user2648947634004406223,2100
user4042752444366953875,1500
user3348923913354603620,2200
user8627391162697748212,1900
user1805750855380096785,1600
user6280313993865951413,2200
user8401215584746478334,1900
user2186540823474733975,2100
user9220639807980150802,2200
user7003502868094645332,2100
user517553758061063044,2100
user4872108992151302153,2000
user4278642031651057680,1900
user1231930228763362049,1800
user8633197265741296789,1700
user7697673044401294152,2000
user1704269363843710107,2400
user7943494956236073767,1900
user190115003791248371,1900
user4876795174170569834,1700
user3705381365546463392,2000
user8285893862370130496,1900
user4163320309274709842,1900
user296624322641201295,1700
user1704487679061551990,1800
user8864400671006132913,1800
user7812994766777641990,1900
user2880710999781382795,2100
user9210925798647316875,2000
user5802168755742054778,2000
user5701807185229948996,1800
user2645039727715120873,1900
user2750429125540792901,1800
user6415282050125808988,2400
user8768165322001154364,2800
user7446263344740807843,2600
user4871890676933460270,2000
user161096305869203272,2000
user6521231408463621464,1500
user4640905586886466029,2000
user6973924209660459785,2000
user9100290258290236718,1900
user70667059907773300,2600
user9221199768492291250,1700
user8280866035056564250,2100
user3233042230466115334,1700
user658887877876609644,2000
user7340655631697293932,2500
user5012323190942567857,2300
user6737474661864215532,2000
user4188212785689627708,1600
user5933010590494785120,2200
user7354714177755096975,2400
user4509845436915893804,2900
user8747959027605504179,2300
user7687959035068460225,1800
user3931338628279891387,1900
