Key,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,Run40,Run41,Run42,Run43,Run44,Run45,Run46,Run47,Run48,Run49,Run50,Run51,Run52,Run53,Run54,Run55,Run56,Run57,Run58,Run59,Run60,Run61,Run62,Run63,Run64,Run65,Run66,Run67,Run68,Run69,Run70,Run71,Run72,Run73,Run74,Run75,Run76,Run77,Run78,Run79,Run80,Run81,Run82,Run83,Run84,Run85,Run86,Run87,Run88,Run89,Run90,Run91,Run92,Run93,Run94,Run95,Run96,Run97,Run98,Run99,Run100
user421878369568224943,2600,4000,5800,7000,8600,10000,11400,13000,14000,15500,17000,18200,19900,21500,23000,24900,25900,27000,28100,29700,31500,32800,34500,35900,37300,38500,40200,41600,43100,44900,45900,47600,49000,50600,51900,53400,54500,56300,57900,59200,60100,62100,62900,64300,66200,67900,69200,70900,72600,73900,74900,76400,77800,78600,79800,74100,83700,85300,86600,88000,89000,90800,92200,93800,94000,96300,97600,99100,100500,101900,103600,105000,106500,107600,107000,110500,111800,112300,114600,115900,117300,118500,120200,120100,122700,123900,125100,125400,127700,129000,129900,131700,132800,134600,136200,137000,137900,139200,140200,142400
user1819809401437899828,2100,4000,5400,7000,8600,9900,11500,12800,14000,15500,17000,18500,20000,21800,22700,24300,26000,27000,28600,30000,32000,32600,34500,35800,37000,38600,40200,41400,43500,44700,46000,47300,48900,50600,51800,53500,54800,56500,57700,59300,54900,62500,63500,65000,66200,67900,69400,70600,72200,73700,75000,76100,78000,79000,80800,82200,83600,76600,86700,87700,89600,90600,91900,93600,95000,96300,97400,99200,99900,102100,102300,104800,105300,107500,109200,99400,111900,113500,114700,114400,116200,118800,120000,121700,122800,124000,125500,126700,127800,129000,130800,130700,133100,134500,135800,136900,137800,139100,140500,142000
user1096402211991364026,2500,3900,5700,6800,8600,9800,11300,13000,14000,15600,17000,18700,20000,21400,23000,24400,25900,27000,28200,30000,31600,33000,34500,35900,37400,38900,40000,41800,43000,44700,45900,47500,48500,50700,52000,53300,54200,56200,57700,59200,60600,62000,63700,65000,66500,67200,69100,70800,71600,72300,74900,76500,78000,79400,80900,82300,83500,85200,86800,87900,89500,89900,92100,93500,94600,96200,97900,99000,100300,101800,103600,104500,106600,107900,108800,110800,111700,113100,114700,114700,117400,118900,120200,121500,122900,123900,125200,126700,127700,127700,130200,131800,133200,134700,135700,136900,137800,139000,140700,142400
user3951203277381243007,2500,4000,5500,7000,8500,10000,11400,12900,14000,15400,17000,18600,18100,21200,22700,24400,25900,27000,28600,30000,31400,33000,34400,35700,37600,38600,40600,41100,43000,44700,46000,47400,49100,50300,52000,53100,54900,56200,57800,59100,60900,61800,63600,64900,66700,68000,69000,70800,72200,66500,75000,76600,77900,79500,80700,82500,84000,85000,86800,88000,89500,90700,92200,93800,94900,96300,97600,99500,100900,101800,103500,104800,106400,107700,109200,110800,112000,113200,115000,115900,117200,118700,119800,121300,122800,124000,125300,126600,127900,128800,130100,131700,133000,134900,136000,137000,137900,139400,140900,142300
user1574547450115260661,2300,4000,5600,7000,8700,9900,11200,12900,14000,15500,16900,18200,20000,21700,22900,24200,25600,27000,28700,29800,31000,33000,33800,36000,36900,38400,40200,41800,43200,44200,46000,47600,48800,50600,52000,53200,54500,56200,57700,59100,61000,62200,63000,65000,66700,67900,69300,70800,72200,72900,75000,76400,77100,79600,80700,82300,81900,85200,86700,87900,89300,90700,92200,93400,94900,96300,97800,98100,100600,101900,103700,105000,106200,107400,109000,109300,111900,112100,115000,115900,117500,117600,119600,121800,121600,124000,125200,127000,127900,128800,129100,131800,133000,133500,135700,137000,137900,139500,139300,142200
user7325695479833051876,2300,3900,5500,6600,8300,9900,11500,12900,14000,15600,17000,18600,20000,21800,22800,24500,26000,27000,28500,29700,31600,33000,31100,35900,37400,38800,40100,41600,43000,44700,45900,47600,49000,50400,51800,53600,54700,56400,57700,59200,60600,61900,63600,64900,66300,67800,69300,70700,72300,74000,74200,76200,77900,79100,80900,82200,83700,85200,86700,87900,89400,90800,91800,91700,94900,96100,97600,98100,100700,102000,103300,104900,106400,108000,109200,110600,111700,113100,114800,115800,117200,118800,119900,121600,122900,123900,125500,126800,128000,129000,130300,131500,133000,134300,135900,137000,138000,139300,141000,140900
user4399209896558813647,2500,3900,5400,6900,8200,9800,11500,13000,14000,15300,17000,18500,20000,21500,22900,24400,26000,27000,28500,30000,31500,33000,34400,31900,37300,38800,40100,41700,43200,44900,46000,47500,48700,50400,51800,53500,54900,56200,57900,58700,60900,62100,63600,64400,66500,67700,69800,70700,72100,73500,74900,76500,77700,79100,80700,82500,83700,85500,86800,87800,89300,90000,92100,93500,94800,96500,96800,99500,100700,102000,103300,105000,106300,107900,109300,110600,112000,113100,114700,115700,117300,117500,120200,121700,122600,123800,125000,126600,128000,128800,130800,131900,133100,133500,135600,137000,138000,139100,140500,142500
user2523693587077382575,2600,4000,5600,7000,8600,9700,11700,12900,14000,15500,17000,18700,20000,21300,22900,24600,25900,26800,28300,30000,31200,33000,34400,35800,37200,38700,39800,41300,43200,44700,46000,47400,48900,50500,51400,53300,54800,56100,57900,59200,60900,62300,63900,65000,66100,68000,69500,70900,72200,73800,74900,76200,77800,79400,80800,82200,83700,85500,86700,88000,88400,90300,92300,93700,94800,96400,97800,99100,100400,101700,103300,104900,106600,108000,109400,110800,110800,113100,114600,115900,117100,118900,120000,121300,122800,123700,123000,126300,127600,128800,130100,131800,133100,134300,135800,137000,137700,139400,140700,141800
user6641457628077078866,2100,4000,5500,6900,8600,10000,11500,12700,14000,15500,17000,18400,20000,21500,22800,24200,25800,27000,28300,29600,31400,32900,34400,35900,37500,38400,40200,41800,43100,44600,46000,47600,49000,50400,51900,53600,54900,56300,57900,59300,60600,62200,64000,65000,66400,68000,68900,70700,72300,73700,74900,76200,77900,79400,80900,82200,83800,85200,85700,88000,89600,90600,92000,93500,94000,96100,97900,99100,100800,102100,103500,105000,106400,107600,109100,110100,111800,113100,114700,115900,117300,118900,118800,121500,122600,122800,125300,126700,126600,129000,130400,131200,133300,134300,135700,136900,137900,139200,140800,142100
user412164360235391016,2600,4000,5600,7000,8400,10000,11500,13000,14000,15300,17000,18100,20000,21300,22800,24400,26000,27000,28700,29900,31300,32600,34400,35900,37000,39000,39900,41900,43400,44800,46000,47400,49000,50600,51900,53400,54900,56500,57900,59200,60400,62100,63600,65000,66500,67900,69200,70600,71600,73400,74900,76500,77800,79400,80600,82400,83500,85100,86500,88000,89300,90600,92200,93600,94800,96300,97700,99200,100400,102200,103500,105000,106100,107600,109300,108400,111900,113400,112000,115900,117200,118900,119900,121100,122300,123900,124800,126300,127700,129000,128900,131900,133400,134800,135800,137000,137700,139400,140800,142400
