Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,deadlocks,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
0,load,1000,true,uniform,INSERT,1,5688,2161,1072,1046,1,0,0,0,0,221,12293,1064091297,22412552,640176131,550880559,307560110,7763315,6548348154274,7781057165,1045616529,18913835,1,0,0,0,0,1746,572.737686139748,1000,1410.929,922,14943,1787,2034,1000
1,extend,1000,true,zipfian,EXTEND,2,105496,20717,16264,4456,10001,1563,0,0,0,221,12293,1064091297,22412552,640176131,550881766,307560110,7763315,6548362844521,7781104052,1045616537,18913835,0,0,0,0,1,13195,757.862826828344,10000,1273.1286,867,10103,1599,1731,10000
1,run,1000,true,uniform,READ,2,788139,253940,247034,5106,10012,2178,0,0,0,221,12293,1064091297,22412552,640176131,550882088,307560110,7763315,6548365677094,7781110141,1045616538,18913835,1,0,0,0,0,4465,22396.416573348266,100000,40.43483,22,13135,60,106,100000
1,reference,1000,true,uniform,READ,1,308978,105139,102169,1659,1,0,0,0,0,221,12293,1064091297,22412552,640176131,550882088,307560110,7763315,6548365677238,7781110143,1045616538,18913835,1,0,0,0,0,4062,24618.41457410143,100000,36.38504,22,12559,48,79,100000
1,clean-run,1000,true,uniform,READ,8,659204,221535,219571,2871,1,0,0,0,0,221,12294,1064093951,22412552,640178135,550883547,307560188,7763325,6548374014718,7781115544,1045617480,18913835,1,0,0,0,0,4572,21872.265966754156,100000,41.23178,22,11063,57,100,100000
1,avg-run,1000,true,uniform,READ,10,1596190,537469,531458,5871,5,0,0,0,0,221,12294,1064093951,22412552,640178135,550883885,307560188,7763325,6548376796388,7781122584,1045617482,18913835,1,0,0,0,0,4504,22202.486678507994,100000,40.55018,25,12703,57,90,100000
2,extend,1000,true,zipfian,EXTEND,2,926919,305661,272376,11532,20012,6690,0,0,0,221,12294,1064093951,22412552,640178135,550884647,307560188,7763325,6548394708538,7781176736,1045618403,18913835,0,0,0,0,1,14467,691.2283127116887,10000,1401.5374,871,11703,1693,1824,10000
2,run,1000,true,uniform,READ,2,2189945,736678,700942,12222,20023,7340,0,0,0,221,12294,1064093951,22412552,640178135,550884820,307560188,7763325,6548397870676,7781183737,1045618586,18913835,1,0,0,0,0,4502,22212.35006663705,100000,40.62548,23,17087,56,110,100000
2,reference,1000,true,uniform,READ,1,611639,208924,203931,1659,1,0,0,0,0,221,12294,1064093951,22412552,640178135,550884820,307560188,7763325,6548397870676,7781183737,1045618586,18913835,1,0,0,0,0,3374,29638.41138114997,100000,29.44661,21,13855,41,71,100000
2,clean-run,1000,true,uniform,READ,8,1221406,410970,409006,4751,1,0,0,0,0,221,12295,1064096136,22412552,640179984,550886257,307560217,7763330,6548407613484,7781193066,1045619527,18913835,1,0,0,0,0,4613,21677.866897897246,100000,41.54021,22,12343,57,113,100000
