Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,deadlocks,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
0,load,1000,true,uniform,INSERT,1,6326,3537,1566,1046,1,0,0,0,0,617,22300,1879056717,32024328,1055989441,901635820,612007705,14473901,11889630710015,14094520384,1809986790,36827479,0.5,0.5,0,0,0,1563,639.7952655150352,1000,1181.188,404,17567,1651,1784,1000
1,extend,1000,true,uniform,EXTEND,2,83879,17424,12973,2163,10001,200,0,0,0,617,22300,1879056717,32024328,1055989441,901636653,612007705,14473901,11889641297275,14094558211,1809986790,36827479,0,0,0,0,1,13842,722.4389539083948,10000,1335.4238,875,8711,1658,1802,10000
1,run,1000,true,uniform,READ,2,670847,214912,208015,2290,10001,200,0,0,0,617,22300,1879056717,32024328,1055989441,901636683,612007705,14473901,11889641711958,14094560702,1809986800,36827479,1,0,0,0,0,4677,21381.227282446012,100000,41.67906,26,17711,57,111,100000
1,reference,1000,true,uniform,READ,1,307696,105043,102067,1119,1,0,0,0,0,617,22300,1879056717,32024328,1055989441,901636683,612007705,14473901,11889641711958,14094560702,1809986800,36827479,1,0,0,0,0,4186,23889.15432393693,100000,37.03693,25,14295,52,99,100000
1,clean-run,1000,true,uniform,READ,8,573133,191617,189653,2047,1,0,0,0,0,617,22301,1879058677,32024328,1055990751,901637971,612007739,14473907,11889648703629,14094564374,1809987740,36827479,1,0,0,0,0,4710,21231.422505307855,100000,42.28642,26,12759,56,103,100000
1,avg-run,1000,true,uniform,READ,10,1197153,402281,396264,4047,5,0,0,0,0,617,22301,1879058677,32024328,1055990751,901638271,612007739,14473907,11889651179838,14094569409,1809987742,36827479,1,0,0,0,0,4729,21146.11968703743,100000,42.17824,28,16559,60,133,100000
2,extend,1000,true,uniform,EXTEND,2,778665,259790,227478,6439,20001,2189,0,0,0,617,22301,1879058677,32024328,1055990751,901638535,612007739,14473907,11889663400047,14094615708,1809988459,36827479,0,0,0,0,1,13685,730.7270734380709,10000,1320.2365,730,19455,1648,1779,10000
2,run,1000,true,uniform,READ,2,2029928,679648,644014,6611,20012,2305,0,0,0,617,22301,1879058677,32024328,1055990751,901638576,612007739,14473907,11889664231662,14094619215,1809988500,36827479,1,0,0,0,0,5983,16714.02306535183,100000,54.89229,27,14783,76,129,100000
2,reference,1000,true,uniform,READ,1,610134,208287,203288,1119,1,0,0,0,0,617,22301,1879058677,32024328,1055990751,901638576,612007739,14473907,11889664231662,14094619215,1809988500,36827479,1,0,0,0,0,4565,21905.80503833516,100000,40.58891,24,16559,53,91,100000
2,clean-run,1000,true,uniform,READ,8,1207494,399338,397374,4156,1,0,0,0,0,617,22302,1879059847,32024328,1055991768,901640041,612007756,14473913,11889672698759,14094627327,1809989441,36827479,1,0,0,0,0,5370,18621.973929236497,100000,48.86058,28,12183,71,117,100000
