Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,deadlocks,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
0,load,1000,true,uniform,INSERT,1,7300,4033,2061,1119,8,0,0,0,0,619,22402,1880532074,32024328,1057502352,903219566,612299009,14474533,11912953791095,14125572005,1811141508,36920853,1,0,0,0,0,1909,523.8344683080147,1000,1504.993,984,20847,1856,2117,1000
1,extend,1000,true,zipfian,EXTEND,2,95730,20273,15893,3275,10008,1370,0,0,0,619,22402,1880532074,32024328,1057502352,903220562,612299009,14474533,11912965747214,14125613477,1811141508,36920853,0,0,0,0,1,13928,717.9781734635267,10000,1346.4692,875,9311,1659,1780,10000
1,run,1000,true,uniform,READ,2,635672,204913,198087,3387,10019,1432,0,0,0,619,22402,1880532074,32024328,1057502352,903220591,612299009,14474533,11912966163697,14125616522,1811141510,36920853,1,0,0,0,0,4701,21272.069772388855,100000,42.13839,26,12575,60,130,100000
1,reference,1000,true,uniform,READ,1,307696,105043,102067,1119,1,0,0,0,0,619,22402,1880532074,32024328,1057502352,903220591,612299009,14474533,11912966163697,14125616522,1811141510,36920853,1,0,0,0,0,3901,25634.45270443476,100000,33.94905,24,12039,43,76,100000
1,clean-run,1000,true,uniform,READ,8,527300,179260,177296,1928,1,0,0,0,0,619,22403,1880534214,32024328,1057503842,903221881,612299041,14474544,11912973131871,14125619953,1811142451,36920853,1,0,0,0,0,4657,21473.051320592655,100000,42.02661,26,13663,57,139,100000
1,avg-run,1000,true,uniform,READ,10,1150448,389670,383653,3928,5,0,0,0,0,619,22403,1880534214,32024328,1057503842,903222181,612299041,14474544,11912975608110,14125624989,1811142453,36920853,1,0,0,0,0,5198,19238.16852635629,100000,47.13327,28,12399,61,96,100000
2,extend,1000,true,zipfian,EXTEND,2,762723,254631,222227,9609,20019,5827,0,0,0,619,22403,1880534214,32024328,1057503842,903222820,612299041,14474544,11912992304943,14125677317,1811143313,36920853,0,0,0,0,1,13769,726.2691553489723,10000,1329.1264,476,10903,1680,1849,10000
2,run,1000,true,uniform,READ,2,1849744,626088,591238,9765,20030,5939,0,0,0,619,22403,1880534214,32024328,1057503842,903222859,612299041,14474544,11912993194967,14125682392,1811143369,36920853,1,0,0,0,0,5900,16949.15254237288,100000,53.97205,27,14191,78,177,100000
2,reference,1000,true,uniform,READ,1,610134,208287,203288,1119,1,0,0,0,0,619,22403,1880534214,32024328,1057503842,903222859,612299041,14474544,11912993194967,14125682392,1811143369,36920853,1,0,0,0,0,4420,22624.43438914027,100000,39.15916,24,16639,52,86,100000
2,clean-run,1000,true,uniform,READ,8,1050915,355346,353382,3711,1,0,0,0,0,619,22404,1880535939,32024328,1057505234,903224334,612299061,14474549,11913001570545,14125689597,1811144310,36920853,1,0,0,0,0,5925,16877.637130801686,100000,54.25591,28,16527,77,176,100000
