Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,deadlocks,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
0,load,10000,true,uniform,INSERT,1,38652,12848,1876,10119,1,0,0,0,0,482,18673,1602163182,30580116,999724246,824557227,467148318,13653427,9983045338516,11879831185,1586082980,28391141,1,0,0,0,0,13020,768.0491551459294,10000,1252.2066,374,21023,1631,1749,10000
1,extend,10000,true,uniform,EXTEND,2,857035,143889,111272,21624,100023,2296,0,0,0,482,18673,1602163182,30580116,999724246,824563330,467148318,13653427,9983152558273,11880237241,1586082986,28391141,0,0,0,0,1,136235,734.025764304327,100000,1353.67238,366,10119,1648,1749,100000
1,run,10000,true,uniform,READ,2,1801248,388920,329525,35049,150135,9036,0,0,0,482,18673,1602163182,30580116,999724246,824563884,467148318,13653427,9983199822845,11880489577,1586082986,28391141,0.5,0.5,0,0,0,79235,1262.0685303211965,49921,240.37721600128202,31,14103,508,590,49921
1,run,10000,true,uniform,UPDATE,2,1801248,388920,329525,35049,150135,9036,0,0,0,482,18673,1602163182,30580116,999724246,824563884,467148318,13653427,9983199822845,11880489577,1586082986,28391141,0.5,0.5,0,0,0,79235,1262.0685303211965,50079,1325.6320813115278,730,5331,1648,1763,50079
1,reference,10000,true,uniform,READ,2,617509,145776,107602,12569,49834,381,0,0,0,483,18673,1602164124,30580116,999735916,824567079,467148318,13653427,9983271520559,11880675954,1586087021,28391141,0.5,0.5,0,0,0,77232,1294.8000828672052,50189,222.85225846300983,28,11903,496,574,50189
1,reference,10000,true,uniform,UPDATE,2,617509,145776,107602,12569,49834,381,0,0,0,483,18673,1602164124,30580116,999735916,824567079,467148318,13653427,9983271520559,11880675954,1586087021,28391141,0.5,0.5,0,0,0,77232,1294.8000828672052,49811,1309.528076127763,296,6139,1646,1768,49811
1,clean-run,10000,true,uniform,READ,549,1106337,268582,238527,40163,49995,9263,0,4,385024,483,18674,1602175463,30580116,999735917,824573642,467170549,13653450,9983363967990,11880978809,1586090681,28391711,0.5,0.5,0,0,0,81005,1234.4916980433306,50017,268.59253853689745,33,16991,520,600,50017
1,clean-run,10000,true,uniform,UPDATE,549,1106337,268582,238527,40163,49995,9263,0,4,385024,483,18674,1602175463,30580116,999735917,824573642,467170549,13653450,9983363967990,11880978809,1586090681,28391711,0.5,0.5,0,0,0,81005,1234.4916980433306,49983,1335.2929195926615,342,6223,1662,1777,49983
1,avg-run,10000,true,uniform,READ,551,2634155,684523,600772,80342,99657,21092,0,4,385024,483,18674,1602175463,30580116,999735917,824579710,467170549,13653450,9983437830537,11881288487,1586090687,28391711,0.5,0.5,0,0,0,84244,1187.0281563078677,50353,302.9650070502254,33,1951,528,601,50353
1,avg-run,10000,true,uniform,UPDATE,551,2634155,684523,600772,80342,99657,21092,0,4,385024,483,18674,1602175463,30580116,999735917,824579710,467170549,13653450,9983437830537,11881288487,1586090687,28391711,0.5,0.5,0,0,0,84244,1187.0281563078677,49647,1371.8186798799525,296,16143,1663,1775,49647
