Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,deadlocks,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
0,load,1000,true,uniform,INSERT,1,6253,2647,1552,1046,1,0,0,0,0,577,21469,1841091352,32024328,1044853559,890363591,566926664,14459454,11487103285154,13375023005,1782432494,35935748,0.5,0.5,0,0,0,1866,535.9056806002144,1000,1471.948,977,19311,1806,2016,1000
1,extend,1000,true,zipfian,EXTEND,2,96905,19853,15734,3336,10001,1407,0,0,0,577,21469,1841091352,32024328,1044853559,890364582,566926664,14459454,11487115571319,13375065761,1782432502,35935748,0,0,0,0,1,14360,696.3788300835655,10000,1385.5139,747,10991,1671,1808,10000
1,run,1000,true,uniform,READ,2,966096,244841,231364,15023,59811,11513,0,0,0,577,21469,1841091352,32024328,1044853559,890365471,566926664,14459454,11487156280767,13375288214,1782432506,35935748,0.5,0.5,0,0,0,78134,1279.8525609849746,50212,238.0218871982793,34,14143,502,581,50212
1,run,1000,true,uniform,UPDATE,2,966096,244841,231364,15023,59811,11513,0,0,0,577,21469,1841091352,32024328,1044853559,890365471,566926664,14459454,11487156280767,13375288214,1782432506,35935748,0.5,0.5,0,0,0,78134,1279.8525609849746,49788,1313.0013657909537,347,17103,1632,1744,49788
1,reference,1000,true,uniform,READ,2,799670,204098,191338,11556,49985,8077,0,0,0,577,21469,1841091352,32024328,1044853559,890367119,566926664,14459454,11487198385887,13375504197,1782432508,35935748,0.5,0.5,0,0,0,76988,1298.903725255884,50027,223.10734203530095,31,13599,496,571,50027
1,reference,1000,true,uniform,UPDATE,2,799670,204098,191338,11556,49985,8077,0,0,0,577,21469,1841091352,32024328,1044853559,890367119,566926664,14459454,11487198385887,13375504197,1782432508,35935748,0.5,0.5,0,0,0,76988,1298.903725255884,49973,1300.4095411522221,403,15919,1628,1743,49973
1,clean-run,1000,true,uniform,READ,8,945268,247479,234909,15246,49914,11763,0,0,0,577,21470,1841095941,32024328,1044857538,890370243,566926724,14459463,11487249689324,13375743507,1782435123,35935748,0.5,0.5,0,0,0,80298,1245.361030162644,50098,259.9881432392511,35,1447,516,590,50098
1,clean-run,1000,true,uniform,UPDATE,8,945268,247479,234909,15246,49914,11763,0,0,0,577,21470,1841095941,32024328,1044857538,890370243,566926724,14459463,11487249689324,13375743507,1782435123,35935748,0.5,0.5,0,0,0,80298,1245.361030162644,49902,1331.825457897479,348,18319,1643,1754,49902
1,avg-run,1000,true,uniform,READ,10,1546909,405393,383187,19414,100008,14973,0,0,0,577,21470,1841095941,32024328,1044857538,890371332,566926724,14459463,11487273012345,13375902794,1782435127,35935748,0.5,0.5,0,0,0,78228,1278.3146699391523,49921,237.73147573165602,28,15175,497,570,49921
1,avg-run,1000,true,uniform,UPDATE,10,1546909,405393,383187,19414,100008,14973,0,0,0,577,21470,1841095941,32024328,1044857538,890371332,566926724,14459463,11487273012345,13375902794,1782435127,35935748,0.5,0.5,0,0,0,78228,1278.3146699391523,50079,1308.214301403782,419,5519,1614,1725,50079
