Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,deadlocks,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
0,load,10000,true,uniform,INSERT,1,37285,2965,1921,10119,1,0,0,0,0,23,309,1856251,7972554,25715658,21735444,13333988,64848,116577832030,255004215,7289792,330279,1,0,0,0,0,12823,779.848709350386,10000,1239.8631,821,8959,1615,1751,10000
1,extend,10000,true,uniform,EXTEND,1,38714,3806,2745,10119,1,0,0,0,0,23,309,1856251,7972554,25715658,21736950,13333988,64848,116590115902,255034286,7289792,330279,0,0,0,0,1,464,215517.24137931035,0,NaN,9223372036854775807,0,0,0,100000
1,run,10000,true,uniform,READ,2,347727,126057,104550,10181,12,62,0,0,0,23,309,1856251,7972554,25715658,21736968,13333988,64848,116590329776,255035929,7289793,330279,1,0,0,0,0,3822,26164.311878597593,100000,33.7975,19,12607,45,82,100000
1,reference,10000,true,uniform,READ,1,336983,112192,101225,10046,1,0,0,0,0,23,309,1856251,7972554,25715658,21736968,13333988,64848,116590329837,255035930,7289793,330279,1,0,0,0,0,4113,24313.153415998055,100000,36.37408,21,12567,49,82,100000
1,clean-run,10000,true,uniform,READ,52,313836,112565,101596,10126,1,0,0,4,385024,23,310,1860237,7972554,25718997,21739454,13334043,64858,116605802799,255040530,7290780,330279,1,0,0,0,0,3799,26322.716504343247,100000,33.25846,19,12119,45,78,100000
1,avg-run,10000,true,uniform,READ,53,653981,244391,203379,20126,5,0,0,4,385024,23,310,1860237,7972554,25718997,21740958,13334043,64858,116618088938,255070629,7290782,330279,1,0,0,0,0,4183,23906.28735357399,100000,37.11688,21,11215,49,78,100000
2,extend,10000,true,uniform,EXTEND,2,357333,172656,108791,10181,12,62,0,0,0,23,310,1860237,7972554,25718997,21740958,13334043,64858,116618088938,255070629,7290782,330279,0,0,0,0,1,443,225733.6343115124,0,NaN,9223372036854775807,0,0,0,100000
2,run,10000,true,uniform,READ,2,663750,295807,210620,10243,23,124,0,0,0,23,310,1860237,7972554,25718997,21740973,13334043,64858,116618364813,255070962,7290821,330279,1,0,0,0,0,3715,26917.900403768504,100000,32.45409,19,11807,44,79,100000
2,reference,10000,true,uniform,READ,1,641886,233306,202316,10046,1,0,0,0,0,23,310,1860237,7972554,25718997,21740973,13334043,64858,116618364813,255070962,7290821,330279,1,0,0,0,0,3957,25271.670457417236,100000,34.78635,21,12271,48,84,100000
2,clean-run,10000,true,uniform,READ,52,308556,111317,101225,10046,1,0,0,4,385024,23,311,1860307,7972554,25720881,21743443,13334055,64864,116633617405,255073965,7291806,330279,1,0,0,0,0,3904,25614.754098360656,100000,34.27479,18,13239,45,81,100000
2,avg-run,10000,true,uniform,READ,53,649782,243939,202927,20119,5,0,0,4,385024,23,311,1860307,7972554,25720881,21744964,13334055,64864,116646263890,255106034,7291815,330279,1,0,0,0,0,3503,28546.959748786754,100000,30.43949,19,12311,42,77,100000
3,extend,10000,true,uniform,EXTEND,2,673356,342406,214861,10243,23,124,0,0,0,23,311,1860307,7972554,25720881,21744964,13334055,64864,116646263890,255106034,7291815,330279,0,0,0,0,1,455,219780.21978021978,0,NaN,9223372036854775807,0,0,0,100000
3,run,10000,true,uniform,READ,2,979557,464643,316652,10305,34,186,0,0,0,23,311,1860307,7972554,25720881,21744964,13334055,64864,116646516604,255106245,7291837,330279,1,0,0,0,0,3724,26852.846401718583,100000,32.59185,19,11543,44,76,100000
3,reference,10000,true,uniform,READ,1,950332,355555,303665,10119,1,0,0,0,0,23,311,1860307,7972554,25720881,21744979,13334055,64864,116646516604,255106245,7291837,330279,1,0,0,0,0,3682,27159.152634437807,100000,32.02525,21,11999,46,80,100000
3,clean-run,10000,true,uniform,READ,52,313615,112388,101419,10119,1,0,0,4,385024,23,312,1861807,7972554,25722767,21747465,13334079,64869,116661990327,255110835,7292824,330279,1,0,0,0,0,3759,26602.819898909285,100000,33.163,21,11807,44,93,100000
