Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,deadlocks,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
0,load,1000,true,uniform,INSERT,210,5450,1117,1030,1046,1,0,0,0,0,1,13,28114,0,26201,34976,545,494,412982824,869299,28252,2924,1,0,0,0,0,735,1360.544217687075,1000,493.05,268,10951,814,1172,1000
1,spread-run,2000,true,uniform,READ,417,310756,102175,102068,2046,1,0,0,0,0,1,13,28114,0,26201,35232,545,494,414588594,872306,28252,2924,1,0,0,0,0,2946,33944.33129667345,100000,25.99182,19,10975,52,107,100000
2,spread-run,3000,true,uniform,READ,624,616061,203233,203106,3046,1,0,0,0,0,1,13,28114,0,26201,35439,545,494,416191382,875313,28252,2924,1,0,0,0,0,3098,32278.889606197547,100000,27.53287,19,13887,55,109,100000
3,spread-run,4000,true,uniform,READ,902,925000,305442,304424,4331,1,0,0,0,0,1,13,28114,0,26201,35717,545,494,418419291,879695,28253,2924,1,0,0,0,0,3018,33134.52617627568,100000,26.78585,19,9463,54,104,100000
11,spread-run,5000,true,uniform,READ,1112,1230463,406802,405764,5331,1,0,0,0,0,1,13,28114,0,26201,35927,545,494,420036163,882706,28253,2924,1,0,0,0,0,3103,32226.877215597808,100000,27.56191,19,12671,54,108,100000
12,spread-run,6000,true,uniform,READ,1312,1535905,508162,507104,6331,1,0,0,0,0,1,13,28114,0,26201,36127,545,494,421615054,885707,28253,2924,1,0,0,0,0,3178,31466.331025802392,100000,28.34306,19,10095,53,113,100000
13,spread-run,7000,true,uniform,READ,1514,1841351,609522,608444,7331,1,0,0,0,0,1,13,28114,0,26201,36329,545,494,423201525,888709,28253,2924,1,0,0,0,0,3073,32541.490400260333,100000,27.25411,19,9639,58,103,100000
21,spread-run,8000,true,uniform,READ,1723,2146811,710882,709784,8331,1,0,0,0,0,1,13,28114,0,26201,36538,545,494,424813292,891718,28253,2924,1,0,0,0,0,2963,33749.578130273374,100000,26.14694,19,10415,48,101,100000
22,spread-run,9000,true,uniform,READ,1944,2452295,812242,811124,9331,1,0,0,0,0,1,13,28114,0,26201,36759,545,494,426469698,894740,28253,2924,1,0,0,0,0,3046,32829.94090610637,100000,26.98865,19,10519,54,101,100000
23,spread-run,10000,true,uniform,READ,2145,2757739,913602,912464,10331,1,0,0,0,0,1,13,28114,0,26201,36960,545,494,428051892,897741,28253,2924,1,0,0,0,0,3101,32247.662044501772,100000,27.59508,19,10247,55,112,100000
