/usr/bin/java  -classpath /home/ubuntu/ycsb-ec2-bundle/conf:/home/ubuntu/ycsb-ec2-bundle/core/target/core-0.18.0-SNAPSHOT.jar:/home/ubuntu/ycsb-ec2-bundle/core/target/dependency/HdrHistogram-2.1.4.jar:/home/ubuntu/ycsb-ec2-bundle/core/target/dependency/htrace-core4-4.1.0-incubating.jar:/home/ubuntu/ycsb-ec2-bundle/core/target/dependency/jackson-core-asl-1.9.4.jar:/home/ubuntu/ycsb-ec2-bundle/core/target/dependency/jackson-mapper-asl-1.9.4.jar:/home/ubuntu/ycsb-ec2-bundle/jdbc-array/src/main/conf:/home/ubuntu/ycsb-ec2-bundle/jdbc-array/target/jdbc-array-binding-0.18.0-SNAPSHOT.jar:/home/ubuntu/ycsb-ec2-bundle/jdbc-array/target/jdbc-binding-0.18.0-SNAPSHOT.jar:/home/ubuntu/ycsb-ec2-bundle/jdbc-array/target/dependency/checker-qual-3.5.0.jar:/home/ubuntu/ycsb-ec2-bundle/jdbc-array/target/dependency/commons-collections-3.2.1.jar:/home/ubuntu/ycsb-ec2-bundle/jdbc-array/target/dependency/commons-lang-2.4.jar:/home/ubuntu/ycsb-ec2-bundle/jdbc-array/target/dependency/commons-pool-1.5.4.jar:/home/ubuntu/ycsb-ec2-bundle/jdbc-array/target/dependency/geronimo-jms_1.1_spec-1.1.1.jar:/home/ubuntu/ycsb-ec2-bundle/jdbc-array/target/dependency/geronimo-jta_1.1_spec-1.1.1.jar:/home/ubuntu/ycsb-ec2-bundle/jdbc-array/target/dependency/openjpa-jdbc-2.1.1.jar:/home/ubuntu/ycsb-ec2-bundle/jdbc-array/target/dependency/openjpa-kernel-2.1.1.jar:/home/ubuntu/ycsb-ec2-bundle/jdbc-array/target/dependency/openjpa-lib-2.1.1.jar:/home/ubuntu/ycsb-ec2-bundle/jdbc-array/target/dependency/postgresql-42.5.4.jar:/home/ubuntu/ycsb-ec2-bundle/jdbc-array/target/dependency/serp-1.13.1.jar site.ycsb.Client -t -db site.ycsb.db.JdbcDBClient -s -P ../workloads/workloada-extend -P ../jdbc-binding/conf/postgres.properties -p db.url=jdbc:postgresql://localhost:5432/ycsb_backup -p db.user=ycsb -p db.passwd=USyd2025
Adding shard node URL: jdbc:postgresql://localhost:5432/ycsb_backup
Using shards: 1, batchSize:-1, fetchSize: -1
[OVERALL], RunTime(ms), 78398
[OVERALL], Throughput(ops/sec), 1275.5427434373325
[TOTAL_GCS_G1_Young_Generation], Count, 5
[TOTAL_GC_TIME_G1_Young_Generation], Time(ms), 9
[TOTAL_GC_TIME_%_G1_Young_Generation], Time(%), 0.011479884690935993
[TOTAL_GCS_G1_Concurrent_GC], Count, 0
[TOTAL_GC_TIME_G1_Concurrent_GC], Time(ms), 0
[TOTAL_GC_TIME_%_G1_Concurrent_GC], Time(%), 0.0
[TOTAL_GCS_G1_Old_Generation], Count, 0
[TOTAL_GC_TIME_G1_Old_Generation], Time(ms), 0
[TOTAL_GC_TIME_%_G1_Old_Generation], Time(%), 0.0
[TOTAL_GCs], Count, 5
[TOTAL_GC_TIME], Time(ms), 9
[TOTAL_GC_TIME_%], Time(%), 0.011479884690935993
[READ], Operations, 49629
[READ], AverageLatency(us), 231.98309456164742
[READ], MinLatency(us), 25
[READ], MaxLatency(us), 18063
[READ], 95thPercentileLatency(us), 507
[READ], 99thPercentileLatency(us), 592
[READ], Return=OK, 49629
[CLEANUP], Operations, 1
[CLEANUP], AverageLatency(us), 991.0
[CLEANUP], MinLatency(us), 991
[CLEANUP], MaxLatency(us), 991
[CLEANUP], 95thPercentileLatency(us), 991
[CLEANUP], 99thPercentileLatency(us), 991
[UPDATE], Operations, 50371
[UPDATE], AverageLatency(us), 1311.12163745012
[UPDATE], MinLatency(us), 306
[UPDATE], MaxLatency(us), 8095
[UPDATE], 95thPercentileLatency(us), 1644
[UPDATE], 99thPercentileLatency(us), 1750
[UPDATE], Return=OK, 50371
