/usr/bin/java  -classpath /home/ubuntu/ycsb-ec2-bundle/conf:/home/ubuntu/ycsb-ec2-bundle/core/target/core-0.18.0-SNAPSHOT.jar:/home/ubuntu/ycsb-ec2-bundle/core/target/dependency/HdrHistogram-2.1.4.jar:/home/ubuntu/ycsb-ec2-bundle/core/target/dependency/htrace-core4-4.1.0-incubating.jar:/home/ubuntu/ycsb-ec2-bundle/core/target/dependency/jackson-core-asl-1.9.4.jar:/home/ubuntu/ycsb-ec2-bundle/core/target/dependency/jackson-mapper-asl-1.9.4.jar:/home/ubuntu/ycsb-ec2-bundle/jdbc/src/main/conf:/home/ubuntu/ycsb-ec2-bundle/jdbc/target/jdbc-binding-0.18.0-SNAPSHOT.jar:/home/ubuntu/ycsb-ec2-bundle/jdbc/target/dependency/checker-qual-3.5.0.jar:/home/ubuntu/ycsb-ec2-bundle/jdbc/target/dependency/commons-collections-3.2.1.jar:/home/ubuntu/ycsb-ec2-bundle/jdbc/target/dependency/commons-lang-2.4.jar:/home/ubuntu/ycsb-ec2-bundle/jdbc/target/dependency/commons-pool-1.5.4.jar:/home/ubuntu/ycsb-ec2-bundle/jdbc/target/dependency/geronimo-jms_1.1_spec-1.1.1.jar:/home/ubuntu/ycsb-ec2-bundle/jdbc/target/dependency/geronimo-jta_1.1_spec-1.1.1.jar:/home/ubuntu/ycsb-ec2-bundle/jdbc/target/dependency/openjpa-jdbc-2.1.1.jar:/home/ubuntu/ycsb-ec2-bundle/jdbc/target/dependency/openjpa-kernel-2.1.1.jar:/home/ubuntu/ycsb-ec2-bundle/jdbc/target/dependency/openjpa-lib-2.1.1.jar:/home/ubuntu/ycsb-ec2-bundle/jdbc/target/dependency/postgresql-42.5.4.jar:/home/ubuntu/ycsb-ec2-bundle/jdbc/target/dependency/serp-1.13.1.jar site.ycsb.Client -t -db site.ycsb.db.JdbcDBClient -s -P ../workloads/workloada-extend -P ../jdbc-binding/conf/postgres.properties -p db.url=jdbc:postgresql://localhost:5432/ycsb_backup -p db.user=ycsb -p db.passwd=USyd2025
Adding shard node URL: jdbc:postgresql://localhost:5432/ycsb_backup
Using shards: 1, batchSize:-1, fetchSize: -1
[OVERALL], RunTime(ms), 92763
[OVERALL], Throughput(ops/sec), 1078.016019318047
[TOTAL_GCS_G1_Young_Generation], Count, 73
[TOTAL_GC_TIME_G1_Young_Generation], Time(ms), 54
[TOTAL_GC_TIME_%_G1_Young_Generation], Time(%), 0.058212865043174536
[TOTAL_GCS_G1_Concurrent_GC], Count, 0
[TOTAL_GC_TIME_G1_Concurrent_GC], Time(ms), 0
[TOTAL_GC_TIME_%_G1_Concurrent_GC], Time(%), 0.0
[TOTAL_GCS_G1_Old_Generation], Count, 0
[TOTAL_GC_TIME_G1_Old_Generation], Time(ms), 0
[TOTAL_GC_TIME_%_G1_Old_Generation], Time(%), 0.0
[TOTAL_GCs], Count, 73
[TOTAL_GC_TIME], Time(ms), 54
[TOTAL_GC_TIME_%], Time(%), 0.058212865043174536
[READ], Operations, 50060
[READ], AverageLatency(us), 363.475469436676
[READ], MinLatency(us), 205
[READ], MaxLatency(us), 23007
[READ], 95thPercentileLatency(us), 518
[READ], 99thPercentileLatency(us), 627
[READ], Return=OK, 50060
[CLEANUP], Operations, 1
[CLEANUP], AverageLatency(us), 919.0
[CLEANUP], MinLatency(us), 919
[CLEANUP], MaxLatency(us), 919
[CLEANUP], 95thPercentileLatency(us), 919
[CLEANUP], 99thPercentileLatency(us), 919
[UPDATE], Operations, 49940
[UPDATE], AverageLatency(us), 1477.950841009211
[UPDATE], MinLatency(us), 416
[UPDATE], MaxLatency(us), 127231
[UPDATE], 95thPercentileLatency(us), 1801
[UPDATE], 99thPercentileLatency(us), 2335
[UPDATE], Return=OK, 49940
