ycsb_key,size
user4891755326034811890,2500
user7702359226420561833,2500
user7455977354073641770,2500
user3820703087922811230,2500
user1116048545874873763,2600
user7239952415890889585,2500
user7707045408439829514,2700
user8627391162697748212,2500
user4394523714539545966,2400
user4761255136576380113,2500
user1955337418209897851,2500
user990452853653551550,2700
user5349475954545216457,2600
user7682152932024911648,2500
user170810315202037199,2700
user1467819816047465854,2600
user5007637008923300176,2300
user4515651539959442381,2400
user185428821771980690,2400
user7943494956236073767,2500
user9110004267623070645,2400
user60174774844957042,2200
user5450397485569462687,2400
user3695667356213629465,2600
user2191786966006142104,2600
user8874114680338966840,2600
user3131779054147570539,2600
user6279754033353810965,2600
user1367116600241061507,2700
user6656417779941320922,2700
user3936243125517000951,2800
user4298848326046707865,2600
user281664170776959239,2400
user2865750847917140739,2400
user7461441811822891782,2500
user5324583478130298591,2400
user2171580671610491919,2500
user1101088394010631707,2500
user3242974555016791144,2300
user3469150132968061022,2800
user4997363039078325801,2500
user2056040634016302198,2400
user3565167166755197688,2500
user3825389269942078911,2600
user1473284273796715866,2500
user5807414898273462907,2600
user2523693587077382575,2300
user7109110581138159243,2800
user3714753729584998754,2500
user8270933710505888440,2600
user4640687271668624146,2800
user4997704684372624366,2600
user6862728708791239180,2500
user6284781860667377211,2600
user7099738217099623881,2600
user5329269660149566272,2500
user296624322641201295,2500
user1935691084326388114,2800
user884845140610037639,2500
user296842637859043178,2800
user7812994766777641990,2300
user7572077352179971939,2800
user3951203277381243007,2400
user8762919179469746235,2700
user4057152635719055483,2800
user4626287080316522538,2700
user2765389277405034957,2400
user5827061232156972644,2600
user5600544008911404201,2600
user6983856534211135595,2500
user3584813500638707425,2500
user3016457331771222701,2700
user990234538435709667,2700
user658887877876609644,2300
user1960583560741305980,2600
user6395635716242299251,2600
user3348923913354603620,2400
user8733340521035560688,2400
user5802168755742054778,2500
user9206239616628049194,2800
user4168348136588276088,2400
user4505159254896626123,2500
user190115003791248371,2400
user8507383258302132693,2700
user8994122584734582359,2700
user5937696772514052801,2300
user1005631320735635489,2500
user885063455827879522,2400
user1352156448376819451,2700
user1945405093659222041,2400
user3338649943509629245,2600
user7677466750005643967,2300
user6385703391691623441,2600
user517553758061063044,2300
user7562145027629296129,2200
user8270373749993747992,2400
user4298288365534567417,2500
user8637883447760564470,2200
user7118824590470993170,2400
user759031133170873543,2400
user6405349725575133178,2700
user2051012806702735952,2500
user3806302896570709622,2500
user2996251037375572516,2400
user8165325997462374529,2600
user1694555354510876180,2300
user5107780264217564075,2800
user8059376639124562053,2500
user1709515506375118236,2700
user4173034318607543769,2700
user5339761945212382530,2500
user7682712892537052096,2500
user6169460138291029373,2500
user1704269363843710107,2600
user6521231408463621464,2400
user7104206083901049679,2700
user5354162136564484138,2300
user1950651236190630170,2700
user311242829211144786,2500
user5585583857047162145,2500
user7461223496605049899,2700
user4408923905891647574,2800
user7717537693502645772,2600
user2870437029936408420,2500
user5229126404855302373,2500
user5696001082186400419,2400
user4057370950936897366,2500
user7450949526760075524,2300
user1815123219418632147,2600
user528046043123879302,2500
user6867974851322647309,2700
user5233812586874570054,2600
user2417744228739570099,2600
user6520889763169322899,2400
user2056258949234144081,2800
user70107099395632852,2800
user8743832806098376946,2700
user648395592813793386,2700
user6872442718124073107,2800
user8039170344728911868,2500
user533073870437445548,2500
user1332851759787608279,2200
user3218082078601873278,2300
user4525365549292276308,2500
user8878800862358234521,2800
user2534185872140198833,2600
user6887621185206157046,2500
user5932668945200486555,2400
user7466127993842159463,2700
user7581791361512805866,2600
user6188764826880240545,2400
user4770627500614915475,2500
user6515985265932213335,2400
user8618018798659212850,2500
user8391501575413644407,2500
user3121846729596894729,2400
user8290580044389398177,2600
user6757120995747725269,2400
user6647045415902785560,2800
user2890643324332058605,2500
user5228908089637460490,2600
user4192898967708895389,2600
user1236616410782629730,2400
user3126532911616162410,2500
user2740496800990117091,2400
user5214507898285358882,2400
user1921072577756444623,2700
user1241302592801897411,2400
user8752645209624771860,2400
user7692426901869886023,2600
user8989654717933156561,2700
user7345901774228702061,2400
user8396529402727210653,2600
user4389837532520278285,2500
user4534737913330811670,2500
user171028630419879082,2300
user2413058046720302418,2600
user4399209896558813647,2500
user6641239312859236983,2500
user3343896086041037374,2700
user2648947634004406223,2600
user2066532919079118456,2400
user2277530029948304395,2600
user7577105179493538185,2700
user1805750855380096785,2600
user5566279168457950973,2700
user5012323190942567857,2400
user8029797980690376506,2600
user5460111494902296614,2300
user2543558236178734195,2400
user2282776172479712524,2200
user8637665132542722587,2600
user8642911275074130716,2700
user1462791988733899608,2600
user3468931817750219139,2600
user5364654421627300396,2400
user8401215584746478334,2600
user5329829620661706720,2600
user2533625911628058385,2700
user4042752444366953875,2600
user5575651532496486335,2700
user7942934995723933319,2600
user8276179853037296569,2600
user5590611684360728391,2700
user6987982755718262828,2500
user1940718911639954360,2400
user4182406682646079131,2700
user4414170048423055703,2500
user3232482269953974886,2600
user764277275702281672,2700
user7104424399118891562,2600
user991012814165691998,2700
user3005965046708406443,2600
user9105318085603802964,2700
user1246548735333305540,2600
user3353268450079572736,2600
user4052684768917629685,2500
user5479976144003648234,2500
user8145119703066724344,2500
user4283669858964623926,2700
user4972812207957706500,2500
user3685735031662953655,2300
user3107446538244793121,2400
user2046326624683468271,2800
user8049444314573886243,2400
user1116266861092715646,2600
user2529499690120931152,2700
user8174698361500909891,2500
user3102200395713384992,2700
user3111914405046218919,2700
user3927430721990606037,2500
user6390389573710891122,2600
user4187652825177487260,2900
user8632978950523454906,2700
user759249448388715426,2500
user7471155821155725709,2400
user3459217808417385212,2600
user1458105806714631927,2500
user643367765500227140,2600
user3956449419912651136,2400
user8531715774204910111,2500
user6410035907594400859,2300
user3011771149751955020,2600
user3474177960281627268,2600
user980520529102875740,2700
user3690421213682221336,2600
user508181394022527682,2400
user1251794877864713669,2300
user4409702181621629905,2500
user6505711296087238960,2500
user4997922999590466249,2100
user1236834726000471613,2700
user3343117810311055043,2700
user648613908031635269,2300
user4188212785689627708,2400
user6761807177766992950,2500
user7219746121495239400,2400
user8517097267634966620,2500
user2519225720275956777,2300
user4038066262347686194,2400
user6159186168446054998,2400
user2760703095385767276,2700
user8984750220696046997,2600
user4153387984724034032,2500
user8155611988129540602,2700
user4525023903997977743,2500
user3710627508077871521,2700
user4982744532508382310,2600
user6400321898261566932,2800
user5802728716254195226,2600
user1593633823486629950,2500
user1573987489603120213,2500
user4736362660161462247,2500
user5364094461115159948,2700
user8049102669279587678,2500
user7687959035068460225,2600
user1935472769108546231,2400
user6973924209660459785,2600
user3232700585171816769,2500
user869884988745795583,2300
user4751541127243546186,2700
user8753205170136912308,2500
user5715865731287752039,2500
user2644821412497278990,2600
user8179944504032318020,2200
user402013720466873323,2400
user8044198172042478114,2700
user9090357933739560908,2500
user8170012179481642210,2400
user1222216219430528122,2600
user5335075763193114849,2700
user3011211189239814572,2100
user5686287072853566492,2300
user8421080233847829954,2600
user6285000175885219094,2500
user2292708497030388334,2600
user7224773948808805646,2600
user1372362742772469636,2600
user1357744236202526145,2500
user1810437037399364466,2700
user7355274138267237423,2400
user291596495327635049,2800
user1463133634028198173,2400
user7094492074568215752,2600
user4862176667600626343,2700
user8280866035056564250,2600
user6636553130839969302,2500
user5475289961984380553,2500
user3926870761478465589,2700
user2528939729608790704,2500
user2538872054159466514,2600
user60393090062798925,2700
user4042192483854813427,2500
user3001278864689138762,2600
user1347470266357551770,2500
user1473065958578873983,2600
user2649507594516546671,2700
user55146947531390796,2500
user7711731590459097195,2400
user1482998283129549793,2600
user5002390866391892047,2400
user4881823001484136080,2400
user2538312093647326066,2900
user2639233624671572296,2700
user8964543926300396812,2600
user6033932121519031350,2600
user5233594271656728171,2600
user1106334536542039836,2600
user7446263344740807843,2700
user774209600252957482,2300
user2302422506363222261,2600
user5696779357916382750,2300
user1950091275678489722,2900
user995139035672819231,2400
user874571170765063264,2700
user6399761937749426484,2600
user4419416190954463832,2400
user1931004902307120433,2700
user296282677346902730,2400
user1362430418221793826,2300
user3233260545683957217,2700
user8401433899964320217,2600
user8758451312668320437,2600
user6762585453496975281,2300
user4288574356201733490,2500
user5821815089625564515,2200
user1940377266345655795,2500
user8747959027605504179,2400
user2755115307560060582,2300
user1111580679073447965,2600
user2982192491317769473,2600
user6882935003186889365,2800
user7934122592197538405,2600
user4168006491293977523,2400
user8527247907403484313,2400
user5103094082198296394,2300
user1718887870413653598,2500
user9119936592173746455,2400
user2176826814141900048,2400
user3821263048434951678,2600
user880158958590769958,2600
user2876243132979956997,2300
user3227454442640408640,2500
user2060726816035569879,2600
user8305758511471482116,2400
user638681583480959459,2400
user2398657855368200810,2600
user9125182734705154584,2600
user306556647191877105,2700
user4278642031651057680,2700
user1468379776559606302,2700
user1468038131265307737,2600
user3921624618947057460,2600
user3483550324320162630,2600
user74793281414900533,2600
user4530051731311543989,2600
user5927764447963376991,2400
user8285893862370130496,2500
user7244638597910157266,2800
user3604678149740059045,2400
user8632637305229156341,2700
user7928876449666130276,2600
user2509293395725280967,2200
user2051354451997034517,2500
user1231588583469063484,2600
user7591723686063481676,2400
user3810989078589977303,2800
user1105774576029899388,2700
user3941830913342707645,2600
user5692093175897115069,2300
user2996592682669871081,2700
user3931338628279891387,2500
user3575099491305873498,2700
user7210373757456704038,2400
user4630413301823649771,2600
user1825055543969307957,2500
user1574547450115260661,2400
user7576203573687099172,2400
user1941278872152094808,2400
user185988782284121138,2600
user527827727906037419,2400
user5933010590494785120,2700
user894777465160713449,2500
user1699583181824442426,2500
user3454531626398117531,2500
user8064062821143829734,2700
user653081774833061067,2500
user5108340224729704523,2700
user4519559446248727731,2500
user1820151046732198393,2500
user8415834091316421825,2400
user5358848318583751819,2600
user6983296573698995147,2400
user523359861104611621,2700
user2056818909746284529,2300
user4756227309262813867,2600
user7928534804371831711,2300
user6174364635528138937,2600
user6178832502329564735,2500
user64860956864224723,2500
user8893979329440318460,2600
user8984408575401748432,2600
user1125980870425549573,2700
user6506271256599379408,2700
user8652283639112666078,2400
user2292490181812546451,2700
user4163320309274709842,2400
user8979722393382480751,2700
user6279535718135969082,2600
user5107998579435405958,2200
user7215059939475971719,2700
user2172140632122632367,2600
user2523911902295224458,2700
user6636771446057811185,2700
user7335627804383727686,2800
user6149253843895379188,2700
user754563266369447745,2300
user7823487051840458248,2500
user1583359853641655575,2600
user4741048842180729928,2300
user7008189050113913013,2500
user7114138408451725489,2500
user6622152939487867694,2400
user4775873643146323604,2700
user3233042230466115334,2700
user6651171637409912793,2600
user4067084960269731293,2600
user4872108992151302153,2500
user3589717997875816989,2800
user6063510779953216897,2900
user1337537941806875960,2600
user7596409868082749357,2600
