ycsb_key,size
user4520337721978710062,89700
user7822927091328317800,90300
user3715313690097139202,67600
user5358848318583751819,63600
user6285000175885219094,65000
user4037506301835545746,96900
user4992458541841216237,62700
user7581791361512805866,62400
user2156962165040548428,76200
user4283669858964623926,65800
user7938808774216806086,60200
user4505159254896626123,92500
user9215611980666584556,65600
user5696779357916382750,68500
user8984408575401748432,107700
user8531155813692769663,78600
user5364654421627300396,62800
user991012814165691998,95200
user5344448127231650211,61500
user890091283141445768,66900
user60393090062798925,65600
user2046326624683468271,87400
user50460765512123115,76400
user6993570543543969522,62000
user5113586367261112652,64300
user6998256725563237203,81800
user6742720804395623661,82100
user7345901774228702061,63500
user1583359853641655575,56500
user638681583480959459,62000
user7707045408439829514,58800
user2428236513802386357,70500
user3237728412485383015,79100
user6646485455390645112,68000
user2876243132979956997,60700
user7244638597910157266,63800
user6033932121519031350,66100
user5455083667588730368,61100
user744630941818771935,65500
user6058264637421808768,64100
user1840015695833550013,83600
user7354714177755096975,77000
user4645373453687891827,59700
user7340313986402995367,60600
user161096305869203272,103400
user5465015992139406178,79600
user8295266226408665858,63500
user5947069136552588163,62400
user1573987489603120213,3880500
user5817347222824138717,1988500
user1241302592801897411,64200
user5927982763181218874,74800
user301870465172609424,61700
user7104424399118891562,75000
user8280866035056564250,85500
user2041640442664200590,64300
user8964543926300396812,67700
user9119936592173746455,66900
user9104976440309504399,109900
user3112132720264060802,62700
user8391501575413644407,94100
user7571517391667831491,64300
user4057370950936897366,70900
user185988782284121138,127600
user4163320309274709842,74200
user4294162144027440184,99200
user6154499986426787317,81100
user874571170765063264,72000
user768963457721549353,65600
user6973924209660459785,81700
user1921072577756444623,78500
user1578455356404546011,57600
user2755115307560060582,150300
user35282298430039176,59700
user4403896078578081328,59200
user8270373749993747992,69700
user1096402211991364026,67000
user9221418083710133133,71400
user623503116398875520,73700
user8733340521035560688,69000
user773649639740817034,113200
user7813213081995483873,64500
user2282776172479712524,60200
user3127092872128302858,63100
user8758451312668320437,65400
user3097514213694117311,97400
user6279535718135969082,75500
user3565167166755197688,65100
user2519225720275956777,277300
user1352156448376819451,65600
user1950651236190630170,74500
user4152828024211893584,64000
user166342448400611401,60900
user1482998283129549793,61100
user3700135223015055263,102300
user7827613273347585481,438500
user4992116896546917672,66700
user5937696772514052801,105400
user3233042230466115334,80300
user7697673044401294152,68200
user6506271256599379408,67500
user995139035672819231,65800
user5335075763193114849,83300
user763935630407983107,74200
user8989436402715314678,63000
user6274507890822402836,67300
user8859154528474724784,101300
user7562145027629296129,98400
user8174698361500909891,78500
user190115003791248371,60200
user5107780264217564075,63800
user291596495327635049,61000
user2307108688382489942,87500
user5460111494902296614,65200
user3937144731323439964,60600
user7224773948808805646,95300
user8179944504032318020,62600
user6761807177766992950,75800
user9095604076270969037,59600
user6280313993865951413,95500
user3353268450079572736,64700
user1357184275690385697,78600
user1950091275678489722,64400
user6651731597922053241,66700
user4761255136576380113,64500
user3469150132968061022,73400
user4302974547553835098,97600
user291378180109793166,68300
user1699583181824442426,77300
user4389837532520278285,92500
user4293602183515299736,91300
user2177168459436198613,67100
user6284440215373078646,58000
user1935691084326388114,73300
user643709410794525705,64100
user2649725909734388554,158300
user4630973262335790219,66000
user6043304485557566712,62400
user3946517095361975326,230500
user3570413309286605817,73100
user4404237723872379893,62600
user2634547442652304615,60900
user7596409868082749357,76300
user3453971665885977083,63000
user7702359226420561833,85900
user7928876449666130276,68100
user3328717618958953435,62100
user2422990371270978228,128400
user3233260545683957217,63200
user4525365549292276308,65100
user5098066254884730148,70700
user6168558532484590360,101700
user1236616410782629730,124900
user296624322641201295,86600
user6868534811834787757,72500
user4283888174182465809,64700
user7832859415878993610,56700
user2538312093647326066,65800
user8054348811810995807,60200
user2876024817762115114,70000
user8265687567974480311,73600
user4751541127243546186,61900
user4997363039078325801,64600
user1815123219418632147,94800
user8762919179469746235,64000
user7692645217087727906,97400
user3931898588792031835,110900
user8270933710505888440,63300
user286350352796226920,62400
user8276179853037296569,72900
user7350587956247969742,81700
user2644479767202980425,160300
user2760703095385767276,91300
user6631525303526403056,65000
user8159738209636667835,63500
user8411707869809294592,90100
user6169460138291029373,65500
user7938248813704665638,63100
user2172140632122632367,86000
user9100290258290236718,87800
user4862176667600626343,65100
user5561033025926542844,63300
user6757680956259865717,64600
user1116266861092715646,61800
user1799944752336548208,109400
user653081774833061067,66700
user8858594567962584336,64100
user402791996196855654,91800
user6752093168434159023,65300
user7711731590459097195,79700
user4515651539959442381,83200
user5243526596207403981,68600
user8854468346455457103,64800
user6038618303538299031,80800
user5339761945212382530,59100
user3821481363652793561,65500
user55488592825689361,63800
user633995401461691778,64000
user5923296581161951193,76900
user4886509183503403761,64400
user5474730001472240105,64100
user1347251951139709887,97200
user2654753737047954800,83100
user2780007783974978448,60000
user6053018494890400639,67500
user170810315202037199,64100
user8984750220696046997,62900
user7919162440333296349,87200
user5580337714515754016,77000
user1251794877864713669,65200
user4978058350489114629,65300
user7456195669291483653,87300
user5715865731287752039,71200
user2181854641455466294,73600
user3126532911616162410,69000
user8893979329440318460,88000
user1941278872152094808,73600
user754563266369447745,136200
user7118824590470993170,72500
user8145119703066724344,70000
user4042752444366953875,66200
user4177720500626811450,646600
user1353058054183258464,61500
user4509845436915893804,62500
user5108340224729704523,62700
user1468379776559606302,81900
user1578673671622387894,65200
user8164424391655935516,81600
user2861064665897873058,96900
user6988884361524701841,61800
user7239952415890889585,61200
user4640687271668624146,118900
user2639575269965870861,118600
user7682712892537052096,63200
user3815675260609244984,67900
user8170230494699484093,59800
user8864400671006132913,72100
user2870437029936408420,71600
user7123510772490260851,86600
user5927764447963376991,65000
user2282216211967572076,83000
user4891195365522671442,129700
user3936243125517000951,124600
user4038066262347686194,77200
user8748518988117644627,59200
user8029797980690376506,60200
user8753205170136912308,123000
user528046043123879302,61000
user2513979577744548648,80800
user6873220993854055438,62900
user8044976447772460445,60700
user5001830905879751599,60700
user1362430418221793826,79600
user9114690449642338326,111500
user4891755326034811890,76600
user3232482269953974886,62400
user3820921403140653113,90800
user990452853653551550,58000
user4046878665874081108,66000
user5696561042698540867,60500
user8979722393382480751,64400
user8632637305229156341,65600
user2765047632110736392,62800
user8405901766765746015,65400
user5233594271656728171,148400
user6988542716230403276,58000
user1352498093671118016,70600
user7677466750005643967,62800
user8415834091316421825,65400
user4525023903997977743,70200
user5012323190942567857,81700
user7229460130828073327,93100
user6878248821167621684,120100
user5711179549268484358,74800
user3478864142300894949,71200
user4650619596219299956,76700
user4062398778250463612,64500
user4515091579447301933,60000
user4519559446248727731,87200
user8305758511471482116,87900
user3589499682657975106,63100
user6385703391691623441,85300
user8753546815431210873,117500
user3227454442640408640,78200
user7572077352179971939,129400
user5701807185229948996,74700
user4760913491282081548,62000
user2755675268072201030,67600
user7817899264014751554,257800
user3117720508089767496,95500
user879817313296471393,86400
user74793281414900533,68300
user6058824597933949216,69600
user7943494956236073767,65300
user6053236810108242522,79400
user3700353538232897146,111100
user8994122584734582359,63800
user7104206083901049679,100900
user769523418233689801,146200
user8049444314573886243,131200
user5696219397404242302,61200
user6983856534211135595,79400
user8517097267634966620,74900
user2770075459424302638,78300
user4303534508065975546,113600
user4993018502353356685,101000
user3579785673325141179,73300
user980520529102875740,60200
user2754896992342218699,90200
user3468931817750219139,75900
user5802168755742054778,65900
user1945965054171362489,70600
user3951203277381243007,77700
user5696001082186400419,65800
user7224992264026647529,94700
user4188212785689627708,82500
user7697331399106995587,70800
user9119376631661606007,61800
user1101648354522772155,75000
user5113244721966814087,85700
user5238840414188136300,83600
user1487684465148817474,84800
user6873002678636213555,85200
user2866310808429281187,87500
user5827061232156972644,125000
user1246548735333305540,79100
user7466469639136458028,105700
user4887069144015544209,116100
user6048550628088974841,118500
user7094492074568215752,67300
user6163872350465322679,91600
user2272843847929036714,86700
user1931004902307120433,115800
user1819809401437899828,82300
user8155052027617400154,103400
user6520889763169322899,91900
user5822033404843406398,65800
user1226902401449795803,86500
user527827727906037419,61900
user6063510779953216897,70700
user4419416190954463832,63100
user7586477543532073547,74500
user6284221900155236763,65100
user2398657855368200810,97300
user1593852138704471833,68400
user4871890676933460270,57700
user2423550331783118676,82200
user3348923913354603620,62300
user2166894489591224238,72100
user1834769553302141884,65800
user9220858123197992685,61600
user1574547450115260661,110600
user6521231408463621464,291300
user2056258949234144081,76700
user8401433899964320217,63300
user5344789772525948776,138000
user8285893862370130496,66400
user3690421213682221336,82100
user9206239616628049194,81200
user8421080233847829954,587000
user2895329506351326286,184400
user1699801497042284309,94200
user4640905586886466029,70100
user6867756536104805426,67400
user3831195372985627488,66500
user2774761641443570319,79900
user7239392455378749137,102000
user7446263344740807843,64900
user865198806726527902,78300
user5585925502341460710,92800
user1835329513814282332,78700
user1598320005505897631,113200
user6184078644860972864,82700
user292156455839775497,82100
user5103312397416138277,69600
user2740496800990117091,61000
user1231930228763362049,64800
user4776433603658464052,69300
user3705941326058603840,87500
user6993788858761811405,86100
user6400663543555865497,63800
user4298288365534567417,64800
user1473284273796715866,67500
user2278089990460444843,86500
user3695667356213629465,74900
user8618018798659212850,66300
user5581239320322193029,75900
user2287803999793278770,61700
user2060726816035569879,113900
user2509293395725280967,104800
user5349475954545216457,73600
user764837236214422120,63300
user8266247528486620759,83500
user3806302896570709622,79000
user6284781860667377211,72900
user4052684768917629685,59500
user663014099383736877,87200
user3459217808417385212,73400
user6405349725575133178,79400
user5580679359810052581,75500
user7455977354073641770,60100
user4042192483854813427,81800
user759031133170873543,65100
user8878800862358234521,61400
user6505711296087238960,111000
user1925758759775712304,64900
user7089245932036807623,69600
user2870996990448548868,68000
user3927430721990606037,65600
user3218082078601873278,70800
user7692426901869886023,89600
user5952315279083996292,69600
user4173034318607543769,63000
user7109110581138159243,88300
user1960583560741305980,186500
user9100071943072394835,82300
user6390949534223031570,64900
user3826167545672061242,782500
user6149253843895379188,71600
user3705381365546463392,96500
user3464463950948793341,64700
user4187652825177487260,80400
user6752434813728457588,80000
user2765389277405034957,69200
user1332851759787608279,103500
user7099738217099623881,86900
user513427536553935811,56700
user2292490181812546451,97100
user1568741347071712084,62800
user4756227309262813867,60600
user3001278864689138762,67800
user180742639752713009,81300
user2408030219406736172,92600
user7460881851310751334,80100
user9004054909285258169,75300
user8652283639112666078,146800
user7335627804383727686,61100
user1121294688406281892,83100
user7576763534199239620,72000
user1458105806714631927,84000
user764277275702281672,74400
user2413276361938144301,122900
user8627391162697748212,77300
user6290028003198785340,71200
user1337537941806875960,76000
user7576203573687099172,66000
user9090357933739560908,79400
user3820703087922811230,72300
user2644821412497278990,95100
user3117160547577627048,77600
user8527247907403484313,62900
user6400321898261566932,84600
user1709515506375118236,101800
user4298848326046707865,94000
user7450949526760075524,86400
user6979170352191867914,62700
user8044416487260319997,68300
user6390389573710891122,86200
user6415282050125808988,140000
user6747406986414891342,60800
user3932116904009873718,76300
user985766671634283869,80500
user5575651532496486335,74200
user8989654717933156561,65600
user4413610087910915255,65000
user5218634119792486115,83500
user6395075755730158803,62100
user1588947641467362269,88200
user9004614869797398617,116600
user7210373757456704038,84300
user8632978950523454906,72000
user5585583857047162145,74600
user3449285483866709402,81200
user4278642031651057680,92000
user5806854937761322459,93400
user4520119406760868179,85900
user7577105179493538185,80900
user6882935003186889365,64900
user8048884354061745795,87400
user1704269363843710107,87100
user4741048842180729928,70400
user5233812586874570054,64200
user7461441811822891782,90100
user1603566148037305760,71500
user8637665132542722587,67100
user5213947937773218434,65600
user7807966939464075744,80500
user8290580044389398177,87600
user3005965046708406443,95900
user4394523714539545966,105600
user2885957142312790924,92700
user6178832502329564735,84100
user1005413005517793606,141400
user4530051731311543989,73100
user4519777761466569614,88100
user1689869172491608499,74500
user2645039727715120873,261200
user8507383258302132693,116100
user6515985265932213335,79900
user7948741098767481896,68100
user5912804296099134935,190600
user1593633823486629950,61800
user4997922999590466249,281300
user7471155821155725709,67500
user2760361450091468711,100700
user3825949230454219359,63300
user523359861104611621,77100
user4067084960269731293,59300
user1955337418209897851,105800
user8184630686051585701,63400
user3931338628279891387,87000
user2534185872140198833,61800
user1236834726000471613,105000
user4047438626386221556,137000
user2277530029948304395,91400
user3102200395713384992,71500
user6399761937749426484,129400
user3810989078589977303,80300
user1935472769108546231,71600
user5122958731299648014,84300
user392299711134039396,67100
user6978610391679727466,84200
user291938140621933614,66000
user869884988745795583,93300
user8396529402727210653,90600
user2629861260633036934,66700
user9110004267623070645,62700
user6068196961972484578,67300
user1247108695845445988,82700
user6877907175873323119,88100
user2408371864701034737,932800
user2056040634016302198,87200
user7934122592197538405,225200
user3348582268060305055,76800
user2191786966006142104,64800
user6174146320310297054,93900
user2523911902295224458,63200
user2649507594516546671,87700
user4982744532508382310,79000
user990234538435709667,84500
user4288356040983891607,142900
user4168348136588276088,86900
user1463133634028198173,76000
user4645591768905733710,84800
user2880710999781382795,83300
user2061505091765552210,67400
user9220639807980150802,99700
user3353610095373871301,75500
user4539424095350079351,64300
user5797482573722787097,68400
user7582009676730647749,61600
user2644261451985138542,63200
user2071219101098386137,64000
user5686287072853566492,61200
user5942382954533320482,489400
user7803280757444808063,84900
user3242974555016791144,76900
user1468038131265307737,73500
user4414170048423055703,62000
user3343896086041037374,84300
user2417744228739570099,112700
user9105318085603802964,82100
user6294714185218053021,69100
user4626287080316522538,130300
user3719999872116406883,65000
user1005631320735635489,83100
user6626839121507135375,101100
user2061286776547710327,86300
user5470603779965112872,68200
user8164984352168075964,127700
user8049102669279587678,129400
user6048332312871132958,81000
user2996251037375572516,86300
user643367765500227140,63600
user5566279168457950973,61700
user4273955849631789999,89200
user8642911275074130716,61300
user7340655631697293932,66100
user5595857826892136520,93100
user3348022307548164607,89900
user6641457628077078866,79700
user4972812207957706500,82700
user3594185864677242787,72100
user4409142221109489457,65000
user1588605996173063704,78000
user5807414898273462907,79700
user3599432007208650916,97700
user4057152635719055483,63100
user4655305778238567637,83300
user3131779054147570539,86100
user6656417779941320922,73800
user6762367138279133398,70700
user8039170344728911868,97600
user5821815089625564515,69700
user8536961916736318240,67100
user658887877876609644,82800
user1231588583469063484,74000
user4168006491293977523,71900
user7456755629803624101,85700
user4635659444355057900,139900
user5002390866391892047,83900
user778895782272225163,112900
user1694555354510876180,169000
user3956449419912651136,72600
user1825055543969307957,82300
user8738586663566968817,73600
user427124512099633072,88800
user4630413301823649771,77700
user9110564228135211093,72500
user7350027995735829294,62800
user6872442718124073107,84100
user1361870457709653378,80200
user296282677346902730,65400
user8999368727265990488,87900
user1684623029960200370,59500
user6419968232145076669,140200
user5127644913318915695,66700
user1940718911639954360,63900
user175714812439146763,77400
user2066532919079118456,85500
user4404797684384520341,77100
user70667059907773300,76400
user6647045415902785560,93700
user3121846729596894729,109200
user55146947531390796,75500
user7933562631685397957,76200
user1372362742772469636,125000
user3589717997875816989,85300
user2865750847917140739,64900
user1467819816047465854,82700
user3714753729584998754,81400
user2171580671610491919,175200
user8637105172030582139,90000
user2172482277416930932,86600
user7219746121495239400,78800
user6968678067129051656,83200
user663574059895877325,65400
user2523693587077382575,95800
user8034484162709644187,107800
user3821263048434951678,63900
user1111580679073447965,91900
user3011771149751955020,92500
user6983296573698995147,64900
user3458657847905244764,61800
user5802728716254195226,66800
user5103872357928278725,76400
user1222216219430528122,137400
user8868868537807558711,92600
user421878369568224943,66400
user7466127993842159463,68900
user884845140610037639,86200
user6410035907594400859,97400
user6501025114067971279,65200
user1579233632134528342,75300
user3575099491305873498,72600
user3710627508077871521,75500
user5812101080292730588,71100
user6762585453496975281,87800
user6174364635528138937,93300
user1000726823498525925,86000
user5701465539935650431,83300
user8633197265741296789,62500
user3333403800978221116,71100
user1704487679061551990,74800
user4172692673313245204,65400
user8869086853025400594,66200
user397545853665447525,64400
user3695449040995787582,76600
user8768165322001154364,72100
user4182406682646079131,65500
user8155611988129540602,67000
user6173586359798156606,90400
user7923848622352564030,75300
user8054690457105294372,63800
user6772299462829809208,97900
user296842637859043178,68400
user3483550324320162630,64500
user3926870761478465589,60200
user7003502868094645332,86700
user3368228601943814792,88100
user7682152932024911648,83300
user296064362129060847,59800
user1116048545874873763,91300
user7355274138267237423,75800
user8416394051828562273,81900
user8999928687778130936,79600
user1810437037399364466,109000
user1453419624695364246,85100
user8531715774204910111,66000
user6641239312859236983,88300
user176056457733445328,83900
user1473065958578873983,84100
user5692093175897115069,88400
user4746854945224278505,63800
user7229678446045915210,65500
user5450397485569462687,64700
user407478178216123335,62700
user2880929314999224678,145300
user3016457331771222701,76200
user5223880262323894244,72400
user7798594575425540382,92400
user1478312101110282112,91500
user4409483866403788022,89700
user5103094082198296394,85800
user7823487051840458248,129500
user7687959035068460225,83900
user8411147909297154144,82300
user6887621185206157046,83200
user6651171637409912793,98300
user6062950819441076449,94300
user1125980870425549573,88400
user4872108992151302153,203000
user5600544008911404201,72900
user5691314900167132738,81900
user6511517399130787537,81800
user1829523410770733755,345800
user7591723686063481676,66000
user417410502766799145,70700
user880377273808611841,147200
user311242829211144786,87500
user70107099395632852,132800
user6858042526771971499,67700
user8622704980678480531,122300
user885063455827879522,65300
user9221199768492291250,75500
user3584471855344408860,88700
user6525917590482889145,205800
user986326632146424317,80200
user8521783449654234301,82500
user3825389269942078911,82800
user406918217703982887,72400
user6299400367237320702,66000
user5590611684360728391,93800
user7008189050113913013,103700
user4866862849619894024,130000
user9115468725372320657,64300
user7939027089434647969,62900
user2543558236178734195,172000
user784141924803633292,402100
user4409702181621629905,68300
user402232035684715206,170200
user64860956864224723,62700
user2302422506363222261,156000
user5917490478118402616,147400
user2051012806702735952,85100
user8160298170148808283,138400
user1105774576029899388,79500
user6188764826880240545,60300
user532732225143146983,76400
user7325695479833051876,73900
user3604678149740059045,103200
user4881823001484136080,101300
user4153387984724034032,1594400
user7556898885097888000,82300
user4876576858952727951,60400
user8280647719838722367,81700
user2292708497030388334,128100
user8401215584746478334,65400
user3599991967720791364,77500
user5329269660149566272,76900
user5354162136564484138,98900
user5324583478130298591,122900
user7566831209648563810,80100
user1357744236202526145,77800
user8527029592185642430,64100
user195921106834796948,85800
user3222768260621140959,62200
user8049662629791728126,71900
user8637883447760564470,94200
user3111914405046218919,95400
user880158958590769958,88400
user7350806271465811625,66000
user190674964303388819,70700
user2528939729608790704,66300
user4882382961996276528,61000
user759249448388715426,95300
user8853908385943316655,89000
user2529499690120931152,89100
user1583919814153796023,102100
user7567391170160704258,74300
user412164360235391016,85900
user5364094461115159948,82600
user2991564855356304835,84200
user2533625911628058385,84800
user508181394022527682,86200
user6535289954521424507,103100
user774209600252957482,536900
user3710067547565731073,74600
user3362982459412406663,70400
user8743272845586236498,77000
user2648947634004406223,98100
user8150365845598132473,101800
user9125182734705154584,85900
user512867576041795363,93300
user7360520280798645552,72800
user7109452226432457808,70800
user2528598084314492139,89900
user5932668945200486555,76700
user2745182983009384772,112500
user2056818909746284529,145800
user2413058046720302418,74400
user8747959027605504179,89100
user398105814177587973,87900
user995698996184959679,93700
user8511851125103558491,237300
user4192898967708895389,81900
user6159186168446054998,87100
user3001497179906980645,93500
user2750429125540792901,160700
user1010099187537061287,73800
user6279754033353810965,107200
user5229126404855302373,82600
user4635099483842917452,94600
user6164213995759621244,76700
user6622152939487867694,73400
user8516755622340668055,87500
user894777465160713449,90100
user5219194080304626563,63700
user648395592813793386,89700
user7928534804371831711,77500
user3343336125528896926,110700
user6516203581150055218,87700
user658327917364469196,85200
user2186540823474733975,105800
user3936803086029141399,62100
user1820151046732198393,86400
user2166676174373382355,94400
user7717537693502645772,87200
user3941830913342707645,97600
user518113718573203492,137100
user7460663536092909451,89000
user2538872054159466514,65500
user4770627500614915475,61600
user276977988757691558,84000
user181302600264853457,142500
user5585365541829320262,74100
user1101088394010631707,86700
user3464245635730951458,139500
user3011211189239814572,106300
user3232700585171816769,79300
user1693995393998735732,111900
user2297736324343954580,96000
user3358296277393138982,120800
user1211723934367711864,97300
user8170012179481642210,111200
user1824837228751466074,138500
user3921624618947057460,93300
user6636771446057811185,73500
user281664170776959239,111800
user5570965350477218654,88900
user899463647179981130,78800
user6530603772502156826,70400
user3122406690109035177,72600
user5118272549280380333,76300
user75353241927040981,130300
user6737474661864215532,73600
user5811541119780590140,97000
user1347470266357551770,82700
user6636553130839969302,106300
user3801616714551441941,84100
user4524463943485837295,86300
user2056600594528442646,82000
user171028630419879082,78900
user1945405093659222041,86500
user3343117810311055043,94900
user8743832806098376946,133600
user1342784084338284089,198400
user1689309211979468051,80500
user8285552217075831931,79600
user6289686357904486775,77800
user5817128907606296834,85900
user4399209896558813647,98000
user2986878673337037154,91600
user8064062821143829734,112000
user7828173233859725929,71200
user5107998579435405958,76600
user7913916297801888220,99900
user3816016905903543549,173700
user2162208307571956557,137700
user4158634127255442161,80200
user3107446538244793121,80500
user7114138408451725489,108700
user3227796087934707205,98100
user517553758061063044,104000
user8873773035044668275,81300
user2403344037387468491,83000
user9210925798647316875,89500
