ycsb_key,size
user6872442718124073107,142100
user9215611980666584556,141900
user1101648354522772155,141900
user4891755326034811890,142000
user7832859415878993610,142000
user8733340521035560688,142500
user7567391170160704258,142300
user623503116398875520,141900
user4866862849619894024,141900
user4525365549292276308,142400
user2172482277416930932,142300
user2282216211967572076,142200
user3016457331771222701,141800
user6737474661864215532,142300
user2041640442664200590,141900
user7210373757456704038,141900
user7817680948796909671,141800
user2982192491317769473,142100
user4978058350489114629,140600
user1352498093671118016,142000
user3826167545672061242,142200
user1222216219430528122,142100
user2774761641443570319,142200
user5329829620661706720,142100
user5821815089625564515,140500
user4409142221109489457,142500
user7566831209648563810,142100
user1361870457709653378,142400
user2051354451997034517,141700
user4046878665874081108,142100
user7118824590470993170,142100
user3821481363652793561,141900
user6400321898261566932,142200
user6284440215373078646,142400
user8521783449654234301,141900
user2861064665897873058,141700
user8527029592185642430,142100
user64860956864224723,142100
user417192187548957262,142200
user6174146320310297054,142200
user4505159254896626123,141800
user4158634127255442161,141800
user2528598084314492139,142100
user6622152939487867694,142200
user3107446538244793121,141000
user7827613273347585481,142300
user8290580044389398177,142400
user1945405093659222041,142400
user7460881851310751334,140600
user5464797676921564295,142200
user402013720466873323,142500
user508181394022527682,142200
user5219194080304626563,142300
user4052684768917629685,141600
user55146947531390796,141900
user4288574356201733490,142200
user6168558532484590360,141900
user407478178216123335,141800
user7812994766777641990,141800
user176056457733445328,142400
user6062950819441076449,142100
user5335075763193114849,142200
user5817347222824138717,141900
user4424102372973731513,142500
user6535289954521424507,142300
user4152828024211893584,142200
user6757680956259865717,142100
user8637323487248424022,142000
user3937144731323439964,140900
user3126532911616162410,141700
user8270933710505888440,142200
user6058264637421808768,141700
user537760052456713229,142100
user2166676174373382355,141900
user5107998579435405958,142600
user3589717997875816989,142300
user8878800862358234521,142000
user1251794877864713669,141000
user6887621185206157046,141900
user8285893862370130496,142200
user2413276361938144301,142100
user2523911902295224458,142000
user4394523714539545966,142100
user6390389573710891122,142100
user2765047632110736392,142200
user4751541127243546186,142000
user6173586359798156606,142400
user2272843847929036714,142100
user4052466453699787802,142000
user4882382961996276528,142300
user2417744228739570099,142000
user2876024817762115114,141900
user4519559446248727731,142100
user2870996990448548868,142100
user3368228601943814792,140200
user4520119406760868179,142200
user8999928687778130936,141700
user4775873643146323604,142400
user3705941326058603840,142200
user6656417779941320922,142400
user1121294688406281892,142000
user6978610391679727466,141900
user1815123219418632147,142000
user9104976440309504399,142100
user8989436402715314678,142400
user5107780264217564075,142500
user1468038131265307737,142400
user2639233624671572296,142200
user1709515506375118236,142000
user176616418245585776,140800
user517553758061063044,142000
user190115003791248371,142200
user417410502766799145,142000
user3831195372985627488,142200
user3449285483866709402,142200
user50460765512123115,141900
user6756779350453426704,140900
user1931004902307120433,142200
user9119936592173746455,141900
user6520889763169322899,142000
user865198806726527902,142400
user6762585453496975281,142400
user4640905586886466029,142100
user7114138408451725489,142100
user6505711296087238960,142200
user35282298430039176,142200
user9100071943072394835,142300
user7239952415890889585,141900
user2880710999781382795,142300
user2759801489579328263,142200
user9115250410154478774,142400
user2740496800990117091,142100
user778895782272225163,142100
user1825055543969307957,142300
user885063455827879522,142200
user4168006491293977523,142000
user3233042230466115334,142500
user5807414898273462907,142100
user4042752444366953875,142000
user3453971665885977083,142200
user4187652825177487260,128200
user3454531626398117531,140600
user1353058054183258464,142300
user6747406986414891342,142200
user4409702181621629905,142400
user884285180097897191,142400
user1568741347071712084,140700
user1694555354510876180,142200
user1578455356404546011,142200
user8054690457105294372,142200
user4635659444355057900,142500
user8738586663566968817,142200
user1935691084326388114,142000
user4278642031651057680,142000
user8265687567974480311,142000
user5223320301811753796,141900
user2780007783974978448,142200
user5696561042698540867,142400
user1116266861092715646,142300
user4163320309274709842,141700
user6163872350465322679,141900
user8280866035056564250,141700
user4509845436915893804,142100
user6988884361524701841,142300
user6968678067129051656,142200
user8516755622340668055,142400
user7089245932036807623,142400
user180742639752713009,142100
user4168348136588276088,142000
user5701807185229948996,142200
user6164213995759621244,142200
user7350806271465811625,140600
user2648947634004406223,142100
user6993570543543969522,141700
user2895329506351326286,142400
user6742720804395623661,141900
user75353241927040981,141900
