ycsb_key,size
user7576763534199239620,110200
user3242974555016791144,100900
user1241302592801897411,102600
user6515985265932213335,102700
user6410035907594400859,101400
user4992458541841216237,101300
user7707045408439829514,99900
user5797482573722787097,101400
user9110004267623070645,99800
user4046878665874081108,98400
user8864400671006132913,98300
user8184630686051585701,100400
user5324583478130298591,98200
user3232482269953974886,101100
user6761807177766992950,99100
user1573987489603120213,98200
user3695667356213629465,100400
user397545853665447525,98600
user6525917590482889145,100600
user8411147909297154144,101100
user4746854945224278505,99300
user4399209896558813647,98300
user7697331399106995587,98900
user3821481363652793561,98100
user5590611684360728391,99100
user5912804296099134935,100700
user2519225720275956777,99500
user4057370950936897366,96200
user5696001082186400419,104200
user1236834726000471613,94200
user6174146320310297054,97300
user764277275702281672,96700
user4761255136576380113,104100
user4775873643146323604,110300
user5098066254884730148,99100
user880158958590769958,98900
user3237728412485383015,101700
user3454531626398117531,103900
user8405901766765746015,98300
user5335075763193114849,105000
user6048550628088974841,100000
user2403344037387468491,99800
user181302600264853457,97900
user6149253843895379188,103900
user296282677346902730,101000
user161096305869203272,97400
user5575651532496486335,100600
user2644479767202980425,103400
user55146947531390796,102200
user6757680956259865717,91100
user2061286776547710327,97900
user5108340224729704523,98300
user4288574356201733490,100500
user5806854937761322459,101600
user7345901774228702061,97000
user3926870761478465589,100200
user6164213995759621244,93500
user6882935003186889365,100500
user8502137115770724564,101100
user6877907175873323119,103600
user3921624618947057460,98500
user773649639740817034,103200
user2780007783974978448,95000
user1467819816047465854,101800
user5580337714515754016,97800
user1583359853641655575,101600
user6511517399130787537,99200
user2644261451985138542,96600
user5103312397416138277,104700
user3459217808417385212,104200
user6279535718135969082,99200
user2056600594528442646,99800
user8752645209624771860,97300
user1231930228763362049,96700
user3700135223015055263,105500
user3362982459412406663,100600
user1211723934367711864,99400
user2645039727715120873,99200
user4188212785689627708,101400
user3348582268060305055,105600
user1096402211991364026,98700
user5344789772525948776,105100
user8854468346455457103,102400
user75353241927040981,99500
user4403896078578081328,91200
user4182406682646079131,96600
user1462791988733899608,105900
user6651731597922053241,103900
user5354162136564484138,99500
user4866862849619894024,100500
user2191786966006142104,106000
user6290028003198785340,99700
user6184078644860972864,102000
user8753546815431210873,100400
user6063510779953216897,103000
user5585365541829320262,101100
user3584471855344408860,99100
user6405568040792975061,101500
user6978610391679727466,96100
user398105814177587973,97600
user5586143817559302593,100700
user6626839121507135375,101500
user8049662629791728126,100800
user3690421213682221336,102300
user7556898885097888000,107500
user879598998078629510,100800
user8964543926300396812,98200
user9220858123197992685,103500
user2041640442664200590,98000
user3931898588792031835,100200
user3956449419912651136,101900
user4997704684372624366,98400
user1482998283129549793,101100
user2740496800990117091,106100
user6873002678636213555,102800
user2644821412497278990,104200
user8059376639124562053,102300
user4404237723872379893,98500
user1935691084326388114,101200
user7822927091328317800,100500
user3710067547565731073,102900
user5329829620661706720,98600
user6506271256599379408,103700
user1820151046732198393,104500
user2765047632110736392,99900
user513427536553935811,97600
user2186540823474733975,96700
user8160298170148808283,106100
user8290580044389398177,102300
user9119936592173746455,100800
user176616418245585776,101600
user8285893862370130496,101200
user768963457721549353,99400
user995139035672819231,100900
user6873220993854055438,106000
user2529499690120931152,103500
user880377273808611841,99500
user1226902401449795803,103700
user6973924209660459785,99600
user643367765500227140,101600
user2648947634004406223,95700
user3714753729584998754,100700
user286350352796226920,100400
user2282216211967572076,99300
user7827613273347585481,101200
user2292490181812546451,102900
user7118824590470993170,107200
user2417744228739570099,104900
user1689869172491608499,95900
user306556647191877105,100800
user7711731590459097195,99900
user4152828024211893584,97000
user3806302896570709622,103500
user4993018502353356685,100400
user774209600252957482,99900
user8511851125103558491,103400
user3483550324320162630,100500
user2528939729608790704,98400
user3117160547577627048,99900
user2890643324332058605,104600
user7586477543532073547,102200
user4177720500626811450,96800
user8527247907403484313,95500
user7803280757444808063,101600
user2287803999793278770,98500
user4630413301823649771,103200
user1357184275690385697,100400
user3353610095373871301,94400
user7928534804371831711,103700
user3946517095361975326,95300
user402232035684715206,106100
user4168348136588276088,101800
user4409702181621629905,98700
user7677466750005643967,98900
user5243526596207403981,99200
user5002390866391892047,100100
user7355274138267237423,94000
user7460663536092909451,96700
user4891755326034811890,99000
user8637323487248424022,97600
user9004614869797398617,98100
user1473284273796715866,91400
user1829523410770733755,103900
user8044416487260319997,101600
user4515091579447301933,96300
user4756568954557112432,101200
user6284440215373078646,101000
user2177168459436198613,101800
user6988884361524701841,107800
user7234706273359481456,100000
user5344448127231650211,105600
user7335627804383727686,101900
user8637665132542722587,102100
user6400663543555865497,98900
user6747406986414891342,101700
user8632637305229156341,98900
user2649725909734388554,96800
user3227796087934707205,104000
user4057152635719055483,98800
user4978058350489114629,101300
user2996251037375572516,101300
user8159738209636667835,106000
user8989654717933156561,100900
user6646485455390645112,96600
user3333403800978221116,96300
user658327917364469196,95500
user5223320301811753796,100600
user648613908031635269,106500
user6168900177778888925,96800
user3111914405046218919,101300
user3469150132968061022,98700
user3005965046708406443,97100
user292156455839775497,94600
user4525023903997977743,97100
user3599991967720791364,100200
user2423550331783118676,97400
user890091283141445768,104200
user1246548735333305540,102300
user8743272845586236498,101700
user5107998579435405958,98200
user5927764447963376991,104500
user2754896992342218699,97500
user3016457331771222701,97300
user4173034318607543769,97300
user4524463943485837295,99100
user7471155821155725709,106300
user5701465539935650431,95900
user6988542716230403276,96100
user3820921403140653113,100800
user4741048842180729928,103600
user6033932121519031350,100700
user7104206083901049679,102600
user5802728716254195226,102400
user7466127993842159463,102000
user8853908385943316655,94300
user1468598091777448185,100100
user2880710999781382795,101000
user5917490478118402616,97900
user8869086853025400594,99200
user3825389269942078911,102300
user1593852138704471833,97700
user2986878673337037154,106200
user4294162144027440184,97200
user1945405093659222041,101700
user4288356040983891607,97000
user7832859415878993610,98800
user1593633823486629950,105200
user50460765512123115,93900
user2885957142312790924,101600
user4047438626386221556,98100
user4509845436915893804,98800
user1005413005517793606,102000
user8305758511471482116,105400
user8652283639112666078,97300
user7109452226432457808,103600
user1463133634028198173,100100
user1941278872152094808,103700
user8029797980690376506,106800
user8164424391655935516,100400
user3464245635730951458,105200
user7008189050113913013,100200
user7566831209648563810,102300
user6656417779941320922,101400
user6641239312859236983,100100
user4982744532508382310,100900
user7089245932036807623,95000
user3368228601943814792,99900
user2166676174373382355,103100
user1010099187537061287,100300
user991012814165691998,102100
user1372362742772469636,105100
user2398657855368200810,97400
user4645373453687891827,103900
user6993570543543969522,105600
user4770627500614915475,96200
user8421080233847829954,103100
user8044198172042478114,99500
user7109110581138159243,101500
user6284781860667377211,102000
user5229126404855302373,100500
user4283669858964623926,100900
user5701807185229948996,99200
user4192898967708895389,95800
user9090357933739560908,98600
user2413276361938144301,102300
user4630973262335790219,101000
user166342448400611401,100800
user7928876449666130276,100300
user8878800862358234521,101300
user8049444314573886243,95200
user5113586367261112652,94900
user3233260545683957217,100400
user5942382954533320482,96800
user2061505091765552210,107600
user6772299462829809208,98200
user3719999872116406883,101900
user5007637008923300176,98800
user2056040634016302198,96200
user6053236810108242522,102300
user899463647179981130,98800
user1337537941806875960,103200
user9100290258290236718,98500
user1453419624695364246,98300
user1357744236202526145,101500
user2534185872140198833,99300
user2876024817762115114,102300
user9105318085603802964,100700
user8396529402727210653,103600
user1699801497042284309,96700
user3001278864689138762,101900
user402791996196855654,102600
user2996592682669871081,109200
user2071219101098386137,97300
user6168558532484590360,102900
user4760913491282081548,96900
user5947069136552588163,99200
user6530603772502156826,95400
user2166894489591224238,100300
user3001497179906980645,98700
user4163320309274709842,98400
user8647597457093398397,105300
user5952315279083996292,99700
user3705941326058603840,98100
user4409483866403788022,103400
user1684623029960200370,103600
user2750429125540792901,98600
user3931556943497733270,106400
user2413058046720302418,103600
user8391501575413644407,101900
user623503116398875520,101800
user1342784084338284089,100500
user7099738217099623881,100300
user8145119703066724344,96600
user3464463950948793341,104200
user3348022307548164607,101200
user4520337721978710062,101600
user533073870437445548,100200
user9221418083710133133,98000
