ycsb_key,size
user5976099651770331048,56200
user6439844698542126075,54800
user2029249960847121105,38061400
user6713471973960038893,60800
user6827113814799965387,71200
user188446939550524813,63200
user7596409868082749357,54500
user1513367034589415457,60100
user5074281882198395392,80000
user6526477550995029593,54000
user6113638949904105395,56300
user2692036695279952151,62300
user4996024802836203022,61200
user5098066254884730148,57900
user3841127697536303298,76300
user378229347780538567,55000
user4574820674123511261,68500
user5839793359268350694,61600
user6506271256599379408,54000
user1933792887572124887,56100
user6225052765991167883,55500
user4325079038703748510,59800
user4086401466154640251,55200
user4997363039078325801,61900
user9073499585121055625,55000
user4304094468578115994,58700
user6191004668928802337,60400
user7733836081609010607,57100
user7564933012894300583,56300
user1401953218502352969,58800
user3513919075780028294,58200
user2994912801133449737,53800
user4793291952276969335,52200
user3234940427220378561,59900
user1280265432570316106,59400
user66199193106347502,57900
user2324526997513135673,56600
user5586703778071443041,69000
user8120557054650407257,62400
user8268475553239484765,55900
user1985706169669763515,56700
user8566552392466201573,56600
user5343109890989527432,62500
user4087521387178921147,59700
user9134566916039387732,54800
user7906990273734058747,60100
user5802168755742054778,53200
user8917203741614512768,57200
user2619368975570220676,55900
user548252337519529487,55500
user2643701491472998094,62600
user5890139844437081075,60800
user6258209502716038001,60100
user2111861822403226176,57400
user1983807972915500288,57900
user8069308963675237863,58900
user8872994759314685944,61900
user4866862849619894024,56600
user5998877188039898005,57300
user6804896239042538878,54300
user3344456046553177822,54200
user3447045641818147610,78000
user97457733076954393,59700
user5459209889095857601,77700
user6428232492455028921,56100
user8938748272252285732,59900
user7596969828594889805,66200
user1703149442819429211,53300
user7000154922317500430,55600
user8428784533645641758,56100
user1799384791824407760,59800
user7413666568528078173,63400
user2157522125552688876,58900
user5247104674498088552,58200
user8401215584746478334,83700
user1153331504106871114,54500
user4292482262491018840,57200
user6037280067296176252,64500
user6209201253789430399,54000
user6054916691644663866,56900
user423776566322488170,60500
user6300738603479443481,56100
user2056258949234144081,72000
user5814889065557735042,127300
user4189892667226049052,91400
user6042184564533285816,55700
user6778883841603340116,57000
user1160257528174700587,56400
user6906937691091066004,55400
user406139941974000556,57300
user7402614322953121467,54800
user8411147909297154144,66600
user652521814320920619,56000
user8610874459373541494,57800
user2996251037375572516,63600
user578734173586908248,56700
user8366938926997327320,55100
user6184078644860972864,55000
user408038138728263783,55500
user3269765228185972237,67100
user8234085810882820654,55400
user7355274138267237423,56500
user6029794082716206331,100500
user8320948795849263841,94300
user5734062316148380101,56500
user1463351949246040056,55600
user7790548630333430013,54400
user3105548341490529894,58900
user934518580659114475,53800
user645607607548788932,57900
user9112462424889474320,69600
user4379893390673904689,59000
user6802781298897187969,56500
user6982518297969012816,60300
user7566831209648563810,59500
user7968057604652390854,54700
user2343396627493417280,58100
user5611596254486360907,58200
user6717038234955025678,56500
user7814333003019764769,53200
user8994122584734582359,56900
user3858546006666949029,56600
user5004849023658295722,63300
user6553828184676351134,59300
user2830695914438007394,57900
user650853750080197061,61100
user1374042624308890980,67900
user5866024071925391339,59100
user8753205170136912308,55600
user8735568545788424694,60900
user5905659956813463579,65700
user6847550241709155241,59900
user3371246719722358915,61200
user5211708095724656642,62000
user622383195374594624,60900
user5023375436517524563,54800
user2031148157601384332,56500
user7215059939475971719,58700
user3331505604223957889,54700
user6760687256742712054,73300
user3507894657518637834,61900
user5447379367790918564,60900
user7274229073640040599,62900
user7488232484992072875,58100
user1252914798888994565,56400
user176834733463427659,58800
user2757903292825065036,52800
user2635667363676585511,57800
user3001838825201279210,57100
user3282155710003051722,80500
user2908279948680546219,64900
user1822049243486461620,56500
user7234706273359481456,55400
user6596470370047269711,75300
user8592223144611101770,58700
user7345901774228702061,61600
user2348424454806983526,57400
user6086175231615270757,53600
user9005953106039521396,61900
user5460889770632278945,60200
user3123526611133316073,55200
user6077021182794577278,72800
user632315519925270434,59200
user1035781756977659270,61000
user1292095953875255143,55800
user8483940530910096502,60800
user7824606972864739144,60700
user3776712420840826289,48900
user4452572927679333950,63100
user6274507890822402836,61400
user5811541119780590140,59900
user7476961924199274286,54500
user4464858178886084649,58300
user2131166510992437348,53600
user505381591461825442,64400
user7132894953824493999,98600
user3715313690097139202,76100
user2676298267685727764,76200
user8782795645866795641,69600
user8869646813537541042,56200
user7237724391138025579,119100
user2753777071317937803,62000
user9169951677517121856,58600
user2974146546225659104,57500
user8988316481691033782,73400
user3585031815856549308,83400
user9131548798260843609,55300
user3200663769471227547,56300
user7361640201822926448,58100
user2276410108924023499,65700
user667152138186561896,55300
user3929658746743470043,54300
user2870778675230706985,58800
user3409544368368308376,57100
user540778170235257352,60000
user6287788161150223548,55800
user5575651532496486335,54600
user2776659838197833546,60200
user7654242337831449659,56800
user3984360014106113125,62300
user5086454048797632994,52800
user2577274933415744761,58600
user6178832502329564735,58900
user377109426756257671,56500
user568128803916578893,64700
user1570969371824576090,87500
user2292490181812546451,59000
user3552216724425977755,73300
user8672720066021855932,57600
user479710839316925245,57300
user7340313986402995367,53000
user3368788562455955240,54800
user2494103111347499242,64700
user7146735184664455159,59200
user1467259855535325406,62000
user6141767859315409267,55600
user4594685323224862881,77800
user6641799273371377431,60000
user1572867568578839317,57700
user5796922613210646649,56800
user5663622621191512632,64700
user6065968937219620572,53400
user4257657461525425164,59800
user3337530022485348349,88700
user5515704122602435124,60000
user6174924596040279385,57300
user4400889778095234991,58100
user744070981306631487,58100
user5565159247433670077,55500
user7112458526915304145,57900
user2947915833568618459,55100
user3700913498745037594,68300
user2138983895397762249,59100
user2352437591706597662,55900
user4173812594337526100,61400
user6156168050667510875,55000
user6506831217111519856,58900
user5981905754813879625,57100
user4279201992163198128,55400
user7878301403810614427,51400
user5085675773067650663,60600
user7892371767164115256,69500
user658887877876609644,64900
user3359416198417419878,106400
user8874332995556808723,69600
user1357184275690385697,60700
user1198991807256333814,91100
user4305774350114537338,57900
user412164360235391016,59700
user3705941326058603840,78500
user2804010471879155087,59100
user3053305231394290487,56600
user2949035754592899355,55700
user7481648106218541967,63800
user7807406978951935296,71100
