ycsb_key,size
user6285000175885219094,65600
user6299400367237320702,65900
user8179944504032318020,58000
user6178832502329564735,86800
user623503116398875520,76400
user5696779357916382750,68500
user2866310808429281187,92800
user4298288365534567417,67100
user7576203573687099172,62900
user1921072577756444623,89700
user5344448127231650211,61700
user8170230494699484093,63800
user7938248813704665638,63100
user4052684768917629685,58800
user4760913491282081548,58900
user5802168755742054778,60800
user286350352796226920,64100
user8029797980690376506,64200
user7229678446045915210,63600
user427124512099633072,88700
user7456195669291483653,90800
user1116048545874873763,94900
user513427536553935811,67200
user9110564228135211093,73800
user8401433899964320217,59300
user8054690457105294372,62800
user181302600264853457,138900
user1352156448376819451,63000
user3338649943509629245,341800
user5213947937773218434,59800
user6043304485557566712,62900
user2644261451985138542,62800
user6284221900155236763,66600
user1101088394010631707,87700
user763935630407983107,73300
user643709410794525705,60200
user2538312093647326066,61600
user7354714177755096975,81400
user2865750847917140739,59300
user1578673671622387894,63400
user8989654717933156561,63100
user6752434813728457588,83300
user2876243132979956997,64000
user306556647191877105,79100
user2523693587077382575,91400
user8285552217075831931,79100
user4404237723872379893,63500
user8164984352168075964,131100
user8401215584746478334,63000
user3242974555016791144,75100
user4042752444366953875,70300
user8059376639124562053,95700
user643367765500227140,60600
user7832859415878993610,64900
user5812101080292730588,69800
user2066532919079118456,85400
user6757680956259865717,68100
user8184630686051585701,62100
user8270933710505888440,63200
user3806302896570709622,82600
user1468598091777448185,140400
user6631525303526403056,64500
user6993788858761811405,84100
user8858594567962584336,57800
user4525023903997977743,71500
user1482998283129549793,62800
user749317123838039616,113700
user70107099395632852,132700
user170810315202037199,60900
user301870465172609424,59200
user8527029592185642430,65300
user3565167166755197688,63000
user6290028003198785340,77100
user7707045408439829514,62600
user2282776172479712524,63000
user8652283639112666078,137400
user4992458541841216237,62400
user5238840414188136300,82400
user7572077352179971939,132800
user166342448400611401,61300
user9095604076270969037,60200
user7350027995735829294,64000
user3816016905903543549,172800
user4302974547553835098,93300
user8164424391655935516,82900
user1935472769108546231,71400
user2071219101098386137,63900
user6058824597933949216,72500
user1815123219418632147,94700
user980520529102875740,56700
user4303534508065975546,121100
user2278089990460444843,78800
user4052466453699787802,86300
user9220639807980150802,93100
user1940718911639954360,62400
user7928876449666130276,60600
user4042192483854813427,83700
user5474730001472240105,62000
user3821481363652793561,63500
user648395592813793386,95900
user5460111494902296614,68600
user2408030219406736172,84000
user6184078644860972864,82300
user5711179549268484358,70300
user7939027089434647969,67100
user9100290258290236718,85000
