ycsb_key,size
user3533565409663538031,122200
user5551088884080169248,122500
user7801600875908386719,122200
user4174932515361806996,122600
user5245206477743825325,122200
user7582569637242788197,122400
user380687505046942242,122600
user5572085271501499550,122300
user3300807024765491446,122400
user2876803093492097445,122400
user5840011674486192577,122800
user3737418181247052614,122400
user1121854648918422340,122100
user8908609653305959737,122800
user8543887940804147713,121800
user5038118844990678937,122300
user3688741332145799992,122200
user8331554165519593196,121700
user5663622621191512632,122400
user8812934264813121636,122500
user1971635806316262686,122400
user7439678965967276935,122200
user252633655559216354,122100
user7824606972864739144,122100
user2916325893772656588,122400
user4870989071127021257,122500
user5848045802282605160,122700
user848340458108022619,122300
user3130110989906846981,122200
user1558249062008895826,122600
user2847772578274354560,122300
user5828399468399095423,121900
user3210377778804061474,122900
user5219754040816767011,121800
user1040467938996926951,122800
user5310731429994639645,121900
user4089189451419644705,122900
user2689030394797105814,122400
user1050181948329760878,122900
user1609372251080854337,123400
user6392617598463755128,122500
user5113244721966814087,122700
user8756553115914057210,123100
user264587506940612073,122400
user2574600032758253404,122500
user3322911515915404858,122900
user1859892162230599419,122600
user5463677755897283399,122100
user3997310456435333058,122800
user3298908828011228219,121600
user1422937788627985485,122300
user2567000963570770386,122500
user5882995505151409719,122800
user1836107789544264663,122500
user6464177214444903493,122300
user5518938983772066929,122100
user543006194988121358,122500
user1708395585350837340,122000
user1498736710723774180,122400
user2792958226304198381,122900
user4005904544743886089,122800
user2165774568566943342,122600
user1700921418066565205,122300
user1345572069603288543,122700
user3084222126070598813,122500
user3478864142300894949,122400
user5463117795385142951,122800
user7471934096885708040,122800
user7484106263484945642,122400
user5929102684205499770,122100
user6453124968869946787,122400
user3678590692377282299,122600
user3359074553123121313,121800
user9210925798647316875,122600
user4740488881668589480,122500
user3497620687673663459,122600
user7654242337831449659,121800
user5785870367635689943,122300
user8358904799200914737,122700
user5879087598862124369,121700
user2031148157601384332,122700
user8280866035056564250,122600
user7505090833610578158,122300
user1031643718174834251,121800
user8633757226253437237,122700
user2503487292681732390,122600
user2910519790729108011,122400
user3380400768543052394,122400
user3322351555403264410,122600
user3886009724955783667,122200
user3248780658060339721,122300
user7939928695241086982,122600
user2519785680788097225,122000
user1714979964124368248,121900
user2760921410603609159,121800
user3573761255063750719,122200
user4969234129667021929,122300
user6270381669315275603,122500
user4299968247070988761,122800
user9169391717004981408,122200
user5915032320851998941,121700
user4302974547553835098,122100
user7564373052382160135,122100
user1573427529090979765,122600
user2975266467249940000,122800
user241581409984259648,122800
user5861556205123965541,122400
user5222542026081771465,122400
user2848892499298635456,122300
user883725219585756743,122500
user5912804296099134935,122600
user5212268056236797090,122200
user2721398610323050016,123000
user644487686524508036,122200
user1324805814695497910,122700
user7624320462276211346,122200
user4541663937398641143,122800
user8042518290506056770,122200
user391739750621898948,121900
user195921106834796948,122900
user637343347238836680,122700
user6583190099719448999,122200
user3338089982997488797,121800
user2451460925976580665,122200
user4233313128326949960,122400
user917660232040609192,122700
user1702589482307288763,122600
user3601330203962914143,122600
user8780555803818233849,121900
user4643693572151470483,122400
user5053857272584903324,122800
user6893987248761846071,121900
user2312914791426038519,122800
user6770071438076945202,122900
user3495722490919400232,122700
user4735242739137181351,122800
user6927362300704558072,123000
user8134067457491767638,122300
user7798594575425540382,122400
user1279145511546035210,121900
user4634881168625075569,122300
user3119058744331890275,122400
user6633205185062824400,121700
user6564880430251307840,122500
user5636271987510191091,122800
user5289746859869007129,122500
user7372692447397883154,122400
user3262291060901700102,122300
user8279746114032283354,122600
user1387553027150251361,122300
user4150369866945489909,122400
user575043010688710580,122100
user2870437029936408420,122900
user2042200403176341038,122500
user7170290996664004447,122400
user7264515064307206672,122400
user4695719938856622208,122700
user1114928624850592867,123200
user9086779855448876337,122100
user4948809520053529861,122800
user5622648500061317613,122600
user7852175921763902568,122500
user857152861634417533,122500
user2030588197089243884,123000
user4389837532520278285,123200
user6291926199953048567,122600
user7466127993842159463,123400
user3931338628279891387,122500
user3914480279661386104,122600
user4882942922508416976,122500
user7476961924199274286,122600
user5247664635010229000,122600
user7789770354603447682,122100
