ycsb_key,size
user5369900564158708525,117100
user5498732689376416744,116700
user4406135920626643120,115800
user8232530831249610193,117900
user4363595002567539854,117700
user8906929771769538393,117200
user7924968543376844926,116500
user7280148261291102273,120800
user5019249215010397330,116900
user8609972853567102481,117300
user8085607351781602698,118700
user66540838400646067,119300
user1608812290568713889,118300
user6042744525045426264,117200
user6867414890810506861,116900
user402232035684715206,117800
user6218013657315825313,162900
user1803852658625833558,118900
user2518105799251675881,123700
user6988324401012561393,116800
user6861608787766958284,118700
user6879587057409744463,118200
user4891755326034811890,117900
user1857434004964195744,119900
user8181282740274440799,117500
user8026998178129674266,118100
user4066524999757590845,116000
user4107386036280272767,117000
user842534355064474042,120000
user1808757155862943122,117500
user8303530486718618110,116800
user3371806680234499363,117500
user3529552272763923895,117400
user7346680049958684392,118100
user996258956697100127,118300
user2979952649269207681,117700
user8504365140523588570,118100
user1523972404259744812,117300
user4654745817726427189,118500
user846660576571601275,126400
user1924078878239290960,115500
user3002057140419121093,116700
user6532283654038578170,117300
user5232474350632447275,116300
user8777549503335387512,120100
user4584971313892028954,117500
user6753213089458439919,117000
user7570957431155691043,116900
user8768725282513294812,116500
user891989479895708995,117400
user7654802298343590107,117000
user48002608245719440,117500
user7488232484992072875,117000
user6689574516666191040,115400
user6217795342097983430,118300
user6040846328291163037,117800
user5128764834343196591,117700
user2809256614410563216,116600
user2352655906924439545,118600
user5343109890989527432,116900
user3473058039257346372,117200
user1589165956685204152,116800
user6191004668928802337,117700
user3526764287498919441,119200
user8268475553239484765,116700
user7423598893078753983,116500
user7002942907582504884,117200
user8191775025337257057,118400
user5684948836611443713,116100
user1989614075959048865,117200
user4754889073020691088,116800
user55146947531390796,118100
user1210604013343430968,117100
user3749808663064132099,117300
user3611822489025730401,116900
user3048059088862882358,117000
user1435441355052578067,118100
user4302974547553835098,117500
user4642025507910746925,119100
user4970354050691302825,117900
user628189298418143201,116300
user516215521818940265,147500
user1704487679061551990,117700
user2507613514188859623,117200
user5222760341299613348,118200
user5339761945212382530,116900
user1851627901920647167,117900
user2407811904188894289,117000
user6015735536658403288,118000
user676306187007255375,118100
user6834258154085636743,117100
user7472275742180006605,117900
user7224773948808805646,118000
user8301850605182196766,119800
user7723343796546194349,117400
user3006525007220546891,118900
user3327597697934672539,120400
user8429904454669922654,116900
user4524463943485837295,116900
user6515985265932213335,117500
user7345560128934403496,117300
user7655922219367871003,117900
user1395027194434523496,117700
user6894205563979687954,125700
user7270321167350755249,118300
user7712851511483378091,124100
user1673570784385243664,116700
user7186371069552527399,117700
user7104206083901049679,117100
user4282768253158184913,118900
user4036946341323405298,119100
user8903363510774551608,116400
user6906377730578925556,117500
user3237728412485383015,116900
user1029415693421970245,118700
user3981572028841108671,116900
user7120722787225256397,117300
user5626339662959515281,117200
user5012323190942567857,119000
user8999928687778130936,116300
user1714201688394385917,115500
user3252906879567466954,116900
user617137052843186495,117300
user5217855844062503784,117600
user5828181153181253540,118200
user3574321215575891167,117400
user2030028236577103436,118000
user4003011328868552849,117600
user2907501672950563888,118500
user2214451417668195964,120800
user6003781685277007569,120700
user5976099651770331048,115800
user4729218320875790891,117500
user5188265368332620451,118300
user8633197265741296789,115900
user1468379776559606302,120400
user5664742542215793528,117200
user8234085810882820654,116000
user5246544713985948104,120500
user7829511470101848708,117400
user5310731429994639645,115800
user5401502321250368182,117600
user1362430418221793826,117500
