ycsb_key,size
"user1000385178204227360", 96200
"user1000726823498525925", 101900
"user1001286784010666373", 98100
"user1004293084493512710", 101200
"user1004853045005653158", 98000
"user1005413005517793606", 104600
"user1005631320735635489", 98200
"user1010099187537061287", 105300
"user1010659148049201735", 104300
"user1015345330068469416", 101400
"user1015905290580609864", 102800
"user1016465251092750312", 104400
"user1016683566310592195", 99200
"user1025837615131285674", 96100
"user1026397575643426122", 102600
"user1096402211991364026", 95200
"user1099968472986350811", 98100
"user1100528433498491259", 99300
"user1101088394010631707", 104000
"user1101648354522772155", 98600
"user1104654655005618492", 105200
"user1104996300299917057", 100700
"user1105556260812057505", 99600
"user1105774576029899388", 98000
"user1106334536542039836", 99200
"user1106894497054180284", 98400
"user1111580679073447965", 103500
"user1112140639585588413", 100100
"user1114928624850592867", 101400
"user1115488585362733315", 102500
"user1115706900580575198", 102700
"user1116048545874873763", 104400
"user1116266861092715646", 99200
"user1117386782116996542", 101100
"user1120734727894141444", 97600
"user1121294688406281892", 103700
"user1121513003624123775", 103000
"user1122632924648404671", 99900
"user1125980870425549573", 104600
"user1126540830937690021", 105200
"user1127100791449830469", 102800
"user1130667052444817254", 97800
"user1135913194976225383", 99400
"user1136473155488365831", 102400
"user1141719298019773960", 108800
"user1146965440551182089", 103100
"user1205917831324163287", 100700
"user1211163973855571416", 103800
"user1211723934367711864", 95600
"user1216410116386979545", 102300
"user1216970076899119993", 103000
"user1222216219430528122", 102300
"user1222776179942668570", 97600
"user1225782480425514907", 97400
"user1226342440937655355", 99400
"user1226902401449795803", 100700
"user1230250347226940705", 99500
"user1231370268251221601", 105300
"user1231588583469063484", 98400
"user1231930228763362049", 100200
"user1232148543981203932", 102100
"user1236616410782629730", 102300
"user1236834726000471613", 102800
"user1237176371294770178", 103500
"user1237394686512612061", 100100
"user1237736331806910626", 96700
"user1237954647024752509", 99000
"user1240742632289756963", 96500
"user1241302592801897411", 95000
"user1242982474338318755", 102300
"user1245988774821165092", 104100
"user1246548735333305540", 101400
"user1247108695845445988", 100500
"user1247886971575428319", 96700
"user1248228616869726884", 101900
"user1251794877864713669", 99200
"user1252354838376854117", 106600
"user1252914798888994565", 103300
"user1326485696231919254", 97400
"user1327045656744059702", 109000
"user1332851759787608279", 101600
"user1336199705564753181", 108500
"user1336418020782595064", 104800
"user1336977981294735512", 99000
"user1337537941806875960", 102300
"user1342005808608301758", 101500
"user1342224123826143641", 101200
"user1342784084338284089", 98300
"user1347251951139709887", 100500
"user1347470266357551770", 103300
"user1348030226869692218", 96500
"user1348590187381832666", 103900
"user1352156448376819451", 95600
"user1352498093671118016", 103400
"user1353058054183258464", 101400
"user1356624315178245249", 105200
"user1357184275690385697", 97800
"user1357402590908227580", 105400
"user1357744236202526145", 98400
"user1357962551420368028", 96900
"user1361870457709653378", 103800
"user1362430418221793826", 98800
"user1362990378733934274", 105100
"user1363208693951776157", 106900
"user1367116600241061507", 103900
"user1368454836483184286", 103900
"user1372362742772469636", 103000
"user1373482663796750532", 98800
"user1451739743158942902", 94900
"user1452081388453241467", 101500
"user1452859664183223798", 97200
"user1453419624695364246", 100800
"user1456985885690351031", 98500
"user1458105806714631927", 104300
"user1458665767226772375", 103000
"user1459225727738912823", 103300
"user1462232028221759160", 98000
"user1462791988733899608", 101100
"user1463133634028198173", 104800
"user1467259855535325406", 95000
"user1467478170753167289", 105200
"user1467819816047465854", 98500
"user1468038131265307737", 103200
"user1468379776559606302", 94500
"user1468598091777448185", 104000
"user1472505998066733535", 97900
"user1473065958578873983", 95000
"user1473284273796715866", 96900
"user1473625919091014431", 100200
"user1473844234308856314", 98800
"user1474404194820996762", 103300
"user1478312101110282112", 101600
"user1478872061622422560", 96500
"user1479432022134563008", 100300
"user1482438322617409345", 95800
"user1482998283129549793", 97700
"user1487684465148817474", 99800
"user1488244425660957922", 106000
"user1494050528704506499", 98400
"user150044060294246566", 102300
"user150604020806387014", 100100
"user1563495204540303955", 105700
"user1568741347071712084", 100200
"user1569301307583852532", 98800
"user1573987489603120213", 101000
"user1574547450115260661", 100600
"user1577335435380265115", 99500
"user1577895395892405563", 101700
"user1578113711110247446", 101600
"user1578455356404546011", 98300
"user1578673671622387894", 101500
"user1579233632134528342", 104800
"user1582581577911673244", 106700
"user1583141538423813692", 101000
"user1583359853641655575", 98900
"user1583701498935954140", 99300
"user1583919814153796023", 103100
"user1584479774665936471", 102400
"user1587267759930940925", 97600
"user1588605996173063704", 100900
"user1588947641467362269", 100100
"user1589507601979502717", 101700
"user1592513902462349054", 99400
"user1593073862974489502", 102100
"user1593633823486629950", 99400
"user1593852138704471833", 103600
"user1594972059728752729", 97800
"user159758069627080493", 100900
"user1598320005505897631", 96300
"user1598879966018038079", 103800
"user1599658241748020410", 98000
"user159976384844922376", 104500
"user1599999887042318975", 99100
"user1603566148037305760", 102600
"user1604126108549446208", 96600
