ycsb_key,size
"user1000385178204227360", 135300
"user1005413005517793606", 136600
"user1010099187537061287", 134600
"user1096402211991364026", 136200
"user1101648354522772155", 136500
"user1106334536542039836", 136400
"user1116048545874873763", 136000
"user1121294688406281892", 135200
"user1125980870425549573", 135300
"user1226902401449795803", 136300
"user1231588583469063484", 136200
"user1231930228763362049", 136600
"user1236834726000471613", 136500
"user1246548735333305540", 136400
"user1332851759787608279", 136400
"user1337537941806875960", 135700
"user1342784084338284089", 136100
"user1347470266357551770", 136500
"user1352498093671118016", 136000
"user1357184275690385697", 136400
"user1362430418221793826", 135700
"user1367116600241061507", 136400
"user1453419624695364246", 135900
"user1463133634028198173", 136500
"user1468038131265307737", 135700
"user1468379776559606302", 136500
"user1473065958578873983", 136300
"user1487684465148817474", 137400
"user1573987489603120213", 136400
"user1578673671622387894", 136500
"user1583919814153796023", 136900
"user1588605996173063704", 137100
"user1593633823486629950", 136600
"user1598320005505897631", 136300
"user161096305869203272", 136100
"user166342448400611401", 136600
"user1684623029960200370", 136500
"user1694555354510876180", 136300
"user1699583181824442426", 136700
"user1704269363843710107", 136500
"user1709515506375118236", 136200
"user171028630419879082", 136200
"user1714201688394385917", 136100
"user176056457733445328", 135200
"user180742639752713009", 135500
"user1815123219418632147", 136000
"user1819809401437899828", 136800
"user1820151046732198393", 136100
"user1825055543969307957", 135300
"user1834769553302141884", 136500
"user185988782284121138", 136700
"user190674964303388819", 136100
"user1921072577756444623", 136400
"user1925758759775712304", 137200
"user1931004902307120433", 136300
"user1935691084326388114", 135400
"user1940718911639954360", 136300
"user1945405093659222041", 136400
"user1950651236190630170", 135300
"user1955337418209897851", 136500
"user2041640442664200590", 136700
"user2051354451997034517", 136700
"user2056258949234144081", 136200
"user2056600594528442646", 136400
"user2061286776547710327", 136700
"user2162208307571956557", 136300
"user2166894489591224238", 122600
"user2172140632122632367", 136600
"user2176826814141900048", 136200
"user2181854641455466294", 135700
"user2186540823474733975", 136500
"user2191786966006142104", 136500
"user2272843847929036714", 136100
"user2282776172479712524", 136500
"user2287803999793278770", 135100
"user2292490181812546451", 136900
"user2297736324343954580", 136700
"user2302422506363222261", 135100
"user2403344037387468491", 136600
"user2408030219406736172", 136300
"user2408371864701034737", 135200
"user2413276361938144301", 136500
"user2422990371270978228", 136500
