ycsb_key,size
"user1000385178204227360", 67700
"user1000726823498525925", 84800
"user1001286784010666373", 71800
"user1004293084493512710", 165800
"user1004853045005653158", 85700
"user1005413005517793606", 78900
"user1005631320735635489", 66200
"user1010099187537061287", 81900
"user1010659148049201735", 72400
"user1015345330068469416", 76700
"user1015905290580609864", 71900
"user1016465251092750312", 71800
"user1016683566310592195", 84000
"user1025837615131285674", 72000
"user1026397575643426122", 85700
"user1096402211991364026", 85500
"user1099968472986350811", 99000
"user1100528433498491259", 78300
"user1101088394010631707", 80000
"user1101648354522772155", 77100
"user1104654655005618492", 104300
"user1104996300299917057", 100500
"user1105556260812057505", 73600
"user1105774576029899388", 94200
"user1106334536542039836", 68700
"user1106894497054180284", 65000
"user1111580679073447965", 140200
"user1112140639585588413", 66400
"user1114928624850592867", 74700
"user1115488585362733315", 68500
"user1115706900580575198", 83200
"user1116048545874873763", 75400
"user1116266861092715646", 72600
"user1117386782116996542", 75900
"user1120734727894141444", 137900
"user1121294688406281892", 81300
"user1121513003624123775", 105700
"user1122632924648404671", 74100
"user1125980870425549573", 110800
"user1126540830937690021", 76700
"user1127100791449830469", 144600
"user1130667052444817254", 78200
"user1135913194976225383", 65800
"user1136473155488365831", 189100
"user1141719298019773960", 84700
"user1146965440551182089", 68900
"user1205917831324163287", 74800
"user1211163973855571416", 112400
"user1211723934367711864", 79600
"user1216410116386979545", 94600
"user1216970076899119993", 64300
"user1222216219430528122", 76700
"user1222776179942668570", 71000
"user1225782480425514907", 64100
"user1226342440937655355", 64700
"user1226902401449795803", 69400
"user1230250347226940705", 83400
"user1231370268251221601", 76300
"user1231588583469063484", 108000
"user1231930228763362049", 75600
"user1232148543981203932", 69300
"user1236616410782629730", 82700
"user1236834726000471613", 72300
"user1237176371294770178", 75300
"user1237394686512612061", 69100
"user1237736331806910626", 71700
"user1237954647024752509", 80400
"user1240742632289756963", 69400
"user1241302592801897411", 68300
"user1242982474338318755", 83500
"user1245988774821165092", 72300
"user1246548735333305540", 74200
"user1247108695845445988", 86500
"user1247886971575428319", 83700
"user1248228616869726884", 59900
"user1251794877864713669", 131500
"user1252354838376854117", 59600
"user1252914798888994565", 62800
"user1326485696231919254", 78800
"user1327045656744059702", 80300
"user1332851759787608279", 68800
"user1336199705564753181", 73000
"user1336418020782595064", 92500
"user1336977981294735512", 66000
"user1337537941806875960", 65900
"user1342005808608301758", 64500
"user1342224123826143641", 72200
"user1342784084338284089", 73100
"user1347251951139709887", 87200
"user1347470266357551770", 70700
"user1348030226869692218", 70700
"user1348590187381832666", 84100
"user1352156448376819451", 95800
"user1352498093671118016", 62700
"user1353058054183258464", 68100
"user1356624315178245249", 81600
"user1357184275690385697", 107400
"user1357402590908227580", 108300
"user1357744236202526145", 89600
"user1357962551420368028", 88900
"user1361870457709653378", 74500
"user1362430418221793826", 79200
"user1362990378733934274", 98000
"user1363208693951776157", 117200
"user1367116600241061507", 83100
"user1368454836483184286", 66000
"user1372362742772469636", 74000
"user1373482663796750532", 103900
"user1451739743158942902", 132700
"user1452081388453241467", 100500
"user1452859664183223798", 92500
"user1453419624695364246", 66000
"user1456985885690351031", 71000
"user1458105806714631927", 76900
"user1458665767226772375", 100400
"user1459225727738912823", 74100
"user1462232028221759160", 145300
"user1462791988733899608", 68900
"user1463133634028198173", 79700
"user1467259855535325406", 82800
"user1467478170753167289", 61200
"user1467819816047465854", 73600
"user1468038131265307737", 83400
"user1468379776559606302", 70200
"user1468598091777448185", 66600
"user1472505998066733535", 83700
"user1473065958578873983", 74200
"user1473284273796715866", 68100
"user1473625919091014431", 89700
"user1473844234308856314", 1826900
"user1474404194820996762", 93500
"user1478312101110282112", 67900
"user1478872061622422560", 65700
"user1479432022134563008", 86000
"user1482438322617409345", 173000
"user1482998283129549793", 79500
"user1487684465148817474", 68800
"user1488244425660957922", 71300
"user1494050528704506499", 66500
"user150044060294246566", 82800
"user150604020806387014", 70600
"user1563495204540303955", 93100
"user1568741347071712084", 71300
"user1569301307583852532", 80900
"user1573987489603120213", 73500
"user1574547450115260661", 84900
"user1577335435380265115", 85600
"user1577895395892405563", 67800
"user1578113711110247446", 616200
"user1578455356404546011", 89300
"user1578673671622387894", 72800
"user1579233632134528342", 86400
"user1582581577911673244", 72500
"user1583141538423813692", 64500
"user1583359853641655575", 83500
"user1583701498935954140", 83700
"user1583919814153796023", 70000
"user1584479774665936471", 76500
"user1587267759930940925", 66700
"user1588605996173063704", 128800
"user1588947641467362269", 129300
"user1589507601979502717", 75300
"user1592513902462349054", 66900
"user1593073862974489502", 133000
"user1593633823486629950", 80300
"user1593852138704471833", 72600
"user1594972059728752729", 67700
"user159758069627080493", 70000
"user1598320005505897631", 1344900
"user1598879966018038079", 69200
"user1599658241748020410", 62600
"user159976384844922376", 67600
"user1599999887042318975", 83900
"user1603566148037305760", 68500
"user1604126108549446208", 70600
"user1604686069061586656", 73500
"user160536345357062824", 106300
"user161096305869203272", 65600
"user165564172670629070", 91300
"user165782487888470953", 71900
"user166342448400611401", 87500
"user1673570784385243664", 67700
"user1684623029960200370", 100900
"user1688530936249485720", 72000
"user1688749251467327603", 93400
"user1689309211979468051", 64600
"user1689869172491608499", 70000
"user1693777078780893849", 90700
"user1693995393998735732", 101900
"user1694555354510876180", 80200
"user1695115315023016628", 74000
"user1699583181824442426", 78000
"user1699801497042284309", 70100
"user1700361457554424757", 73500
"user1700921418066565205", 70000
"user1703149442819429211", 85800
"user1703709403331569659", 74000
"user1703927718549411542", 65100
"user1704269363843710107", 66800
"user1704487679061551990", 75700
"user1707835624838696892", 77100
"user170810315202037199", 89100
"user1708955545862977788", 72900
"user1709515506375118236", 74200
"user1709733821592960119", 84900
"user171028630419879082", 75800
"user1714201688394385917", 66000
"user1714761648906526365", 82700
"user1715321609418666813", 68200
"user1715539924636508696", 70100
"user171588590932019530", 72600
"user1718887870413653598", 71800
"user1720567751950074942", 68500
"user172148551444159978", 64500
"user1724134012945061727", 73800
"user1724693973457202175", 115200
"user1725253933969342623", 72500
