Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,CPU,Memory,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,deadlocks,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
0,load,10000,true,uniform,INSERT,0,1.3,1,39161,12848,1876,10119,1,0,0,0,0,681,42609,386625947,560854007,6446765772,11815657035,1119291096,168793140,22855917914564,26811104056,3545527635,79374462,1,0,0,0,0,12933,773.2158045310446,10000,1232.7701,790,19871,1648,1798,10000
1,extend,10000,true,zipfian,EXTEND,0,1.3,2,1410490,303220,272426,99640,100023,82881,0,0,0,681,42609,386625947,560854007,6446765772,11815671704,1119291096,168793140,22856177385679,26811783663,3545527639,79374462,0,0,0,0,1,129355,773.0663677476712,100000,1285.11021,301,16543,1724,2167,100000
1,run,10000,true,uniform,READ,0,1.3,2,1975425,503990,452750,99751,100034,82982,0,0,0,681,42609,386625947,560854007,6446765772,11815671704,1119291096,168793140,22856180021573,26811823830,3545527639,79374462,1,0,0,0,0,5511,18145.527127563055,100000,50.06275,28,14719,70,141,100000
1,reference,10000,true,uniform,READ,0,1.3,1,342922,124838,102110,10119,1,0,0,0,0,681,42609,386625947,560854007,6446765772,11815671704,1119291096,168793140,22856180021573,26811823830,3545527639,79374462,1,0,0,0,0,4075,24539.877300613498,100000,36.08221,26,13095,48,84,100000
1,clean-run,10000,true,uniform,READ,18.1,2.6,447,512885,173763,163671,16460,1,0,0,4,385024,681,42610,386643087,560854007,6446782258,11815675777,1119291302,168793149,22856207668076,26811840822,3545528624,79374462,1,0,0,0,0,5221,19153.41888527102,100000,47.60407,27,13095,65,129,100000
1,avg-run,10000,true,uniform,READ,0,2.2,449,1330137,455534,404512,36582,5,0,0,4,385024,681,42610,386643087,560854007,6446782258,11815678725,1119291302,168793149,22856232961092,26811894222,3545528628,79374462,1,0,0,0,0,4946,20218.358269308534,100000,44.51367,31,14375,62,100,100000
2,extend,10000,true,zipfian,EXTEND,0,2.5,2,4450073,1178993,1071788,353962,200056,320647,0,0,0,681,42611,386654133,560854007,6446811205,11815703352,1119291302,168793149,22856874532115,26813198085,3545568699,79374462,0,0,0,0,1,128687,777.0792698563181,100000,1278.50791,300,36127,2133,3267,100000
2,run,10000,true,uniform,READ,0,2.5,2,5828249,1574369,1446718,354106,200067,320789,0,0,0,681,42611,386654326,560854007,6446811205,11815703352,1119291302,168793149,22856876238035,26813221890,3545568701,79374462,1,0,0,0,0,6166,16217.969510217321,100000,56.84807,30,13783,85,175,100000
2,reference,10000,true,uniform,READ,0,2.5,1,645437,248752,203373,10119,1,0,0,0,0,681,42611,386654376,560854007,6446811205,11815703352,1119291302,168793149,22856876238035,26813221890,3545568701,79374462,1,0,0,0,0,4630,21598.272138228942,100000,41.36787,26,13031,55,88,100000
2,clean-run,10000,true,uniform,READ,0,3.4,533,1034569,332287,322195,32229,1,0,0,4,385024,681,42612,386692146,560854007,6446811206,11815708812,1119323841,168793204,22856916666083,26813270594,3545569688,79375371,1,0,0,0,0,6021,16608.536787908986,100000,55.47436,29,13335,74,159,100000
