Epoch,Phase,Operation,metric,source
2,avg-run,READ,723552557.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
3,avg-run,READ,1076862973.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
4,avg-run,READ,1534270354.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
5,avg-run,READ,1983606473.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
6,avg-run,READ,2446714671.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
7,avg-run,READ,2963260679.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
8,avg-run,READ,3309627759.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
9,avg-run,READ,3811692839.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
10,avg-run,READ,4310799267.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
11,avg-run,READ,4812776564.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
12,avg-run,READ,5341262909.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
13,avg-run,READ,5661025035.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
14,avg-run,READ,6060861111.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
15,avg-run,READ,6514116706.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
16,avg-run,READ,6977056503.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
17,avg-run,READ,7374568280.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
18,avg-run,READ,7701175767.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
19,avg-run,READ,8233633221.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
20,avg-run,READ,8655523588.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
21,avg-run,READ,9110698237.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
22,avg-run,READ,9501685207.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
23,avg-run,READ,10139872348.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
24,avg-run,READ,10295633354.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
25,avg-run,READ,10810537144.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
26,avg-run,READ,11358015717.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
27,avg-run,READ,11430385104.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
28,avg-run,READ,12042214125.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
29,avg-run,READ,12507954796.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
30,avg-run,READ,13116382298.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
31,avg-run,READ,13322734320.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
32,avg-run,READ,14060788634.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
33,avg-run,READ,14173990567.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
34,avg-run,READ,14732838398.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
35,avg-run,READ,15305208773.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
36,avg-run,READ,15830176919.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
37,avg-run,READ,15892110618.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
38,avg-run,READ,16502767034.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
39,avg-run,READ,17038253701.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
40,avg-run,READ,17101281830.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
41,avg-run,READ,18040155461.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
42,avg-run,READ,18454321861.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
43,avg-run,READ,18834752597.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
44,avg-run,READ,19416910280.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
45,avg-run,READ,19816927870.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
46,avg-run,READ,20390270409.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
47,avg-run,READ,20585358912.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
48,avg-run,READ,21090513602.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
49,avg-run,READ,21641486789.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
50,avg-run,READ,22042957408.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
51,avg-run,READ,22802497279.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
52,avg-run,READ,22979144687.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
53,avg-run,READ,23357107701.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
54,avg-run,READ,23924142911.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
55,avg-run,READ,24507190382.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
56,avg-run,READ,24860576812.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
57,avg-run,READ,25576832326.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
58,avg-run,READ,25753015327.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
59,avg-run,READ,26636964205.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
60,avg-run,READ,27078181541.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
61,avg-run,READ,27606974176.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
62,avg-run,READ,27703380202.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
63,avg-run,READ,28666612342.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
64,avg-run,READ,28738859232.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
65,avg-run,READ,29719022255.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
66,avg-run,READ,29656758172.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
67,avg-run,READ,29999090456.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
68,avg-run,READ,30980471089.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
69,avg-run,READ,30868293830.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
70,avg-run,READ,32195628800.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
71,avg-run,READ,32181063545.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
72,avg-run,READ,32830716639.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
73,avg-run,READ,33141596213.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
74,avg-run,READ,33524293078.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
75,avg-run,READ,34361669452.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
76,avg-run,READ,35150022891.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
77,avg-run,READ,35351611771.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
78,avg-run,READ,35979053109.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
79,avg-run,READ,36195200080.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
80,avg-run,READ,37049707904.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
81,avg-run,READ,37613156019.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
82,avg-run,READ,37480427762.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
83,avg-run,READ,38621941021.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
84,avg-run,READ,39143943289.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
85,avg-run,READ,39916375362.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
86,avg-run,READ,40190263768.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
87,avg-run,READ,39961773364.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
88,avg-run,READ,40931892894.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
89,avg-run,READ,41409488043.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
90,avg-run,READ,42307383024.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
91,avg-run,READ,42495981633.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
92,avg-run,READ,42704082168.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
93,avg-run,READ,43400133137.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
94,avg-run,READ,44694418072.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
95,avg-run,READ,43743826682.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
96,avg-run,READ,44729571545.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
97,avg-run,READ,45647116649.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
98,avg-run,READ,46081544599.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
99,avg-run,READ,46624680773.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
100,avg-run,READ,46498068597.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
2,clean-run,READ,708998007.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
3,clean-run,READ,1064498972.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
4,clean-run,READ,1522238933.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
5,clean-run,READ,1973105085.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
6,clean-run,READ,2436305617.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
7,clean-run,READ,2953260678.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
8,clean-run,READ,3299627729.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
9,clean-run,READ,3800130517.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
10,clean-run,READ,4300871463.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
11,clean-run,READ,4802727916.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
12,clean-run,READ,5331311611.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
13,clean-run,READ,5651024985.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
14,clean-run,READ,6050861077.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
15,clean-run,READ,6504067196.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
16,clean-run,READ,6967106051.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
17,clean-run,READ,7364568243.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
18,clean-run,READ,7689725219.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
19,clean-run,READ,8210323648.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
20,clean-run,READ,8645523642.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
21,clean-run,READ,9100698157.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
22,clean-run,READ,9491633537.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
23,clean-run,READ,10129721833.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
24,clean-run,READ,10285497560.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
