ycsb_key,size
user890651243653586216,70400
user528046043123879302,61400
user7816561027772628775,77000
user5608589954003514570,55200
user7522062266836596538,54700
user7559905185580734337,56500
user1449281585892539227,55100
user741052863528087364,59400
user7220306082007379848,60200
user7708383644681952293,61600
user8592223144611101770,54600
user7950980940816043688,56800
user3913360358637105208,61500
user9010980933353087642,59800
user7527868369880145115,56800
user246496152690312797,58600
user6302978445528005273,68000
user548812298031669935,60000
user8086167312293743146,52300
user8962645729546133585,55000
user2175488577899777269,54500
user5699567343181387204,57800
user3633148704445661482,62800
user7246878439958719058,56900
user621823234862454176,75300
user7330941622364460005,55500
user8731100678986998896,65400
user6632645224550683952,154800
user6038618303538299031,67300
user253753576583497250,64400
user2830022869318353849,125600
user714480505576748154,59500
user4254079383234740593,63300
user4191230903468171831,58000
user3790564468976485235,71300
user6861390472549116401,60300
user2029249960847121105,38136200
user5310513114776797762,123600
user4015401810685632334,56600
user4414170048423055703,59300
user2921572036304064717,60900
user1588605996173063704,54800
user8872434798802545496,58400
user9200433513584500617,72700
user5712517785510607137,56600
user6026446136939061429,55400
user5821255129113424067,56800
user905829710735670155,61500
user901143528716402474,64500
user9122954709952290578,60400
user4454252809215755294,61200
user752883384833026401,58300
user8027558138641814714,56400
user4451453006655053054,54700
user4666358023813524343,56400
user8005235332274059419,60100
user2139325540692060814,55000
user4508165555379472460,60900
user858272782658698429,61400
user8980842314406761647,56300
user6396195676754439699,56100
user5559913104902261948,58900
user2178506695678321392,60700
user6263455645247446130,57000
user3469150132968061022,59000
user5664182581703653080,57400
user7223654027784524750,52200
user8806568201257432611,52000
user8598142332262163444,55200
user3596084061431506014,55800
user5499852610400697640,55100
user7474173938934269832,60900
user3328157658446812987,93400
user7707605368951969962,56800
user1929106705552857206,73400
user533292185655287431,54600
user2258213524063395437,54900
user8923228159875903228,54300
user2608316729995263970,53300
user1940377266345655795,53600
user1427737055254766263,57200
user8960965848009712241,55700
user5450397485569462687,58600
user5788098392388553949,55400
user850008522348746177,56600
user9033303739720842937,58300
user4083383348376096128,58600
user6636771446057811185,60800
user5146183143473842322,60500
user6209201253789430399,59600
user3836441515517035617,63300
user4767839515349911021,62000
user4459270391060377955,78800
user1589507601979502717,57200
user2035834339620652013,57600
user7132334993312353551,59700
user8213101240757188138,64000
user8862720789469711569,65000
user8972578054096809395,67000
user440074954428853005,82800
user628189298418143201,77500
user5802168755742054778,59300
user3633926980175643813,101400
user5356620293830887813,60500
user759809408900855874,63400
user2362369916257273472,56900
user8087847193830164490,58200
user1046387126647988625,56300
user2754337031830078251,54100
user4987212399309808108,79700
user1236834726000471613,55700
user6818519726491412356,62800
user3123184965839017508,58700
user7588375740286336774,59300
user2881270960293523243,74500
user5196529628642572703,68900
user3050733989520373715,52700
user1758410670694212741,78000
user4276743834896794453,55800
user1923300602509308629,56900
user6053236810108242522,62000
user9093705879516705810,71000
user2276191793706181616,72700
user7400043081079204695,58500
user3198765572716964320,60400
user3467811896725938243,60200
user2986878673337037154,59800
user7999429229230510842,62100
user7702577541638403716,53900
user5916370557094121720,63100
user16184107762972101,57600
user6494099090000141806,58700
user7355274138267237423,65000
user8567443752803697001,56300
user7759071775144981239,57500
user6132955455789014353,56700
user1786994310007328275,57400
user2315932909204582642,58800
user1952549432944893397,55300
user106281953899047093,55600
user8975036211363213070,71500
user4429908476017280090,87900
user6033467994454408,72000
user5312971272043201437,60900
user8258201583394510390,71500
user4733562857600760007,56100
user5470043819452972424,62900
user8738586663566968817,65900
user8368058848021608216,57400
user803458430688542250,52200
user2439848719889483511,61500
user7472275742180006605,59000
user3816016905903543549,60500
user5437447043240242754,60000
user472566500031253889,67400
user8878240901846094073,61700
user367737062717722309,56600
user8209753294980043236,53800
user2993244736892726179,59300
user3470270053992341918,58800
user7197641630345325988,53100
user2172140632122632367,57600
user3732731999227784933,55500
user8352320420427383829,56100
user7665294583406406365,59800
user7373812368422164050,58200
user2177386774654040496,59200
user6932390128018124318,55400
user2997930918911993860,52800
user2226623584267433566,59900
user8644809471828393943,76100
user2566782648352928503,60700
user7456195669291483653,58500
user3525644366474638545,59300
user3605238110252199493,51600
user6283101979130955867,59200
user76691478169163760,101400
user6043086170339724829,56900
user6356672876473880556,54000
user9215393665448742673,60400
user5008756929947581072,84800
user3902868073574288950,57700
user8483940530910096502,55800
user48562568757859888,55500
user428244433123913968,57700
user8213661201269328586,58500
user7019801256201010167,57900
user5926644526939096095,52900
user2347191449175189533,63400
user594472601181132635,59200
user5135349213116727499,69600
user5905659956813463579,60500
user7411768371773814946,73500
user3343896086041037374,58000
user4217243300907370593,74300
user901921804446384805,56300
user6959293885794818508,74300
user1798606516094425429,74200
user7944054916748214215,60000
user7570957431155691043,60500
user3434095199488927677,369500
user645047647036648484,69200
user3915258555391368435,60600
user1577335435380265115,55400
user5790556549654957624,53200
user2417184268227429651,57900
user3496282451431540680,68300
user4315146714153072700,56600
user9106656321845925743,58000
user6834258154085636743,58200
user5879647559374264817,56700
user2744623022497244324,56700
user3097514213694117311,80700
user2199272950586112025,59500
user3903428034086429398,54100
user5700687264205668100,60900
user4063737014492586391,64400
user8185750607075866597,64400
user8994122584734582359,54100
user1367676560753201955,89000
user7234706273359481456,58600
user5595857826892136520,66100
user5612716175510641803,60600
user2491096810864652905,57200
user6464177214444903493,73500
user5211708095724656642,67800
user7861329970584596047,57400
user3241854633992510248,66800
user5449059249327339908,61800
user1101648354522772155,56400
user1710075466887258684,62700
user7088126011012526727,66500
user5082327827290505761,55000
user2267037744885488137,67900
user7245758518934438162,74600
user515095600794659369,58500
user3425501111180374646,59800
user768963457721549353,57000
user5222760341299613348,58600
user3892375788511472692,59000
user8383797275615832603,72700
user1082891809150003645,89700
user8302970526206477662,54300
user1871057492413069222,75800
user7566271249136423362,56100
user8224153486332144844,85500
user6200377032967337699,63000
user6360580782763165906,60500
user5776486186301456795,56000
user494889306399009184,57100
user3595305785701523683,71700
user1235496489758348834,62500
user1211163973855571416,71600
user6642359233883517879,52200
user8026998178129674266,55900
user6551588342627789342,57100
user758689487876574978,54700
user7961131580584561381,57000
user8038610384216771420,59000
user2469770595444721824,63500
user3200663769471227547,56400
user1604686069061586656,54700
user6970346131369775214,66400
user4766501279107788242,56700
user1153891464619011562,56700
user1194865585749206581,91600
user3054860211027500948,64500
user720286608620296731,58700
user4525365549292276308,61200
user65420917376365171,56100
user8984968535913888880,53500
user6768173241322681975,60100
user8312124575027171141,56700
user9169391717004981408,52500
user5806854937761322459,74600
user4507387279649490129,57600
user3739876338513456289,58200
user8478134427866547925,61100
user656099892611605190,58200
user389281593355495273,60300
user1971635806316262686,58800
user3508454618030778282,58400
user8060496560148842949,56700
user3155781742051747178,56000
user4323410974463024952,60900
user3333963761490361564,60200
user7563813091870019687,69900
user4590890501543090628,59100
user5087573969821913890,60300
user7661168361899279132,55400
user1557689101496755378,61800
user5948749018089009507,62300
user1724693973457202175,56100
user165564172670629070,59700
user1914706514200755598,59100
user3506214775982216490,73300
user55488592825689361,79900
user495449266911149632,62600
user5206803598487547078,59100
user4189332706713908604,56900
user8280647719838722367,71600
user2491875086594635236,55300
user6731108598308526507,62300
user6416401971150089884,59300
user402791996196855654,62200
user2578394854440025657,70200
user3016457331771222701,59200
user8731660639499139344,99900
user356684817142765603,19512700
user4859158549822082220,56500
user7983796032246615241,83800
user1416571725072296460,72800
user5724129991597704291,75900
user9157779510917884254,86200
user4338029481032968443,59400
user1575655553843843771,55500
user2806363398535229976,59600
user3595524100919365566,61700
user754563266369447745,55300
user3047386043743228813,60900
user8773971425044702941,102800
user5019249215010397330,61500
user9221978044222273581,60400
user7338415789648732140,83500
user5172413856130882967,64900
user3733851920252065829,15767700
user4458938991235022975,58600
user4328657116994433081,59400
user4038066262347686194,64100
user201167249366205077,58200
user4210877237351681568,60200
user6400881858773707380,58400
user1551882998453206801,68300
user8654523481161227870,60100
user5615734293289185926,57200
user4897561429078360467,55100
user6277855836599547738,73400
user171028630419879082,51700
user7587255819262055878,57100
user5289528544651165246,59500
user3539371512707086608,55300
user369635259471985536,62300
user5178219959174431544,78800
user540778170235257352,57600
user4576271994973147137,56800
user1073737760329310166,81300
user7686279153532038881,87000
user7905870352709777851,76900
user4897001468566220019,58100
user7382624771948558964,58000
user2527819808584509808,60000
user3723577950407091454,65300
user5249892659763093006,63300
user1352156448376819451,118300
user4287236119959610711,52100
user562882661385170764,54100
user1989614075959048865,59800
user8832363855305543691,70400
user466647312380192215,58500
user60734735357097490,58500
user3770014957459782284,57300
user8016287577849016125,57300
user8633197265741296789,75800
user4073451023825420318,60200
user3745682441557004866,54100
user6354661595112104232,59900
user5123518691811788462,62700
user8391501575413644407,55100
user5509784934951373450,55500
user6708225831428630764,56800
user6781123683651901908,53100
user301310504660468976,83600
user1825397189263606522,54700
user2869658754206426089,60100
user7531663191561917368,58500
user6257431226986055670,76400
user5767113822262921433,65600
user245376231666031901,53500
user8407240003007868794,56400
user8968670147807524045,57400
user7962251501608842277,55000
user1734078154791435323,57800
user5860777929393983210,83200
user5248772738738812110,58300
user1825957149775746970,62200
user7714531393019799435,56800
user106395038506560190,59400
user7424158853590894431,57700
user1382306884618843232,68300
user7334289568141604907,89200
user542446234475980910,61000
user1373482663796750532,57700
user6871322797099792211,71000
user6873220993854055438,70800
user6894547209273986519,57200
user6618574861197183123,56100
user4273955849631789999,55300
user6631525303526403056,62700
user4439292657351513238,54000
user6174364635528138937,82600
user859952664195119773,54900
user7124070733002401299,83300
user9131548798260843609,55500
user1834769553302141884,58100
user4169686372830398867,59800
user9215052020154444108,104800
user6287788161150223548,58100
user731120538977411554,57500
user1725813894481483071,59900
user5922176660137670297,51000
user6263237330029604247,56200
user2232429687310982143,58100
user2731672580168024391,58400
user4936855668672134142,76000
user2242693411687012933,51700
user4543562134152904370,79500
user1475524115845277658,97400
user6968118106616911208,81300
user504043355219702663,55500
user3985479935130394021,80800
user5662844345461530301,1618500
user8134067457491767638,56300
user2802112275124891860,86700
user2073677258364789812,62100
user6378777367623793968,59100
user9115468725372320657,58500
user3733291959739925381,60500
user8155611988129540602,70200
user300190583636188080,60100
user2721958570835190464,56400
user5134010976874604720,56000
user3789444547952204339,55600
user4408923905891647574,65300
user8868868537807558711,60200
user5487680443801460038,59200
user197600988371218292,57500
user7892371767164115256,73100
user5950647214843272734,92400
user5906998193055586358,8938300
user3354170055886011749,58400
user5119610785522503112,56500
user7175537139195412576,63300
user6059384558446089664,66500
user4168006491293977523,76500
user5701465539935650431,81700
user2676858228197868212,58000
user3690981174194361784,59200
user6987982755718262828,76900
user3497060727161523011,61300
user8130489379201083067,60200
user4604182589166609126,89400
user2815062717454111793,55700
user6151481868648243194,59300
user5939594969268316028,56600
user2607756769483123522,93100
user2755115307560060582,54900
user9061887379033958471,59200
user6033932121519031350,63400
user4706553869213737031,56400
user7186931030064667847,58200
user4211437197863822016,58000
user4130163572549839724,61300
user846100616059460827,60200
user2384027531502559533,64100
user4776993564170604500,77600
user3631033764300310573,56000
user1517834901390841255,59800
user9100850218802377166,58300
user5741548300728350022,57300
user632657165219568999,55100
user7335067843871587238,53100
user7735515963145431951,60400
user637903307750977128,94100
user3599432007208650916,60000
user3259272943123155979,55500
user7213380057939550375,60300
user2833154071704411069,56300
user8928929032309123019,59300
user3974987650067577763,57100
user1930226626577138102,54400
user6756561035235584821,68000
user2817415644110186682,68300
user2906381751926282992,59300
user7818800869821190567,58800
user8029797980690376506,57200
user9209805877623035979,59600
user4619361056248693065,57900
user8164206076438093633,60700
user7560246830875032902,64700
user4877915095194850730,55000
user5816787262311998269,61300
user2024782094045695307,74600
user4188772746201768156,64300
user2867978872670004745,71600
user677644423249378154,58800
user4776433603658464052,57100
user2003237563407922343,75000
user5184357462043335101,56000
user7955107162323170921,58400
user1933792887572124887,56800
user3687403095903677213,59700
user4756787269774954315,64000
user5400382400226087286,131300
user6869094772346928205,56900
user1032763639199115147,66400
user315380868013969805,61900
user1225782480425514907,59900
user7510118660924144404,60700
user8017625814091138904,59000
user902263449740683370,59800
user7487454209262090544,58800
user8577262992746859714,53800
user7372692447397883154,76300
user379567584022661346,209000
user8742152924561955602,67400
user4268709707100381870,56800
user1884784638645517285,78400
user9098392061535973491,62200
user6421306468387199448,55000
user2892323205868479949,73800
user801000273422138575,55200
user514535640282518921,61000
user2470330555956862272,69300
user8612212695615664273,73300
user6742160843883483213,53000
user4589999141205595200,61600
user8242463155800286003,62200
user3507894657518637834,62200
user8836271761594829041,72200
user4732784581870777676,63300
user3252906879567466954,56600
user276418028245551110,77300
user3051966995152167708,60300
user1104654655005618492,56400
user7702919186932702281,53500
user7627338580054755469,57800
user1859892162230599419,61500
user418530423791080041,53100
user3711405783807853852,59700
user8645369432340534391,90100
user7961473225878859946,80800
user6991890662007548178,56100
user3876524276309735208,57700
user2056040634016302198,61700
user1568741347071712084,60800
user8835711801082688593,55600
user2187879059716856754,58000
user6066528897731761020,85800
user5120730706546784008,61500
user3048059088862882358,55300
user3121286769084754281,79500
user9170843037854617284,91700
user2942109730525069882,89300
user6164432310977463127,58100
user4855250643532796870,61200
user8553260304842683075,71000
user2970580285230672319,106800
user6944115418712734569,57500
user5817347222824138717,57900
user7549412900517918079,63900
user5943721190775443261,54100
user3303813325248337783,59200
user7793348432894132253,56400
user2617689094033799332,57600
user2540551935695887858,60000
user7566831209648563810,59200
user4861056746576345447,59900
user4800996252074781139,59600
user7538920615455101821,60800
