Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,CPU,Memory,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,deadlocks,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
0,load,10000,true,uniform,INSERT,0,1.3,1,54399,28087,13642,10046,1,0,0,0,0,699,51022,1147749384,574624592,7051386500,12233799367,1287605661,178210223,27433104570718,32654751569,4395526317,82873151,1,0,0,0,0,11003,908.8430428065074,10000,1036.1676,852,18127,1192,1406,10000
1,extend,10000,true,zipfian,EXTEND,0,1.3,2,1580222,446205,382044,98639,100012,81912,0,0,0,699,51022,1147749384,574624592,7051386500,12233819913,1287605661,178210223,27433362530501,32655448611,4395526328,82873151,0,0,0,0,1,103070,970.2144173862423,100000,1023.85522,351,10071,1274,1875,100000
1,run,10000,true,uniform,READ,0,1.3,2,2145783,659015,571971,98751,100023,82014,0,0,0,699,51022,1147749384,574624592,7051386500,12233819939,1287605661,178210223,27433363660202,32655464068,4395526328,82873151,1,0,0,0,0,6858,14581.51064450277,100000,62.70708,36,17119,96,212,100000
1,reference,10000,true,uniform,READ,0,1.3,1,367871,147633,119700,10119,1,0,0,0,0,699,51022,1147749384,574624592,7051386500,12233819939,1287605661,178210223,27433363660202,32655464068,4395526328,82873151,1,0,0,0,0,5202,19223.37562475971,100000,45.9318,30,19055,58,116,100000
1,clean-run,10000,true,uniform,READ,15.3,2.9,485,524375,185917,173739,16442,1,0,0,4,385024,699,51023,1147772409,574624592,7051408874,12233824051,1287606080,178210258,27433391312456,32655481038,4395527314,82873151,1,0,0,0,0,6845,14609.203798392988,100000,62.55128,36,14943,91,201,100000
1,avg-run,10000,true,uniform,READ,0,2.5,487,1352116,477036,421842,36565,5,0,0,4,385024,699,51023,1147772409,574624592,7051408874,12233826999,1287606080,178210258,27433416605179,32655534435,4395527318,82873151,1,0,0,0,0,6215,16090.104585679806,100000,56.18406,40,23695,71,130,100000
2,extend,10000,true,zipfian,EXTEND,0,2.6,2,4675672,1456550,1284255,348078,200045,314745,0,0,0,699,51024,1147783117,574624592,7051430790,12233844557,1287606080,178210258,27434033809259,32656763273,4395546009,82873151,0,0,0,0,1,112294,890.519529093273,100000,1116.03946,348,9711,1900,3099,100000
2,run,10000,true,uniform,READ,0,2.6,2,6118985,1865683,1670158,348223,200056,314880,0,0,0,699,51024,1147784179,574624592,7051430825,12233844592,1287606080,178210258,27434045153126,32656842799,4395556019,82873151,1,0,0,0,0,8056,12413.108242303873,100000,74.79005,38,16383,107,243,100000
2,reference,10000,true,uniform,READ,0,2.6,1,679059,278522,227075,10119,1,0,0,0,0,699,51024,1147784246,574624592,7051430825,12233844592,1287606080,178210258,27434045153126,32656842799,4395556019,82873151,1,0,0,0,0,5305,18850.14137606032,100000,47.15483,33,16431,58,116,100000
2,clean-run,10000,true,uniform,READ,0,3.4,533,1117316,366294,352892,32400,1,0,0,4,385024,699,51025,1147821409,574624592,7051430826,12233850050,1287639618,178210333,27434086160972,32656896210,4395557008,82874033,1,0,0,0,0,8251,12119.743061447098,100000,76.38006,39,218111,106,242,100000
2,avg-run,10000,true,uniform,READ,0,3.4,535,3243762,1044719,988831,82400,5,0,0,4,385024,699,51025,1147821409,574624592,7051430826,12233854516,1287639618,178210333,27434125474978,32657006569,4395557049,82874033,1,0,0,0,0,7772,12866.700977869274,100000,71.73045,50,17631,91,157,100000
