DBName,Phase,Epoch,TimestampUnixMs,postgres_cpu_pct,postgres_rss_kb,mem_available_kb,mem_dirty_kb,mem_writeback_kb,disk_reads_s,disk_writes_s,disk_read_kb_s,disk_write_kb_s,disk_await_ms,disk_aqu_sz,disk_util_pct
ycsb,load,0,1777544230374,NULL,NULL,15343556,4432,0,0,0,0,0,0,0,0
ycsb,load,0,1777544231957,4.1,32896,15289040,5684,0,0,0,0,0,0,0,0
ycsb,load,0,1777544233263,5.4,36892,15249072,7244,12,0,0,0,0,0,0,0
ycsb,load,0,1777544234567,5.4,40236,15215936,6540,0,0,0,0,0,0,0,0
ycsb,load,0,1777544235869,5.4,43648,15200784,8196,16,0,0,0,0,0,0,0
ycsb,load,0,1777544237170,5.5,46788,15197140,9692,20,0,0,0,0,0,0,0
ycsb,load,0,1777544238472,5.5,49936,15180692,11196,0,0,0,0,0,0,0,0
ycsb,load,0,1777544239772,5.5,53240,15148780,12780,0,0,0,0,0,0,0,0
ycsb,load,0,1777544241077,5.5,56460,15147304,14388,0,0,0,0,0,0,0,0
ycsb_unchange,load,0,1777544242419,NULL,NULL,15307920,14504,0,0,0,0,0,0,0,0
ycsb_unchange,load,0,1777544244097,4.6,32656,15273152,15776,0,0,0,0,0,0,0,0
ycsb_unchange,load,0,1777544245398,5.6,36828,15237320,17376,0,0,0,0,0,0,0,0
ycsb_unchange,load,0,1777544246708,5.5,39952,15208672,19004,4,0,0,0,0,0,0,0
ycsb_unchange,load,0,1777544248001,5.5,43308,15206392,20580,68,0,0,0,0,0,0,0
ycsb_unchange,load,0,1777544249298,5.7,46444,15203892,22072,152,0,0,0,0,0,0,0
ycsb_unchange,load,0,1777544250588,5.6,49524,15165936,23568,132,0,0,0,0,0,0,0
ycsb_unchange,load,0,1777544251881,5.5,52984,15135028,25040,64,0,0,0,0,0,0,0
ycsb,extend,1,1777544253751,NULL,NULL,15317228,26556,0,0,0,0,0,0,0,0
ycsb,extend,1,1777544255362,4.7,46180,15282528,27788,0,0,0,0,0,0,0,0
ycsb,extend,1,1777544256671,5.7,48720,15271632,28852,124,0,0,0,0,0,0,0
ycsb,extend,1,1777544257979,6.1,51096,15265164,29828,0,0,0,0,0,0,0,0
ycsb,extend,1,1777544259272,6.1,53460,15265636,30796,28,0,0,0,0,0,0,0
