ycsb_key,size
user2549364339222282772,56000
user1549984801698943574,71600
user5465917597945845191,69000
user4565106664790677334,57500
user5576771453520767231,55500
user3100520514176963648,57600
user7239392455378749137,55900
user71227020419913748,52800
user5959801263663966213,53300
user356684817142765603,19482600
user8383237315103692155,56500
user3227796087934707205,64100
user543784470718103689,91300
user2293050142324686899,55900
user6319276833634370108,71500
user4047998586898362004,74300
user5450957446081603135,54100
user6395075755730158803,55700
user7598089749619170701,61000
user1604686069061586656,53000
user3448725523354568954,57600
user1714979964124368248,72900
user2099907971021830457,71200
user3123526611133316073,60800
user8679634272793987619,63500
user4089189451419644705,63800
user1572867568578839317,60600
user6274507890822402836,64100
user3134237211413974214,64500
user8114856182217187466,61600
user407478178216123335,55800
user4710567006113351167,101900
user6367165161536696814,61600
user1338097902319016408,88000
user4110733982057417669,85500
user885405101122178087,69400
user1237954647024752509,58900
user5883213820369251602,77500
user4099681736482460963,90100
user36950362670762734,104800
user8738026703054828369,57400
user2029249960847121105,38301400
user4892875247059092786,53800
user6515643620637914770,75800
user5941822994021180034,73600
user9094265840028846258,61700
user658887877876609644,60100
user6509619202376524310,56000
user4304654429090256442,58700
user8916083820590231872,57600
user8819071767682025193,53900
user1799944752336548208,57000
user5725249912621985187,54200
user5499852610400697640,57000
user877919116542208166,58800
user240690049646764220,62800
user540218209723116904,55300
user3672784589333733722,57100
user2606636848458842626,61200
user7973863707695939431,61700
user4101019972724583742,54500
user7735515963145431951,64600
user2990444934332023939,55400
user2173820513659053711,59300
user8554380225866963971,59300
user3748470426822009320,57300
user8066520978410233409,59400
user6691814358714752832,55700
user1200111728280614710,53800
user8533955616253471903,67300
user1723025909216478617,65900
user3278029488495924489,67600
user1677697005892370897,62200
user2049114609948472725,60700
user8961744123739694572,61500
user4400329817583094543,58700
user1143959140068335752,56600
user4078137205844687999,57100
user5085894088285492546,56100
user2792958226304198381,55100
user77593083975602773,57000
user7484666223997086090,57400
user5994409321238472207,55100
user3238506688215365346,58600
user6845870360172733897,57200
user5654250257152977270,62300
user6594242345294405705,58000
user5563261050679406850,56100
user7131775032800213103,58400
user1714201688394385917,62000
user390059869085477604,57500
user3725805975159955460,61000
user7800262639666263940,62900
user6905599454848943225,71900
user6159186168446054998,54100
user4767621200132069138,96100
user3322351555403264410,61400
user4032260159304137617,57800
user3755396450889838793,57000
user7555219003561466656,71900
user6504933020357256629,57500
user1457327530984649596,60000
user6856362645235550155,64600
user8670261908755452257,62500
user3453971665885977083,59400
user1473065958578873983,61200
user5674456551548627455,57400
user7596409868082749357,57700
user802898470176401802,60700
user8016287577849016125,59600
user6223601445141532007,57000
user3770014957459782284,52700
user3426621032204655542,56600
user4732784581870777676,68100
user6904479533824662329,59900
user8254635322399523605,60700
user5262843102092312939,66400
user8504925101035729018,63800
user3674122825575856501,58000
user1940937226857796243,73900
user2440968640913764407,61800
user6302978445528005273,64800
user7526748448855864219,62900
user1871057492413069222,73200
user3425501111180374646,53800
user7840003755164664966,82300
user4053804689941910581,57200
user6311012573324417856,59300
user6607522615622226417,54100
user6707324225622191751,63200
user1210604013343430968,61300
user3303813325248337783,61100
user1699583181824442426,58600
user5486902168071477707,58600
user8762359218957605787,59800
user2826009732418739713,56800
user1424389109477621361,55900
user3112132720264060802,61600
user4381013311698185585,59600
user3485230205856583974,52600
user2860504705385732610,63500
user5833987256224802117,64500
user754563266369447745,61200
user3903428034086429398,53900
user604746571026107010,59700
user916321995798486413,56100
user439514993916712557,59800
user7753152587493919565,55400
user885063455827879522,60900
user6861608787766958284,86600
user1687629330443046707,54400
user538879973480994125,56200
user2969242048988549540,58800
user2189558941253278098,59900
user8644809471828393943,73900
user7312185076991691495,59700
user201167249366205077,59000
user4668816181079928018,77500
user5333737526950992070,61700
user4667477944837805239,58600
user2993244736892726179,57800
user5890139844437081075,60900
user4031140238279856721,60900
user6701186722753288194,59200
user5939594969268316028,56700
user4262903604056833293,64300
user8219685619530719046,56900
user7811314885241220646,60300
user6879587057409744463,56100
user8291699965413679073,63600
user1596091980753033625,57900
user4338371126327267008,66800
user4233313128326949960,65400
user303208701414732203,53500
user653860050563043398,60200
user7850837685521779789,61500
user5997975582233458992,58900
user798772248669274569,55900
user6213109160078715749,52700
user3429409017469659996,61600
user4800996252074781139,58400
user2224943702731012222,59000
user3371246719722358915,60600
user2832034150680130173,55300
user5466135913163687074,60800
user1824277268239325626,59100
user1620424496655811043,59500
user997378877721381023,55000
user8357224917664493393,63900
user6151481868648243194,65200
user3596084061431506014,52800
user8043638211530337666,65800
user968130047285796255,122300
user2628181379096615590,80000
user6772299462829809208,59500
user8390941614901503959,86700
user5360186554825874598,61100
user339153423404606775,74900
user7628011625174409014,7359700
user3333403800978221116,57200
user4895333404325496461,102300
user4279761952675338576,55100
user6210869318030153957,58900
user8969230108319664493,70500
user8697052581924633350,68100
user4392625517785282739,79900
user7801600875908386719,86700
user5356620293830887813,60200
user8972578054096809395,60500
user1605805990085867552,59800
user4298848326046707865,79800
user7397368180421713338,59100
user7180223321214680257,72900
user7124630693514541747,55900
user554836716293060395,55600
user5222760341299613348,53900
user4050226611651226010,70100
user505723236756124007,59900
user1983807972915500288,55500
user6553828184676351134,58000
user1346910305845411322,53800
user5925524605914815199,61200
user8753205170136912308,57200
user3991286038173942598,60900
user7213940018451690823,85600
user1777840261186634796,60100
user2529499690120931152,69500
user7133454914336634447,60800
user7186371069552527399,75200
user7110790462674580587,83600
user7109670541650299691,65000
user4700634681562675357,53900
user1798824831312267312,66100
user9115250410154478774,71000
user1109682482319184738,60500
user699861999006804663,76000
user6311572533836558304,61600
user2275850148411883051,65000
user7157787430239411865,58300
user1937370965862809458,57100
user1969967742075539128,56500
user4981064650971960966,58000
user7004841104336768111,59600
user8428784533645641758,56300
user8769503558243277143,58200
user2904153727173418986,65200
user5157453704266640911,60100
user1494050528704506499,63100
user6225052765991167883,59700
user6054916691644663866,56100
user3406631481200093039,56300
user1050181948329760878,57500
user2424888568025241455,58600
user656099892611605190,59300
user6051338613353979295,56300
user7836997454681818629,58900
user5777606107325737691,66800
user9098952022048113939,57600
user524479782128892517,68400
user4754889073020691088,55500
user792406185113585544,63800
user9054743039748287115,52900
user7324357243590929097,76100
user2505155356922455948,52700
user325313192564645615,57400
user7913356337289747772,68500
user6212767514784417184,53200
user4746854945224278505,56700
user4993796778083339016,52400
user7834539297415414954,58700
user6107719762253043721,60500
user8511291164591418043,54800
user3731052117691363589,61700
user3256484957858151525,56300
user5131862188015395,55800
user5859098047857561866,55800
user1925198799263571856,59100
user2429356434826667253,58700
user7933562631685397957,58900
user8514857425586404828,59900
user4191230903468171831,55200
user5359408279095892267,55800
user7168839675814368571,62400
user7676906789493503519,64600
user4771187461127055923,58300
user4767061239619928690,61000
user8086167312293743146,56700
user7344781853204421165,61800
user389841553867635721,59000
user3017017292283363149,57400
user6464177214444903493,68000
user6928595306336352065,57600
user4584971313892028954,60900
user4239119231370498537,60300
user2282776172479712524,97100
user6350648458212490096,63600
user7531776276169430465,60600
user8481700688861534710,56900
user9074059545633196073,72900
user1777280300674494348,81400
user946025556135882843,56100
user29476195386490599,57700
user6378217407111653520,77100
user6564880430251307840,95600
user5778166067837878139,57100
user7451509487272215972,81200
user4526143825022258639,56200
user8963983965788256364,79300
user1181242098300333103,79100
user5294433041888274810,58600
user2858606508631469383,116700
user2816295723085905786,57100
user3690981174194361784,59500
user4908053714141176725,233200
user6414162129101528092,56000
user6686786531401186586,70900
user6556286341942754809,58600
user5828959428911235871,121100
user4052466453699787802,94300
user7223654027784524750,52400
user3331505604223957889,54800
user1198213531526351483,57800
user3028629498370460303,84600
user8181282740274440799,61100
user7100298177611764329,72600
user758129527364434530,88600
user4972812207957706500,130800
user3111354444534078471,63800
user5712859430804905702,58500
user7373812368422164050,60200
user1688749251467327603,68700
user3915258555391368435,57300
user413844241771812360,61100
user6396195676754439699,55600
user7968057604652390854,58500
user5615734293289185926,58400
user8555158501596946302,58200
user161096305869203272,58700
user2235435987793828480,58300
user2338710445474149599,61400
user2758463253337205484,60000
user364949077452717855,57100
user5283609357000103572,56100
user7031973422800247769,104900
user5916370557094121720,58900
user2555730402777971797,61500
user198160948883358740,98700
user1769794316094524427,76500
user536640131432432333,85000
user3799376872502880149,68000
user3028069537858319855,56900
user8445642882264147041,57400
user402791996196855654,59000
user7373252407910023602,55800
user4655305778238567637,57100
user2870437029936408420,58000
user417970463278939593,63700
user8515977346610685724,57800
user4337811165815126560,74600
user4174372554849666548,62300
user8511509479809259926,85000
user628189298418143201,77500
user419090384303220489,74100
user5802728716254195226,60700
user6242471075121813614,80200
user7212041821697427596,1464700
user1725253933969342623,159000
user2628523024390914155,91900
user617137052843186495,67900
user3176547996959537811,93500
user6511517399130787537,62000
user6259329423740318897,59200
user5498172728864276296,61100
user7613828177213395088,58900
user4958960159822047554,52600
user7476401963687133838,65400
user4580958176992414818,52100
user4867422810132034472,63300
user8358344838688774289,59400
user1661398617786006062,54200
user177954654487708555,62400
user1280265432570316106,60700
user4210877237351681568,62500
user1654814239012475154,58700
user6385703391691623441,53300
