Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,CPU,Memory,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,deadlocks,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
0,load,10000,true,uniform,INSERT,0,1.3,1,39289,14303,2985,10046,8,0,0,0,0,689,46816,762341696,567503140,6747601275,12025161898,1203818767,173655900,25143906149222,29731126570,3972960898,80906610,1,0,0,0,0,12729,785.6076675308351,10000,1215.5046,650,18079,1623,1762,10000
1,extend,10000,true,zipfian,EXTEND,0,1.3,2,1426439,312743,280487,101298,100019,84622,0,0,0,689,46816,762341696,567503140,6747601275,12025177049,1203818767,173655900,25144169307177,29731812209,3972960908,80906610,0,0,0,0,1,123613,808.9764021583491,100000,1227.66775,372,8687,1665,2067,100000
1,run,10000,true,uniform,READ,0,1.3,2,1990734,516074,462678,101409,100030,84724,0,0,0,689,46816,762341696,567503140,6747601275,12025177075,1203818767,173655900,25144171954536,29731852587,3972960908,80906610,1,0,0,0,0,4961,20157.226365652084,100000,44.88545,25,12335,61,127,100000
1,reference,10000,true,uniform,READ,0,1.3,1,346257,127912,104490,10119,1,0,0,0,0,689,46816,762341696,567503140,6747601275,12025177075,1203818767,173655900,25144171954536,29731852587,3972960908,80906610,1,0,0,0,0,4210,23752.969121140144,100000,37.07065,23,11143,52,83,100000
1,clean-run,10000,true,uniform,READ,0,2.2,445,511776,174730,164291,16396,1,0,0,4,385024,689,46817,762359328,567503140,6747618254,12025181147,1203818927,173655907,25144199592008,29731869465,3972961893,80906610,1,0,0,0,0,4770,20964.360587002095,100000,42.57734,24,11951,57,110,100000
1,avg-run,10000,true,uniform,READ,0,2.2,447,1315984,455106,403390,36519,5,0,0,4,385024,689,46817,762359328,567503140,6747618254,12025184097,1203818927,173655907,25144224820958,29731920728,3972961949,80906610,1,0,0,0,0,4851,20614.306328592043,100000,43.83661,27,12135,57,89,100000
2,extend,10000,true,zipfian,EXTEND,0,2.4,2,4497417,1210235,1099478,360873,200052,327558,0,0,0,689,46818,762371388,567503140,6747647225,12025208752,1203818927,173655907,25144877084551,29733238643,3973003069,80906610,0,0,0,0,1,126220,792.2674694977025,100000,1254.11493,381,8247,2081,3217,100000
2,run,10000,true,uniform,READ,0,2.4,2,5888237,1610058,1478161,361016,200063,327700,0,0,0,689,46818,762371616,567503140,6747647226,12025208753,1203818927,173655907,25144879182307,29733268815,3973003073,80906610,1,0,0,0,0,6127,16321.201240411294,100000,56.20376,27,10951,82,167,100000
2,reference,10000,true,uniform,READ,0,2.4,1,650440,253363,206943,10119,1,0,0,0,0,689,46818,762371668,567503140,6747647226,12025208753,1203818927,173655907,25144879182307,29733268815,3973003073,80906610,1,0,0,0,0,3917,25529.742149604288,100000,34.29406,24,12663,47,81,100000
2,clean-run,10000,true,uniform,READ,0,3.5,533,1108850,354834,343518,32407,1,0,0,4,385024,689,46819,762410588,567503140,6747647227,12025214251,1203854331,173655986,25144920190860,29733322245,3973004062,80907055,1,0,0,0,0,5832,17146.776406035664,100000,52.85191,27,12847,71,156,100000
