Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,CPU,Memory,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,deadlocks,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK,run,source_file,blks_read_delta,blks_read_per_op,blks_hit_delta,blks_hit_per_op,tup_returned_delta,tup_returned_per_op,tup_fetched_delta,tup_fetched_per_op,tup_inserted_delta,tup_inserted_per_op,tup_updated_delta,tup_updated_per_op,tup_deleted_delta,tup_deleted_per_op,deadlocks_delta,deadlocks_per_op,temp_files_delta,temp_files_per_op,temp_bytes_delta,temp_bytes_per_op,checkpoints_timed_delta,checkpoints_timed_per_op,checkpoints_req_delta,checkpoints_req_per_op,buffers_checkpoint_delta,buffers_checkpoint_per_op,buffers_clean_delta,buffers_clean_per_op,buffers_backend_delta,buffers_backend_per_op,buffers_alloc_delta,buffers_alloc_per_op,checkpoint_write_time_delta,checkpoint_write_time_per_op,checkpoint_sync_time_delta,checkpoint_sync_time_per_op,wal_bytes_delta,wal_bytes_per_op,wal_records_delta,wal_records_per_op,wal_fpi_delta,wal_fpi_per_op,wal_buffers_full_delta,wal_buffers_full_per_op,cache_hit_ratio,interval_cache_hit_ratio,internal_inserts_per_logical_update,latency_change_pct
1,avg-run,10000,True,uniform,READ,0.0,2.2,449,1330137,455534,404512,36582,5,0,0,4,385024,681,42610,386643087,560854007,6446782258,11815678725,1119291302,168793149,22856232961092,26811894222,3545528628,79374462,1,0,0,0,0,4946,20218.358269308534,100000,44.51367,31,14375,62,100,100000,4,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9996625546939468,,,
2,avg-run,10000,True,uniform,READ,0.0,3.4,535,3218667,1019794,968772,82384,5,0,0,4,385024,681,42612,386692146,560854007,6446811206,11815713279,1119323841,168793204,22856956513649,26813385492,3545569692,79375371,1,0,0,0,0,6053,16520.733520568312,100000,55.51304,38,14575,72,106,100000,4,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure.csv,86.0,0.00086,1888530.0,18.8853,564260.0,5.6426,564260.0,5.6426,45802.0,0.45802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2e-05,49059.0,0.49059,0.0,0.0,28948.0,0.28948,34554.0,0.34554,32539.0,0.32539,55.0,0.00055,723552557.0,7235.52557,1491270.0,14.9127,41064.0,0.41064,909.0,0.00909,0.9998338097453965,0.999954464009624,,24.710094674287685
3,avg-run,10000,True,uniform,READ,0.1,4.8,520,4631124,1446324,1395222,116641,5,0,0,4,385024,681,42614,386807069,560854007,6446841469,11815749313,1119388830,168793350,22858033376622,26815527935,3545608979,79378191,1,0,0,0,0,6597,15158.405335758678,100000,61.09407,43,15511,81,120,100000,4,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure.csv,-15.0,-0.00015,1412457.0,14.12457,426530.0,4.2653,426450.0,4.2645,34257.0,0.34257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2e-05,114923.0,1.14923,0.0,0.0,30263.0,0.30263,36034.0,0.36034,64989.0,0.64989,146.0,0.00146,1076862973.0,10768.62973,2142443.0,21.42443,39287.0,0.39287,2820.0,0.0282,0.9998877288496266,1.0000106199051004,,10.053547779044347
4,avg-run,10000,True,uniform,READ,0.1,5.3,503,5382250,1674315,1623293,138109,5,0,0,4,385024,681,42617,386972969,560854007,6446860584,11815774195,1119501281,168793409,22859567646976,26818325714,3545746984,79378441,1,0,0,0,0,7164,13958.682300390845,100000,66.57998,46,13663,86,127,100000,4,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure.csv,-17.0,-0.00017,751126.0,7.51126,227991.0,2.27991,228071.0,2.28071,21468.0,0.21468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3e-05,165900.0,1.659,0.0,0.0,19115.0,0.19115,24882.0,0.24882,112451.0,1.12451,59.0,0.00059,1534270354.0,15342.70354,2797779.0,27.97779,138005.0,1.38005,250.0,0.0025,0.9999065533937745,1.0000226331997086,,8.979447596141487
5,avg-run,10000,True,uniform,READ,0.2,6.1,503,5864509,1829731,1778709,147630,5,0,0,4,385024,681,42621,387218300,560854007,6446886467,11815805064,1119635345,168793552,22861551253449,26821689369,3545955901,79378791,1,0,0,0,0,7468,13390.46598821639,100000,70.07007,49,13367,97,138,100000,4,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure.csv,0.0,0.0,482259.0,4.82259,155416.0,1.55416,155416.0,1.55416,9521.0,0.09521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4e-05,245331.0,2.45331,0.0,0.0,25883.0,0.25883,30869.0,0.30869,134064.0,1.34064,143.0,0.00143,1983606473.0,19836.06473,3363655.0,33.63655,208917.0,2.08917,350.0,0.0035,0.9999142371746212,1.0,,5.241951109027054
6,avg-run,10000,True,uniform,READ,0.2,7.1,471,6558161,2053631,2002609,165341,5,0,0,4,385024,681,42626,387564057,560854007,6446922022,11815846370,1119786151,168793689,22863997968120,26825668630,3546271448,79383939,1,0,0,0,0,8102,12342.631449024931,100000,76.16289,52,15151,96,142,100000,4,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure.csv,-32.0,-0.00032,693652.0,6.93652,223900.0,2.239,223900.0,2.239,17711.0,0.17711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5e-05,345757.0,3.45757,0.0,0.0,35555.0,0.35555,41306.0,0.41306,150806.0,1.50806,137.0,0.00137,2446714671.0,24467.14671,3979261.0,39.79261,315547.0,3.15547,5148.0,0.05148,0.9999281862437167,1.0000461347712004,,8.695324551552464
7,avg-run,10000,True,uniform,READ,0.3,8.8,407,6774433,2122697,2071595,171890,22,0,0,4,385024,681,42632,388013781,560854007,6446971969,11815901709,1119953434,168794147,22866961228799,26830323870,3546652591,79389837,1,0,0,0,0,8948,11175.681716584711,100000,84.59545,60,14399,111,154,100000,4,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure.csv,-64.0,-0.00064,216272.0,2.16272,69066.0,0.69066,68986.0,0.68986,6549.0,0.06549,17.0,0.00017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6e-05,449724.0,4.49724,0.0,0.0,49947.0,0.49947,55339.0,0.55339,167283.0,1.67283,458.0,0.00458,2963260679.0,29632.60679,4655240.0,46.5524,381143.0,3.81143,5898.0,0.05898,0.9999399247805114,1.0002960112484274,385.2352941176471,11.071743732413509
8,avg-run,10000,True,uniform,READ,0.4,9.4,408,6953052,2196763,2145741,177651,5,0,0,4,385024,681,42638,388580925,560854007,6447005680,11815940592,1120111162,168794311,22870270856558,26835462671,3547041047,79394328,1,0,0,0,0,8835,11318.619128466327,100000,83.40243,61,15151,115,187,100000,4,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure.csv,1.0,1e-05,178619.0,1.78619,74066.0,0.74066,74146.0,0.74146,5761.0,0.05761,-17.0,-0.00017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6e-05,567144.0,5.67144,0.0,0.0,33711.0,0.33711,38883.0,0.38883,157728.0,1.57728,164.0,0.00164,3309627759.0,33096.27759,5138801.0,51.38801,388456.0,3.88456,4491.0,0.04491,0.9999413241753027,0.9999944015227858,-338.88235294117646,-1.410264972879749
9,avg-run,10000,True,uniform,READ,0.5,11.7,314,7509362,2364693,2313671,193013,5,0,0,4,393216,681,42645,389422730,560854007,6447074013,11816014949,1120293197,168795197,22874082549397,26841115098,3547666752,79396718,1,0,0,0,0,9379,10662.117496534813,100000,88.85703,64,14663,122,189,100000,4,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure.csv,-94.0,-0.00094,556310.0,5.5631,167930.0,1.6793,167930.0,1.6793,15362.0,0.15362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8192.0,0.08192,0.0,0.0,7.0,7e-05,841805.0,8.41805,0.0,0.0,68333.0,0.68333,74357.0,0.74357,182035.0,1.82035,886.0,0.00886,3811692839.0,38116.92839,5652427.0,56.52427,625705.0,6.25705,2390.0,0.0239,0.9999581872773207,1.0001689990938771,,6.5400972129948665
10,avg-run,10000,True,uniform,READ,0.6,12.3,311,7636717,2430957,2379935,197790,12,0,0,4,385024,681,42653,390393335,560854007,6447112521,11816057513,1120491606,168795336,22878393348664,26847358651,3548411128,79404442,1,0,0,0,0,9815,10188.487009679062,100000,93.29404,70,16607,121,195,100000,4,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure.csv,-3.0,-3e-05,127355.0,1.27355,66264.0,0.66264,66264.0,0.66264,4777.0,0.04777,7.0,7e-05,0.0,0.0,0.0,0.0,0.0,0.0,-8192.0,-0.08192,0.0,0.0,8.0,8e-05,970605.0,9.70605,0.0,0.0,38508.0,0.38508,42564.0,0.42564,198409.0,1.98409,139.0,0.00139,4310799267.0,43107.99267,6243553.0,62.43553,744376.0,7.44376,7724.0,0.07724,0.9999592773523942,1.0000235567560776,682.4285714285714,4.993425956280562
