run,phase,metric,first10_mean,last10_mean,change_pct
4,avg-run,95thPercentileLatency(us),96.3,551.6,472.7933541017653
5,avg-run,95thPercentileLatency(us),84.5,566.6,570.5325443786983
6,avg-run,95thPercentileLatency(us),141.7,722.0,409.5271700776288
4,avg-run,99thPercentileLatency(us),145.8,772.5,429.835390946502
5,avg-run,99thPercentileLatency(us),121.2,707.0,483.3333333333333
6,avg-run,99thPercentileLatency(us),329.3,838.7,154.6917704221075
4,avg-run,AverageLatency(us),72.408267,515.376588,611.7648430945047
5,avg-run,AverageLatency(us),66.756185,466.87896900000004,599.3793444008222
6,avg-run,AverageLatency(us),76.20738600000001,593.6376110000001,678.9764774243798
4,avg-run,Throughput(ops/sec),13493.41822145326,1920.7289033426762,-85.76543858776347
5,avg-run,Throughput(ops/sec),14779.76363705524,2123.063280951047,-85.63533671385524
6,avg-run,Throughput(ops/sec),13115.225306125629,1665.512313822853,-87.3009248796896
4,avg-run,cpu_mean,60.551325396825405,90.19666694139195,48.959029963893734
5,avg-run,cpu_mean,62.28983333333334,89.25930900642074,43.29675362713668
6,avg-run,cpu_mean,57.070048701298695,77.4652766889462,35.73718342942888
4,avg-run,mem_mib_mean,109.8688949342758,2072.4212834356395,1786.2675233744487
5,avg-run,mem_mib_mean,111.55057524181548,2211.596478265249,1882.595314700105
6,avg-run,mem_mib_mean,110.9400680916306,1999.4475057480936,1702.277157515945
4,avg-run,read_mib_sum,0.0,0.0,
5,avg-run,read_mib_sum,0.0,0.0,
6,avg-run,read_mib_sum,0.0,0.0,
4,avg-run,write_mib_sum,0.0,0.0,
5,avg-run,write_mib_sum,0.0,0.0,
6,avg-run,write_mib_sum,0.0,0.0,
4,clean-run,95thPercentileLatency(us),104.1,677.3,550.6243996157541
5,clean-run,95thPercentileLatency(us),91.1,627.9,589.2425905598244
6,clean-run,95thPercentileLatency(us),202.1,877.8,334.3394359228105
4,clean-run,99thPercentileLatency(us),240.1,1471.9,513.0362349021242
5,clean-run,99thPercentileLatency(us),202.9,1364.6,572.5480532281911
6,clean-run,99thPercentileLatency(us),433.5,1617.9,273.2179930795848
4,clean-run,AverageLatency(us),75.158184,477.60963599999997,535.4725601140123
5,clean-run,AverageLatency(us),66.95789,439.924488,557.0166533025457
6,clean-run,AverageLatency(us),83.324312,594.1022449999999,612.9998805150649
4,clean-run,Throughput(ops/sec),13069.314459688117,2074.073317009284,-84.13020573185612
5,clean-run,Throughput(ops/sec),14833.904876105045,2251.3467064294264,-84.8229665402805
6,clean-run,Throughput(ops/sec),12302.278233503715,1662.6743108052021,-86.48482598713207
4,clean-run,cpu_mean,61.66337301587303,87.37125974574283,41.69069169027168
5,clean-run,cpu_mean,63.84919047619047,84.51168085317973,32.361397572760694
6,clean-run,cpu_mean,57.54153138528138,74.2559205751825,29.047522350398403
4,clean-run,mem_mib_mean,130.75020616319443,2074.7632760201377,1486.8145350612638
5,clean-run,mem_mib_mean,132.11052641369048,2069.0547676988704,1466.1543586767937
6,clean-run,mem_mib_mean,130.5175838744589,2230.3103785655144,1608.8198481445886
4,clean-run,read_mib_sum,0.0,0.0,
5,clean-run,read_mib_sum,0.0,0.0,
6,clean-run,read_mib_sum,0.0,0.0,
4,clean-run,write_mib_sum,0.0,0.0,
5,clean-run,write_mib_sum,0.0,0.0,
6,clean-run,write_mib_sum,0.0,0.0,
4,extend,95thPercentileLatency(us),4283.7,53954.2,1159.523309288699
5,extend,95thPercentileLatency(us),4013.3,50139.8,1149.3409413699449
6,extend,95thPercentileLatency(us),4162.0,54053.4,1198.7361845266698
4,extend,99thPercentileLatency(us),7079.8,106450.2,1403.5763722139043
5,extend,99thPercentileLatency(us),6542.6,98917.4,1411.897410815272
6,extend,99thPercentileLatency(us),6822.2,106187.8,1456.5037671132482
4,extend,AverageLatency(us),1655.253075,10533.234568,536.3519105983233
5,extend,AverageLatency(us),1636.350076,10103.179318,517.4216303822263
6,extend,AverageLatency(us),1687.9990860000003,10652.810824999999,531.0910304011858
4,extend,Throughput(ops/sec),616.8064447613308,95.06086626469767,-84.58821773474159
5,extend,Throughput(ops/sec),623.0005971314725,99.1225665704796,-84.08949092073476
6,extend,Throughput(ops/sec),604.4185107511059,93.92711181686748,-84.45992137134499
4,extend,cpu_mean,24.70526100980822,63.506472241999155,157.05647156201465
5,extend,cpu_mean,22.800850773912728,58.26880184050674,155.5553843945778
6,extend,cpu_mean,23.84783061597181,63.610385767633645,166.7344748961414
4,extend,mem_mib_mean,944.7340569913451,6689.166063851548,608.0475202888582
5,extend,mem_mib_mean,912.805053224392,6778.869258150569,642.6415130158291
6,extend,mem_mib_mean,913.0852505975981,6989.5958331177535,665.4921409083311
4,extend,read_mib_sum,0.0,0.0,
5,extend,read_mib_sum,0.0,0.0,
6,extend,read_mib_sum,0.0,0.0,
4,extend,write_mib_sum,0.0,0.0,
5,extend,write_mib_sum,0.0,0.0,
6,extend,write_mib_sum,0.0,0.0,
4,reference,95thPercentileLatency(us),52.6,51.6,-1.9011406844106464
5,reference,95thPercentileLatency(us),46.3,47.9,3.4557235421166337
6,reference,95thPercentileLatency(us),52.6,55.5,5.513307984790872
4,reference,99thPercentileLatency(us),84.2,246.1,192.28028503562942
5,reference,99thPercentileLatency(us),75.1,239.6,219.04127829560588
6,reference,99thPercentileLatency(us),97.0,558.4,475.6701030927835
4,reference,AverageLatency(us),39.09055200000001,41.704561999999996,6.687063411128054
5,reference,AverageLatency(us),34.066736,38.646875,13.444607666551919
6,reference,AverageLatency(us),38.979141999999996,50.123566,28.590737066505984
4,reference,Throughput(ops/sec),22779.34741299593,21497.287142811445,-5.628169441996617
5,reference,Throughput(ops/sec),26491.788645320165,23628.623295043602,-10.80774646291143
6,reference,Throughput(ops/sec),22934.54093526218,18106.844160287386,-21.049894953651073
4,reference,cpu_mean,46.461666666666666,39.4125,-15.172005596011045
5,reference,cpu_mean,48.993333333333325,40.410000000000004,-17.51939039325076
6,reference,cpu_mean,45.538333333333334,30.774,-32.421769205431325
