run,phase,epochs,samples_per_epoch_mean,cpu_mean_avg,cpu_mean_p95,cpu_max_peak,mem_mib_mean_avg,mem_mib_peak,read_mib_epoch_mean,read_mib_epoch_p95,write_mib_epoch_mean,write_mib_epoch_p95,throughput_mean,latency_mean_us
4,reference,100,4.98,44.481883333333336,48.50125,59.5,60.33016080729167,95.6328125,0.0,0.0,0.0,0.0,22361.725214575512,39.876737399999996
5,reference,100,4.34,46.68316666666667,50.10125,58.3,60.13694661458333,92.7265625,0.0,0.0,0.0,0.0,25543.52442101255,35.3625057
6,reference,100,5.37,39.37506666666667,47.5,59.0,59.23358333333333,97.046875,0.0,0.0,0.0,0.0,20708.655263432185,43.93714419999999
4,run,100,33.8,70.58076734971445,83.94358333333334,90.8,2695.340434593238,3749.078125,0.0,0.0,0.0,0.0,4246.802217518617,344.73528220000003
5,run,100,31.77,68.34226558109954,82.03642857142856,88.0,2691.4054364964495,3747.3828125,0.0,0.0,0.0,0.0,4633.1609447620485,320.8304203
6,run,100,41.24,61.22341138164799,72.21171874999999,79.8,2712.4532190988602,3759.98046875,0.0,0.0,0.0,0.0,3415.532557829572,419.63620910000003
4,clean-run,100,27.36,80.73462428765296,87.54098708010335,99.5,1120.8977618019176,3481.6875,0.0,0.0,0.0,0.0,4851.272833764241,277.1642756
5,clean-run,100,25.5,79.16805242399168,84.87478001257071,97.0,1132.9337429039772,3080.78515625,0.0,0.0,0.0,0.0,5338.925854277604,255.52440860000002
6,clean-run,100,34.47,67.83844993919467,74.64650183150184,90.9,1141.300519697572,4289.86328125,0.0,0.0,0.0,0.0,4003.3903237043905,347.5396965
4,avg-run,100,28.8,82.33712782156205,91.24691123188406,109.2,1126.5292419125042,4870.23046875,0.0,0.0,0.0,0.0,4827.588525849766,292.7971035
5,avg-run,100,26.45,81.66199960666886,89.48432558139535,190.4,1148.2737458196639,4507.5703125,0.0,0.0,0.0,0.0,5309.017787952166,265.1755513
6,avg-run,100,33.53,70.36723869122568,78.29569721718087,98.5,1118.6612344639723,4210.73828125,0.0,0.0,0.0,0.0,4229.315822374925,339.3251464
4,extend,100,537.51,56.91386597074618,67.07079308740849,83.8,5791.573613104407,8682.40625,0.0,0.0,0.0,0.0,248.6713079097385,5632.257703499999
5,extend,100,518.65,52.77405872594727,61.77896035108959,80.7,5891.78996510894,8673.15234375,0.0,0.0,0.0,0.0,256.64369356303183,5377.581558100001
6,extend,100,549.35,55.21762381581365,65.36048131443299,90.4,5741.344983185245,8655.015625,0.0,0.0,0.0,0.0,245.32017006622672,5719.6171453000015
