run,Phase,Epoch,wal_bytes_per_op
4,avg-run,1,
4,avg-run,2,7235.52557
4,avg-run,3,10768.62973
4,avg-run,4,15342.70354
4,avg-run,5,19836.06473
4,avg-run,6,24467.14671
4,avg-run,7,29632.60679
4,avg-run,8,33096.27759
4,avg-run,9,38116.92839
4,avg-run,10,43107.99267
4,avg-run,11,48127.76564
4,avg-run,12,53412.62909
4,avg-run,13,56610.25035
4,avg-run,14,60608.61111
4,avg-run,15,65141.16706
4,avg-run,16,69770.56503
4,avg-run,17,73745.6828
4,avg-run,18,77011.75767
4,avg-run,19,82336.33221
4,avg-run,20,86555.23588
4,avg-run,21,91106.98237
4,avg-run,22,95016.85207
4,avg-run,23,101398.72348
4,avg-run,24,102956.33354
4,avg-run,25,108105.37144
4,avg-run,26,113580.15717
4,avg-run,27,114303.85104
4,avg-run,28,120422.14125
4,avg-run,29,125079.54796
4,avg-run,30,131163.82298
4,avg-run,31,133227.3432
4,avg-run,32,140607.88634
4,avg-run,33,141739.90567
4,avg-run,34,147328.38398
4,avg-run,35,153052.08773
4,avg-run,36,158301.76919
4,avg-run,37,158921.10618
4,avg-run,38,165027.67034
4,avg-run,39,170382.53701
4,avg-run,40,171012.8183
4,avg-run,41,180401.55461
4,avg-run,42,184543.21861
4,avg-run,43,188347.52597
4,avg-run,44,194169.1028
4,avg-run,45,198169.2787
4,avg-run,46,203902.70409
4,avg-run,47,205853.58912
4,avg-run,48,210905.13602
4,avg-run,49,216414.86789
4,avg-run,50,220429.57408
4,avg-run,51,228024.97279
4,avg-run,52,229791.44687
4,avg-run,53,233571.07701
4,avg-run,54,239241.42911
4,avg-run,55,245071.90382
4,avg-run,56,248605.76812
4,avg-run,57,255768.32326
4,avg-run,58,257530.15327
4,avg-run,59,266369.64205
4,avg-run,60,270781.81541
4,avg-run,61,276069.74176
4,avg-run,62,277033.80202
4,avg-run,63,286666.12342
4,avg-run,64,287388.59232
4,avg-run,65,297190.22255
4,avg-run,66,296567.58172
4,avg-run,67,299990.90456
4,avg-run,68,309804.71089
4,avg-run,69,308682.9383
4,avg-run,70,321956.288
4,avg-run,71,321810.63545
4,avg-run,72,328307.16639
4,avg-run,73,331415.96213
4,avg-run,74,335242.93078
4,avg-run,75,343616.69452
4,avg-run,76,351500.22891
4,avg-run,77,353516.11771
