Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,deadlocks,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK,cache_profile,run,source_file,blks_read_delta,blks_read_per_op,blks_hit_delta,blks_hit_per_op,tup_returned_delta,tup_returned_per_op,tup_fetched_delta,tup_fetched_per_op,tup_inserted_delta,tup_inserted_per_op,tup_updated_delta,tup_updated_per_op,buffers_alloc_delta,buffers_alloc_per_op,buffers_clean_delta,buffers_clean_per_op,buffers_backend_delta,buffers_backend_per_op,checkpoint_write_time_delta,checkpoint_write_time_per_op,checkpoint_sync_time_delta,checkpoint_sync_time_per_op,wal_bytes_delta,wal_bytes_per_op,wal_records_delta,wal_records_per_op,wal_fpi_delta,wal_fpi_per_op,wal_buffers_full_delta,wal_buffers_full_per_op,delta_cache_hit_ratio,cumulative_cache_hit_ratio,CPU,Memory
1,avg-run,10000,True,uniform,READ,449,1326835,455145,404123,36546,5,0,0,4,385024,469,34544,372756361,443511029,5128840636,10072052315,888578403,137633919,18597124640625,21615614489,2875039941,59375521,1,0,0,0,0,4832,20695.364238410595,100000,43.29501,30,14175,54,89,100000,small_128MB,1,postgresql_arrayjson_vacuum_notfull_run1_zipfian_heavy_pure.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9996617152018709,,
2,avg-run,10000,True,uniform,READ,670,3221541,1022400,971378,82457,5,0,0,4,385024,469,34546,372762807,443570575,5128979187,10072171691,888611740,137633938,18597829721867,21617093985,2875083953,59379149,1,0,0,0,0,5910,16920.47377326565,100000,54.1222,37,12743,67,101,100000,small_128MB,1,postgresql_arrayjson_vacuum_notfull_run1_zipfian_heavy_pure.csv,221.0,0.00221,1894706.0,18.94706,567255.0,5.67255,567255.0,5.67255,45911.0,0.45911,0.0,0.0,119376.0,1.19376,59546.0,0.59546,138551.0,1.38551,33337.0,0.33337,19.0,0.00019,705081242.0,7050.81242,1479496.0,14.79496,44012.0,0.44012,3628.0,0.03628,0.9998833728159449,0.9997920682413411,,
3,avg-run,10000,True,uniform,READ,857,4632043,1445631,1394609,116721,5,0,0,4,385024,469,34548,372768151,443641604,5129304982,10072508200,888682072,137635300,18598904244885,21619222493,2875130074,59383934,1,0,0,0,0,6657,15021.78158329578,100000,61.6089,42,13615,85,120,100000,small_128MB,1,postgresql_arrayjson_vacuum_notfull_run1_zipfian_heavy_pure.csv,187.0,0.00187,1410502.0,14.10502,423231.0,4.23231,423231.0,4.23231,34264.0,0.34264,0.0,0.0,336509.0,3.36509,71029.0,0.71029,325795.0,3.25795,70332.0,0.70332,1362.0,0.01362,1074523018.0,10745.23018,2128508.0,21.28508,46121.0,0.46121,4785.0,0.04785,0.9998674406619744,0.9998150186708109,,
4,avg-run,10000,True,uniform,READ,830,5493781,1713543,1662521,138185,5,0,0,4,385024,469,34551,372772695,443721667,5129786684,10073106194,888802750,137635816,18600417605382,21621989739,2875274556,59389600,1,0,0,0,0,6711,14900.908955446284,100000,62.2945,45,15095,81,122,100000,small_128MB,1,postgresql_arrayjson_vacuum_notfull_run1_zipfian_heavy_pure.csv,-27.0,-0.00027,861738.0,8.61738,267912.0,2.67912,267912.0,2.67912,21464.0,0.21464,0.0,0.0,597994.0,5.97994,80063.0,0.80063,481702.0,4.81702,120678.0,1.20678,516.0,0.00516,1513360497.0,15133.60497,2767246.0,27.67246,144482.0,1.44482,5666.0,0.05666,1.0000313330107193,0.9998489429005984,,
5,avg-run,10000,True,uniform,READ,795,5713370,1785671,1734652,147418,5,0,0,4,385024,469,34555,372779320,443809900,5130449219,10074006531,888947744,137640501,18602433782935,21625398003,2875515110,59396005,1,0,0,0,0,7570,13210.03963011889,100000,70.66948,49,12823,83,119,100000,small_128MB,1,postgresql_arrayjson_vacuum_notfull_run1_zipfian_heavy_pure.csv,-35.0,-0.00035,219589.0,2.19589,72128.0,0.72128,72131.0,0.72131,9233.0,0.09233,0.0,0.0,900337.0,9.00337,88233.0,0.88233,662535.0,6.62535,144994.0,1.44994,4685.0,0.04685,2016177553.0,20161.77553,3408264.0,34.08264,240554.0,2.40554,6405.0,0.06405,1.0001594140849177,0.9998608720609223,,
6,avg-run,10000,True,uniform,READ,777,6554170,2047664,1996642,165284,5,0,0,4,385024,469,34560,372785325,443902872,5131256425,10075166656,889111221,137646610,18604887886573,21629419541,2875821635,59404270,1,0,0,0,0,8147,12274.456855284154,100000,76.78367,53,14087,91,129,100000,small_128MB,1,postgresql_arrayjson_vacuum_notfull_run1_zipfian_heavy_pure.csv,-18.0,-0.00018,840800.0,8.408,261993.0,2.61993,261990.0,2.6199,17866.0,0.17866,0.0,0.0,1160125.0,11.60125,92972.0,0.92972,807206.0,8.07206,163477.0,1.63477,6109.0,0.06109,2454103638.0,24541.03638,4021538.0,40.21538,306525.0,3.06525,8265.0,0.08265,1.0000214086410033,0.9998814635724743,,
7,avg-run,10000,True,uniform,READ,714,6773866,2113939,2062917,171877,5,0,0,4,385024,469,34566,372793561,444002697,5132200195,10076606855,889290992,137661343,18607802388926,21633956221,2876273797,59413257,1,0,0,0,0,8181,12223.44456667889,100000,76.96524,57,13503,96,167,100000,small_128MB,1,postgresql_arrayjson_vacuum_notfull_run1_zipfian_heavy_pure.csv,-63.0,-0.00063,219696.0,2.19696,66275.0,0.66275,66275.0,0.66275,6593.0,0.06593,0.0,0.0,1440199.0,14.40199,99825.0,0.99825,943770.0,9.4377,179771.0,1.79771,14733.0,0.14733,2914502353.0,29145.02353,4536680.0,45.3668,452162.0,4.52162,8987.0,0.08987,1.0002868421412083,0.999894606012476,,
8,avg-run,10000,True,uniform,READ,698,6952447,2193795,2142773,177700,5,0,0,4,385024,469,34573,372802139,444107519,5133316553,10078189894,889486027,137674586,18611154515630,21639062312,2876842246,59423534,1,0,0,0,0,8639,11575.4138210441,100000,81.75849,61,15559,101,163,100000,small_128MB,1,postgresql_arrayjson_vacuum_notfull_run1_zipfian_heavy_pure.csv,-16.0,-0.00016,178581.0,1.78581,79856.0,0.79856,79856.0,0.79856,5823.0,0.05823,0.0,0.0,1583039.0,15.83039,104822.0,1.04822,1116358.0,11.16358,195035.0,1.95035,13243.0,0.13243,3352126704.0,33521.26704,5106091.0,51.06091,568449.0,5.68449,10277.0,0.10277,1.000089603225716,0.9998996137718975,,
9,avg-run,10000,True,uniform,READ,675,7507142,2367347,2316325,192867,5,0,0,4,385024,469,34580,372809489,444218284,5134589823,10079947682,889707052,137702963,18614955520844,21644720628,2877454001,59435960,1,0,0,0,0,9193,10877.8418361797,100000,86.78193,65,18511,104,176,100000,small_128MB,1,postgresql_arrayjson_vacuum_notfull_run1_zipfian_heavy_pure.csv,-23.0,-0.00023,554695.0,5.54695,173552.0,1.73552,173552.0,1.73552,15167.0,0.15167,0.0,0.0,1757788.0,17.57788,110765.0,1.10765,1273270.0,12.7327,221025.0,2.21025,28377.0,0.28377,3801005214.0,38010.05214,5658316.0,56.58316,611755.0,6.11755,12426.0,0.12426,1.0000414659474428,0.999910093706333,,
10,avg-run,10000,True,uniform,READ,2507,7627965,2418067,2367045,197790,5,0,0,4,385024,469,34588,372817613,444332817,5135907864,10081921991,889933451,137725660,18619229406405,21650989179,2878121348,59448955,1,0,0,0,0,9723,10284.891494394737,100000,92.2427,69,13831,107,167,100000,small_128MB,1,postgresql_arrayjson_vacuum_notfull_run1_zipfian_heavy_pure.csv,1832.0,0.01832,120823.0,1.20823,50720.0,0.5072,50720.0,0.5072,4923.0,0.04923,0.0,0.0,1974309.0,19.74309,114533.0,1.14533,1318041.0,13.18041,226399.0,2.26399,22697.0,0.22697,4273885561.0,42738.85561,6268551.0,62.68551,667347.0,6.67347,12995.0,0.12995,0.9850637968285028,0.9996714488959529,,
