variant,epoch,avg_us,min_us,p95_us,p99_us,runtime_ms,throughput_ops_s,trend_p95_us,residual_p95_us,read_sample_rows,slow_read_rows,slow_rate_pct,sample_p95_us,sample_p99_us,sample_gt_128k_pct,q1_sample_p95_us,q1_slow_rate_pct,q2_sample_p95_us,q2_slow_rate_pct,q3_sample_p95_us,q3_slow_rate_pct,q4_sample_p95_us,q4_slow_rate_pct,q234_sample_p95_us,q234_slow_rate_pct,run_blks_read_delta,run_blks_hit_delta,run_buffers_alloc_delta,run_checkpoint_req_delta,run_checkpoint_write_time_delta_ms,run_wal_bytes_delta,toast_total_bytes,heap_total_bytes,disk_read_kb_sum,disk_write_kb_sum,total_disk_read_kb_sum,total_disk_write_kb_sum,disk_samples,heap_after_extend,heap_after_run,heap_after_vacuum,heap_before_run,heap_run_progress_10pct,heap_run_progress_25pct,heap_run_progress_50pct,toast_heap_after_extend,toast_heap_after_run,toast_heap_after_vacuum,toast_heap_before_run,toast_heap_run_progress_10pct,toast_heap_run_progress_25pct,toast_heap_run_progress_50pct,toast_heap_resident_pct_after_extend,toast_heap_resident_pct_after_run,toast_heap_resident_pct_after_vacuum,toast_heap_resident_pct_before_run,toast_heap_resident_pct_run_progress_10pct,toast_heap_resident_pct_run_progress_25pct,toast_heap_resident_pct_run_progress_50pct,toast_index_after_extend,toast_index_after_run,toast_index_after_vacuum,toast_index_before_run,toast_index_run_progress_10pct,toast_index_run_progress_25pct,toast_index_run_progress_50pct,toast_heap_delta_before_to_run_progress_10pct,toast_heap_delta_before_to_run_progress_25pct,toast_heap_delta_before_to_run_progress_50pct,toast_heap_delta_before_to_after_run,toast_heap_delta_extend_to_vacuum,toast_index_delta_extend_to_vacuum,toast_heap_delta_extend_to_before_run,toast_index_delta_extend_to_before_run
vacuum,1,60.64231,33,87,193,6539,15292.85823520416,141.5,-54.5,1000,82,0.082,91.0,187.15999999999985,0.0,106.54999999999998,0.148,85.09999999999997,0.076,82.09999999999997,0.068,71.54999999999998,0.036000000000000004,79.5833333333333,0.060000000000000005,0.0,388018.0,0.0,0.0,0.0,0.0,84426752.0,125878272.0,0.0,0.0,0.0,0.0,5,4983,4983,4983.0,4983,4983,4983,4983,10065,10065,10065.0,10065,10065,10065,10065,97.66155637492723,97.66155637492723,97.66155637492723,97.66155637492723,97.66155637492723,97.66155637492723,97.66155637492723,241,241,241.0,241,241,241,241,0,0,0,0,0.0,0.0,0,0
vacuum,2,74.62429,35,111,248,7941,12592.87243420224,154.0,-43.0,1000,118,0.11800000000000001,106.0,160.0,0.0,139.94999999999985,0.24,95.0,0.092,102.54999999999998,0.07200000000000001,94.09999999999997,0.068,97.21666666666665,0.07733333333333334,0.0,904382.0,0.0,0.0,0.0,0.0,260276224.0,306249728.0,0.0,0.0,0.0,0.0,6,5535,5535,5535.0,5535,5535,5535,5535,30870,30870,30870.0,30870,30870,30870,30870,97.16102228377187,97.16102228377187,97.16102228377187,97.16102228377187,97.16102228377187,97.16102228377187,97.16102228377187,902,902,902.0,902,902,902,902,0,0,0,0,0.0,0.0,0,0
vacuum,3,85.18149,39,129,291,9011,11097.547442015317,163.0,-34.0,1000,205,0.20500000000000002,125.0,243.08999999999992,0.1,148.84999999999988,0.336,104.09999999999997,0.2,114.0,0.164,106.64999999999995,0.12,108.24999999999996,0.16133333333333333,0.0,1357661.0,0.0,0.0,0.0,0.0,439148544.0,485122048.0,0.0,0.0,0.0,0.0,7,5535,5535,5535.0,5535,5535,5535,5535,51614,51614,51614.0,51614,51614,51614,51614,96.28220195123771,96.28220195123771,96.28220195123771,96.28220195123771,96.28220195123771,96.28220195123771,96.28220195123771,1993,1993,1993.0,1993,1993,1993,1993,0,0,0,0,0.0,0.0,0,0
vacuum,4,104.74782,46,154,363,10986,9102.494083378846,172.0,-18.0,1000,273,0.27299999999999996,151.04999999999995,276.0899999999999,0.0,172.54999999999998,0.376,153.64999999999995,0.248,127.0,0.248,129.0,0.22,136.54999999999998,0.23866666666666667,0.0,2018173.0,3.0,0.0,0.0,14718.0,514211840.0,560185344.0,0.0,0.0,0.0,0.0,9,5535,5535,5535.0,5535,5535,5535,5535,59321,59321,59321.0,59321,59321,59321,59321,94.50533694440018,94.50533694440018,94.50533694440018,94.50533694440018,94.50533694440018,94.50533694440018,94.50533694440018,3449,3449,3449.0,3449,3449,3449,3449,0,0,0,0,0.0,0.0,0,0
vacuum,5,115.45146,47,172,383,12038,8307.02774547267,182.0,-10.0,1000,315,0.315,165.14999999999986,424.04999999999995,0.2,250.54999999999998,0.504,134.0,0.248,148.19999999999993,0.248,176.09999999999997,0.26,152.76666666666662,0.252,0.0,2315708.0,0.0,0.0,0.0,0.0,688562176.0,734535680.0,0.0,0.0,0.0,0.0,10,5535,5535,5535.0,5535,5535,5535,5535,78801,78801,78801.0,78801,78801,78801,78801,93.75156151475854,93.75156151475854,93.75156151475854,93.75156151475854,93.75156151475854,93.75156151475854,93.75156151475854,5252,5252,5252.0,5252,5252,5252,5252,0,0,0,0,0.0,0.0,0,0
vacuum,6,129.48902,55,192,416,13436,7442.691277165823,192.0,0.0,1000,310,0.31,198.04999999999995,344.05999999999995,0.1,212.54999999999998,0.436,174.39999999999986,0.27599999999999997,172.54999999999998,0.26,184.54999999999998,0.268,177.1666666666666,0.268,0.0,2474044.0,0.0,0.0,0.0,0.0,800325632.0,846299136.0,0.0,0.0,0.0,0.0,11,5535,5535,5535.0,5535,5535,5535,5535,90449,90449,90449.0,90449,90449,90449,90449,92.58209138552243,92.58209138552243,92.58209138552243,92.58209138552243,92.58209138552243,92.58209138552243,92.58209138552243,7247,7247,7247.0,7247,7247,7247,7247,0,0,0,0,0.0,0.0,0,0
vacuum,7,139.10185,60,208,440,14411,6939.143709666228,208.0,0.0,1000,388,0.388,213.04999999999995,343.02,0.3,253.54999999999998,0.532,206.09999999999997,0.336,188.0499999999998,0.424,161.0,0.26,185.04999999999993,0.34,0.0,2456730.0,0.0,0.0,0.0,27461.0,986742784.0,1032716288.0,0.0,0.0,0.0,0.0,11,5535,5535,5535.0,5535,5535,5535,5535,111139,111139,111139.0,111139,111139,111139,111139,92.26828944309766,92.26828944309766,92.26828944309766,92.26828944309766,92.26828944309766,92.26828944309766,92.26828944309766,9313,9313,9313.0,9313,9313,9313,9313,0,0,0,0,0.0,0.0,0,0
vacuum,8,145.11788,65,220,464,14999,6667.111140742716,220.0,0.0,1000,452,0.45199999999999996,205.04999999999995,353.2999999999997,0.2,233.64999999999995,0.656,210.54999999999998,0.38,189.49999999999983,0.372,184.54999999999998,0.4,194.8666666666666,0.38400000000000006,0.0,2937425.0,0.0,0.0,0.0,0.0,1127170048.0,1173143552.0,0.0,0.0,0.0,0.0,12,5535,5535,5535.0,5535,5535,5535,5535,126221,126221,126221.0,126221,126221,126221,126221,91.734377952527,91.734377952527,91.734377952527,91.734377952527,91.734377952527,91.734377952527,91.734377952527,11373,11373,11373.0,11373,11373,11373,11373,0,0,0,0,0.0,0.0,0,0
vacuum,9,157.47359,71,238,501,16238,6158.39389087326,238.0,0.0,1000,507,0.507,235.0,466.0899999999999,0.6,269.7499999999999,0.6839999999999999,225.64999999999995,0.47200000000000003,217.0,0.44799999999999995,224.54999999999998,0.424,222.39999999999998,0.44799999999999995,0.0,3028124.0,0.0,0.0,0.0,0.0,1327472640.0,1373446144.0,0.0,0.0,0.0,0.0,13,5535,5535,5535.0,5535,5535,5535,5535,148791,148791,148791.0,148791,148791,148791,148791,91.82079052115154,91.82079052115154,91.82079052115154,91.82079052115154,91.82079052115154,91.82079052115154,91.82079052115154,13254,13254,13254.0,13254,13254,13254,13254,0,0,0,0,0.0,0.0,0,0
vacuum,10,168.3539,74,255,538,17341,5766.680122253619,255.0,0.0,1000,586,0.586,241.0,441.27999999999975,0.4,292.19999999999993,0.8,270.54999999999995,0.524,211.64999999999995,0.5720000000000001,211.5999999999998,0.44799999999999995,231.26666666666657,0.5146666666666667,0.0,3123635.0,0.0,0.0,0.0,0.0,1583202304.0,1629175808.0,0.0,0.0,0.0,0.0,14,5535,5535,5535.0,5535,5535,5535,5535,178198,178198,178198.0,178198,178198,178198,178198,92.20539992342002,92.20539992342002,92.20539992342002,92.20539992342002,92.20539992342002,92.20539992342002,92.20539992342002,15064,15064,15064.0,15064,15064,15064,15064,0,0,0,0,0.0,0.0,0,0
vacuum,11,178.07058,76,269,589,18303,5463.585204611266,269.0,0.0,1000,634,0.634,258.14999999999986,660.8299999999992,0.4,321.7499999999999,0.836,206.49999999999983,0.5479999999999999,259.65,0.6,241.0,0.5519999999999999,235.7166666666666,0.5666666666666665,0.0,3025545.0,0.0,0.0,0.0,50.0,1816821760.0,1862795264.0,0.0,0.0,0.0,0.0,14,5535,5535,5535.0,5535,5535,5535,5535,205156,205156,205156.0,205156,205156,205156,205156,92.50428352421318,92.50428352421318,92.50428352421318,92.50428352421318,92.50428352421318,92.50428352421318,92.50428352421318,16624,16624,16624.0,16624,16624,16624,16624,0,0,0,0,0.0,0.0,0,0
vacuum,12,187.06394,76,287,616,19214,5204.538357447695,287.0,0.0,1000,646,0.6459999999999999,287.04999999999995,691.8999999999992,0.5,318.09999999999997,0.772,250.84999999999988,0.7000000000000001,274.04999999999984,0.544,245.49999999999983,0.5680000000000001,256.7999999999999,0.6040000000000001,0.0,3153846.0,0.0,0.0,0.0,50.0,2746834944.0,2792808448.0,0.0,0.0,0.0,0.0,15,5535,5535,5535.0,5535,5535,5535,5535,316125,316128,316128.0,316128,316128,316128,316128,94.27927242795408,94.28016713042078,94.28016713042078,94.28016713042078,94.28016713042078,94.28016713042078,94.28016713042078,19179,19179,19179.0,19179,19179,19179,19179,0,0,0,0,3.0,0.0,3,0
vacuum,13,201.26528,85,310,641,20651,4842.380514260811,310.0,0.0,1000,621,0.621,305.1999999999998,1072.8499999999992,1.0,425.8999999999997,0.86,256.0,0.5599999999999999,293.54999999999995,0.52,292.2999999999999,0.544,280.6166666666666,0.5413333333333333,0.0,3349985.0,0.0,1.0,0.0,33214.0,3169427456.0,3215400960.0,0.0,0.0,0.0,0.0,16,5535,5535,5535.0,5535,5535,5535,5535,365719,365721,365721.0,365721,365721,365721,365721,94.52716901055331,94.52768594934517,94.52768594934517,94.52768594934517,94.52768594934517,94.52768594934517,94.52768594934517,21172,21172,21172.0,21172,21172,21172,21172,0,0,0,0,2.0,0.0,2,0
vacuum,14,208.70818,93,321,669,21389,4675.300388049932,321.0,0.0,1000,664,0.664,312.0,470.28999999999974,0.2,301.09999999999997,0.84,274.7999999999997,0.66,317.65,0.5760000000000001,308.8499999999999,0.58,300.4333333333332,0.6053333333333334,0.0,3470523.0,0.0,0.0,0.0,50.0,3176194048.0,3222167552.0,0.0,0.0,0.0,0.0,17,5535,5535,5535.0,5535,5535,5535,5535,365721,365721,365721.0,365721,365721,365721,365721,94.32630332792563,94.32630332792563,94.32630332792563,94.32630332792563,94.32630332792563,94.32630332792563,94.32630332792563,21998,21998,21998.0,21998,21998,21998,21998,0,0,0,0,0.0,0.0,0,0
vacuum,15,218.48465,94,339,708,22363,4471.671958145151,339.0,0.0,1000,691,0.6910000000000001,307.1999999999998,564.01,0.3,334.19999999999993,0.984,275.54999999999995,0.668,335.7999999999997,0.588,278.54999999999995,0.524,296.6333333333332,0.5933333333333334,0.0,3542282.0,0.0,0.0,0.0,50.0,3185582080.0,3231555584.0,0.0,0.0,0.0,0.0,18,5535,5535,5535.0,5535,5535,5535,5535,365721,365681,365681.0,365681,365681,365681,365681,94.04832011109254,94.03803376493127,94.03803376493127,94.03803376493127,94.03803376493127,94.03803376493127,94.03803376493127,23184,23184,23184.0,23184,23184,23184,23184,0,0,0,0,-40.0,0.0,-40,0
vacuum,16,231.89168,107,357,748,23699,4219.587324359678,357.0,0.0,1000,683,0.683,328.0999999999999,548.03,0.3,329.09999999999997,0.928,350.0,0.5559999999999999,280.09999999999997,0.592,333.4999999999995,0.656,321.1999999999998,0.6013333333333333,0.0,3555439.0,0.0,0.0,0.0,26029.0,3407683584.0,3453657088.0,0.0,0.0,0.0,0.0,19,5535,5535,5535.0,5535,5535,5535,5535,391377,391377,391377.0,391377,391377,391377,391377,94.08621149727028,94.08621149727028,94.08621149727028,94.08621149727028,94.08621149727028,94.08621149727028,94.08621149727028,24600,24600,24600.0,24600,24600,24600,24600,0,0,0,0,0.0,0.0,0,0
vacuum,17,236.88325,104,371,752,24215,4129.671691100558,371.0,0.0,1000,697,0.697,348.0,828.1499999999999,0.7000000000000001,391.0,0.9119999999999999,389.9499999999998,0.644,283.2499999999998,0.652,297.14999999999975,0.58,323.44999999999976,0.6253333333333333,0.0,3527721.0,0.0,0.0,0.0,25924.0,3607699456.0,3653672960.0,0.0,0.0,0.0,0.0,19,5535,5535,5535.0,5535,5535,5535,5535,414455,414456,414456.0,414456,414456,414456,414456,94.11026060813865,94.11048767805119,94.11048767805119,94.11048767805119,94.11048767805119,94.11048767805119,94.11048767805119,25937,25937,25937.0,25937,25937,25937,25937,0,0,0,0,1.0,0.0,1,0
