variant,variant_label,epoch,p95_us,run_blks_read_delta,run_blks_hit_delta,run_cache_hit_pct,run_cache_miss_pct,toast_total_gib,log10_toast_total_gib
vacuum,VACC,1,87,0.0,388018.0,100.0,0.0,0.0786285400390625,-1.1044197881626243
vacuum,VACC,2,111,0.0,904382.0,100.0,0.0,0.242401123046875,-0.615465372410327
vacuum,VACC,3,129,0.0,1357661.0,100.0,0.0,0.40898895263671875,-0.38828842273522496
vacuum,VACC,4,154,0.0,2018173.0,100.0,0.0,0.4788970947265625,-0.3197577976369696
vacuum,VACC,5,172,0.0,2315708.0,100.0,0.0,0.6412734985351562,-0.19295670749857566
vacuum,VACC,6,192,0.0,2474044.0,100.0,0.0,0.745361328125,-0.12763314366911252
vacuum,VACC,7,208,0.0,2456730.0,100.0,0.0,0.918975830078125,-0.036695910813818865
vacuum,VACC,8,220,0.0,2937425.0,100.0,0.0,1.0497589111328125,0.02108956993953857
vacuum,VACC,9,238,0.0,3028124.0,100.0,0.0,1.2363052368164062,0.09212570885894868
vacuum,VACC,10,255,0.0,3123635.0,100.0,0.0,1.4744720458984375,0.16863654329871086
vacuum,VACC,11,269,0.0,3025545.0,100.0,0.0,1.692047119140625,0.22841245285066067
vacuum,VACC,12,287,0.0,3153846.0,100.0,0.0,2.5581893920898438,0.40793269373714436
vacuum,VACC,13,310,0.0,3349985.0,100.0,0.0,2.9517593383789062,0.47008094587637966
vacuum,VACC,14,321,0.0,3470523.0,100.0,0.0,2.9580612182617188,0.4710071576521321
vacuum,VACC,15,339,0.0,3542282.0,100.0,0.0,2.9668045043945312,0.47228892971423575
vacuum,VACC,16,357,0.0,3555439.0,100.0,0.0,3.1736526489257812,0.5015593922015001
vacuum,VACC,17,371,0.0,3527721.0,100.0,0.0,3.3599319458007812,0.5263304810021929
vacuum,VACC,18,388,0.0,3775670.0,100.0,0.0,3.6214675903320312,0.5588846029143567
vacuum,VACC,19,411,0.0,3752842.0,100.0,0.0,4.3639373779296875,0.6398785098781021
vacuum,VACC,20,414,3.0,3784033.0,99.99992071957033,7.92804296736449e-05,4.434486389160156,0.6468433262487785
vacuum,VACC,21,444,172.0,3937256.0,99.99563166615364,0.004368333846358041,4.6803436279296875,0.6702777398765087
vacuum,VACC,22,447,8.0,3981409.0,99.99979906651325,0.00020093348675231937,4.905525207519531,0.6906855117193779
vacuum,VACC,23,470,0.0,3906407.0,100.0,0.0,5.262382507324219,0.7211824125035096
vacuum,VACC,24,484,77.0,3987352.0,99.99806893113332,0.0019310688666820397,5.267112731933594,0.7215726136551375
vacuum,VACC,25,492,349.0,4018120.0,99.99131510035289,0.008684899647107613,6.0333251953125,0.7805567343539543
vacuum,VACC,26,512,170.0,4021037.0,99.99577241360616,0.004227586393838578,6.786567687988281,0.8316501850245315
vacuum,VACC,27,529,571.0,4020812.0,99.98580090481309,0.014199095186910426,6.8159027099609375,0.8335233826934055
vacuum,VACC,28,541,199.0,4057586.0,99.99509584662569,0.004904153374312159,7.6375885009765625,0.882956255690948
vacuum,VACC,29,560,118.0,4934281.0,99.9976086246775,0.0023913753225031087,7.637603759765625,0.8829571233471813
vacuum,VACC,30,583,231.0,4970666.0,99.99535295138885,0.004647048611147397,7.790779113769531,0.8915808912914731
vacuum,VACC,31,596,132.0,5079989.0,99.9974016366933,0.0025983633067028222,7.7969970703125,0.8919273710364563
vacuum,VACC,32,609,84.0,5123360.0,99.99836047783484,0.0016395221651634984,7.87982177734375,0.8965163949018058
vacuum,VACC,33,614,1168.0,5196163.0,99.97752692680146,0.022473073198540305,8.057296752929688,0.9061893591493868
vacuum,VACC,34,633,2203.0,5246223.0,99.9580255108865,0.04197448911349966,8.629203796386719,0.9359707258672555
vacuum,VACC,35,636,7206.0,5122768.0,99.85953145181632,0.1404685481836765,8.990318298339844,0.9537750680141504
vacuum,VACC,36,668,15744.0,5362026.0,99.70723924600718,0.2927607539928232,9.029861450195312,0.9556810867612064
vacuum,VACC,37,673,16829.0,5255240.0,99.68078945855981,0.3192105414401851,9.173004150390625,0.9625115900072523
vacuum,VACC,38,682,537.0,5316683.0,99.98990073760349,0.01009926239650838,10.353401184082031,1.0150830428199342
vacuum,VACC,39,694,1693.0,5276704.0,99.96792586840286,0.032074131597141786,10.353401184082031,1.0150830428199342
vacuum,VACC,40,723,225.0,5505051.0,99.99591301144575,0.00408698855424916,10.353401184082031,1.0150830428199342
vacuum,VACC,41,733,749.0,5509677.0,99.98640758445899,0.013592415541012315,11.012710571289062,1.0418942255358443
vacuum,VACC,42,753,5539.0,5495545.0,99.89931075402593,0.10068924597406692,11.435585021972656,1.0582583871601263
vacuum,VACC,43,774,743.0,5446347.0,99.98635968930199,0.013640310698008307,11.435585021972656,1.0582583871601263
vacuum,VACC,44,776,584.0,5591137.0,99.98955598821901,0.010444011780990081,11.435585021972656,1.0582583871601263
vacuum,VACC,45,791,616.0,5624376.0,99.98904887331396,0.010951126686038037,11.662513732910156,1.0667921681477903
vacuum,VACC,46,809,2910.0,5628758.0,99.94832791989869,0.05167208010131219,12.155158996582031,1.084760644042094
vacuum,VACC,47,981,20040.0,5579563.0,99.6421174858289,0.35788251417109507,12.210830688476562,1.0867452094936225
vacuum,VACC,48,1018,17083.0,5602940.0,99.69603327246169,0.30396672753830956,12.69757080078125,1.1037206431035402
vacuum,VACC,49,997,12565.0,5638423.0,99.77764950129074,0.22235049870926105,12.782073974609375,1.1066013266432746
vacuum,VACC,50,865,858.0,5667462.0,99.98486323990177,0.015136760098229729,13.74237060546875,1.138061656454907
vacuum,VACC,51,879,1228.0,5770814.0,99.97872503353233,0.02127496646767213,13.746650695800781,1.1381968973285561
vacuum,VACC,52,888,1037.0,5701290.0,99.98181444171827,0.018185558281729186,13.909370422363281,1.1433074730343618
vacuum,VACC,53,908,1119.0,5725370.0,99.98045923077822,0.019540769221777055,14.164093017578125,1.151188770167989
vacuum,VACC,54,983,8146.0,5705324.0,99.8574246473684,0.14257535263159582,14.192543029785156,1.1520602196189529
vacuum,VACC,55,1079,7975.0,5754694.0,99.8616092647348,0.1383907352652045,14.192543029785156,1.1520602196189529
vacuum,VACC,56,957,1007.0,5821088.0,99.98270382053195,0.017296179468047512,14.425559997558594,1.1591326813861018
vacuum,VACC,57,1137,11007.0,5755011.0,99.8091056947793,0.19089430522069506,15.697402954101562,1.1958278068042223
vacuum,VACC,58,1238,13108.0,5847635.0,99.77634235113193,0.22365764886806971,15.756599426269531,1.1974624942600605
vacuum,VACC,59,1248,13476.0,5795854.0,99.76802832684663,0.23197167315336742,16.405860900878906,1.214999025011074
vacuum,VACC,60,1285,19905.0,5789303.0,99.65735432437606,0.34264567562394177,16.426612854003906,1.2155480217146628
vacuum,VACC,61,1243,9976.0,5853659.0,99.82986662710076,0.1701333728992438,17.210899353027344,1.2358035649151211
vacuum,VACC,62,1066,1443.0,5941755.0,99.97572014258989,0.024279857410107297,17.210899353027344,1.2358035649151211
vacuum,VACC,63,1096,1433.0,5978830.0,99.97603784315172,0.02396215684828462,17.210899353027344,1.2358035649151211
vacuum,VACC,64,1127,1559.0,5932347.0,99.97372725486383,0.026272745136168396,17.501205444335938,1.2430679629602115
vacuum,VACC,65,1129,1549.0,5994288.0,99.97416540843254,0.025834591567459597,17.597137451171875,1.2454420263215171
vacuum,VACC,66,1377,13262.0,5901613.0,99.77578562522454,0.2242143747754568,17.900733947753906,1.2528708378472069
vacuum,VACC,67,1349,11070.0,5970744.0,99.81493908035254,0.18506091964745508,18.81372833251953,1.2744748685855083
vacuum,VACC,68,1298,9447.0,6041254.0,99.84386933018175,0.1561306698182534,18.81372833251953,1.2744748685855083
vacuum,VACC,69,1508,18703.0,5965842.0,99.68747832959733,0.3125216704026741,18.81372833251953,1.2744748685855083
vacuum,VACC,70,1585,24102.0,5978385.0,99.59846643566242,0.40153356433758347,19.27397918701172,1.284971385675635
vacuum,VACC,71,1921,35757.0,6042351.0,99.41170838030519,0.5882916196948145,19.810401916503906,1.2968932866616754
vacuum,VACC,72,1942,35759.0,6057385.0,99.41312727879072,0.586872721209275,20.32477569580078,1.3080257614191924
vacuum,VACC,73,2079,39285.0,6083466.0,99.35837665127978,0.6416233487202163,20.326873779296875,1.3080705904038705
vacuum,VACC,74,1801,29639.0,6173438.0,99.5221887460046,0.47781125399539803,20.33294677734375,1.3082003238618087
vacuum,VACC,75,1431,9559.0,6149323.0,99.84479325955587,0.15520674044412885,20.391441345214844,1.3094479244613124
vacuum,VACC,76,1440,9628.0,6166675.0,99.84411386552765,0.1558861344723539,20.385360717773438,1.3093184006717906
vacuum,VACC,77,1339,3663.0,6144409.0,99.94042034641105,0.059579653588954784,21.997360229492188,1.3423705668880779
