feature,spearman_rho,pearson_r,n
AverageLatency(us),0.9638641201848933,0.9163832318157761,400
value_size_p95,0.9055674742807548,0.8190612353973152,300
est_toast_chunks_p95,0.9050583877079719,0.8189873004011732,300
est_toast_chunks_p99,0.9029698785610593,0.8187462821072967,300
value_size_p99,0.9022987784193415,0.8190563009487363,300
value_size_max,0.9021353533081592,0.818047731361371,300
est_toast_chunks_max,0.9021216538150546,0.8180490891349599,300
buffers_alloc_per_op_delta,0.9010540144480189,0.8505325306203629,400
frac_gt_32kb,0.8995683927454673,0.7212429122114689,300
tup_returned_per_op_delta,0.8871976032067954,0.80698503549744,400
tup_fetched_per_op_delta,0.8871939469246888,0.8068708483091284,400
wal_records_per_op_delta,0.8797656004444975,0.8046145439360723,400
wal_bytes_per_op_delta,0.8775018930663099,0.7754923348262117,400
wal_fpi_per_op_delta,0.8760741036873225,0.79711070570286,400
blks_read_per_op_delta,0.8742118405451743,0.8186157972629695,400
blks_hit_per_op_delta,0.8425603049853775,0.7170586335861773,400
temp_bytes_per_op_delta,0.6760819657063798,0.7205927377073005,400
Throughput(ops/sec),-0.9642294169139397,-0.6370198468429662,400
