run_id,Epoch,AverageLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Throughput(ops/sec),blks_read_per_op_delta,blks_hit_per_op_delta,tup_returned_per_op_delta,tup_fetched_per_op_delta,tup_inserted_per_op_delta,tup_updated_per_op_delta,tup_deleted_per_op_delta,temp_bytes_per_op_delta,buffers_alloc_per_op_delta,wal_bytes_per_op_delta,wal_records_per_op_delta,wal_fpi_per_op_delta,reference_p95_us,avg-run_p95_us,clean-run_p95_us,main_minus_clean_p95_us,main_minus_avg_p95_us,main_minus_reference_p95_us,value_size_p50,value_size_p90,value_size_p95,value_size_p99,value_size_max,frac_gt_2kb,frac_gt_8kb,frac_gt_32kb,est_toast_chunks_p95,est_toast_chunks_p99,est_toast_chunks_max
3,1,48.45582,64,163,18709.073900841908,0.0,5.68159,2.00195,1.79749,0.00112,0.00011,0.00092,0.0,0.00078,29.39506,0.45075,0.0,54,62,60,4,2,10,,,,,,,,,,,
3,2,57.91359,82,333,15982.1000479463,0.0,14.09941,3.96458,3.76012,0.00147,0.00011,0.00142,0.0,0.0,58.81642,0.53536,0.03005,55,78,83,-1,4,27,,,,,,,,,,,
3,3,67.7085,91,416,13753.266400770182,0.0,21.18767,5.75974,5.55528,0.00182,0.00011,0.00172,0.0,0.0,62.00217,0.96707,0.00018,49,85,94,-3,6,42,,,,,,,,,,,
3,4,100.21398,381,549,9495.774380400722,0.0,26.61897,7.12603,6.92157,0.00218,0.00011,0.00212,0.0,1e-05,122.7555,1.51741,0.05742,43,80,96,285,301,338,,,,,,,,,,,
3,5,123.26862,439,565,7784.524365561264,0.0,30.43151,8.21523,8.01077,0.00252,0.00011,0.00242,0.0,0.0006,95.29474,1.19466,0.03739,53,101,92,347,338,386,,,,,,,,,,,
3,6,148.97819,480,597,6475.006475006475,0.0,32.91008,9.15692,8.95246,0.00272,0.00011,0.00272,0.0,0.00068,57.31517,0.70061,0.00546,54,96,115,365,384,426,,,,,,,,,,,
3,7,108.74838,346,547,8793.527963418923,0.0,36.05751,9.80281,9.59835,0.00302,0.00011,0.00296,0.0,0.00075,318.167,1.48177,0.34807,45,122,354,-8,224,301,,,,,,,,,,,
3,8,160.31031,490,618,6028.454304316373,0.0,38.58152,10.41828,10.20506,0.00322,0.00011,0.00315,0.0,0.00081,185.71825,2.2062,0.11282,53,163,377,113,327,437,,,,,,,,,,,
3,9,149.98733,470,612,6447.86897930234,0.0,44.99997,11.40544,11.19221,0.00673,0.00022,0.00667,0.0,1e-05,938.32922,4.37197,0.98039,47,363,454,16,107,423,,,,,,,,,,,
3,10,184.47233,500,638,5254.860746190226,0.0,43.74681,11.67422,11.46105,0.00352,0.00011,0.00351,0.0,0.00087,615.24535,3.62006,0.79029,54,412,451,49,88,446,,,,,,,,,,,
3,11,186.12043,500,643,5216.484089723526,0.0,45.18264,12.27601,12.06298,0.00363,0.00011,0.00362,0.0,0.00091,788.49999,4.01874,1.03985,49,441,429,71,59,451,,,,,,,,,,,
3,12,160.46648,450,619,6028.090903610827,0.0,47.22921,12.6019,12.38867,0.00751,0.00022,0.00747,0.0,1e-05,1352.28272,4.92363,1.68749,48,373,423,27,77,402,,,,,,,,,,,
3,13,192.31658,495,655,5038.037180714394,0.0,51.53783,13.04112,12.82789,0.00766,0.00022,0.00764,0.0,0.00259,2316.147,9.30575,3.79556,46,326,445,50,169,449,,,,,,,,,,,
3,14,238.9055,534,678,4080.466805402538,0.0,53.96992,13.2667,13.04471,0.00784,0.00022,0.00784,0.0,0.00312,2258.56352,10.44409,3.72387,53,363,470,64,171,481,,,,,,,,,,,
3,15,224.73403,525,679,4334.633723450368,0.0,48.36494,13.3577,13.15324,0.00402,0.00011,0.00402,0.0,0.0,1161.98106,6.25769,1.74899,53,489,452,73,36,472,,,,,,,,,,,
3,16,207.11276,504,682,4689.551678859501,0.0,60.65294,14.29167,14.07844,0.00813,0.00022,0.0081,0.0,0.00108,3436.18878,14.52651,7.44506,45,508,422,82,-4,459,,,,,,,,,,,
3,17,200.46553,493,688,4841.442749939482,0.772,62.3135,14.62784,14.41461,0.00824,0.00022,0.00823,0.0,0.04601,3749.88304,15.61286,9.46435,47,503,445,48,-10,446,,,,,,,,,,,
3,18,201.28553,479,675,4824.392126592049,1.30141,63.2045,15.22641,15.01318,0.00836,0.00022,0.00831,0.0,0.10125,3621.14061,16.66884,8.21596,55,383,425,54,96,424,,,,,,,,,,,
3,19,236.93149,533,717,4114.041222693051,1.9444,64.92991,16.17398,15.95199,0.00844,0.00022,0.00844,0.0,0.23149,4046.56171,17.82213,8.96453,53,519,392,141,14,480,,,,,,,,,,,
