run_id,threshold_us,start_epoch,end_epoch,width_epochs,peak_epoch,peak_p95_us
3,1000,59,59,1,59,1073.0
3,1000,69,74,6,72,1549.0
3,1000,79,89,11,85,1973.0
3,1000,93,100,8,98,2719.0
3,1200,70,73,4,72,1549.0
3,1200,82,87,6,85,1973.0
3,1200,94,99,6,98,2719.0
3,1500,72,72,1,72,1549.0
3,1500,83,85,3,85,1973.0
3,1500,96,98,3,98,2719.0
4,1000,71,74,4,73,1442.0
4,1000,80,87,8,87,1613.0
4,1000,93,100,8,95,3361.0
4,1200,72,73,2,73,1442.0
4,1200,81,81,1,81,1241.0
4,1200,83,84,2,83,1586.0
4,1200,87,87,1,87,1613.0
4,1200,94,100,7,95,3361.0
4,1500,83,84,2,83,1586.0
4,1500,87,87,1,87,1613.0
4,1500,94,99,6,95,3361.0
5,1000,70,72,3,72,1139.0
5,1000,82,87,6,84,1811.0
5,1000,92,100,9,99,2903.0
5,1200,83,86,4,84,1811.0
5,1200,95,100,6,99,2903.0
5,1500,83,84,2,84,1811.0
5,1500,86,86,1,86,1544.0
5,1500,95,100,6,99,2903.0
6,1000,70,74,5,72,1414.0
6,1000,79,90,12,84,2063.0
6,1000,92,92,1,92,1544.0
6,1000,94,100,7,97,2113.0
6,1200,71,74,4,72,1414.0
6,1200,83,87,5,84,2063.0
6,1200,92,92,1,92,1544.0
6,1200,94,99,6,97,2113.0
6,1500,84,87,4,84,2063.0
6,1500,92,92,1,92,1544.0
6,1500,97,98,2,97,2113.0
