run_id,Epoch,value_size_p50,value_size_p90,value_size_p95,value_size_p99,value_size_max,frac_gt_2kb,frac_gt_8kb,frac_gt_32kb,est_toast_chunks_p95,est_toast_chunks_p99,est_toast_chunks_max
4,1,1700.0,2300.0,2700.0,4500.0,390000,0.1896,0.0057,0.0019,2.0,3.0,196.0
4,2,2400.0,3400.0,4200.0,7800.0,774300,0.775,0.0095,0.0032,3.0,4.0,388.0
4,3,3100.0,4500.0,5700.0,11002.000000000044,1152900,0.9807,0.0232,0.005,3.0,6.0,578.0
4,4,3800.0,5600.0,7100.0,14701.000000000022,1536100,0.999,0.0375,0.0055,4.0,8.0,770.0
4,5,4400.0,6800.0,8600.0,18100.0,1916600,1.0,0.0584,0.0059,5.0,10.0,961.0
4,6,5100.0,7900.0,10000.0,21204.000000000087,2294800,1.0,0.0933,0.0068,6.0,11.0,1150.0
4,7,5800.0,9000.0,11600.0,24903.000000000065,2688400,1.0,0.1499,0.0075,6.0,13.0,1347.0
4,8,6500.0,10010.000000000036,13000.0,28501.000000000022,3069200,1.0,0.2305,0.0081,7.0,15.0,1538.0
4,9,7200.0,11200.0,14500.0,31905.00000000011,3446300,1.0,0.3322,0.01,8.0,16.0,1727.0
4,10,7800.0,12210.000000000036,15904.999999999927,35504.00000000009,3823700,1.0,0.4517,0.0117,8.0,18.0,1916.0
4,11,8500.0,13300.0,17500.0,38800.0,4211300,1.0,0.5918,0.0142,9.0,20.0,2110.0
4,12,9200.0,14500.0,18804.999999999927,41803.000000000065,4604200,1.0,0.7362,0.0169,10.0,21.0,2307.0
4,13,9800.0,15600.0,20300.0,45801.00000000002,4985800,1.0,0.8614,0.0214,11.0,23.0,2498.0
4,14,10500.0,16800.0,21900.0,48906.00000000013,5373100,1.0,0.9427,0.0255,11.0,25.0,2692.0
4,15,11200.0,17800.0,23400.0,52703.000000000065,5761400,1.0,0.9812,0.0303,12.0,27.0,2887.0
4,16,11800.0,18900.0,25000.0,55800.0,6148000,1.0,0.9955,0.0329,13.0,28.0,3081.0
4,17,12500.0,20100.0,26504.999999999927,59304.00000000009,6526300,1.0,0.9993,0.0351,14.0,30.0,3270.0
4,18,13200.0,21200.0,27900.0,62902.000000000044,6900000,1.0,0.9997,0.0375,14.0,32.0,3457.0
4,19,13800.0,22300.0,29400.0,66206.00000000013,7284900,1.0,1.0,0.0419,15.0,34.0,3650.0
4,20,14500.0,23400.0,30900.0,69101.00000000003,7665300,1.0,1.0,0.0467,16.0,35.0,3841.0
4,21,15200.0,24510.000000000036,32300.0,73000.0,8055400,1.0,1.0,0.0515,17.0,37.0,4036.0
4,22,15800.0,25510.000000000036,33900.0,76401.00000000003,8438800,1.0,1.0,0.0569,17.0,39.0,4228.0
4,23,16500.0,26700.0,35600.0,79505.00000000012,8830100,1.0,1.0,0.0618,18.0,40.0,4424.0
4,24,17150.0,27800.0,37000.0,83603.00000000006,9207600,1.0,1.0,0.0671,19.0,42.0,4614.0
4,25,17800.0,29000.0,38600.0,87303.00000000006,9595000,1.0,1.0,0.075,20.0,44.0,4808.0
4,26,18500.0,30010.000000000036,39900.0,90404.00000000009,9981100,1.0,1.0,0.0841,20.0,46.0,5001.0
4,27,19100.0,31000.0,41209.999999999854,93804.00000000009,10358300,1.0,1.0,0.0922,21.0,47.0,5190.0
4,28,19800.0,32200.0,42700.0,97302.00000000004,10738900,1.0,1.0,0.1009,22.0,49.0,5381.0
4,29,20400.0,33300.0,44300.0,100800.0,11124600,1.0,1.0,0.112,23.0,51.0,5574.0
4,30,21100.0,34300.0,45900.0,103404.00000000009,11516000,1.0,1.0,0.1252,23.0,52.0,5770.0
4,31,21700.0,35600.0,47400.0,106302.00000000004,11891400,1.0,1.0,0.1403,24.0,54.0,5958.0
4,32,22400.0,36600.0,49100.0,109904.00000000009,12280700,1.0,1.0,0.1544,25.0,56.0,6153.0
4,33,23100.0,37700.0,50400.0,113704.00000000009,12658700,1.0,1.0,0.1754,26.0,57.0,6343.0
4,34,23800.0,38900.0,52200.0,116706.00000000013,13035900,1.0,1.0,0.1936,27.0,59.0,6532.0
4,35,24400.0,39900.0,53704.99999999993,121102.00000000004,13417900,1.0,1.0,0.2143,27.0,61.0,6723.0
4,36,25100.0,41100.0,55100.0,123806.00000000013,13804700,1.0,1.0,0.2382,28.0,63.0,6917.0
4,37,25800.0,42010.00000000004,56800.0,127011.00000000023,14177300,1.0,1.0,0.2624,29.0,64.0,7103.0
4,38,26500.0,43200.0,58200.0,130010.00000000022,14555900,1.0,1.0,0.2888,30.0,66.0,7293.0
4,39,27100.0,44300.0,59604.99999999993,134000.0,14937400,1.0,1.0,0.3168,30.0,68.0,7484.0
4,40,27700.0,45300.0,61100.0,136406.00000000012,15312400,1.0,1.0,0.3418,31.0,69.0,7672.0
4,41,28400.0,46600.0,62304.99999999993,139809.0000000002,15695300,1.0,1.0,0.3661,32.0,71.0,7864.0
4,42,29100.0,47700.0,63900.0,143505.00000000012,16079900,1.0,1.0,0.3918,33.0,72.0,8057.0
4,43,29800.0,48800.0,65200.0,146619.0000000004,16459100,1.0,1.0,0.4168,33.0,74.0,8247.0
4,44,30400.0,49900.0,66500.0,149709.0000000002,16846000,1.0,1.0,0.4416,34.0,76.0,8440.0
4,45,31100.0,51000.0,68200.0,153102.00000000006,17228600,1.0,1.0,0.4665,35.0,77.0,8632.0
4,46,31800.0,52100.0,69400.0,156208.00000000017,17616300,1.0,1.0,0.4912,35.0,79.0,8826.0
4,47,32400.0,53200.0,71100.0,158913.0000000003,17997400,1.0,1.0,0.5125,36.0,80.0,9017.0
4,48,33100.0,54310.00000000004,72404.99999999993,162514.0000000003,18384300,1.0,1.0,0.5369,37.0,82.0,9211.0
4,49,33700.0,55610.00000000004,74300.0,165816.00000000035,18774300,1.0,1.0,0.5685,38.0,84.0,9406.0
4,50,34400.0,56700.0,75700.0,169304.0000000001,19156100,1.0,1.0,0.602,38.0,85.0,9598.0
4,51,35100.0,57800.0,77200.0,172200.0,19543600,1.0,1.0,0.6423,39.0,87.0,9792.0
4,52,35700.0,58900.0,78900.0,176402.00000000006,19927800,1.0,1.0,0.6893,40.0,89.0,9984.0
4,53,36400.0,60000.0,80304.99999999993,180104.0000000001,20304600,1.0,1.0,0.741,41.0,91.0,10173.0
4,54,37000.0,61100.0,81809.99999999985,182514.0000000003,20689100,1.0,1.0,0.7939,41.0,92.0,10366.0
4,55,37700.0,62300.0,83404.99999999993,185518.0000000004,21076900,1.0,1.0,0.8409,42.0,93.0,10560.0
4,56,38400.0,63410.00000000004,85104.99999999993,189420.00000000044,21455900,1.0,1.0,0.8866,43.0,95.0,10750.0
4,57,39100.0,64400.0,86504.99999999993,192123.0000000005,21840300,1.0,1.0,0.9198,44.0,97.0,10943.0
4,58,39700.0,65600.0,88009.99999999985,195118.0000000004,22216900,1.0,1.0,0.9509,45.0,98.0,11131.0
4,59,40300.0,66700.0,89609.99999999985,198821.00000000047,22604300,1.0,1.0,0.9693,45.0,100.0,11325.0
4,60,41000.0,67910.00000000003,90809.99999999985,202711.00000000023,22995000,1.0,1.0,0.9808,46.0,102.0,11521.0
4,61,41700.0,69000.0,92604.99999999993,206515.00000000032,23378200,1.0,1.0,0.9899,47.0,104.0,11713.0
4,62,42300.0,70100.0,94400.0,208935.00000000076,23758900,1.0,1.0,0.9945,48.0,105.0,11904.0
4,63,43000.0,71110.00000000003,95604.99999999993,212538.00000000081,24145200,1.0,1.0,0.9974,48.0,107.0,12097.0
