Epoch,p95_us,avg_us,Runtime(ms),Throughput(ops/sec),avg-run_duration_s,clean-run_duration_s,extend_duration_s,load_duration_s,reference_duration_s,run_duration_s,vacuum_duration_s,avg-run_delta_checkpoints_timed,clean-run_delta_checkpoints_timed,extend_delta_checkpoints_timed,load_delta_checkpoints_timed,reference_delta_checkpoints_timed,run_delta_checkpoints_timed,vacuum_delta_checkpoints_timed,avg-run_delta_checkpoints_req,clean-run_delta_checkpoints_req,extend_delta_checkpoints_req,load_delta_checkpoints_req,reference_delta_checkpoints_req,run_delta_checkpoints_req,vacuum_delta_checkpoints_req,avg-run_delta_checkpoint_write_time,clean-run_delta_checkpoint_write_time,extend_delta_checkpoint_write_time,load_delta_checkpoint_write_time,reference_delta_checkpoint_write_time,run_delta_checkpoint_write_time,vacuum_delta_checkpoint_write_time,avg-run_delta_checkpoint_sync_time,clean-run_delta_checkpoint_sync_time,extend_delta_checkpoint_sync_time,load_delta_checkpoint_sync_time,reference_delta_checkpoint_sync_time,run_delta_checkpoint_sync_time,vacuum_delta_checkpoint_sync_time,avg-run_delta_buffers_checkpoint,clean-run_delta_buffers_checkpoint,extend_delta_buffers_checkpoint,load_delta_buffers_checkpoint,reference_delta_buffers_checkpoint,run_delta_buffers_checkpoint,vacuum_delta_buffers_checkpoint,avg-run_delta_buffers_clean,clean-run_delta_buffers_clean,extend_delta_buffers_clean,load_delta_buffers_clean,reference_delta_buffers_clean,run_delta_buffers_clean,vacuum_delta_buffers_clean,avg-run_delta_buffers_backend,clean-run_delta_buffers_backend,extend_delta_buffers_backend,load_delta_buffers_backend,reference_delta_buffers_backend,run_delta_buffers_backend,vacuum_delta_buffers_backend,avg-run_delta_buffers_alloc,clean-run_delta_buffers_alloc,extend_delta_buffers_alloc,load_delta_buffers_alloc,reference_delta_buffers_alloc,run_delta_buffers_alloc,vacuum_delta_buffers_alloc,avg-run_delta_wal_bytes,clean-run_delta_wal_bytes,extend_delta_wal_bytes,load_delta_wal_bytes,reference_delta_wal_bytes,run_delta_wal_bytes,vacuum_delta_wal_bytes,avg-run_delta_wal_records,clean-run_delta_wal_records,extend_delta_wal_records,load_delta_wal_records,reference_delta_wal_records,run_delta_wal_records,vacuum_delta_wal_records,cycle_duration_s,cycle_delta_checkpoints_timed,cycle_delta_checkpoints_req,cycle_delta_checkpoint_write_time,cycle_delta_checkpoint_sync_time,cycle_delta_buffers_checkpoint,cycle_delta_buffers_clean,cycle_delta_buffers_backend,cycle_delta_buffers_alloc,cycle_delta_wal_bytes,cycle_delta_wal_records,is_p95_peak
1,96,62.70708,6858,14581.51064450277,6.444,7.072,103.275,,5.42,7.063,0.279,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,602.0,19042.0,,0.0,0.0,1.0,0.0,0.0,244875852.0,,0.0,0.0,1066607.0,0.0,0.0,666970.0,,0.0,0.0,14431.0,144.476,0,1,419,35,23025,0,22374,26128,298950589,752795,False
2,107,74.79005,8056,12413.108242303872,7.995,8.474,112.513,,5.528,8.301,0.392,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10707.0,,55.0,83.0,795.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,21916.0,,0.0,0.0,0.0,0.0,759.0,17558.0,,0.0,0.0,1.0,0.0,576934.0,617204080.0,,0.0,0.0,9785858.0,0.0,4685.0,1228838.0,,0.0,0.0,76150.0,160.539,0,2,33538,75,49000,0,21952,27517,708869799,1472134,False
3,129,89.48905,9521,10503.09841403214,9.101,9.135,120.068,,5.512,9.747,1.405,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,55491.0,0.0,0.0,0.0,,0.0,0.0,94.0,0.0,0.0,51443.0,,0.0,0.0,142.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,36406.0,,0.0,0.0,0.0,0.0,987.0,29087.0,,0.0,0.0,0.0,33442.0,739358.0,950612871.0,,0.0,0.0,16393948.0,195.0,6189.0,1666510.0,,0.0,0.0,206990.0,174.956,0,2,58664,132,118927,0,36407,42203,1073045558,2109270,False
4,164,106.47854,11242,8895.21437466643,9.842,10.97,133.708,,5.645,11.479,0.481,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,46133.0,,0.0,0.0,0.0,0.0,0.0,13.0,,0.0,0.0,0.0,0.0,0.0,115195.0,,57.0,115.0,579.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,26947.0,,0.0,0.0,0.0,0.0,942.0,16559.0,,0.0,0.0,0.0,39134.0,896110.0,1401960511.0,,0.0,0.0,4703772.0,242.0,7680.0,2419720.0,,0.0,0.0,71184.0,193.655,0,3,103756,59,191489,0,26948,32746,1536531404,2772667,False
5,173,115.77545,12179,8210.854749979473,10.612,11.64,143.515,,5.573,12.409,0.559,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,3.0,,0.0,0.0,0.0,0.0,0.0,76663.0,,0.0,0.0,0.0,0.0,0.0,35.0,,0.0,0.0,0.0,0.0,0.0,190211.0,,56.0,124.0,1453.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,40000.0,,0.0,0.0,1.0,0.0,729.0,26479.0,,0.0,0.0,1.0,0.0,1082606.0,1825938655.0,,0.0,0.0,10761471.0,0.0,9391.0,2911333.0,,0.0,0.0,138313.0,206.92,0,4,123942,110,281201,0,40003,44904,1989164331,3352623,False
6,197,129.31811,13525,7393.715341959334,11.561,12.499,152.994,,5.484,13.757,0.709,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,4.0,,0.0,0.0,0.0,0.0,0.0,99100.0,,0.0,0.0,0.0,0.0,0.0,26.0,,0.0,0.0,0.0,0.0,0.0,252856.0,,55.0,138.0,7630.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,31476.0,,0.0,0.0,0.0,0.0,602.0,15717.0,,0.0,0.0,0.0,0.0,1181679.0,2237571293.0,,0.0,0.0,45357874.0,0.0,10544.0,3366985.0,,0.0,0.0,283974.0,221.177,0,5,138716,98,365788,0,31478,37244,2466911429,3993690,False
7,212,140.51969,14660,6821.2824010914055,12.464,13.358,161.499,,5.706,14.896,0.73,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,5.0,,0.0,0.0,0.0,0.0,0.0,119189.0,,0.0,0.0,0.0,0.0,0.0,457.0,,0.0,0.0,0.0,0.0,0.0,357117.0,,57.0,149.0,13690.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,48901.0,,0.0,1.0,1.0,0.0,529.0,30041.0,,0.0,0.0,1.0,0.0,1322681.0,2656728381.0,,96.0,32404.0,51192711.0,0.0,11972.0,3912710.0,,2.0,312.0,261841.0,236.295,0,6,155624,523,523740,0,48904,54368,2917504536,4531534,False
8,226,148.72269,15468,6464.959917248513,13.233,14.465,168.775,,5.485,15.695,0.699,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,5.0,,0.0,0.0,0.0,0.0,0.0,134759.0,,0.0,0.0,0.0,0.0,0.0,101.0,,0.0,0.0,0.0,0.0,0.0,489707.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,29637.0,,0.0,0.0,0.0,0.0,133.0,7977.0,,0.0,0.0,1.0,0.0,1434832.0,3037868984.0,,50.0,20497.0,29819098.0,0.0,13308.0,4360291.0,,1.0,330.0,293169.0,244.473,0,6,140593,140,599458,0,29640,34727,3289533631,5024598,False
9,246,162.27597,16853,5933.661662611998,14.177,15.478,178.312,,5.41,17.079,1.757,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,6.0,,0.0,0.0,0.0,0.0,0.0,125284.0,,0.0,0.0,22809.0,0.0,0.0,550.0,,0.0,0.0,24.0,0.0,0.0,670875.0,,0.0,0.0,12084.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,58848.0,,0.0,0.0,1.0,0.0,137.0,34765.0,,0.0,0.0,1.0,0.0,1550255.0,3503381104.0,,50.0,0.0,62455036.0,0.0,14665.0,4829544.0,,1.0,0.0,404288.0,260.838,0,7,155831,596,824252,0,58932,64981,3807884221,5631716,False
10,259,172.24405,17799,5618.293162537221,14.542,16.364,186.058,,5.364,18.046,1.825,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,7.0,,0.0,0.0,0.0,0.0,0.0,136430.0,,0.0,0.0,0.0,0.0,0.0,174.0,,0.0,0.0,0.0,0.0,0.0,698205.0,,54.0,180.0,11868.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,54453.0,,0.0,0.0,1.0,0.0,1112.0,26989.0,,0.0,0.0,1.0,0.0,1670384.0,3939397462.0,,50.0,0.0,112737146.0,0.0,16037.0,5327176.0,,1.0,0.0,569834.0,274.186,0,8,192854,200,897255,0,54542,58605,4315719024,6308518,False
