feature,lag_metric_epochs,spearman_vs_p95
extend_delta_checkpoints_req,-5,0.9852585586031899
extend_delta_checkpoints_req,-4,0.9858603727606943
extend_delta_checkpoints_req,-3,0.9864379302740073
extend_delta_checkpoints_req,-2,0.9859977157345585
extend_delta_checkpoints_req,-1,0.9854498384492922
extend_delta_checkpoints_req,0,0.9837216186306076
extend_delta_checkpoints_req,1,0.98282740674956
extend_delta_checkpoints_req,2,0.9826405544949468
extend_delta_checkpoints_req,3,0.9818449075677868
extend_delta_checkpoints_req,4,0.980976450672956
extend_delta_checkpoints_req,5,0.9805337357562368
extend_delta_checkpoint_write_time,-5,0.9804519908694144
extend_delta_checkpoint_write_time,-4,0.9779095083615348
extend_delta_checkpoint_write_time,-3,0.9765212531852476
extend_delta_checkpoint_write_time,-2,0.9760660002238567
extend_delta_checkpoint_write_time,-1,0.9751296394261779
extend_delta_checkpoint_write_time,0,0.9749890487253015
extend_delta_checkpoint_write_time,1,0.9782185198428225
extend_delta_checkpoint_write_time,2,0.9785585861489583
extend_delta_checkpoint_write_time,3,0.980564523043293
extend_delta_checkpoint_write_time,4,0.9834098632184257
extend_delta_checkpoint_write_time,5,0.9820055012593807
extend_delta_buffers_checkpoint,-5,0.9664961261163796
extend_delta_buffers_checkpoint,-4,0.9698044615284209
extend_delta_buffers_checkpoint,-3,0.9693941286905342
extend_delta_buffers_checkpoint,-2,0.9702132000605227
extend_delta_buffers_checkpoint,-1,0.969764809943158
extend_delta_buffers_checkpoint,0,0.9637981626225881
extend_delta_buffers_checkpoint,1,0.9638031156839575
extend_delta_buffers_checkpoint,2,0.9565694175446888
extend_delta_buffers_checkpoint,3,0.958841513548454
extend_delta_buffers_checkpoint,4,0.9588643439202092
extend_delta_buffers_checkpoint,5,0.9662231678789832
extend_delta_buffers_backend,-5,0.8793594580244632
extend_delta_buffers_backend,-4,0.8830770691811172
extend_delta_buffers_backend,-3,0.8880436569441426
extend_delta_buffers_backend,-2,0.8877894522265511
extend_delta_buffers_backend,-1,0.8934130699804118
extend_delta_buffers_backend,0,0.9014395526088042
extend_delta_buffers_backend,1,0.9075133427096407
extend_delta_buffers_backend,2,0.9147072324984437
extend_delta_buffers_backend,3,0.9054801275714303
extend_delta_buffers_backend,4,0.9028343925492015
extend_delta_buffers_backend,5,0.8862184086051924
extend_delta_wal_bytes,-5,0.9856311984507812
extend_delta_wal_bytes,-4,0.9859602954668957
extend_delta_wal_bytes,-3,0.9863572109749996
extend_delta_wal_bytes,-2,0.9864773538913132
extend_delta_wal_bytes,-1,0.9852689256151654
extend_delta_wal_bytes,0,0.983678269914319
extend_delta_wal_bytes,1,0.9826467696339403
extend_delta_wal_bytes,2,0.9823905947358695
extend_delta_wal_bytes,3,0.9820638416991253
extend_delta_wal_bytes,4,0.9811176147649348
extend_delta_wal_bytes,5,0.9808789255484188
vacuum_delta_checkpoints_req,-5,0.8640458494938575
vacuum_delta_checkpoints_req,-4,0.8623849067977862
vacuum_delta_checkpoints_req,-3,0.8671525668640563
vacuum_delta_checkpoints_req,-2,0.864296295640477
vacuum_delta_checkpoints_req,-1,0.8604830816963362
vacuum_delta_checkpoints_req,0,0.8679716137893115
vacuum_delta_checkpoints_req,1,0.8628111648869388
vacuum_delta_checkpoints_req,2,0.8748574482999809
vacuum_delta_checkpoints_req,3,0.8706951086417617
vacuum_delta_checkpoints_req,4,0.8894665848054937
vacuum_delta_checkpoints_req,5,0.8944339652649798
vacuum_delta_checkpoint_write_time,-5,0.9410021180720801
vacuum_delta_checkpoint_write_time,-4,0.9357679526953617
vacuum_delta_checkpoint_write_time,-3,0.9347419556898032
vacuum_delta_checkpoint_write_time,-2,0.924343924994474
vacuum_delta_checkpoint_write_time,-1,0.9350227089720472
vacuum_delta_checkpoint_write_time,0,0.9312042187875196
vacuum_delta_checkpoint_write_time,1,0.9369144975000545
vacuum_delta_checkpoint_write_time,2,0.9396421979961809
vacuum_delta_checkpoint_write_time,3,0.9365591634054056
vacuum_delta_checkpoint_write_time,4,0.9346996273488163
vacuum_delta_checkpoint_write_time,5,0.932009258707274
vacuum_delta_buffers_checkpoint,-5,0.6555896947927561
vacuum_delta_buffers_checkpoint,-4,0.6684934108496872
vacuum_delta_buffers_checkpoint,-3,0.6780499030357937
vacuum_delta_buffers_checkpoint,-2,0.6940987452961633
vacuum_delta_buffers_checkpoint,-1,0.7171534765349047
vacuum_delta_buffers_checkpoint,0,0.7236728803472148
vacuum_delta_buffers_checkpoint,1,0.7381082694061516
vacuum_delta_buffers_checkpoint,2,0.7473820111930101
vacuum_delta_buffers_checkpoint,3,0.7595409432992267
vacuum_delta_buffers_checkpoint,4,0.7673504546007357
vacuum_delta_buffers_checkpoint,5,0.7883271450966357
vacuum_delta_buffers_backend,-5,0.9808590775973235
vacuum_delta_buffers_backend,-4,0.9753897305102214
vacuum_delta_buffers_backend,-3,0.9756693622526303
vacuum_delta_buffers_backend,-2,0.9752517241457105
vacuum_delta_buffers_backend,-1,0.9772958281772346
vacuum_delta_buffers_backend,0,0.976038941750938
vacuum_delta_buffers_backend,1,0.9737952416834097
vacuum_delta_buffers_backend,2,0.9734946638307633
vacuum_delta_buffers_backend,3,0.9727908860740603
vacuum_delta_buffers_backend,4,0.9775232275742295
vacuum_delta_buffers_backend,5,0.9776668411304682
vacuum_delta_wal_bytes,-5,0.9704295243065529
vacuum_delta_wal_bytes,-4,0.972978655601975
vacuum_delta_wal_bytes,-3,0.9757519971281613
vacuum_delta_wal_bytes,-2,0.9770797205135846
vacuum_delta_wal_bytes,-1,0.9772478494178803
vacuum_delta_wal_bytes,0,0.9747853272622377
vacuum_delta_wal_bytes,1,0.9763078312359317
vacuum_delta_wal_bytes,2,0.9783867183714099
vacuum_delta_wal_bytes,3,0.9762385351471732
vacuum_delta_wal_bytes,4,0.976437713246233
vacuum_delta_wal_bytes,5,0.9687077877322067
run_delta_checkpoints_timed,-5,0.48280522461740283
run_delta_checkpoints_timed,-4,0.4725283802986252
run_delta_checkpoints_timed,-3,0.48191258713161034
run_delta_checkpoints_timed,-2,0.4695099638675668
run_delta_checkpoints_timed,-1,0.4656673347182249
run_delta_checkpoints_timed,0,0.4411203090898986
run_delta_checkpoints_timed,1,0.43033414423212635
run_delta_checkpoints_timed,2,0.38732096897776636
run_delta_checkpoints_timed,3,0.3400732330987643
run_delta_checkpoints_timed,4,0.32145439238345314
run_delta_checkpoints_timed,5,0.3124558649839212
run_delta_checkpoints_req,-5,-0.03094285395384889
run_delta_checkpoints_req,-4,-0.039756492574286796
run_delta_checkpoints_req,-3,-0.01665198105943939
run_delta_checkpoints_req,-2,-0.006557275676508169
run_delta_checkpoints_req,-1,-0.02986091219208722
run_delta_checkpoints_req,0,-0.015100514523033725
run_delta_checkpoints_req,1,-0.025825653787751108
run_delta_checkpoints_req,2,-0.023770124327342112
run_delta_checkpoints_req,3,0.0
run_delta_checkpoints_req,4,-0.00676706256583605
run_delta_checkpoints_req,5,0.01890952186068543
run_delta_checkpoint_write_time,-5,0.2986163651966837
run_delta_checkpoint_write_time,-4,0.30827704120334254
run_delta_checkpoint_write_time,-3,0.3102324220425259
run_delta_checkpoint_write_time,-2,0.3170870175343976
run_delta_checkpoint_write_time,-1,0.2992432602328806
run_delta_checkpoint_write_time,0,0.27629452452546976
run_delta_checkpoint_write_time,1,0.23100621492346365
run_delta_checkpoint_write_time,2,0.18520741261969784
run_delta_checkpoint_write_time,3,0.15418678542908495
run_delta_checkpoint_write_time,4,0.18542644827076765
run_delta_checkpoint_write_time,5,0.21318221075133342
run_delta_buffers_checkpoint,-5,0.26920923341597447
run_delta_buffers_checkpoint,-4,0.2800168211891026
run_delta_buffers_checkpoint,-3,0.3064172530483114
run_delta_buffers_checkpoint,-2,0.3277458274438161
run_delta_buffers_checkpoint,-1,0.3668153064950629
