peak_epoch,feature,peak_value,local_nonpeak_mean,peak_minus_local,peak_vs_local_ratio
49,extend_delta_checkpoints_req,35.0,35.75,-0.75,0.9790209790209791
49,extend_delta_checkpoint_write_time,474183.0,462423.75,11759.25,1.025429597852619
49,extend_delta_checkpoint_sync_time,26259.0,33562.75,-7303.75,0.7823852336295447
49,extend_delta_buffers_checkpoint,2954578.0,3024238.75,-69660.75,0.976965856283668
49,extend_delta_buffers_clean,3831.0,5626.0,-1795.0,0.6809456096693921
49,extend_delta_buffers_backend,701422.0,749465.0,-48043.0,0.9358969398170696
49,extend_delta_wal_bytes,19364201361.0,19521184551.25,-156983190.25,0.9919583163696924
49,vacuum_delta_checkpoints_req,1.0,1.25,-0.25,0.8
49,vacuum_delta_checkpoint_write_time,197198.0,116167.75,81030.25,1.6975279283622176
49,vacuum_delta_checkpoint_sync_time,17857.0,10975.75,6881.25,1.6269503223014372
49,vacuum_delta_buffers_checkpoint,440276.0,315455.75,124820.25,1.3956822787348147
49,vacuum_delta_buffers_clean,38911.0,57449.75,-18538.75,0.6773049491076985
49,vacuum_delta_buffers_backend,1844270.0,1908045.0,-63775.0,0.9665757358972141
49,vacuum_delta_wal_bytes,939685836.0,890191107.5,49494728.5,1.0556001156189936
49,run_delta_checkpoints_timed,0.0,0.0,0.0,
49,run_delta_checkpoints_req,1.0,0.0,1.0,
49,run_delta_checkpoint_write_time,0.0,0.0,0.0,
49,run_delta_checkpoint_sync_time,0.0,0.0,0.0,
49,run_delta_buffers_checkpoint,78453.0,9872.75,68580.25,7.9464181712288875
49,run_delta_buffers_clean,28400.0,27565.25,834.75,1.0302826928832498
49,run_delta_buffers_backend,2187.0,602.5,1584.5,3.629875518672199
49,cycle_delta_checkpoints_req,40.0,40.0,0.0,1.0
49,cycle_delta_checkpoint_write_time,836344.0,811793.5,24550.5,1.0302422968402678
49,cycle_delta_checkpoint_sync_time,47133.0,47439.75,-306.75,0.9935339035302674
49,cycle_delta_buffers_checkpoint,3864915.0,3697136.0,167779.0,1.0453808028701135
49,cycle_delta_buffers_clean,83088.0,104476.5,-21388.5,0.7952793211870612
49,cycle_delta_buffers_backend,2737723.0,2837623.75,-99900.75,0.9647942226308192
49,cycle_delta_wal_bytes,21508284867.0,21624076441.5,-115791574.5,0.9946452476334305
61,extend_delta_checkpoints_req,45.0,45.5,-0.5,0.989010989010989
61,extend_delta_checkpoint_write_time,603185.0,608459.5,-5274.5,0.9913313868877057
61,extend_delta_checkpoint_sync_time,17005.0,40405.75,-23400.75,0.42085594253293157
61,extend_delta_buffers_checkpoint,4364969.0,3740085.75,624883.25,1.1670772521726274
61,extend_delta_buffers_clean,5432.0,6282.5,-850.5,0.8646239554317549
61,extend_delta_buffers_backend,315204.0,909643.75,-594439.75,0.34651367637055713
61,extend_delta_wal_bytes,24830028234.0,24769794831.75,60233402.25,1.002431727943616
61,vacuum_delta_checkpoints_req,2.0,1.5,0.5,1.3333333333333333
61,vacuum_delta_checkpoint_write_time,162596.0,190205.25,-27609.25,0.8548449635328152
61,vacuum_delta_checkpoint_sync_time,8678.0,10935.25,-2257.25,0.7935803936809858
61,vacuum_delta_buffers_checkpoint,496616.0,418536.25,78079.75,1.186554330718068
61,vacuum_delta_buffers_clean,90055.0,57692.25,32362.75,1.5609548942882276
61,vacuum_delta_buffers_backend,2830693.0,2495609.5,335083.5,1.134269203575319
61,vacuum_delta_wal_bytes,983430919.0,1117722495.25,-134291576.25,0.87985248859113
61,run_delta_checkpoints_timed,0.0,0.0,0.0,
61,run_delta_checkpoints_req,0.0,0.0,0.0,
61,run_delta_checkpoint_write_time,0.0,84139.5,-84139.5,0.0
61,run_delta_checkpoint_sync_time,0.0,4358.5,-4358.5,0.0
61,run_delta_buffers_checkpoint,6198.0,21962.75,-15764.75,0.28220509726696336
61,run_delta_buffers_clean,35519.0,35046.5,472.5,1.0134820880829756
61,run_delta_buffers_backend,0.0,1778.5,-1778.5,0.0
61,cycle_delta_checkpoints_req,50.0,50.0,0.0,1.0
61,cycle_delta_checkpoint_write_time,1117434.0,1075445.0,41989.0,1.039043372743376
61,cycle_delta_checkpoint_sync_time,28520.0,60160.0,-31640.0,0.4740691489361702
61,cycle_delta_buffers_checkpoint,5099559.0,4602251.25,497307.75,1.1080574968609114
61,cycle_delta_buffers_clean,147025.0,113947.5,33077.5,1.2902871936637486
61,cycle_delta_buffers_backend,3416435.0,3692427.75,-275992.75,0.9252543939417637
61,cycle_delta_wal_bytes,27337960662.0,27375781319.25,-37820657.25,0.9986184629103753
73,extend_delta_checkpoints_req,55.0,55.5,-0.5,0.990990990990991
73,extend_delta_checkpoint_write_time,619850.0,663415.75,-43565.75,0.9343311490569828
73,extend_delta_checkpoint_sync_time,63237.0,43957.0,19280.0,1.43861046022249
73,extend_delta_buffers_checkpoint,4276132.0,4722111.25,-445979.25,0.9055551158393399
73,extend_delta_buffers_clean,8956.0,3635.5,5320.5,2.4634850777059554
73,extend_delta_buffers_backend,1417424.0,912136.5,505287.5,1.5539603995673894
73,extend_delta_wal_bytes,29832371230.0,30313037202.25,-480665972.25,0.9841432592503689
73,vacuum_delta_checkpoints_req,2.0,2.0,0.0,1.0
73,vacuum_delta_checkpoint_write_time,221184.0,382815.5,-161631.5,0.577782247584019
73,vacuum_delta_checkpoint_sync_time,16479.0,19460.5,-2981.5,0.8467922201382287
73,vacuum_delta_buffers_checkpoint,274830.0,449319.0,-174489.0,0.6116589772522417
73,vacuum_delta_buffers_clean,112190.0,54275.25,57914.75,2.067056347045845
73,vacuum_delta_buffers_backend,2952732.0,3398256.25,-445524.25,0.868896216993642
73,vacuum_delta_wal_bytes,1310458527.0,1226394733.5,84063793.5,1.068545461916728
73,run_delta_checkpoints_timed,0.0,0.0,0.0,
73,run_delta_checkpoints_req,0.0,0.0,0.0,
73,run_delta_checkpoint_write_time,0.0,0.0,0.0,
73,run_delta_checkpoint_sync_time,0.0,0.0,0.0,
73,run_delta_buffers_checkpoint,85008.0,48554.0,36454.0,1.7507929315813322
73,run_delta_buffers_clean,45768.0,40134.5,5633.5,1.1403655209358532
73,run_delta_buffers_backend,108.0,0.0,108.0,
73,cycle_delta_checkpoints_req,60.0,61.5,-1.5,0.975609756097561
73,cycle_delta_checkpoint_write_time,1226678.0,1313943.0,-87265.0,0.9335853990622119
73,cycle_delta_checkpoint_sync_time,83490.0,68420.0,15070.0,1.220257234726688
73,cycle_delta_buffers_checkpoint,5013818.0,5533160.25,-519342.25,0.9061400309163286
73,cycle_delta_buffers_clean,187337.0,113429.75,73907.25,1.6515684818136336
73,cycle_delta_buffers_backend,4716865.0,4649932.5,66932.5,1.0143942949709486
73,cycle_delta_wal_bytes,32883290623.0,33310661991.5,-427371368.5,0.9871701328358754
85,extend_delta_checkpoints_req,66.0,65.75,0.25,1.0038022813688212
85,extend_delta_checkpoint_write_time,875970.0,854802.5,21167.5,1.0247630300566506
85,extend_delta_checkpoint_sync_time,130512.0,61421.0,69091.0,2.1248758567916513
