Epoch,phase,duration_s,delta_checkpoints_timed,delta_checkpoints_req,delta_checkpoint_write_time,delta_checkpoint_sync_time,delta_buffers_checkpoint,delta_buffers_clean,delta_buffers_backend,delta_buffers_alloc,delta_wal_bytes,delta_wal_records
0,load,23.143,0,0,0,0,0,0,0,4088,26167690,60141
1,avg-run,6.444,0,0,0,0,0,0,0,0,0,0
1,clean-run,7.072,0,0,0,0,0,0,0,602,0,0
1,extend,103.275,0,0,0,0,0,0,0,19042,244875852,666970
1,reference,5.42,0,0,0,0,0,0,0,0,0,0
1,run,7.063,0,0,0,0,0,0,0,0,0,0
1,vacuum,0.279,0,0,0,0,0,0,0,1,1066607,14431
2,avg-run,7.995,0,0,0,0,0,0,0,0,0,0
2,clean-run,8.474,0,0,0,0,0,0,0,759,576934,4685
2,extend,112.513,0,1,0,0,10707,0,21916,17558,617204080,1228838
2,reference,5.528,0,0,0,0,55,0,0,0,0,0
2,run,8.301,0,0,0,0,83,0,0,0,0,0
2,vacuum,0.392,0,0,0,0,795,0,0,1,9785858,76150
3,avg-run,9.101,0,0,0,0,0,0,0,0,33442,195
3,clean-run,9.135,0,0,0,0,0,0,0,987,739358,6189
3,extend,120.068,0,1,0,0,51443,0,36406,29087,950612871,1666510
3,reference,5.512,0,0,0,0,0,0,0,0,0,0
3,run,9.747,0,0,0,0,0,0,0,0,0,0
3,vacuum,1.405,0,0,55491,94,142,0,0,0,16393948,206990
4,avg-run,9.842,0,0,0,0,0,0,0,0,39134,242
4,clean-run,10.97,0,0,0,0,0,0,0,942,896110,7680
4,extend,133.708,0,2,46133,13,115195,0,26947,16559,1401960511,2419720
4,reference,5.645,0,0,0,0,57,0,0,0,0,0
4,run,11.479,0,0,0,0,115,0,0,0,0,0
4,vacuum,0.481,0,0,0,0,579,0,0,0,4703772,71184
5,avg-run,10.612,0,0,0,0,0,0,0,0,0,0
5,clean-run,11.64,0,0,0,0,0,0,0,729,1082606,9391
5,extend,143.515,0,3,76663,35,190211,0,40000,26479,1825938655,2911333
5,reference,5.573,0,0,0,0,56,0,0,0,0,0
5,run,12.409,0,0,0,0,124,0,0,0,0,0
5,vacuum,0.559,0,0,0,0,1453,0,1,1,10761471,138313
6,avg-run,11.561,0,0,0,0,0,0,0,0,0,0
6,clean-run,12.499,0,0,0,0,0,0,0,602,1181679,10544
6,extend,152.994,0,4,99100,26,252856,0,31476,15717,2237571293,3366985
6,reference,5.484,0,0,0,0,55,0,0,0,0,0
6,run,13.757,0,0,0,0,138,0,0,0,0,0
6,vacuum,0.709,0,0,0,0,7630,0,0,0,45357874,283974
7,avg-run,12.464,0,0,0,0,0,0,0,0,0,0
7,clean-run,13.358,0,0,0,0,0,0,0,529,1322681,11972
7,extend,161.499,0,5,119189,457,357117,0,48901,30041,2656728381,3912710
7,reference,5.706,0,0,0,0,57,0,0,0,96,2
7,run,14.896,0,0,0,0,149,0,1,0,32404,312
7,vacuum,0.73,0,0,0,0,13690,0,1,1,51192711,261841
8,avg-run,13.233,0,0,0,0,0,0,0,0,0,0
8,clean-run,14.465,0,0,0,0,0,0,0,133,1434832,13308
8,extend,168.775,0,5,134759,101,489707,0,29637,7977,3037868984,4360291
8,reference,5.485,0,0,0,0,0,0,0,0,50,1
8,run,15.695,0,0,0,0,0,0,0,0,20497,330
8,vacuum,0.699,0,0,0,0,0,0,0,1,29819098,293169
9,avg-run,14.177,0,0,0,0,0,0,0,0,0,0
9,clean-run,15.478,0,0,0,0,0,0,0,137,1550255,14665
9,extend,178.312,0,6,125284,550,670875,0,58848,34765,3503381104,4829544
9,reference,5.41,0,0,0,0,0,0,0,0,50,1
9,run,17.079,0,0,0,0,0,0,0,0,0,0
9,vacuum,1.757,0,0,22809,24,12084,0,1,1,62455036,404288
10,avg-run,14.542,0,0,0,0,0,0,0,0,0,0
10,clean-run,16.364,0,0,0,0,0,0,0,1112,1670384,16037
10,extend,186.058,0,7,136430,174,698205,0,54453,26989,3939397462,5327176
10,reference,5.364,0,0,0,0,54,0,0,0,50,1
10,run,18.046,0,0,0,0,180,0,0,0,0,0
10,vacuum,1.825,0,0,0,0,11868,0,1,1,112737146,569834
11,avg-run,17.63,0,0,0,0,0,0,0,0,0,0
11,clean-run,17.439,0,0,0,0,0,0,0,588,0,0
11,extend,194.347,0,8,150401,193,799648,0,52353,23487,4439485664,5990802
11,reference,5.387,0,0,0,0,54,0,0,0,0,0
11,run,19.397,0,0,0,0,194,0,0,0,0,0
11,vacuum,1.823,0,0,0,0,9656,0,1,1,96751525,476898
12,avg-run,16.352,0,0,0,0,0,0,0,0,0,0
12,clean-run,18.279,0,0,0,0,0,0,0,469,1868268,18748
12,extend,200.764,0,9,167421,184,820037,0,61178,28425,4712111459,6091867
12,reference,5.295,0,0,0,0,53,0,0,0,0,0
12,run,19.765,0,0,0,0,198,0,1,0,37325,391
12,vacuum,1.31,0,0,0,0,17721,0,1,1,134428538,775219
13,avg-run,17.084,0,0,0,0,0,0,0,0,0,0
13,clean-run,19.398,0,0,0,0,0,0,0,257,1970002,20144
13,extend,206.116,0,10,172029,248,1007010,0,64839,30836,5313849191,6753745
13,reference,5.47,0,0,0,0,55,0,0,0,0,0
13,run,20.956,0,0,0,0,210,0,1,0,37714,397
13,vacuum,1.222,0,0,0,0,17598,0,1,1,132566270,797847
14,avg-run,19.877,0,0,0,0,0,0,0,2,50,1
14,clean-run,20.199,0,0,0,0,0,0,0,321,0,0
14,extend,206.063,0,10,163601,249,1002453,0,95750,57335,5528791399,7084456
